id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.291858,R PRINCIPAL,,3750-601,MACINHATA DO VOUGA,-8.435297096292308,40.66766597291463
pt.ine.add.PTCONT.291708,R VALE PINHOSO,,3750-593,MACINHATA DO VOUGA,-8.451710824220346,40.64998976801025
pt.ine.add.PTCONT.291765,R CENTRO,,3750-687,PRÉSTIMO,-8.300449132084848,40.64273467503487
pt.ine.add.PTCONT.291751,URB FONTE DO GATO,,3750-862,BORRALHA,-8.439151515565092,40.55348756949273
pt.ine.add.PTCONT.291771,R VALE DA PORTELA,74,3750-677,PRÉSTIMO,-8.3147943905822,40.640272590181915
pt.ine.add.PTCONT.291775,R ENG JOSÉ BASTOS XAVIER,8,3750-144,ÁGUEDA,-8.446734873067802,40.57705210152184
pt.ine.add.PTCONT.291785,R DOMINGUES PINTO DE CARVALHO,66,3750-304,ÁGUEDA,-8.433846488575503,40.57106183861739
pt.ine.add.PTCONT.291794,R PRINCIPAL DO CARQUEIJO,88,3750-352,BARRÔ AGD,-8.462174778829265,40.52715573486247
pt.ine.add.PTCONT.291795,TV ROMPIDAS,,3750-725,RECARDÃES,-8.449742205766407,40.55608858113251
pt.ine.add.PTCONT.291820,R PORTO DA MOITA,,3750-352,BARRÔ AGD,-8.448862703910999,40.52971437676953
pt.ine.add.PTCONT.291821,R FONTE DA SENHORA,64,3750-593,MACINHATA DO VOUGA,-8.43790259317266,40.645092207603035
pt.ine.add.PTCONT.291862,R NOVA DAS BOIÇAS,21,3750-035,AGUADA DE BAIXO,-8.443907653012564,40.50711532982079
pt.ine.add.PTCONT.291863,R CHÃO DA PÓVOA-CASA 1,,3750-308,ÁGUEDA,-8.424532672692193,40.56921260883379
pt.ine.add.PTCONT.291867,R CHÃO DA FONTE,321,3750-062,AGUADA DE CIMA,-8.419615017352118,40.53477956215284
pt.ine.add.PTCONT.291868,R OUTEIRO,74,3750-362,BELAZAIMA DO CHÃO,-8.36800223020848,40.53191523995374
pt.ine.add.PTCONT.291869,R FORNO DA CAL,125,3750-362,BELAZAIMA DO CHÃO,-8.370699134802715,40.53025274025787
pt.ine.add.PTCONT.291896,R PISCO,,3750-303,ÁGUEDA,-8.43011858236675,40.57727612354585
pt.ine.add.PTCONT.291897,R AFURADO,128,3750-303,ÁGUEDA,-8.435244976696051,40.58004545982877
pt.ine.add.PTCONT.291898,R ANTÓNIO FELICIANO CASTILHO,,3750-313,ÁGUEDA,-8.440341330986115,40.58131977195298
pt.ine.add.PTCONT.291899,R INDEPENDÊNCIA DE ÁGUEDA,29,3750-129,ÁGUEDA,-8.448404012200236,40.57787604332837
pt.ine.add.PTCONT.291900,TV S BENTO,17,3750-168,ÁGUEDA,-8.448544785810743,40.572643591608916
pt.ine.add.PTCONT.292003,R SENHORA DA BALBOA,9,3750-836,VALONGO DO VOUGA,-8.424280441837404,40.619975853332456
pt.ine.add.PTCONT.292037,R VIEIRA,78,3750-463,FERMENTELOS,-8.537556675829865,40.56326191628614
pt.ine.add.PTCONT.292146,R FORCADA,264,3750-050,AGUADA DE CIMA,-8.413960219595143,40.51471148632895
pt.ine.add.PTCONT.292147,R GARRIDO,20,3750-041,AGUADA DE CIMA,-8.426556263897082,40.521497253103526
pt.ine.add.PTCONT.292148,R MIRAGAIA,148,3750-041,AGUADA DE CIMA,-8.425887401430435,40.519652849324864
pt.ine.add.PTCONT.292149,R LAGARES,10,3750-351,BARRÔ AGD,-8.47555303625939,40.542434943211894
pt.ine.add.PTCONT.292150,R ARROTAS,22,3750-351,BARRÔ AGD,-8.461637154206148,40.540314069979935
pt.ine.add.PTCONT.292151,VLA PAULITA,4,3750-351,BARRÔ AGD,-8.472596174329395,40.5342758313368
pt.ine.add.PTCONT.292152,R DR MANFREDO NUNES ROQUE,12,3750-351,BARRÔ AGD,-8.46925144117,40.53573546971282
pt.ine.add.PTCONT.292153,R DR MANFREDO NUNES ROQUES,,3750-351,BARRÔ AGD,-8.468540836064689,40.53525124650864
pt.ine.add.PTCONT.292154,R VALE,,3750-352,BARRÔ AGD,-8.464194297830126,40.52744714266174
pt.ine.add.PTCONT.292155,R DR CORREIA MIRANDA,7,3750-755,TRAVASSÔ,-8.50461097623661,40.59503506900012
pt.ine.add.PTCONT.292156,R AREAL,1,3750-755,TRAVASSÔ,-8.500916961051468,40.59354301523452
pt.ine.add.PTCONT.292283,R CABECINHAS,124,3750-050,AGUADA DE CIMA,-8.41006740551275,40.51209131049977
pt.ine.add.PTCONT.292284,R FORNO,34,3750-052,AGUADA DE CIMA,-8.417756712048034,40.50843445064092
pt.ine.add.PTCONT.292285,R S JOÃO,359,3750-044,AGUADA DE CIMA,-8.389346046792122,40.5114997320573
pt.ine.add.PTCONT.292286,R EIRAS,83,3750-042,AGUADA DE CIMA,-8.393179147839307,40.50498927699819
pt.ine.add.PTCONT.292287,R REDONDA,49,3750-351,BARRÔ AGD,-8.464798013900253,40.532605475552224
pt.ine.add.PTCONT.292288,R CALZINHA,1,3750-352,BARRÔ AGD,-8.459155077329633,40.52747047688585
pt.ine.add.PTCONT.292289,R D DUARTE LEMOS,,3750-791,TROFA AGD,-8.479574958334927,40.61046679798119
pt.ine.add.PTCONT.292377,R PÓVOA DO TESO,182,3750-059,AGUADA DE CIMA,-8.425916378417396,40.51076070090149
pt.ine.add.PTCONT.292378,R CABEÇO,,3750-307,ÁGUEDA,-8.398850706484993,40.563934396918626
pt.ine.add.PTCONT.292379,R ANTÓNIO FIGUEIREDO,260,3750-402,ESPINHEL,-8.482226542619472,40.58456337311066
pt.ine.add.PTCONT.292380,R BANDA ALVARENSE,,3750-402,ESPINHEL,-8.48416529063831,40.582176478306174
pt.ine.add.PTCONT.292381,R ENG TAVARES DA SILVA,199,3750-402,ESPINHEL,-8.486128566488885,40.58042347386301
pt.ine.add.PTCONT.292382,R CABO DO LUGAR,424,3750-403,ESPINHEL,-8.491919043211787,40.572156804354016
pt.ine.add.PTCONT.292383,R CARVALHO,11,3750-783,TROFA AGD,-8.461714114775296,40.611572605309675
pt.ine.add.PTCONT.292384,R 25 DE ABRIL,32,3750-778,TROFA AGD,-8.462030524300813,40.61344479034338
pt.ine.add.PTCONT.292385,R CARVALHO,20A,3750-783,TROFA AGD,-8.46048499539703,40.611531069612596
pt.ine.add.PTCONT.292386,R PASSADOURO,13,3750-784,TROFA AGD,-8.460049458809197,40.60217587067249
pt.ine.add.PTCONT.292488,R SORALVO,133,3750-315,ÁGUEDA,-8.405794112649325,40.56689897129242
pt.ine.add.PTCONT.292489,R CRUZEIRO,152,3750-312,ÁGUEDA,-8.387381970402279,40.606798283389075
pt.ine.add.PTCONT.292490,R CENTRAL,223,3750-312,ÁGUEDA,-8.386883706406497,40.606268070161164
pt.ine.add.PTCONT.292491,R CRUZEIRO,,3750-312,ÁGUEDA,-8.386883706406497,40.606268070161164
pt.ine.add.PTCONT.292492,R SANTO ANDRÉ,534,3750-404,ESPINHEL,-8.475103621694629,40.57707065798187
pt.ine.add.PTCONT.292493,R ESCOLA,277,3750-404,ESPINHEL,-8.474973174067706,40.57232526327644
pt.ine.add.PTCONT.292494,R ESCOLA,237,3750-404,ESPINHEL,-8.474500522694475,40.57227262932969
pt.ine.add.PTCONT.292495,R AREOSA,125,3750-405,ESPINHEL,-8.486042007406532,40.5482118116557
pt.ine.add.PTCONT.292496,R S SEBASTIÃO,117,3750-791,TROFA AGD,-8.467510953148121,40.61055638779451
pt.ine.add.PTCONT.292497,R CARVALHEIRINHA,77,3750-774,TROFA AGD,-8.466326206315467,40.60992944629109
pt.ine.add.PTCONT.292498,R MURTORIO,907,3750-791,TROFA AGD,-8.471262406927352,40.609338765645326
