id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4667064,,,7580-300,ALCÁCER DO SAL,-8.543488988058284,38.50749361371964
pt.ine.add.PTCONT.4667065,,,7580-300,ALCÁCER DO SAL,-8.543488988058284,38.50749361371964
pt.ine.add.PTCONT.4667066,,,7580-300,ALCÁCER DO SAL,-8.543488988058284,38.50749361371964
pt.ine.add.PTCONT.4667067,,,7580-300,ALCÁCER DO SAL,-8.543488988058284,38.50749361371964
pt.ine.add.PTCONT.4674224,,,7580-612,COMPORTA,-8.744194603783377,38.315069640020276
pt.ine.add.PTCONT.4664870,R OLIVEIRAS,,7580-683,COMPORTA,-8.782663568400645,38.37829265459633
pt.ine.add.PTCONT.4664871,R MANUEL DA FONSECA,25,7580-621,COMPORTA,-8.785667087466669,38.37759132232806
pt.ine.add.PTCONT.4664924,GERALDINE LINA GRINDA,,7580-611,COMPORTA,-8.76955963235249,38.322051600703624
pt.ine.add.PTCONT.4664925,LUGAR MONICA RITA BETTENCOURT,,7580-611,COMPORTA,-8.762866720556172,38.31903378811035
pt.ine.add.PTCONT.4664958,LG PALACIO VELHO,,7580-325,ALCÁCER DO SAL,-8.595569645813217,38.480057927459406
pt.ine.add.PTCONT.4664959,HRD SERRA DO LOUREIRO,,7580-325,ALCÁCER DO SAL,-8.62405380921954,38.50616563829916
pt.ine.add.PTCONT.4665013,R MANUEL MARIA BARBOSA DU BOCAGE,2,7580-048,ALCÁCER DO SAL,-8.516116480712228,38.37408832661707
pt.ine.add.PTCONT.4665014,R LIBERDADE,6,7580-311,ALCÁCER DO SAL,-8.5469889213756,38.29322917516911
pt.ine.add.PTCONT.4665015,R STA MARIA,11,7580-311,ALCÁCER DO SAL,-8.54744701936173,38.29338070755349
pt.ine.add.PTCONT.4665091,R 1 DE MAIO,25,7580-058,ALCÁCER DO SAL,-8.518475166428237,38.39374649596257
pt.ine.add.PTCONT.4665137,R PRINCIPAL,69,7580-021,ALCÁCER DO SAL,-8.513328148449546,38.3748361138449
pt.ine.add.PTCONT.4665138,R CASTELO,8,7580-197,ALCÁCER DO SAL,-8.5112552271354,38.37232939801804
pt.ine.add.PTCONT.4665139,ESTR STA LUZIA,,7580-101,ALCÁCER DO SAL,-8.515301745608353,38.371487478359164
pt.ine.add.PTCONT.4665140,ESTR STA LUZIA,,7580-101,ALCÁCER DO SAL,-8.515301745608353,38.371487478359164
pt.ine.add.PTCONT.4665258,MTE SESMARIAS DAS CORREIAS,,7580-706,SANTA SUSANA,-8.447552637644534,38.49440387196204
pt.ine.add.PTCONT.4665259,SIT PEGO DO ALTAR,15,7580-712,SANTA SUSANA,-8.395539364159557,38.419688762031875
pt.ine.add.PTCONT.4665260,R JOSE FERNANDES BAPTISTA,8,7580-080,ALCÁCER DO SAL,-8.43047575287561,38.394507250911566
pt.ine.add.PTCONT.4665261,R CMDT RAMIRO CORREIA,12,7580-040,ALCÁCER DO SAL,-8.494918001045365,38.37540786949455
pt.ine.add.PTCONT.4665316,R 1 DE MAIO,,7580-067,ALCÁCER DO SAL,-8.501437092345082,38.379153194253824
pt.ine.add.PTCONT.4665317,R PROF FRANCISCO GENTIL,31,7580-066,ALCÁCER DO SAL,-8.501011556384935,38.37874013166381
pt.ine.add.PTCONT.4665318,R BEATO FRANCISCO MAGALHÃES,12,7580-129,ALCÁCER DO SAL,-8.511507590943552,38.37464381322059
pt.ine.add.PTCONT.4665375,R BENTO JESUS CARAÇA,6,7580-091,,-8.473126873992214,38.296655618334064
pt.ine.add.PTCONT.4665376,R PROF BENTO DE JESUS CARAÇA,17,7580-034,ALCÁCER DO SAL,-8.505518045115897,38.371536981203754
pt.ine.add.PTCONT.4665438,R PRINCIPAL,26,7580-069,ALCÁCER DO SAL,-8.506859471157606,38.360911470440065
pt.ine.add.PTCONT.4665478,EN 120,11,7580-301,ALCÁCER DO SAL,-8.535479737164433,38.28940444099509
pt.ine.add.PTCONT.4665479,TV POCINHO,2,7595-164,TORRÃO,-8.228905342269126,38.297352492753134
pt.ine.add.PTCONT.4665480,R TORRES,74,7595-124,TORRÃO,-8.227772348775902,38.296380458228406
pt.ine.add.PTCONT.4665481,R JERICO,5,7595-136,TORRÃO,-8.22803327700918,38.29484874501953
pt.ine.add.PTCONT.4665482,R S MARIA,1D,7595-128,TORRÃO,-8.228651306918994,38.29541580012652
pt.ine.add.PTCONT.4665544,R S MARIA,1D,7595-128,TORRÃO,-8.228651306918994,38.29541580012652
pt.ine.add.PTCONT.4665545,R DR ANTÓNIO JOAQUIM CONCEIÇÃO,19,7595-140,TORRÃO,-8.220624484172316,38.29371939196475
pt.ine.add.PTCONT.4665546,R LAVRADORES,64,7595-139,TORRÃO,-8.225515655806678,38.292679624549805
pt.ine.add.PTCONT.4665591,R BENTO DE JESUS CARAÇA,5,7595-113,TORRÃO,-8.223492524551462,38.29278930675466
pt.ine.add.PTCONT.4665592,R 1 DE MAIO,8,7595-107,TORRÃO,-8.220714719428104,38.29271033435808
pt.ine.add.PTCONT.4665593,R AFONSO COSTA,6,7595-048,TORRÃO,-8.226771639575507,38.29157954970102
pt.ine.add.PTCONT.4665594,R DESEMBARGADOR,8,7595-133,TORRÃO,-8.2244201542671,38.29416694109443
pt.ine.add.PTCONT.4665641,R DESEMBARGADOR,46,7595-133,TORRÃO,-8.225093679987278,38.29344570769901
pt.ine.add.PTCONT.4665642,R AZUL CAIXA POSTAL,3009,7595-036,TORRÃO,-8.327500196743019,38.2148082237974
pt.ine.add.PTCONT.4665643,CAIXA POSTAL,,7595-011,TORRÃO,-8.403883051437745,38.206458749865405
pt.ine.add.PTCONT.4665644,,,7595-036,TORRÃO,-8.327272663412305,38.22371844758106
pt.ine.add.PTCONT.4665645,LG FONTE PUBLICA,,7580-551,SÃO MARTINHO ASL,-8.49471460910433,38.525130780050056
pt.ine.add.PTCONT.4665694,MTE GARGOLIM DE CIMA,,7580-552,,-8.50220030270406,38.506658101387806
pt.ine.add.PTCONT.4665695,MTE PEGO DA EGUA,,7580-552,,-8.545637169473382,38.50422500279256
pt.ine.add.PTCONT.4665696,HRD STA EMILIA,,7580-552,,-8.534537843239068,38.46874307393075
pt.ine.add.PTCONT.4665697,POSSANCO,,7580-680,COMPORTA,-8.778904668917857,38.39443875862612
pt.ine.add.PTCONT.4665698,R S PEDRO,6,7580-639,COMPORTA,-8.786566272457879,38.38213564402308
