id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1490081,,,8970-104,GIÕES,-7.693808489786931,37.471775932178424
pt.ine.add.PTCONT.1490082,,,8970-104,GIÕES,-7.693902434085087,37.469244461046166
pt.ine.add.PTCONT.1490083,,,8970-104,GIÕES,-7.692508035947444,37.475699463945425
pt.ine.add.PTCONT.1468028,,,8970-021,ALCOUTIM,-7.513939178930645,37.4939546911464
pt.ine.add.PTCONT.1468029,,,8970-021,ALCOUTIM,-7.5126659161607465,37.49340741488476
pt.ine.add.PTCONT.1468030,,,8970-011,ALCOUTIM,-7.54141387777476,37.49296024363757
pt.ine.add.PTCONT.1468031,,,8970-011,ALCOUTIM,-7.541291132617726,37.49275240002807
pt.ine.add.PTCONT.1468184,R BOAVISTA,,8970-054,ALCOUTIM,-7.471387640623224,37.47088383106095
pt.ine.add.PTCONT.1468185,R D SANCHO II,20,8970-069,ALCOUTIM,-7.47303176516474,37.47031639035868
pt.ine.add.PTCONT.1468186,,,8970-018,ALCOUTIM,-7.496722442880271,37.44534455540776
pt.ine.add.PTCONT.1468317,,,8970-012,ALCOUTIM,-7.443724632509709,37.387239034274735
pt.ine.add.PTCONT.1468318,R FEIRA,1,8970-104,GIÕES,-7.695223534185864,37.47143880319911
pt.ine.add.PTCONT.1468319,TV CORREIOS,3,8970-104,GIÕES,-7.695485162087917,37.47116046133126
pt.ine.add.PTCONT.1468430,R PESSEGUEIRO,,8970-217,MARTIM LONGO,-7.845389219237068,37.431327363660756
pt.ine.add.PTCONT.1468431,R PESSEGUEIRO,,8970-217,MARTIM LONGO,-7.846791500630581,37.43099739346853
pt.ine.add.PTCONT.1468432,R POÇO DO GATO,8,8970-273,MARTIM LONGO,-7.770089553296202,37.439580594162976
pt.ine.add.PTCONT.1468579,,,8970-214,MARTIM LONGO,-7.726556192411206,37.44079038746069
pt.ine.add.PTCONT.1468580,,,8970-309,PEREIRO ACT,-7.554577678719084,37.439947579886166
pt.ine.add.PTCONT.1468724,MTE PREGUICAS,,8970-344,VAQUEIROS ACT,-7.650465797501893,37.366287776472184
pt.ine.add.PTCONT.1468725,MTE ALCARIAS,,8970-323,VAQUEIROS ACT,-7.69742559861379,37.31575146789416
pt.ine.add.PTCONT.1468861,R PESSEGUEIRO,,8970-217,MARTIM LONGO,-7.847027807614857,37.43125024943803
pt.ine.add.PTCONT.1468865,R CHADA DO OURO,,8970-205,MARTIM LONGO,-7.76392467773855,37.43629984058318
pt.ine.add.PTCONT.1468905,MTE TRAVISCOSA,,8970-347,VAQUEIROS ACT,-7.647602340274144,37.297302732412405
pt.ine.add.PTCONT.1468971,R ESCOLA,2,8970-307,PEREIRO ACT,-7.5946011672539235,37.446299576920254
pt.ine.add.PTCONT.1468987,R DR ANTERO CABRAL,49,8970-278,MARTIM LONGO,-7.770898827865594,37.44047507735449
pt.ine.add.PTCONT.1468991,R TREMELGO DE BAIXO,,8970-220,MARTIM LONGO,-7.824640333939904,37.429716286298785
pt.ine.add.PTCONT.1469514,R TIMOR,10,8970-064,ALCOUTIM,-7.47323957755105,37.47496668337164
pt.ine.add.PTCONT.1469529,,,8970-080,ALCOUTIM,-7.570489161394435,37.492552683836216
pt.ine.add.PTCONT.1469530,,,8970-080,ALCOUTIM,-7.570216636910494,37.49270455494294
pt.ine.add.PTCONT.1469531,,,8970-011,ALCOUTIM,-7.541258493583998,37.494022638842196
pt.ine.add.PTCONT.1469626,R SERRINHO,3,8970-104,GIÕES,-7.696541109944935,37.47230864195745
pt.ine.add.PTCONT.1469627,,,8970-214,MARTIM LONGO,-7.726904244622343,37.44120604834949
pt.ine.add.PTCONT.1469630,R FEI RA,13,8970-104,GIÕES,-7.696148600886151,37.47176658899152
pt.ine.add.PTCONT.1469631,R CORRE SERRANOS,,8970-206,MARTIM LONGO,-7.816194842410239,37.380101969497744
pt.ine.add.PTCONT.1469632,,,8970-218,MARTIM LONGO,-7.7188273264466325,37.42638342944532
pt.ine.add.PTCONT.1469638,R TI JULIA,,8970-359,VAQUEIROS ACT,-7.7283080386292555,37.3840505658555
pt.ine.add.PTCONT.1469640,R ALCOUTIM,35,8970-266,MARTIM LONGO,-7.76988080327828,37.440688195770555
pt.ine.add.PTCONT.1469645,R D SANCHO II,38,8970-069,ALCOUTIM,-7.4732739746125665,37.469768136198766
pt.ine.add.PTCONT.1469646,,,8970-105,GIÕES,-7.651169738550881,37.43091131215984
pt.ine.add.PTCONT.1469647,TV CASAL VENTOSO,,8970-283,MARTIM LONGO,-7.772258348327841,37.43974040707449
pt.ine.add.PTCONT.1469648,MTE ZAMBUJAL,,8970-392,VAQUEIROS ACT,-7.670729952938072,37.379028030234494
pt.ine.add.PTCONT.1469649,MTE MALFRADE,,8970-338,VAQUEIROS ACT,-7.680760298418614,37.37080448780263
pt.ine.add.PTCONT.1469652,R PESSEGUEIRO,,8970-217,MARTIM LONGO,-7.84664115313313,37.431907052978545
pt.ine.add.PTCONT.1469653,MTE MALFRADE,,8970-338,VAQUEIROS ACT,-7.680638660689344,37.37038054385872
pt.ine.add.PTCONT.1469659,PCT FRANCISCO MADEIRA DO ROSÁRIO,,8970-082,ALCOUTIM,-7.471828740340997,37.46829143483201
pt.ine.add.PTCONT.1469663,MTE BALURCO DE BAIXO,,8970-013,ALCOUTIM,-7.508200649037754,37.42397997569546
pt.ine.add.PTCONT.1469668,,,8970-032,ALCOUTIM,-7.496830000414607,37.43130754029721
pt.ine.add.PTCONT.1469669,,,8970-032,ALCOUTIM,-7.496932444206057,37.43121799150089
pt.ine.add.PTCONT.1469670,MTE PALMEIRA,,8970-031,ALCOUTIM,-7.529313976587197,37.39882548232142
pt.ine.add.PTCONT.1469671,JOSE LOURENC,,8970-309,PEREIRO ACT,-7.5556897218666474,37.439340335564346
pt.ine.add.PTCONT.1469673,,,8970-301,PEREIRO ACT,-7.617380494429053,37.43356184133532
pt.ine.add.PTCONT.1469674,,,8970-301,PEREIRO ACT,-7.617443415231258,37.43262506884843
pt.ine.add.PTCONT.1469677,,,8970-026,ALCOUTIM,-7.458320180144424,37.40288358964574
pt.ine.add.PTCONT.1469678,MTE FORTIM,,8970-333,VAQUEIROS ACT,-7.64767691798858,37.30149281896465
pt.ine.add.PTCONT.1471727,R BARRADA,,8970-202,MARTIM LONGO,-7.793234609102859,37.421412918948384
pt.ine.add.PTCONT.1471802,,,8970-216,MARTIM LONGO,-7.7716537963071515,37.41271718988239
pt.ine.add.PTCONT.1471803,R BARRADA,,8970-202,MARTIM LONGO,-7.79227187868966,37.42195976566663
pt.ine.add.PTCONT.1472144,LG FÁBRICA,3,8970-104,GIÕES,-7.696050271456784,37.471180572983684
pt.ine.add.PTCONT.1472445,,,8970-302,PEREIRO ACT,-7.62693157785668,37.42799886146331
pt.ine.add.PTCONT.1472448,,,8970-218,MARTIM LONGO,-7.718481076327865,37.42566140651379
pt.ine.add.PTCONT.1472453,R S SALVADOR URB BEIRA RIO,F,8970-052,ALCOUTIM,-7.471386236239604,37.4723254147145
pt.ine.add.PTCONT.1472454,R ALCOUTIM,,8970-266,MARTIM LONGO,-7.768966785476264,37.440424090357034
pt.ine.add.PTCONT.1472455,R CARMO,4,8970-371,VAQUEIROS ACT,-7.728512588107642,37.383807991020205
pt.ine.add.PTCONT.1472458,R D NUNO ÁLVARES PEREIRA,9,8970-071,ALCOUTIM,-7.471420043078036,37.471055201529325
pt.ine.add.PTCONT.1472459,R GUERREIRINHOS,,8970-078,ALCOUTIM,-7.518067664607455,37.43310482809418
pt.ine.add.PTCONT.1472461,,,8970-101,GIÕES,-7.685302556455334,37.43846986025179
pt.ine.add.PTCONT.1472474,URB MUNICIPAL,,8970-252,MARTIM LONGO,-7.76701028376089,37.438435823358944
pt.ine.add.PTCONT.1472475,,,8970-307,PEREIRO ACT,-7.595381780214872,37.44460023349998
pt.ine.add.PTCONT.1472476,R BANDEIRA,,8970-307,PEREIRO ACT,-7.596515177842658,37.44571361970877
pt.ine.add.PTCONT.1472483,,,8970-302,PEREIRO ACT,-7.62322303629972,37.43507384961359
pt.ine.add.PTCONT.1474697,,,8970-218,MARTIM LONGO,-7.71709058973725,37.42581870325046
pt.ine.add.PTCONT.1475201,R DR ANTERO CABRAL,72,8970-278,MARTIM LONGO,-7.769182353626914,37.44024455219425
pt.ine.add.PTCONT.1475447,,,8970-011,ALCOUTIM,-7.541910972729407,37.49301679200842
pt.ine.add.PTCONT.1475478,,,8970-028,ALCOUTIM,-7.5256993950551845,37.51349519749859
pt.ine.add.PTCONT.1475584,ESTR GUERREIROS DO RIO,,8970-025,ALCOUTIM,-7.446534406097789,37.39611226573929
pt.ine.add.PTCONT.1475585,R MESTRAS,,8970-212,MARTIM LONGO,-7.841499027982648,37.397259420652915
pt.ine.add.PTCONT.1475586,,,8970-312,PEREIRO ACT,-7.618123341168189,37.382829177246535
pt.ine.add.PTCONT.1475587,,,8970-312,PEREIRO ACT,-7.618144197733559,37.38308155208871
pt.ine.add.PTCONT.1475597,,,8970-218,MARTIM LONGO,-7.718243381928295,37.42574166357899
pt.ine.add.PTCONT.1475599,,,8970-012,ALCOUTIM,-7.443644451029393,37.3861303292539
pt.ine.add.PTCONT.1475600,,,8970-012,ALCOUTIM,-7.444515921892359,37.38714453403415
pt.ine.add.PTCONT.1475601,R LOJA,20,8970-358,VAQUEIROS ACT,-7.72923599857709,37.38366630092114
pt.ine.add.PTCONT.1475602,R S SALVADOR SN,SN,8970-052,ALCOUTIM,-7.471444503698879,37.47212752220316
pt.ine.add.PTCONT.1475603,CONDOMINIO TURISTICO HABITACIONAL,4,8970-052,ALCOUTIM,-7.471523155266503,37.47218202228917
pt.ine.add.PTCONT.1475604,R ALECRIM,03,8970-370,VAQUEIROS ACT,-7.729135586298573,37.3834407034606
pt.ine.add.PTCONT.1475613,R GUERREIRINHOS,,8970-078,ALCOUTIM,-7.51779377799884,37.43343677362868
pt.ine.add.PTCONT.1475620,MTE BALURCO DE CIMA,,8970-014,ALCOUTIM,-7.524235306914764,37.429100264891126
pt.ine.add.PTCONT.1475621,R DIOGO DIAS,,8970-207,MARTIM LONGO,-7.808668312364358,37.43668340544561
