id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.2273165,R EIRAS,31,2580-117,ABRIGADA,-9.026457384638281,39.14779897493946
pt.ine.add.PTCONT.2273166,R PRINCIPAL,027,2580-437,VILA VERDE DOS FRANCOS,-9.106335819601329,39.14221430952724
pt.ine.add.PTCONT.2273167,R ROSSIO,3,2580-437,VILA VERDE DOS FRANCOS,-9.105441078767406,39.13939349554487
pt.ine.add.PTCONT.2273168,R FLORES,3,2580-511,CARREGADO,-8.963900303139832,39.039515234235175
pt.ine.add.PTCONT.2273169,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273170,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273171,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273172,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273173,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273174,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273175,R DIOGO AFONSO,13,2580-474,CARREGADO,-8.975056114088359,39.021870609317205
pt.ine.add.PTCONT.2273287,AV 25 ABRIL,,2580-161,ABRIGADA,-9.02432553306505,39.11633469999293
pt.ine.add.PTCONT.2273288,BC SIMÕES,14,2580-163,ABRIGADA,-9.019072318742355,39.11325820051675
pt.ine.add.PTCONT.2273289,R HUMBERTO DELGADO,5,2580-024,ABRIGADA,-9.011920630147866,39.13973085884616
pt.ine.add.PTCONT.2273290,R MACHEDES,,2580-160,ABRIGADA,-9.013491141371121,39.1311710555924
pt.ine.add.PTCONT.2273291,BC MANUEL PEDRO FILIPE,3,2580-460,ABRIGADA,-9.011473109857883,39.12791661851157
pt.ine.add.PTCONT.2273292,R FONTES,,2580-567,ALENQUER,-9.003461044784885,39.04627057375043
pt.ine.add.PTCONT.2273293,R BELA VISTA,10,2580-560,ALENQUER,-9.002372861190327,39.04984564430529
pt.ine.add.PTCONT.2273294,URB NOVA DE ALENQUER,,2580-386,,-9.00452407893132,39.04911800117052
pt.ine.add.PTCONT.2273295,URB NOVA DE ALENQUER,,2580-386,,-9.00452407893132,39.04911800117052
pt.ine.add.PTCONT.2273296,URB NOVA DE ALENQUER,,2580-386,,-9.00452407893132,39.04911800117052
pt.ine.add.PTCONT.2273297,URB NOVA DE ALENQUER,,2580-386,,-9.00452407893132,39.04911800117052
pt.ine.add.PTCONT.2273298,URB NOVA DE ALENQUER,,2580-386,,-9.00452407893132,39.04911800117052
pt.ine.add.PTCONT.2273299,R LUIS DE CAMÕES,10,2580-508,CARREGADO,-8.989990447070005,39.02697720572959
pt.ine.add.PTCONT.2273300,R 13 DE MAIO,,2580-511,CARREGADO,-8.955932361663491,39.03666229545046
pt.ine.add.PTCONT.2273301,R DAMIÃO DE GOIS,6,2580-507,CARREGADO,-8.954044429093802,39.03333272885643
pt.ine.add.PTCONT.2273302,R DAMIÃO DE GOIS,12,2580-507,CARREGADO,-8.954228449655869,39.03349858675754
pt.ine.add.PTCONT.2273303,R JOÃO PINHEIRO,11,2580-507,CARREGADO,-8.954876926684953,39.03294779736649
pt.ine.add.PTCONT.2273434,R TAPADA,13,2580-084,ALDEIA GALEGA DA MERCEANA,-9.145545366022876,39.107382445686596
pt.ine.add.PTCONT.2273435,R CARACOL,5,2580-084,ALDEIA GALEGA DA MERCEANA,-9.1474975716803,39.106464745003024
