id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455918,R PINHEIRO,48,7600-401,SÃO JOÃO DE NEGRILHOS,-8.185517375626494,37.95158171867222
pt.ine.add.PTCONT.455932,R D SANCHO II,47,7600-088,ALJUSTREL,-8.167265026156336,37.87873100552539
pt.ine.add.PTCONT.455933,R ANTÓNIO ALEXANDRE RAPOSO,,7600-135,ALJUSTREL,-8.165079735484907,37.8816207040663
pt.ine.add.PTCONT.455934,R ANTÓNIO ALEXANDRE RAPOSO,,7600-135,ALJUSTREL,-8.165079735484907,37.8816207040663
pt.ine.add.PTCONT.455948,R LISBOA,23,7600-074,ALJUSTREL,-8.165456522266535,37.87386607844669
pt.ine.add.PTCONT.455958,R 1 DE MAIO,,7600-503,RIO DE MOINHOS AJT,-8.213605655082706,37.89663742345976
pt.ine.add.PTCONT.455973,BR AZUL,,7600-136,ALJUSTREL,-8.165860074024074,37.88891210922041
pt.ine.add.PTCONT.455993,MTE CHAICA,,7600-272,ERVIDEL,-8.086952786819998,37.94465792055418
pt.ine.add.PTCONT.456023,R VASCO DA GAMA,18,7600-404,SÃO JOÃO DE NEGRILHOS,-8.209956449779922,37.93898452893873
pt.ine.add.PTCONT.456024,BR VALE DA OCA,874,7600-020,ALJUSTREL,-8.16668333011215,37.868755811411035
pt.ine.add.PTCONT.456067,R OUTEIRO,47,7600-422,SÃO JOÃO DE NEGRILHOS,-8.18387695178449,37.94755316589239
pt.ine.add.PTCONT.456086,R BRANCO RODRIGUES,20,7600-062,ALJUSTREL,-8.168916643471684,37.876319162793735
pt.ine.add.PTCONT.456110,R BRANCO RODRIGUES,50,7600-062,ALJUSTREL,-8.169866571869145,37.876979852631166
pt.ine.add.PTCONT.456124,R GEN HUMBERTO DELGADO,18,7600-161,ALJUSTREL,-8.131988894574764,37.92125806457073
pt.ine.add.PTCONT.456129,,,7600-010,ALJUSTREL,-8.164842742142723,37.872442536242545
pt.ine.add.PTCONT.456153,R ALJUSTREL,16,7600-327,MESSEJANA,-8.238882872663325,37.832168070326375
pt.ine.add.PTCONT.456160,R NOVA,7,7600-433,SÃO JOÃO DE NEGRILHOS,-8.18219721928059,37.943500851500076
pt.ine.add.PTCONT.456161,R CRUZEIRO,25,7600-336,MESSEJANA,-8.238811373625083,37.83197360123737
pt.ine.add.PTCONT.456180,R VISTA ALEGRE,2,7600-401,SÃO JOÃO DE NEGRILHOS,-8.18805046696012,37.95090756140668
pt.ine.add.PTCONT.456228,LG ALTOS,2,7600-041,ALJUSTREL,-8.166419866955648,37.880195074612466
pt.ine.add.PTCONT.456281,R EDMUNDO MANUEL DA SILVA,46,7600-095,ALJUSTREL,-8.163623710737413,37.883052039310215
pt.ine.add.PTCONT.456293,R OUTEIRO,10,7600-341,MESSEJANA,-8.246062737836132,37.8342752088279
pt.ine.add.PTCONT.456296,R CANDEIAS,,7600-418,SÃO JOÃO DE NEGRILHOS,-8.18325576472445,37.942656204447424
pt.ine.add.PTCONT.456302,AV 1 DE MAIO,3,7600-010,ALJUSTREL,-8.164149929498068,37.87739685026673
pt.ine.add.PTCONT.456309,R POMBAL,6,7600-246,ERVIDEL,-8.08526820934763,37.966445437649014
pt.ine.add.PTCONT.456319,AV ANTERO DE QUENTAL,17,7600-013,ALJUSTREL,-8.16694879912303,37.87647820096966
pt.ine.add.PTCONT.456320,R ALMEIDA GARRETT,72,7600-059,ALJUSTREL,-8.16897250833318,37.87790105067128
pt.ine.add.PTCONT.456333,R ALMEIDA GARRETT,56,7600-059,ALJUSTREL,-8.168361216314175,37.87746501508449
pt.ine.add.PTCONT.456379,R NOVA DA PALMA,12,7600-345,MESSEJANA,-8.24350305322781,37.832740555026334
pt.ine.add.PTCONT.456384,R GEN HUMBERTO DELGADO,12,7600-099,ALJUSTREL,-8.163121780872519,37.87911781882738
pt.ine.add.PTCONT.456391,R FORGAS ARMADAS,38,7600-161,ALJUSTREL,-8.132053847535667,37.92311150443913
pt.ine.add.PTCONT.456392,R SANTO AMARO,11,7600-332,MESSEJANA,-8.24573128898806,37.834107272983516
pt.ine.add.PTCONT.456431,R MOINHO,9,7600-421,SÃO JOÃO DE NEGRILHOS,-8.188618186743039,37.95212107307928
pt.ine.add.PTCONT.456432,R 25 DE ABRIL,46,7600-503,RIO DE MOINHOS AJT,-8.21076182607136,37.896693281543904
pt.ine.add.PTCONT.456433,R LIBERDADE,10,7600-503,RIO DE MOINHOS AJT,-8.213432213228517,37.895961686185245
pt.ine.add.PTCONT.456437,R JOGO DA BOLA,5,7600-339,MESSEJANA,-8.244749128503473,37.831870747422926
pt.ine.add.PTCONT.456457,SEM DESIGNACAO,5,7600-311,MESSEJANA,-8.2599890195735,37.836115681579045
pt.ine.add.PTCONT.456460,TV QUINTA NOVA,,7600-093,ALJUSTREL,-8.165064268904931,37.87634182484432
pt.ine.add.PTCONT.456479,R SINES,14,7600-404,SÃO JOÃO DE NEGRILHOS,-8.20876461119921,37.93745180705051
pt.ine.add.PTCONT.456487,R NOVA DE S BRÁS,11,7600-346,MESSEJANA,-8.243775795274841,37.8310463363152
pt.ine.add.PTCONT.456512,BR S JOÃO DO DESERTO,1145,7600-028,ALJUSTREL,-8.18134759791122,37.88887651516841
pt.ine.add.PTCONT.456529,MTE MIRA,,7600-404,SÃO JOÃO DE NEGRILHOS,-8.227129042773242,37.947097977708204
pt.ine.add.PTCONT.456543,R QUADRA,14,7600-068,ALJUSTREL,-8.163728958012037,37.87571544659931
pt.ine.add.PTCONT.456546,R SEM DESIGNACAO,,7600-108,ALJUSTREL,-8.160834124813146,37.88261868978822
pt.ine.add.PTCONT.456557,AV 1 DE MAIO,,7600-010,ALJUSTREL,-8.161522356562324,37.87797386564747
pt.ine.add.PTCONT.456558,R BOMBEIROS,12,7600-026,ALJUSTREL,-8.167468581617968,37.87166839476701
pt.ine.add.PTCONT.456572,,,7600-311,MESSEJANA,-8.23223521350232,37.85223333301831
pt.ine.add.PTCONT.456573,BR MALPIQUE,,7600-022,ALJUSTREL,-8.16350078385569,37.8741281909334
pt.ine.add.PTCONT.456652,BR MALPIQUE,7,7600-022,ALJUSTREL,-8.163988854867895,37.87384905089533
pt.ine.add.PTCONT.456659,R LIBERDADE,40,7600-161,ALJUSTREL,-8.133585795286809,37.922066383754164
pt.ine.add.PTCONT.456694,BR VALE DA OCA,719,7600-020,ALJUSTREL,-8.163287482487318,37.86631911650756
pt.ine.add.PTCONT.456698,R 6 DE NOVEMBRO,8A,7600-055,ALJUSTREL,-8.166783374786649,37.87504594204771
pt.ine.add.PTCONT.456734,BR S BRÁS,4,7600-311,MESSEJANA,-8.24636688433459,37.83031416988912
pt.ine.add.PTCONT.456736,R 25 DE ABRIL,28,7600-503,RIO DE MOINHOS AJT,-8.21040762105865,37.896296486150746
pt.ine.add.PTCONT.456752,TV FÁBRICA,5,7600-350,MESSEJANA,-8.244376190694807,37.833392565163784
pt.ine.add.PTCONT.456760,R INF D HENRIQUE,13,7600-101,ALJUSTREL,-8.167106940456973,37.873112563410785
pt.ine.add.PTCONT.456762,R ALJUSTREL,4,7600-222,ERVIDEL,-8.087339370043344,37.963361513112794
pt.ine.add.PTCONT.456770,R BOMBEIROS,2,7600-239,ERVIDEL,-8.088920883649717,37.963792134050045
pt.ine.add.PTCONT.456790,R SERTAO,32,7600-236,ERVIDEL,-8.088509675723676,37.96633504753296
pt.ine.add.PTCONT.456805,R ODEMIRA,9,7600-330,MESSEJANA,-8.239381262759762,37.83190294816164
pt.ine.add.PTCONT.456817,R ALJUSTREL,52,7600-327,MESSEJANA,-8.240706097957657,37.832756297363474
pt.ine.add.PTCONT.456826,R NOVA,16,7600-404,SÃO JOÃO DE NEGRILHOS,-8.208369933345859,37.937057359696425
pt.ine.add.PTCONT.456882,R NOVA DO CASTELO,4,7600-347,MESSEJANA,-8.246194451642138,37.835275686015855
pt.ine.add.PTCONT.456863,R INF D HENRIQUE,19,7600-101,ALJUSTREL,-8.167052606894002,37.873249753067014
pt.ine.add.PTCONT.456887,R ALMEIDA GARRETT,82,7600-059,ALJUSTREL,-8.169219351001416,37.878082595560535
pt.ine.add.PTCONT.456900,TV LARGO DA ESCOLA,,7600-503,RIO DE MOINHOS AJT,-8.20741842767314,37.89651521278307
pt.ine.add.PTCONT.456901,LG JOGO DA BOLA,7,7600-315,MESSEJANA,-8.245982881541577,37.832042611602795
pt.ine.add.PTCONT.456914,R MQ DE POMBAL,3,7600-110,ALJUSTREL,-8.165744990281494,37.88010272637831
pt.ine.add.PTCONT.456918,BR VALE DA OCA,902,7600-020,ALJUSTREL,-8.167260833987344,37.86984299228407
pt.ine.add.PTCONT.456934,R PINHEIRO,28A,7600-401,SÃO JOÃO DE NEGRILHOS,-8.186532161785475,37.95103253314758
pt.ine.add.PTCONT.456979,R EIRAS,20,7600-219,ERVIDEL,-8.088976400379,37.96610098054388
pt.ine.add.PTCONT.457004,R 25 DE ABRIL,44,7600-503,RIO DE MOINHOS AJT,-8.210712979937446,37.896642507657575
pt.ine.add.PTCONT.457015,R CEMITÉRIO,17,7600-420,SÃO JOÃO DE NEGRILHOS,-8.179705656410436,37.94162158484127
