id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455955,R POÇO,15,7700-308,ALDEIA DOS FERNANDES,-8.170654805750933,37.5691380449185
pt.ine.add.PTCONT.456002,,,7700-253,SANTA CRUZ ADV,-7.9963248238799,37.4264445680098
pt.ine.add.PTCONT.456018,CAIXA POSIAL GOT,,7700-212,ALMODÔVAR,-8.08943161738164,37.44430168921114
pt.ine.add.PTCONT.456048,,,7700-250,SANTA CRUZ ADV,-8.027044596033516,37.43386445645615
pt.ine.add.PTCONT.456064,CX POSTAL 1727,,7700-260,SÃO BARNABÉ,-8.113221324636084,37.35125056140303
pt.ine.add.PTCONT.456081,R DA ENTRADA NORTE,7,7700-032,ALMODÔVAR,-8.060952559146541,37.51653063053474
pt.ine.add.PTCONT.456083,MTE RIBEIRA,,7700-240,SANTA CLARA-A-NOVA,-8.15045280764322,37.484980146688606
pt.ine.add.PTCONT.456125,R ALMODOVAR CAIXA POSTAL 121,21,7700-240,SANTA CLARA-A-NOVA,-8.143476984966675,37.48794528176848
pt.ine.add.PTCONT.456126,CAIXA POSTAL 1711,,7700-262,SÃO BARNABÉ,-8.096041656477569,37.35419278931744
pt.ine.add.PTCONT.456143,R FÁBRICA,13,7700-240,SANTA CLARA-A-NOVA,-8.145116549753336,37.48812532809177
pt.ine.add.PTCONT.456158,R DA ESTALAGEM,23,7700-235,ROSÁRIO,-8.081430557344412,37.608668252876654
pt.ine.add.PTCONT.456172,PCT POÇO DE BEJA,,7700-025,ALMODÔVAR,-8.061633359885882,37.514314575650786
pt.ine.add.PTCONT.456176,R DO ALFAIATE,,7700-232,ROSÁRIO,-8.085548346062643,37.58039686823173
pt.ine.add.PTCONT.456178,R EIRA,,7700-240,SANTA CLARA-A-NOVA,-8.147853629091799,37.49190925030354
pt.ine.add.PTCONT.456208,R PONTE ROMANA,2A,7700-040,ALMODÔVAR,-8.058264681818116,37.512276220362494
pt.ine.add.PTCONT.456222,R OURIQUE,10A,7700-321,ALDEIA DOS FERNANDES,-8.171436680337044,37.57076859529424
pt.ine.add.PTCONT.456240,,,7700-253,SANTA CRUZ ADV,-7.996726872308774,37.42902193972112
pt.ine.add.PTCONT.456247,R GRANDE,9,7700-311,ALDEIA DOS FERNANDES,-8.17134546905853,37.5694892114776
pt.ine.add.PTCONT.456250,ESTR MUNICIPAL,5,7700-317,ALDEIA DOS FERNANDES,-8.16894596847437,37.569958481874345
pt.ine.add.PTCONT.456255,,,7700-260,SÃO BARNABÉ,-8.092713048885791,37.35219141621587
pt.ine.add.PTCONT.456279,,,7700-222,GOMES AIRES,-8.202052050521216,37.467752021590336
pt.ine.add.PTCONT.456300,,,7700-250,SANTA CRUZ ADV,-8.021854515890977,37.36005702063925
pt.ine.add.PTCONT.456312,,,7700-222,GOMES AIRES,-8.091675610160967,37.412046086981135
