id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4401743,,,2090-217,ALPIARÇA,-8.558353621479723,39.19156598582776
pt.ine.add.PTCONT.4391311,R DR JOSE ANTÓNIO SIMÕES,58,2090-074,ALPIARÇA,-8.571295421592708,39.255037888669044
pt.ine.add.PTCONT.4391312,R DR JOSE ANTÓNIO SIMÕES,201,2090-074,ALPIARÇA,-8.570018255302706,39.25459232173832
pt.ine.add.PTCONT.4391313,R MARECHAL ANTÓNIO DE SPINOLA,5,2090-243,ALPIARÇA,-8.565451092490962,39.25606854939985
pt.ine.add.PTCONT.4391314,R DR QUEIROZ VAZ GUEDES,141,2090-078,ALPIARÇA,-8.581305762894095,39.25511688957648
pt.ine.add.PTCONT.4391393,AV 1 DE DEZEMBRO,8,2090-039,ALPIARÇA,-8.578097289225092,39.2515623001173
pt.ine.add.PTCONT.4391394,R INEIA,17,2090-067,ALPIARÇA,-8.578584070733239,39.251596468435864
pt.ine.add.PTCONT.4391508,R 25 DE ABRIL,22,2090-217,ALPIARÇA,-8.564696289409753,39.18392239550417
pt.ine.add.PTCONT.4391611,EN 118,,2090-216,ALPIARÇA,-8.611786334047284,39.22091189741954
pt.ine.add.PTCONT.4391612,R PATAIA,53,2090-216,ALPIARÇA,-8.600115006995669,39.21933794932754
pt.ine.add.PTCONT.4391613,R VAL DE OLIVEIRAS,45,2090-216,ALPIARÇA,-8.591387883923238,39.21637315929507
pt.ine.add.PTCONT.4391614,R PRINCIPAL,31,2090-216,ALPIARÇA,-8.599757551162412,39.217817139076175
pt.ine.add.PTCONT.4391615,R JOSE DO VALE,33,2090-219,ALPIARÇA,-8.604159708336066,39.216385266875406
pt.ine.add.PTCONT.4391616,R 25 DE ABRIL,23,2090-216,ALPIARÇA,-8.595237010452527,39.215349129233736
pt.ine.add.PTCONT.4391617,R 25 DE ABRIL,8,2090-216,ALPIARÇA,-8.596922844846679,39.2163962903079
pt.ine.add.PTCONT.4392674,R JACINTO DOS MARTIRES FALCÃO,7,2090-087,ALPIARÇA,-8.574228802668383,39.26094461042804
pt.ine.add.PTCONT.4392675,R JACINTO DOS MARTIRES FALCÃO,32,2090-088,ALPIARÇA,-8.573636611862137,39.26073968426065
pt.ine.add.PTCONT.4392793,R JOSE RELVAS,338,2090-105,ALPIARÇA,-8.579914273585723,39.26404846592649
pt.ine.add.PTCONT.4392794,AV CARLOS RELVAS,88,2090-024,ALPIARÇA,-8.577604658975128,39.2634448087305
pt.ine.add.PTCONT.4392795,R ALFREDO LIMA,5,2090-045,ALPIARÇA,-8.585647878196749,39.26014418446099
pt.ine.add.PTCONT.4392905,R JOAQUIM NUNES FERREIRA,90,2090-100,ALPIARÇA,-8.578049101947975,39.260434675939244
pt.ine.add.PTCONT.4392906,R MANUEL PACIENCIA GASPAR,216A,2090-120,ALPIARÇA,-8.571599273403026,39.25174007073141
pt.ine.add.PTCONT.4392907,R 25 DE ABRIL,59,2090-209,ALPIARÇA,-8.554553777088127,39.24138152897283
pt.ine.add.PTCONT.4392958,R CONS FIGUEIREDO LEAL,5,2090-058,ALPIARÇA,-8.579634353188627,39.25462790827338
pt.ine.add.PTCONT.4392984,R JOSE RELVAS,418,2090-106,ALPIARÇA,-8.577309105243405,39.26618415194967
pt.ine.add.PTCONT.4392997,R PINHAL DA TORRE,26,2090-022,ALPIARÇA,-8.562305012595457,39.2721221742142
pt.ine.add.PTCONT.4393107,TV ARANHA MANUEL FERREIRA,,2090-216,ALPIARÇA,-8.584216307600796,39.2066822008678
pt.ine.add.PTCONT.4393122,R 1 MAIO,82,2090-216,ALPIARÇA,-8.600310357211896,39.21561712841097
pt.ine.add.PTCONT.4393151,R SOBREIROS,47,2090-217,ALPIARÇA,-8.560838375848565,39.18901680194589
pt.ine.add.PTCONT.4393269,R JOSE DO VALE,35,2090-219,ALPIARÇA,-8.604196491235548,39.2166913682181
pt.ine.add.PTCONT.4393287,R JOAQUIM NUNES FERREIRA,106,2090-100,ALPIARÇA,-8.576205215521691,39.26017148728856
