id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1979694,CC CRUZEIRO,,3250-021,ALMOSTER AVZ,-8.448840059589296,39.846113914207855
pt.ine.add.PTCONT.1979695,R S PEDRO,,3250-043,ALMOSTER AVZ,-8.437515423851925,39.84287485285208
pt.ine.add.PTCONT.1979696,R TABERNA,,3250-043,ALMOSTER AVZ,-8.435559451125167,39.841781185233614
pt.ine.add.PTCONT.1979697,R LOMBA,,3250-025,ALMOSTER AVZ,-8.442484086606326,39.82012946027898
pt.ine.add.PTCONT.1979698,R PROCISSAO,,3250-175,ALVAIÁZERE,-8.409725428791356,39.84424136848008
pt.ine.add.PTCONT.1979699,R ACÚRCIO LOPES,,3250-102,ALVAIÁZERE,-8.381558815771472,39.82570680971241
pt.ine.add.PTCONT.1979700,ESTR S BRÁS,22,3250-890,MAÇÃS DE DONA MARIA,-8.31016359708844,39.874859694250134
pt.ine.add.PTCONT.1979701,R PRINCIPAL EN110,,3250-293,MAÇÃS DE DONA MARIA,-8.352144505061474,39.876517239144654
pt.ine.add.PTCONT.1979702,TV CINCO VILAS,,3250-293,MAÇÃS DE DONA MARIA,-8.350662976519272,39.8774747036321
pt.ine.add.PTCONT.1979703,R PROF CALISTO CURADO,38,3250-294,MAÇÃS DE DONA MARIA,-8.331920398747966,39.88006615570964
pt.ine.add.PTCONT.1979704,TV FONTE GALEGA,29,3250-288,MAÇÃS DE DONA MARIA,-8.33626851906236,39.86799006499209
pt.ine.add.PTCONT.1979705,R VALE DO PAIO,7,3250-288,MAÇÃS DE DONA MARIA,-8.334948525923364,39.86824454845259
pt.ine.add.PTCONT.1979706,R ACÁCIAS,,3250-314,PELMÁ,-8.431249710306925,39.74476533015106
pt.ine.add.PTCONT.1979707,TV SAIBREIRO,23,3250-366,PUSSOS,-8.36005999391161,39.816726377059254
pt.ine.add.PTCONT.1979708,R S PEDRO,180,3250-410,REGO DA MURTA,-8.340579591243518,39.778070904190905
pt.ine.add.PTCONT.1979709,R NOSSA SRA AJUDA,81,3250-422,REGO DA MURTA,-8.36710027567506,39.774697054021495
pt.ine.add.PTCONT.1979710,R CAVALEIROS,54,3250-423,REGO DA MURTA,-8.383006918019138,39.767548728184764
pt.ine.add.PTCONT.1979711,R S PEDRO,77,3250-410,REGO DA MURTA,-8.337357241205874,39.769943713720906
pt.ine.add.PTCONT.1979714,R PRINCIPAL,,3250-167,ALVAIÁZERE,-8.374892613160624,39.82004682293395
pt.ine.add.PTCONT.1979715,R ALBERGARIA MAZANIS,118,3250-208,MAÇÃS DE CAMINHO,-8.387116938266447,39.847382276435454
pt.ine.add.PTCONT.1979716,BC RIBEIRO,9,3250-280,MAÇÃS DE DONA MARIA,-8.360489533158603,39.86199188563217
pt.ine.add.PTCONT.1979717,R PRINCIPAL,,3250-254,MAÇÃS DE DONA MARIA,-8.34673180189141,39.8612795127523
pt.ine.add.PTCONT.1979718,R CAPELA,,3250-321,PELMÁ,-8.421151692854428,39.79094033533454
pt.ine.add.PTCONT.1979719,R MERCADO,,3250-312,PELMÁ,-8.448684082504942,39.750699603901516
pt.ine.add.PTCONT.1979720,R S JOÃO BAPTISTA,,3250-312,PELMÁ,-8.449163003284164,39.75081538621028
pt.ine.add.PTCONT.1979721,R PORTELA DO MATO,13,3250-388,PUSSOS,-8.37700328845655,39.7992644545412
pt.ine.add.PTCONT.1979722,R JOSE RIBEIRO DE CARVALHO,72,3250-404,REGO DA MURTA,-8.346045350290016,39.80173913246004
pt.ine.add.PTCONT.1981470,R SAUDADE,19,3250-107,ALVAIÁZERE,-8.383023534497477,39.823758269370906
pt.ine.add.PTCONT.1981482,BC RIBEIRO,15,3250-280,MAÇÃS DE DONA MARIA,-8.360160223267696,39.86136208255739
pt.ine.add.PTCONT.1981641,R CIPRESTE,,3250-039,ALMOSTER AVZ,-8.461900958299944,39.838332112858964
pt.ine.add.PTCONT.1981751,R SANTO ANTÓNIO,12,3250-203,MAÇÃS DE CAMINHO,-8.389183442941357,39.85951837542893
pt.ine.add.PTCONT.1981801,R SAUDADE,19,3250-107,ALVAIÁZERE,-8.383023534497477,39.823758269370906
pt.ine.add.PTCONT.1981976,CC BICA,,3250-026,ALMOSTER AVZ,-8.455372564741259,39.82633584760561
pt.ine.add.PTCONT.1981977,R CALÇADA,,3250-172,ALVAIÁZERE,-8.355208595064994,39.84071995057459
pt.ine.add.PTCONT.1981978,R CARRASCAL,,3250-165,ALVAIÁZERE,-8.381168973844183,39.81149544010901
pt.ine.add.PTCONT.1981983,R BICA,,3250-104,ALVAIÁZERE,-8.381575979234668,39.82722886367952
pt.ine.add.PTCONT.1981984,R QUINTINHA,,3250-162,ALVAIÁZERE,-8.382749648129499,39.82876644749359
pt.ine.add.PTCONT.1981988,ESTR S TIAGO,,3250-022,ALMOSTER AVZ,-8.424101882739828,39.85931895260766
pt.ine.add.PTCONT.1981989,R CASAL AGOSTINHO ALVES,108,3250-274,MAÇÃS DE DONA MARIA,-8.327306676554825,39.88556785948768
pt.ine.add.PTCONT.1981996,R NSA SRA PENHA DE FRANCA,,3250-032,ALMOSTER AVZ,-8.460914286261385,39.8568700962344
pt.ine.add.PTCONT.1981997,R DR JOSE AUGUSTO MARTINS RANGEL,,3250-111,ALVAIÁZERE,-8.378574021689365,39.82396591021129
pt.ine.add.PTCONT.1982001,R LAGOA ZAMBUJAL,,3250-173,ALVAIÁZERE,-8.394266371487909,39.79763273801496
pt.ine.add.PTCONT.1982003,LG LAGOA,,3250-173,ALVAIÁZERE,-8.393006470402762,39.79482553872763
pt.ine.add.PTCONT.1982006,R PRINCIPAL,,3250-119,ALVAIÁZERE,-8.400999535994256,39.83874090595394
pt.ine.add.PTCONT.1982007,R TAPADA,77,3250-286,MAÇÃS DE DONA MARIA,-8.319680089933241,39.879744248731996
pt.ine.add.PTCONT.1982010,R CIPRESTE,,3250-039,ALMOSTER AVZ,-8.461476047232006,39.83742366740251
pt.ine.add.PTCONT.1982013,R ANDUREZA,,3250-039,ALMOSTER AVZ,-8.453943141158552,39.83293252231526
pt.ine.add.PTCONT.1982014,ESTR S BRÁS,6,3250-890,MAÇÃS DE DONA MARIA,-8.308970782013716,39.87465436203335
pt.ine.add.PTCONT.1982017,CC MOLEIROS,4,3250-203,MAÇÃS DE CAMINHO,-8.388350003896159,39.8585205016076
pt.ine.add.PTCONT.1982018,R PONTE VALE DE TABUAS,10,3250-291,MAÇÃS DE DONA MARIA,-8.339015019028775,39.89529254497509
pt.ine.add.PTCONT.1982021,R FONTE DO FREIXO,,3250-148,ALVAIÁZERE,-8.385701265964268,39.82774233012144
