id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.458914,PCT QUINTAES,27,4720-288,CARRAZEDO AMR,-8.377258987009494,41.629463275041694
pt.ine.add.PTCONT.459071,R FRANCISCO SANCHES,25,4720-081,FERREIROS AMR,-8.373365301998112,41.631209180716
pt.ine.add.PTCONT.459202,R NSA SRA DE FÁTIMA,3,4720-388,FERREIROS AMR,-8.372182701020774,41.62619661896852
pt.ine.add.PTCONT.459345,TV SERTAO,3,4720-338,FERREIROS AMR,-8.37015403909349,41.626011743514226
pt.ine.add.PTCONT.459346,R EUSEBIO EXPOSTO,2,4720-078,FERREIROS AMR,-8.367931955126858,41.62543106713947
pt.ine.add.PTCONT.459481,R ANTÓNIO AUGUSTO MACEDO,10,4720-068,FERREIROS AMR,-8.366201925791195,41.62485835471958
pt.ine.add.PTCONT.459482,PC COMÉRCIO,70B,4720-337,FERREIROS AMR,-8.36618502779633,41.62683018715979
pt.ine.add.PTCONT.459483,PC COMÉRCIO,70B,4720-337,FERREIROS AMR,-8.36618502779633,41.62683018715979
pt.ine.add.PTCONT.459484,R VASCONCELOS,28,4720-390,FERREIROS AMR,-8.35444531361481,41.6222435225695
pt.ine.add.PTCONT.459485,R SANTA LUZIA,2,4720-093,FERREIROS AMR,-8.354139148139156,41.62394580146222
pt.ine.add.PTCONT.459486,R NOVA DO ENTRONCAMENTO,1,4720-424,FIGUEIREDO AMR,-8.343127632349809,41.62888243634511
pt.ine.add.PTCONT.459632,R PENA,39,4720-453,FISCAL,-8.39034836863182,41.652808123980364
pt.ine.add.PTCONT.459630,R TRANSFONTAO,2,4720-404,FIGUEIREDO AMR,-8.325502955722117,41.626167173006976
pt.ine.add.PTCONT.459631,R GIESTEIRA,1,4720-447,FISCAL,-8.396370072733303,41.65459520972701
pt.ine.add.PTCONT.459725,AV SANTO ANTÓNIO,19,4720-463,FISCAL,-8.389046995903369,41.642483889927625
pt.ine.add.PTCONT.459726,TV COSTA,44,4720-486,GOÃES AMR,-8.307822599382403,41.655610246071056
pt.ine.add.PTCONT.459727,R COSTA,64,4720-486,GOÃES AMR,-8.308539645008794,41.654402671165165
pt.ine.add.PTCONT.459728,R SANTO ANTÓNIO,84,4720-500,GOÃES AMR,-8.314084689271334,41.65392588703786
pt.ine.add.PTCONT.459831,AV TELHEIRA,317,4720-529,LAGO,-8.409214358217206,41.61493110775273
pt.ine.add.PTCONT.459832,R PICOTO,287,4720-544,LAGO,-8.415491016157503,41.61259291755591
pt.ine.add.PTCONT.459833,URB VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459834,R URBANIZACAO VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459835,URB VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459836,URB VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459837,URB VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459838,URB VEIGA,66,4720-530,LAGO,-8.420538581356354,41.61184210824978
pt.ine.add.PTCONT.459839,AV ENTRE CAVADO E HOMEM,889,4720-536,LAGO,-8.420857781930453,41.61077887754001
pt.ine.add.PTCONT.459970,AV ENTRE CAVADO E HOMEM,,4720-536,LAGO,-8.42916015340773,41.60824577484376
pt.ine.add.PTCONT.459971,R CRUZEIRO DAS LAGES,755,4720-559,PARANHOS AMR,-8.33955408500799,41.674807298823424
pt.ine.add.PTCONT.459972,R CRUZEIRO DAS LAGES,479,4720-559,PARANHOS AMR,-8.342048988514348,41.673893429820254
pt.ine.add.PTCONT.459973,R POUSADELAS,268,4720-618,PROZELO AMR,-8.345174983940728,41.62011812791011
pt.ine.add.PTCONT.460159,AV COVA,727,4720-623,RENDUFE AMR,-8.416304299712955,41.63669366743396
pt.ine.add.PTCONT.460160,AV COVA,603,4720-623,RENDUFE AMR,-8.414937907543061,41.63711119222155
pt.ine.add.PTCONT.460161,R CARCAVELOS,208,4720-622,RENDUFE AMR,-8.39891890677195,41.63506050888636
pt.ine.add.PTCONT.460162,R S BRÁS,250,4720-624,RENDUFE AMR,-8.40114508466632,41.63068857873145
pt.ine.add.PTCONT.460163,R PICOTO,128,4720-628,RENDUFE AMR,-8.410325788166272,41.630720827588135
pt.ine.add.PTCONT.460164,R BOUCAS,311,4720-621,RENDUFE AMR,-8.412346355135092,41.62896923207613
pt.ine.add.PTCONT.460165,R ESCOLA,126,4720-009,RENDUFE AMR,-8.406979364279056,41.62830687093633
pt.ine.add.PTCONT.460387,R PASSOS,14,4720-790,AMARES,-8.349148812929933,41.63516481996798
pt.ine.add.PTCONT.460388,R DR DIAS PAREDES,11,4720-020,AMARES,-8.348858216845608,41.63079860289952
pt.ine.add.PTCONT.460389,R VINHA,15,4720-795,AMARES,-8.34603912085387,41.631127990227874
pt.ine.add.PTCONT.460390,R VINHA,8,4720-795,AMARES,-8.345916566738852,41.6303539042625
pt.ine.add.PTCONT.460391,TV 20 DE JANEIRO,14,4720-406,FIGUEIREDO AMR,-8.343839845213875,41.63016865355229
pt.ine.add.PTCONT.460392,R D MANUEL I,2,4720-117,AMARES,-8.346511222790022,41.62872314299036
pt.ine.add.PTCONT.460393,LOTEAM BELA VISTA,10,4720-792,AMARES,-8.34847726534051,41.62811623244038
pt.ine.add.PTCONT.460394,AV PARQUE DESPORTIVO,265,4720-124,RENDUFE AMR,-8.409027286523314,41.62733858446707
pt.ine.add.PTCONT.460395,R POCAS DE ALEM,210,4720-635,BOURO (SANTA MARIA),-8.269790332641954,41.673002677273786
pt.ine.add.PTCONT.460396,R VERDIAL,64,4720-148,BOURO (SANTA MARIA),-8.265335897490843,41.661636359635
pt.ine.add.PTCONT.460397,R CANO,120,4720-646,BOURO (SANTA MARIA),-8.273756856846303,41.6636611756776
pt.ine.add.PTCONT.460577,R ALDEAMENTO DO PARQUE,1,4720-113,AMARES,-8.345095776331203,41.628905834718545
pt.ine.add.PTCONT.460578,TV SOLAR DE S VERISSIMO,3,4720-427,FIGUEIREDO AMR,-8.342552280854573,41.62538106839457
pt.ine.add.PTCONT.460579,R GUIAMES,21,4720-785,AMARES,-8.356839170985795,41.6309274052692
pt.ine.add.PTCONT.460580,R GUIAMES,8,4720-785,AMARES,-8.355843391120409,41.631010371723605
pt.ine.add.PTCONT.460581,R DR ADOLFO VILELA,18,4720-019,AMARES,-8.348555291700674,41.629925818066134
pt.ine.add.PTCONT.460582,R DR ADOLFO VILELA,18,4720-019,AMARES,-8.348555291700674,41.629925818066134
pt.ine.add.PTCONT.460583,R PELOURINHO,,4720-679,BOURO (SANTA MARTA),-8.287971105679055,41.65786259544496
pt.ine.add.PTCONT.460584,R VEIGA,64,4720-715,SEQUEIROS AMR,-8.371411032791347,41.68708053684951
pt.ine.add.PTCONT.460585,TV CANCELA,5,4720-702,SEQUEIROS AMR,-8.3695443437353,41.68244756296808
pt.ine.add.PTCONT.460586,R AVELINO FARIA FERNANDES,21,4720-743,TORRE AMR,-8.390098142677529,41.66535968897698
pt.ine.add.PTCONT.460587,AV BAIRRO DE S MARIA,12,4720-004,TORRE AMR,-8.385276554518056,41.6605624539853
pt.ine.add.PTCONT.460760,R QUEIROES,214,4720-109,BARREIROS AMR,-8.401420218948722,41.61600299079126
pt.ine.add.PTCONT.460761,AV QUEIROES,213,4720-110,BARREIROS AMR,-8.404524051041454,41.61513135365899
pt.ine.add.PTCONT.460762,R 1 DO LOTEAMENTO DO CARVALHÔ,223,4720-100,BESTEIROS AMR,-8.371992495813863,41.633183837594004
pt.ine.add.PTCONT.460910,R BAIXIA,3,4720-174,BICO AMR,-8.401409046754502,41.64803793976099
pt.ine.add.PTCONT.460911,R MONTE,10,4720-167,BICO AMR,-8.404580842154822,41.64583361218449
pt.ine.add.PTCONT.460912,R VILA MEA,50,4720-170,BICO AMR,-8.39875623932283,41.642209760722224
pt.ine.add.PTCONT.460913,R RUIVO,7,4720-170,BICO AMR,-8.396201994228544,41.64279186661223
pt.ine.add.PTCONT.460914,R CASTANHEIRA,39,4720-162,BICO AMR,-8.412182037617445,41.640953457959775
pt.ine.add.PTCONT.461033,R S PEDRO FINS,97,4720-201,CAIRES,-8.351117299414705,41.64947685923988
pt.ine.add.PTCONT.461034,R NSA SRA DA GUIA,5,4720-222,CAIRES,-8.351871929293916,41.638346954472944
pt.ine.add.PTCONT.461035,AV AFONSO MANUEL PEREIRA DE AZEVEDO,110,4720-249,CALDELAS,-8.369710501866553,41.6687888109896
pt.ine.add.PTCONT.461036,R ESPORÕES,8,4720-254,CALDELAS,-8.376831399984217,41.67204222918464
pt.ine.add.PTCONT.461150,R VISC DE SEMELHE,1111,4720-243,CALDELAS,-8.378991356224164,41.67163246796997
pt.ine.add.PTCONT.461258,PC COMÉRCIO,70B,4720-337,FERREIROS AMR,-8.36618502779633,41.62683018715979
pt.ine.add.PTCONT.461262,R PASSOS,28,4720-790,AMARES,-8.3491315141551,41.637172661901154
pt.ine.add.PTCONT.461279,AV S TIAGO,450,4720-498,GOÃES AMR,-8.316698059356904,41.65683890961087
pt.ine.add.PTCONT.461311,R PONTELHA,21,4720-239,CAIRES,-8.350473130559577,41.63997026048655
pt.ine.add.PTCONT.461368,R CRUZES,309,4720-535,LAGO,-8.412793603457192,41.62138707842398
pt.ine.add.PTCONT.461369,R REAL,505,4720-726,SERAMIL,-8.31573192253931,41.67182241854275
pt.ine.add.PTCONT.461438,R S PEDRO FINS,18,4720-201,CAIRES,-8.359740564721045,41.636981166447605
pt.ine.add.PTCONT.461460,AV PAREDES,25,4720-287,CARRAZEDO AMR,-8.380709824611657,41.63121160323677
pt.ine.add.PTCONT.461475,R EUSEBIO EXPOSTO,2,4720-078,FERREIROS AMR,-8.367931955126858,41.62543106713947
pt.ine.add.PTCONT.461624,R MONTE DE RABADAS,86,4720-608,PROZELO AMR,-8.346033200934084,41.62203431977584
pt.ine.add.PTCONT.461625,R MONTE DE RABADAS,86,4720-608,PROZELO AMR,-8.346033200934084,41.62203431977584
pt.ine.add.PTCONT.461770,R S SEBASTIÃO,7,4720-426,FIGUEIREDO AMR,-8.338587593781174,41.63143867119951
pt.ine.add.PTCONT.461771,URB 25 DE ABRIL,65,4720-536,LAGO,-8.413634874281918,41.613389783936846
pt.ine.add.PTCONT.461772,R CERCA,17,4720-173,BICO AMR,-8.400871261089765,41.63991793451048
pt.ine.add.PTCONT.461773,R 20 JANEIRO,38,4720-406,FIGUEIREDO AMR,-8.338794727379517,41.632419697207354
pt.ine.add.PTCONT.461774,R SENHOR DO EMIGRANTE,11,4720-402,FIGUEIREDO AMR,-8.323204855786326,41.6281698054833
pt.ine.add.PTCONT.461775,TV BAIRRO NOVO,1,4720-428,FIGUEIREDO AMR,-8.329386650503322,41.63267024049601
pt.ine.add.PTCONT.461776,R LOUREDO,46,4720-556,PARANHOS AMR,-8.355257120491286,41.66996110915998
pt.ine.add.PTCONT.461777,R BARREIRO,110,4720-245,CALDELAS,-8.372385230252204,41.66473166288563
