id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.289786,R ALÉM DO RIO,,3780-566,VILA NOVA DE MONSARROS,-8.39684000963553,40.41544864326228
pt.ine.add.PTCONT.289787,R IGREJA,,3780-566,VILA NOVA DE MONSARROS,-8.398042842874371,40.40970936465934
pt.ine.add.PTCONT.289788,R S SIMAO,29,3780-173,SÃO LOURENÇO DO BAIRRO,-8.45571351034938,40.4393732025886
pt.ine.add.PTCONT.289789,R QUINTA DOS MATOS,27,3780-195,SÃO LOURENÇO DO BAIRRO,-8.527650618862749,40.44057983601053
pt.ine.add.PTCONT.289790,R PRINCIPAL,41,3780-194,SÃO LOURENÇO DO BAIRRO,-8.524054458530635,40.444428385421965
pt.ine.add.PTCONT.289791,R BARRIO,2,3780-177,SÃO LOURENÇO DO BAIRRO,-8.514868241420059,40.43330129435262
pt.ine.add.PTCONT.289792,R ESCOLA,5,3780-191,SÃO LOURENÇO DO BAIRRO,-8.501433731996775,40.43990087135445
pt.ine.add.PTCONT.289793,R ESCOLA,13,3780-191,SÃO LOURENÇO DO BAIRRO,-8.498618102803418,40.43848227375749
pt.ine.add.PTCONT.289794,R DALIAS,10,3780-542,TAMENGOS,-8.48852084374893,40.41846317072601
pt.ine.add.PTCONT.289795,R ULMEIROS,12,3780-550,TAMENGOS,-8.471741167402234,40.425276675431355
pt.ine.add.PTCONT.289796,TV LAMEIRINHAS,8,3780-177,SÃO LOURENÇO DO BAIRRO,-8.523978830348012,40.43340593328059
pt.ine.add.PTCONT.289797,R CAMELIAS,99,3780-544,TAMENGOS,-8.464343066023128,40.41850794818914
pt.ine.add.PTCONT.289798,R DR MANUEL JOAQUIM PIRES,6,3780-599,VILARINHO DO BAIRRO,-8.531713779071646,40.42207762515621
pt.ine.add.PTCONT.289799,R S MARTINHO,,3780-563,VILA NOVA DE MONSARROS,-8.420620001616413,40.42183991380013
