id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1979737,,,3240-690,SANTIAGO DA GUARDA,-8.48171841511274,39.947449061727234
pt.ine.add.PTCONT.1979922,,,3240-501,CHÃO DE COUCE,-8.39464213645185,39.89365836851525
pt.ine.add.PTCONT.1979712,,,3240-402,ALVORGE,-8.453980136055655,39.97874474803702
pt.ine.add.PTCONT.1979713,,,3240-414,ALVORGE,-8.451979571981921,39.97398598294989
pt.ine.add.PTCONT.1979723,R SEM NOME,,3240-416,ALVORGE,-8.468355469970517,39.98341430651108
pt.ine.add.PTCONT.1979724,R SEM NOME,,3240-410,ALVORGE,-8.51933219297169,39.967125551126315
pt.ine.add.PTCONT.1979725,R PRINCIPAL,,3240-227,ANSIÃO,-8.43773797875231,39.94072820442591
pt.ine.add.PTCONT.1979726,R FERNANDO JOSE DA SILVA,,3240-124,ANSIÃO,-8.436395305375848,39.92017037598343
pt.ine.add.PTCONT.1979727,R ALM GAGO COUTINHO,7,3240-137,ANSIÃO,-8.435778397897261,39.91022902307613
pt.ine.add.PTCONT.1979728,URB QUINTA DA FONTE,,3240-136,ANSIÃO,-8.434054663928615,39.90918877646912
pt.ine.add.PTCONT.1979729,URB ANTÓNIO RODRIGUES,11,3240-156,ANSIÃO,-8.435174107973749,39.90578147666442
pt.ine.add.PTCONT.1979730,R BARROCO,1612,3240-354,AVELAR,-8.352960433911568,39.93432735679786
pt.ine.add.PTCONT.1979731,R RAPOULA,909,3240-354,AVELAR,-8.359183282717801,39.930424672246716
pt.ine.add.PTCONT.1979732,R SERNADA,61,3240-306,AVELAR,-8.354472974129344,39.917203497454274
pt.ine.add.PTCONT.1979733,R SANTO AMARO,,3240-305,AVELAR,-8.352103505646474,39.91506449287144
pt.ine.add.PTCONT.1979734,R IGREJA,,3240-564,LAGARTEIRA,-8.405018041397563,39.954021744859936
pt.ine.add.PTCONT.1979735,,,3240-656,SANTIAGO DA GUARDA,-8.457712246243752,39.95349891089392
pt.ine.add.PTCONT.1979736,,,3240-690,SANTIAGO DA GUARDA,-8.48171841511274,39.947449061727234
pt.ine.add.PTCONT.1979738,R ALTO,,3240-662,SANTIAGO DA GUARDA,-8.47713609237358,39.94603976178148
pt.ine.add.PTCONT.1979739,,,3240-693,SANTIAGO DA GUARDA,-8.476239773254601,39.932920290499375
pt.ine.add.PTCONT.1979740,,,3240-694,SANTIAGO DA GUARDA,-8.469832242330053,39.92647256616317
pt.ine.add.PTCONT.1979741,R PRINCIPAL,,3240-673,SANTIAGO DA GUARDA,-8.506095048121232,39.93714209499327
pt.ine.add.PTCONT.1979742,,,3240-680,SANTIAGO DA GUARDA,-8.478155483751864,39.90204101432567
pt.ine.add.PTCONT.1979743,,,3240-680,SANTIAGO DA GUARDA,-8.478180316504648,39.90232914274629
pt.ine.add.PTCONT.1979744,R PRI NCI,,3240-681,SANTIAGO DA GUARDA,-8.493147667854545,39.90220258367596
pt.ine.add.PTCONT.1979962,R LAGOA,,3240-673,SANTIAGO DA GUARDA,-8.5000773408375,39.93418922968998
pt.ine.add.PTCONT.1979913,R ESCOLA,,3240-234,ANSIÃO,-8.444210839402004,39.92579661801698
pt.ine.add.PTCONT.1979914,AV LUIS DE CAMÕES,,3240-141,ANSIÃO,-8.433676091985317,39.913548814752446
pt.ine.add.PTCONT.1979915,R PRINCIPAL,,3240-223,ANSIÃO,-8.46621557945123,39.90432750563115
pt.ine.add.PTCONT.1979916,R 25 ABRIL,60,3240-152,ANSIÃO,-8.433946068003833,39.91109839741083
pt.ine.add.PTCONT.1979917,R LEVEGADAS,71,3240-322,AVELAR,-8.360192335552481,39.924244378870206
pt.ine.add.PTCONT.1979918,R FLORES,64,3240-319,AVELAR,-8.36144907666267,39.922260523566756
pt.ine.add.PTCONT.1979919,R FLORES,,3240-319,AVELAR,-8.361708179861559,39.92279138515814
pt.ine.add.PTCONT.1979920,LG 12 DE NOVEMBRO,93,3240-316,AVELAR,-8.360591045870608,39.92101033316195
pt.ine.add.PTCONT.1979921,R SEM NOME,,3240-451,CHÃO DE COUCE,-8.409322753308444,39.90990778405892
pt.ine.add.PTCONT.1979923,R PRINCIPAL,,3240-461,CHÃO DE COUCE,-8.419285267671514,39.88982651846731
pt.ine.add.PTCONT.1979924,,,3240-561,LAGARTEIRA,-8.405023513417717,39.94653753120905
pt.ine.add.PTCONT.1979925,R DO NABÃO,,3240-590,POUSAFLORES,-8.469182137141333,39.86524939720364
pt.ine.add.PTCONT.1979926,,,3240-586,POUSAFLORES,-8.426498070150231,39.87314672597321
pt.ine.add.PTCONT.1979927,R PRINCIPAL,,3240-594,POUSAFLORES,-8.43219796318601,39.872168486214605
pt.ine.add.PTCONT.1979928,R FREIXO,,3240-596,POUSAFLORES,-8.390628029396527,39.877059620952174
pt.ine.add.PTCONT.1979929,R TILIAS,,3240-610,POUSAFLORES,-8.3952791944283,39.867520449867946
pt.ine.add.PTCONT.1979930,,,3240-603,POUSAFLORES,-8.377009794761221,39.86716402253728
pt.ine.add.PTCONT.1979959,,,3240-665,SANTIAGO DA GUARDA,-8.497747558750252,39.96253023340984
pt.ine.add.PTCONT.1979960,R SEM NOME,,3240-679,SANTIAGO DA GUARDA,-8.525497111269834,39.94808369442972
pt.ine.add.PTCONT.1979961,R OUTEIRO,,3240-672,SANTIAGO DA GUARDA,-8.479239726477937,39.92462559540691
pt.ine.add.PTCONT.1979963,R FUNDO,,3240-675,SANTIAGO DA GUARDA,-8.487486381834694,39.92913985124314
pt.ine.add.PTCONT.2007164,,,3240-671,SANTIAGO DA GUARDA,-8.490212829333052,39.94953967697205
pt.ine.add.PTCONT.1981471,SIT MONTINHOS,,3240-486,CHÃO DE COUCE,-8.381698987664155,39.90343169602327
pt.ine.add.PTCONT.1981673,R MO,,3240-471,CHÃO DE COUCE,-8.366222773773561,39.8915754623818
pt.ine.add.PTCONT.1981484,AV LUIS DE CAMÕES,,3240-141,ANSIÃO,-8.432679184683057,39.912911946257516
pt.ine.add.PTCONT.1981570,R GATINA,,3240-230,ANSIÃO,-8.432281323812404,39.910175053666265
pt.ine.add.PTCONT.1981575,R FREIXO,,3240-707,TORRE DE VALE DE TODOS,-8.45175617996289,39.95360549699595
pt.ine.add.PTCONT.1981624,,,3240-683,SANTIAGO DA GUARDA,-8.489524203424587,39.96566295525432
pt.ine.add.PTCONT.1981656,ESTR PRINCIPAL,,3240-673,SANTIAGO DA GUARDA,-8.503217025126972,39.93716032404137
pt.ine.add.PTCONT.1981672,R DR JOÃO PAIS,18,3240-464,CHÃO DE COUCE,-8.369559599678484,39.892919660318235
pt.ine.add.PTCONT.1981698,URB ALBERMAR,,3240-472,CHÃO DE COUCE,-8.367878333604402,39.89362557132247
pt.ine.add.PTCONT.1982358,R SEM NOME,,3240-679,SANTIAGO DA GUARDA,-8.525794200294712,39.94478640290417
pt.ine.add.PTCONT.1982359,R PRINCIPAL,,3240-652,SANTIAGO DA GUARDA,-8.467480612863172,39.91437491013717
pt.ine.add.PTCONT.1981752,R CASAL SANTO ANTÓNIO,,3240-351,AVELAR,-8.346533860351988,39.92560325632033
pt.ine.add.PTCONT.1982120,R JERONIMO SOARES BARBOSA,,3240-139,ANSIÃO,-8.434245154948556,39.907287948489945
pt.ine.add.PTCONT.1982121,R CASTELO,94,3240-334,AVELAR,-8.355747163142404,39.92420796756974
pt.ine.add.PTCONT.1982124,R LOMBAS,112,3240-304,AVELAR,-8.354476696276826,39.91472675290781
pt.ine.add.PTCONT.1982127,,,3240-202,ANSIÃO,-8.43751336038399,39.91907768379617
pt.ine.add.PTCONT.1982128,PC COSTA REGO,140,3240-315,AVELAR,-8.357474120542136,39.922898724493756
pt.ine.add.PTCONT.1982129,,,3240-412,ALVORGE,-8.43015835164331,39.99801845853628
pt.ine.add.PTCONT.1982130,,,3240-403,ALVORGE,-8.41212746830986,39.98715677016617
pt.ine.add.PTCONT.1982131,,,3240-202,ANSIÃO,-8.437425704558432,39.917771999873366
pt.ine.add.PTCONT.1982132,URB JOSE MACHADO,,3240-502,CHÃO DE COUCE,-8.364637150391708,39.903331919694786
pt.ine.add.PTCONT.1982135,,,3240-422,ALVORGE,-8.44282586645746,39.98184620471257
pt.ine.add.PTCONT.1982136,R FUNDO DO LUGAR,,3240-227,ANSIÃO,-8.435755373022403,39.93953556274768
pt.ine.add.PTCONT.1982137,R ENCOSTA DO FURADOURO,,3240-477,CHÃO DE COUCE,-8.372948346502113,39.88899493752997
pt.ine.add.PTCONT.1982138,R LAMEIRAO,279,3240-480,CHÃO DE COUCE,-8.369045802152222,39.903341046793834
pt.ine.add.PTCONT.1982141,R NOSSA SENORA DA PAZ,,3240-215,ANSIÃO,-8.429050815206004,39.93129411277355
