id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5137034,,,4970-555,SÃO COSME E SÃO DAMIÃO,-8.432214476847063,41.89985922133179
pt.ine.add.PTCONT.5137189,,,4970-701,VALE AVV,-8.384711951620135,41.84521532071216
pt.ine.add.PTCONT.5137481,,,4970-381,SABADIM,-8.455735771889525,41.90659296527009
pt.ine.add.PTCONT.5137505,,,4970-064,ALVORA,-8.445063668686977,41.9375663589338
pt.ine.add.PTCONT.5137506,,,4970-105,CARRALCOVA,-8.361543369181584,41.888587454006796
pt.ine.add.PTCONT.5134735,,,4970-032,AGUIÃ,-8.444415519711306,41.87864220613511
pt.ine.add.PTCONT.5134736,,,4970-046,AGUIÃ,-8.441261688338471,41.876651991857486
pt.ine.add.PTCONT.5134737,,,4970-066,ALVORA,-8.436933889522091,41.95225427080143
pt.ine.add.PTCONT.5134806,,,4970-097,CABANA MAIOR,-8.346649226327646,41.869979391136255
pt.ine.add.PTCONT.5134807,,,4970-100,CABREIRO,-8.395399127841385,41.95589489785598
pt.ine.add.PTCONT.5134808,,,4970-100,CABREIRO,-8.391882797269085,41.94238016807143
pt.ine.add.PTCONT.5134809,,,4970-100,CABREIRO,-8.419188097350483,41.93781380776078
pt.ine.add.PTCONT.5134810,,,4970-528,TÁVORA (SANTA MARIA),-8.460481902349109,41.82111155748056
pt.ine.add.PTCONT.5134811,,,4970-524,TÁVORA (SANTA MARIA),-8.469135646297042,41.81644985230497
pt.ine.add.PTCONT.5134812,,,4970-532,TÁVORA (SANTA MARIA),-8.454414937096933,41.81374595208334
pt.ine.add.PTCONT.5134813,,,4970-516,TÁVORA (SANTA MARIA),-8.469745647247215,41.81112709205025
pt.ine.add.PTCONT.5134814,,,4970-522,TÁVORA (SANTA MARIA),-8.458303299266214,41.80920632758038
pt.ine.add.PTCONT.5134815,,,4970-542,TÁVORA (SANTA MARIA),-8.47062814099207,41.80959393373208
pt.ine.add.PTCONT.5138202,,,4970-555,SÃO COSME E SÃO DAMIÃO,-8.433232959466306,41.90632986770906
pt.ine.add.PTCONT.5138359,,,4970-680,SOUTO AVV,-8.434149360463818,41.81398091548928
pt.ine.add.PTCONT.5138360,,,4970-680,SOUTO AVV,-8.443612946361712,41.80985920248028
pt.ine.add.PTCONT.5138644,,,4970-100,CABREIRO,-8.403175059393076,41.934998588470236
pt.ine.add.PTCONT.5138645,,,4970-150,GAVIEIRA,-8.23958260245409,41.93823787089573
pt.ine.add.PTCONT.5138646,,,4970-150,GAVIEIRA,-8.239643492944227,41.93859794082736
pt.ine.add.PTCONT.5138647,,,4970-183,GONDORIZ AVV,-8.419864460413299,41.89228300688126
pt.ine.add.PTCONT.5138648,,,4970-200,LOUREDA,-8.440173492632901,41.941207808943055
pt.ine.add.PTCONT.5138649,,,4970-200,LOUREDA,-8.436803965599049,41.94012739028592
pt.ine.add.PTCONT.5138650,,,4970-105,CARRALCOVA,-8.367370538770853,41.90384517643002
pt.ine.add.PTCONT.5138651,,,4970-215,MIRANDA,-8.520623128202871,41.83246666242992
pt.ine.add.PTCONT.5135188,,,4970-166,GONDORIZ AVV,-8.407550980286851,41.903819201378155
pt.ine.add.PTCONT.5135189,,,4970-640,SENHAREI,-8.500305118306109,41.87715363209837
pt.ine.add.PTCONT.5135190,,,4970-645,SISTELO,-8.373410721616382,41.971896541773745
pt.ine.add.PTCONT.5135191,,,4970-645,SISTELO,-8.374063323336369,41.97219227626806
pt.ine.add.PTCONT.5135192,,,4970-651,SOAJO,-8.249763598198726,41.91387437829079
pt.ine.add.PTCONT.5135193,,,4970-660,SOAJO,-8.26489361174326,41.87414476691563
pt.ine.add.PTCONT.5135194,,,4970-665,SOAJO,-8.263856651492809,41.873659776034955
pt.ine.add.PTCONT.5138652,,,4970-215,MIRANDA,-8.514956179736123,41.832989826239185
pt.ine.add.PTCONT.5138653,,,4970-225,OLIVEIRA AVV,-8.398807876216868,41.83556804802539
pt.ine.add.PTCONT.5138654,,,4970-171,GONDORIZ AVV,-8.411297415495156,41.88677609792872
pt.ine.add.PTCONT.5138679,,,4970-048,AGUIÃ,-8.438518690414439,41.890065135213625
pt.ine.add.PTCONT.5138680,,,4970-123,CENDUFE,-8.500965173694034,41.81575811317094
pt.ine.add.PTCONT.5138681,,,4970-312,RIO FRIO AVV,-8.456407219457667,41.86049452656903
pt.ine.add.PTCONT.5138682,,,4970-241,ARCOS DE VALDEVEZ,-8.40711746290666,41.83056068876944
pt.ine.add.PTCONT.5138683,,,4970-314,RIO FRIO AVV,-8.471971640428913,41.86811143478767
pt.ine.add.PTCONT.5138684,,,4970-318,RIO FRIO AVV,-8.474383609845612,41.86187403717959
pt.ine.add.PTCONT.5138685,,,4970-325,RIO FRIO AVV,-8.482454175580594,41.85987805730068
pt.ine.add.PTCONT.5135804,,,4970-685,TABAÇÔ,-8.43875966585279,41.82683450413733
pt.ine.add.PTCONT.5135832,,,4970-550,SANTAR AVV,-8.428890464519867,41.819288540756745
pt.ine.add.PTCONT.5135833,,,4970-670,SOAJO,-8.21916449591426,41.899739336352575
pt.ine.add.PTCONT.5135834,,,4970-685,TABAÇÔ,-8.433569253996504,41.8237600572755
pt.ine.add.PTCONT.5135835,,,4970-748,ARCOS DE VALDEVEZ,-8.4269863197868,41.85032784339433
pt.ine.add.PTCONT.5135836,,,4970-748,ARCOS DE VALDEVEZ,-8.4269863197868,41.85032784339433
pt.ine.add.PTCONT.5138686,,,4970-355,RIO DE MOINHOS AVV,-8.447145488900263,41.8949036071885
pt.ine.add.PTCONT.5139179,,,4970-564,SÃO JORGE AVV,-8.37450040257925,41.82572705197753
pt.ine.add.PTCONT.5135959,,,4970-574,SÃO JORGE AVV,-8.37451128703349,41.82221572921867
pt.ine.add.PTCONT.5135960,,,4970-577,SÃO JORGE AVV,-8.354636755789292,41.82501980083004
pt.ine.add.PTCONT.5135961,,,4970-651,SOAJO,-8.24975951632444,41.91163258555522
pt.ine.add.PTCONT.5135962,,,4970-672,SOAJO,-8.298148635005735,41.8724001766527
pt.ine.add.PTCONT.5135963,,,4970-680,SOUTO AVV,-8.447229723887444,41.81612470021076
pt.ine.add.PTCONT.5139467,,,4970-651,SOAJO,-8.251208506830988,41.91304460701319
pt.ine.add.PTCONT.5139468,,,4970-714,VALE AVV,-8.386952413847945,41.851530703290706
pt.ine.add.PTCONT.5139756,,,4970-246,ARCOS DE VALDEVEZ,-8.410686798962676,41.82918361398423
pt.ine.add.PTCONT.5139757,,,4970-080,ÁZERE AVV,-8.395843358197597,41.86427735775846
pt.ine.add.PTCONT.5136276,,,4970-100,CABREIRO,-8.402328859361171,41.93735039904244
pt.ine.add.PTCONT.5136277,,,4970-150,GAVIEIRA,-8.25861586603582,41.97171030072881
pt.ine.add.PTCONT.5139806,,,4970-285,PROZELO AVV,-8.43289096161793,41.87185740871875
pt.ine.add.PTCONT.5139831,,,4970-342,RIO DE MOINHOS AVV,-8.441902266347626,41.8971056067383
pt.ine.add.PTCONT.5140484,,,4970-577,SÃO JORGE AVV,-8.351832559632577,41.82514221793351
pt.ine.add.PTCONT.5136321,FRACAO 4,,4970-272,ARCOS DE VALDEVEZ,-8.427138318184664,41.85985292447857
pt.ine.add.PTCONT.5136322,,,4970-115,CENDUFE,-8.5132957002959,41.82295663977322
pt.ine.add.PTCONT.5136323,,,4970-220,MONTE REDONDO AVV,-8.451311280788788,41.8383246601715
pt.ine.add.PTCONT.5136324,,,4970-285,PROZELO AVV,-8.42989395049284,41.869767434186805
pt.ine.add.PTCONT.5136325,,,4970-285,PROZELO AVV,-8.424301656612405,41.866396523662694
pt.ine.add.PTCONT.5136326,,,4970-285,PROZELO AVV,-8.42937523014048,41.86177387600582
pt.ine.add.PTCONT.5136327,,,4970-326,RIO FRIO AVV,-8.482031137382462,41.86402984783834
pt.ine.add.PTCONT.5136328,,,4970-319,RIO FRIO AVV,-8.477961172326678,41.83731139679587
pt.ine.add.PTCONT.5136329,,,4970-321,RIO FRIO AVV,-8.46428314415918,41.862713899811986
pt.ine.add.PTCONT.5136330,,,4970-017,ABOIM DAS CHOÇAS,-8.447288398529919,41.92159768829301
pt.ine.add.PTCONT.5136331,,,4970-205,JOLDA (MADALENA),-8.505642138427204,41.80040134002427
pt.ine.add.PTCONT.5136332,,,4970-285,PROZELO AVV,-8.440479921407954,41.866858548118095
pt.ine.add.PTCONT.5136333,,,4970-311,RIO FRIO AVV,-8.47593301117628,41.86107713544654
