id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5427430,R VITORINO ANTONIO VASCONCELOS SN,SN,5110-012,ALDEIAS AMM,-7.718752212505213,41.11179361045601
pt.ine.add.PTCONT.5427431,QLHA EIRA,1,5110-051,ARICERA,-7.655453502589642,41.09809595439222
pt.ine.add.PTCONT.5427432,,,5110-051,ARICERA,-7.655517908608541,41.097420888418725
pt.ine.add.PTCONT.5427433,R JASMIM,24,5110-135,ARMAMAR,-7.694422920996846,41.10910126312309
pt.ine.add.PTCONT.5427519,R DR FAUSTO JOSE,,5110-098,ARMAMAR,-7.689333733782584,41.1081723259407
pt.ine.add.PTCONT.5427520,R OUTEIRO,15,5110-166,ARMAMAR,-7.6866209365226945,41.09388080348556
pt.ine.add.PTCONT.5427521,AV NSA SRA DAS NEVES,6,5110-166,ARMAMAR,-7.685194999641761,41.093533099977265
pt.ine.add.PTCONT.5427522,R FORNO,14,5110-166,ARMAMAR,-7.684290854742356,41.091719686706384
pt.ine.add.PTCONT.5427523,R EX-COMBATENTES,,5110-167,CIMBRES,-7.701445626229789,41.052930869957684
pt.ine.add.PTCONT.5427613,TRAS DO ADRO,,5110-204,FOLGOSA,-7.679392189670846,41.14977893179877
pt.ine.add.PTCONT.5427614,BR S BARBARA,28,5110-204,FOLGOSA,-7.67701191449558,41.151174212129845
pt.ine.add.PTCONT.5427727,AV RIBEIRO DE ALMEIDA,80,5110-301,FONTELO,-7.7332448221569905,41.11713041914234
pt.ine.add.PTCONT.5427728,R PELOURINHO,33,5110-318,FONTELO,-7.7292551558791,41.11922353719471
pt.ine.add.PTCONT.5427729,R POÇO,12,5110-436,QUEIMADA,-7.738031228780773,41.09728314120213
pt.ine.add.PTCONT.5427814,TV CALÇADA,3,5110-420,QUEIMADA,-7.737690581432055,41.096525598492896
pt.ine.add.PTCONT.5427815,R PENDAO,16,5110-466,QUEIMADELA AMM,-7.748574635993589,41.08754896862074
pt.ine.add.PTCONT.5427816,R PADRE JOÃO DUARTE DE CARVALHO,,5110-503,SANTA CRUZ AMM,-7.6840467573204485,41.07162976414985
pt.ine.add.PTCONT.5427817,QLHA CASAL,,5110-525,SANTIAGO AMM,-7.705521508107725,41.077447305855124
pt.ine.add.PTCONT.5427818,R SERRADOURO,,5110-528,SANTIAGO AMM,-7.690782179093125,41.07859826974871
pt.ine.add.PTCONT.5427819,R CORREDOURA,6,5110-549,SANTO ADRIÃO,-7.637367167673862,41.1257081291849
pt.ine.add.PTCONT.5427922,,,5110-590,SÃO COSMADO,-7.641779805459178,41.05452885624321
pt.ine.add.PTCONT.5428027,QTA CHAS,,5110-590,SÃO COSMADO,-7.642195442547045,41.070621654319815
pt.ine.add.PTCONT.5428028,R BALCÃO,11,5110-616,SÃO MARTINHO DAS CHÃS,-7.670105525679423,41.0795705675257
pt.ine.add.PTCONT.5428029,EM 545,1,5110-632,SÃO ROMÃO AMM,-7.707165508287866,41.095588388640984
pt.ine.add.PTCONT.5428030,R S GONÇALO,,5110-632,SÃO ROMÃO AMM,-7.706387384685773,41.09259603080192
pt.ine.add.PTCONT.5428031,R CABO,,5110-642,TÕES,-7.71780285283277,41.09618549725789
pt.ine.add.PTCONT.5428141,R NSA SRA DA GRAÇA,,5110-662,VACALAR,-7.689306103912517,41.1317187536358
pt.ine.add.PTCONT.5428142,R PIAL DA MOREIRA,,5110-662,VACALAR,-7.687843608512387,41.13137094331916
pt.ine.add.PTCONT.5428143,R PIAL DA MOREIRA,,5110-662,VACALAR,-7.688033725765663,41.13143470873165
pt.ine.add.PTCONT.5428144,R REMIGIO,5,5110-673,VILA SECA AMM,-7.665513322387572,41.12304344860857
pt.ine.add.PTCONT.5428145,LG TERREIRO,13,5110-673,VILA SECA AMM,-7.665657233579947,41.12289996219081
pt.ine.add.PTCONT.5428146,R S JOÃO,,5110-673,VILA SECA AMM,-7.659914637772194,41.12166992844109
pt.ine.add.PTCONT.5428579,R CANDEEIRA,2,5110-590,SÃO COSMADO,-7.644618371446703,41.06316723241349
pt.ine.add.PTCONT.5428595,R FONTE,,5110-642,TÕES,-7.71762193026251,41.09656303198069
pt.ine.add.PTCONT.5428601,R JOSÉ RODRIGUES CARDOSO,,5110-673,VILA SECA AMM,-7.666708334570126,41.12244499773338
pt.ine.add.PTCONT.5428615,R LAJES,123,5110-271,FONTELO,-7.730334635866377,41.12378355007507
pt.ine.add.PTCONT.5428664,PC REPUBLICA,6,5110-127,ARMAMAR,-7.692636879884456,41.10913947091729
pt.ine.add.PTCONT.5428796,R BALCAO,,5110-616,SÃO MARTINHO DAS CHÃS,-7.670950079648091,41.07961898028769
pt.ine.add.PTCONT.5428816,QTA RAPOSEIRA,,5110-022,ALDEIAS AMM,-7.72142458156423,41.11853849919994
pt.ine.add.PTCONT.5428817,R D AFONSO I,2 6,5110-321,FONTELO,-7.729815272450912,41.11914445950658
pt.ine.add.PTCONT.5428818,R D AFONSO I,51,5110-321,FONTELO,-7.729837763341324,41.119360644273925
pt.ine.add.PTCONT.5428819,R CABO,,5110-642,TÕES,-7.7173613764534315,41.09635498973213
pt.ine.add.PTCONT.5428827,ESTR BARREIRA,448,5110-302,FONTELO,-7.728973976404643,41.11847518444199
pt.ine.add.PTCONT.5428828,R BOLA,1,5110-454,QUEIMADELA AMM,-7.744110068780532,41.087813121434706
pt.ine.add.PTCONT.5428829,R BOLA,5,5110-454,QUEIMADELA AMM,-7.743630034303278,41.08848683501844
pt.ine.add.PTCONT.5428837,,,5110-152,ARMAMAR,-7.686248067708513,41.096211510308564
pt.ine.add.PTCONT.5428842,LG BAIRRO NOVO,,5110-167,CIMBRES,-7.700792295534587,41.05279335320445
pt.ine.add.PTCONT.5428843,BR PITINHAS,,5110-590,SÃO COSMADO,-7.646593135431129,41.06318459095552
