id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.289812,,,4540-043,ALVARENGA ARC,-8.152507546308298,40.96578952982539
pt.ine.add.PTCONT.289817,,,4540-013,ALBERGARIA DA SERRA,-8.282015798068999,40.86440040476842
pt.ine.add.PTCONT.289818,,,4540-013,ALBERGARIA DA SERRA,-8.284495551494345,40.86472135135125
pt.ine.add.PTCONT.289820,,,4540-028,ALVARENGA ARC,-8.166362822352239,40.97333229068477
pt.ine.add.PTCONT.289824,,,4540-049,ALVARENGA ARC,-8.170317969709782,40.971241996478824
pt.ine.add.PTCONT.289825,ESTR BURGO,,4540-230,BURGO,-8.261584554434252,40.928773232304344
pt.ine.add.PTCONT.289826,R MERCADO,5,4540-127,AROUCA,-8.251454262809142,40.92723525755815
pt.ine.add.PTCONT.289827,ESTR BURGO,,4540-204,BURGO,-8.26646079377891,40.92702978056435
pt.ine.add.PTCONT.289828,R OLIVAL DA GRANJA,,4540-142,AROUCA,-8.244092264125404,40.93373499725175
pt.ine.add.PTCONT.289829,R LAGE,,4540-168,AROUCA,-8.247854786503561,40.932893873953425
pt.ine.add.PTCONT.289830,R ABEL BOTELHO,,4540-114,AROUCA,-8.248560539229858,40.92906615441685
pt.ine.add.PTCONT.289831,R ABEL BOTELHO,,4540-114,AROUCA,-8.248560539229858,40.92906615441685
pt.ine.add.PTCONT.289832,R ABEL BOTELHO,,4540-114,AROUCA,-8.248560539229858,40.92906615441685
pt.ine.add.PTCONT.289833,R ABEL BOTELHO,,4540-114,AROUCA,-8.248560539229858,40.92906615441685
pt.ine.add.PTCONT.289834,,,4540-205,AROUCA,-8.259078715748993,40.93467410143573
pt.ine.add.PTCONT.289835,,,4540-175,AROUCA,-8.23980607487676,40.92649922944199
pt.ine.add.PTCONT.289836,R FLORBELA ESPANCA,,4540-165,AROUCA,-8.252001795642503,40.934636591680515
pt.ine.add.PTCONT.289837,R POÇOS,,4540-219,BURGO,-8.264396202995442,40.93365063468586
pt.ine.add.PTCONT.289838,,,4540-054,ALVARENGA ARC,-8.130067533387699,40.9581551400274
pt.ine.add.PTCONT.289839,R ALBANO FERREIRA,20,4540-115,AROUCA,-8.243029010303037,40.92981895363087
pt.ine.add.PTCONT.289840,ESTR VILA NOVA,,4540-228,BURGO,-8.261468527097602,40.93016909670061
pt.ine.add.PTCONT.289841,ESTR VILA NOVA,,4540-228,BURGO,-8.260305621254522,40.93051256549953
pt.ine.add.PTCONT.289842,,,4540-252,CANELAS ARC,-8.203069824319401,40.96877750043281
pt.ine.add.PTCONT.289843,,,4540-270,CHAVE,-8.32737230890821,40.89236493788952
pt.ine.add.PTCONT.289844,ESTR FIGUEIREDO,,4540-209,BURGO,-8.254741778309368,40.91363465279756
pt.ine.add.PTCONT.289845,,,4540-264,CHAVE,-8.353339405425393,40.9041685750723
pt.ine.add.PTCONT.289846,,,4540-281,COVELO DE PAIVÓ,-8.164775616673978,40.883960618972154
pt.ine.add.PTCONT.289847,,,4540-209,BURGO,-8.255873754544659,40.915965687818954
pt.ine.add.PTCONT.289848,,,4540-284,COVELO DE PAIVÓ,-8.134318404898822,40.87610374863995
pt.ine.add.PTCONT.289849,,,4540-264,CHAVE,-8.35495881261817,40.90220242972012
pt.ine.add.PTCONT.289850,,,4540-251,CANELAS ARC,-8.203896089966873,40.974900177806724
pt.ine.add.PTCONT.289852,EM 519,13,4540-317,ESCARIZ,-8.401261691772559,40.93586286773456
pt.ine.add.PTCONT.289853,,,4540-317,ESCARIZ,-8.401460015240644,40.9349889482454
pt.ine.add.PTCONT.289854,,,4540-432,MOLDES,-8.222497182026984,40.9185357321672
pt.ine.add.PTCONT.289855,,,4540-444,MOLDES,-8.215803230352268,40.91958527890769
pt.ine.add.PTCONT.289856,LUGAR DO OUTEIRO,,4540-449,MOLDES,-8.232624344405858,40.91931985655507
pt.ine.add.PTCONT.289857,R FONTE,,4540-349,ESPIUNCA,-8.217636580091558,41.00744272593589
pt.ine.add.PTCONT.289858,R SANTA QUITERIA,122,4540-413,MANSORES,-8.373448137176908,40.93465452731283
