id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.289894,R BREJO,121,3810-402,AVEIRO,-8.644729981555864,40.62424357592444
pt.ine.add.PTCONT.289895,R S JOÃO,1-3-5,3810-455,AVEIRO,-8.655852637029334,40.619055491305815
pt.ine.add.PTCONT.289896,R S JOÃO,1-3-5,3810-455,AVEIRO,-8.655852637029334,40.619055491305815
pt.ine.add.PTCONT.289897,R S JOÃO,1-3-5,3810-455,AVEIRO,-8.655852637029334,40.619055491305815
pt.ine.add.PTCONT.289898,R S JOÃO,1-3-5,3810-455,AVEIRO,-8.655852637029334,40.619055491305815
pt.ine.add.PTCONT.289899,VLA ARROTAS,5,3810-380,AVEIRO,-8.637540614917226,40.61905219999261
pt.ine.add.PTCONT.289900,R JOÃO GONÇALVES NETO,101,3810-386,AVEIRO,-8.637048996530947,40.61810880233677
pt.ine.add.PTCONT.289901,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289902,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289903,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289904,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289905,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289906,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289907,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289908,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289909,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289910,R ANADIA,21,3810-208,AVEIRO,-8.65009385128541,40.62617279732964
pt.ine.add.PTCONT.289911,R CRASTO,8 10,3810-416,AVEIRO,-8.656274082809787,40.62085994593386
pt.ine.add.PTCONT.289912,R CRASTO,5,3810-416,AVEIRO,-8.661075660704412,40.6237722647458
pt.ine.add.PTCONT.289913,R BURAGAL,I88,3810-895,AVEIRO,-8.64676484456729,40.61216760536345
pt.ine.add.PTCONT.289914,R LOUROS,59,3810-364,AVEIRO,-8.633199740892307,40.60269963870532
pt.ine.add.PTCONT.289915,R SOALHEIRA,23,3810-372,AVEIRO,-8.635436595132477,40.60321223401226
pt.ine.add.PTCONT.289916,R BANDARADA,80,3810-468,AVEIRO,-8.619652955926062,40.59685908356545
pt.ine.add.PTCONT.289917,TV PROF MARIA ADRIANA DA ROCHA MARTINS,1,3810-378,AVEIRO,-8.63600955305625,40.61660046265484
pt.ine.add.PTCONT.289918,R QUINTA DA CASA,21,3810-450,AVEIRO,-8.640980528782464,40.606691012714315
pt.ine.add.PTCONT.289919,R DR ALBERTO SOUTO,132,3810-417,AVEIRO,-8.642298979871256,40.60604583878634
pt.ine.add.PTCONT.289920,R CAVADAS,32,3810-413,AVEIRO,-8.639111480279396,40.60326823488997
pt.ine.add.PTCONT.289921,R CERCAS,65,3800-610,CACIA,-8.622364390667656,40.69159073489226
pt.ine.add.PTCONT.289922,R CABEÇO,45,3810-471,AVEIRO,-8.631571653774312,40.595718632993545
pt.ine.add.PTCONT.289923,R CONS NUNES DA SILVA,4,3800-538,CACIA,-8.594620000089353,40.68141798357715
pt.ine.add.PTCONT.289924,R LIBERDADE,17,3800-599,CACIA,-8.602322362904177,40.69144880309495
pt.ine.add.PTCONT.289925,R LIBERDADE,,3800-599,CACIA,-8.60130603386777,40.69160601545192
pt.ine.add.PTCONT.289926,R NOVA DO ALQUEBE,125,3810-479,AVEIRO,-8.624149417044388,40.59180564093691
pt.ine.add.PTCONT.289927,AV FERNANDO AUGUSTO OLIVEIRA,4,3800-540,CACIA,-8.60419071299062,40.67956349137896
pt.ine.add.PTCONT.289928,R VALE CASEIRO,52,3800-627,CACIA,-8.605961489882194,40.67739503053103
