id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3534694,TV LATINO COELHO,7,7480-233,BENAVILA,-7.86997308360727,39.11043692734202
pt.ine.add.PTCONT.3534770,R DR EMÍDIO MENDES,7,7480-294,ERVEDAL AVS,-7.813372747559086,39.04342854277737
pt.ine.add.PTCONT.3534789,R LUIS SILVA AÇO,11,7480-221,BENAVILA,-7.868372538541953,39.11015964236933
pt.ine.add.PTCONT.3534790,R DO ROSSIO,7,7480-213,BENAVILA,-7.869758003922618,39.10920240556908
pt.ine.add.PTCONT.3534791,R LATINO COELHO,13,7480-219,BENAVILA,-7.869777909085254,39.1100671766023
pt.ine.add.PTCONT.3534792,R DO ROSSIO,26,7480-213,BENAVILA,-7.869634214684149,39.108292361852605
pt.ine.add.PTCONT.3534820,R CAP SALGUEIRO MAIA,15,7480-209,BENAVILA,-7.872305957185193,39.11114475928203
pt.ine.add.PTCONT.3534821,R ZECA AFONSO,11,7480-227,BENAVILA,-7.872919760135103,39.11086689637742
pt.ine.add.PTCONT.3534822,R 1 DE MAIO,40,7480-225,BENAVILA,-7.873862591520737,39.1067220452947
pt.ine.add.PTCONT.3534823,LG REPUBLICA,1,7480-300,ERVEDAL AVS,-7.812639535484521,39.04369823117992
pt.ine.add.PTCONT.3534838,R FLORBELA ESPANCA,32,7480-306,ERVEDAL AVS,-7.810107483512716,39.04304784434569
pt.ine.add.PTCONT.3534839,R LUIS LUCIO REBOCHO,17,7480-302,ERVEDAL AVS,-7.812874268584277,39.04289016129572
pt.ine.add.PTCONT.3534840,EN 243,46,7480-297,ERVEDAL AVS,-7.811519626227399,39.04104887199215
pt.ine.add.PTCONT.3534864,MTE DEFESA DE BARROS,,7480-351,FIGUEIRA E BARROS,-7.72555899985816,39.02734978537306
pt.ine.add.PTCONT.3534865,SIT MARANHÃO,18,7480-373,MARANHÃO,-7.993248266175521,39.0029505627377
pt.ine.add.PTCONT.3534866,MTE FIGUEIRINHA,,7480-371,MARANHÃO,-7.995161515560196,38.94345228062006
pt.ine.add.PTCONT.3534867,R 25 DE ABRIL,14,7480-392,VALONGO AVS,-7.871156149721028,39.17184381945399
pt.ine.add.PTCONT.3534868,R MESTRE DE AVIS,22,7480-392,VALONGO AVS,-7.870484346643345,39.170550139225064
pt.ine.add.PTCONT.3534869,MTE CASAS NOVAS,,7480-391,VALONGO AVS,-7.866541018746811,39.19888271294892
pt.ine.add.PTCONT.3534893,,,7480-392,VALONGO AVS,-7.871198291059073,39.16360207582024
pt.ine.add.PTCONT.3535171,R DA LIBERDADE,18,7480-028,ALCÓRREGO,-7.908847602861235,39.01795569147209
pt.ine.add.PTCONT.3535172,R 1 DE MAIO,,7480-028,ALCÓRREGO,-7.915750389108913,39.014888118618266
pt.ine.add.PTCONT.3535173,R LIBERDADE,40,7480-051,ALDEIA VELHA AVS,-8.035807085347146,39.09142603725855
pt.ine.add.PTCONT.3535174,R RAPOSA,25,7480-051,ALDEIA VELHA AVS,-8.032248700281631,39.09023400910802
pt.ine.add.PTCONT.3535175,MTE JOÃO GALEGO,,7480-057,ALDEIA VELHA AVS,-8.010927116135933,39.061182020999645
pt.ine.add.PTCONT.3535200,R PORTAS DO POSTIGO,19,7480-151,AVIS,-7.891497047981815,39.05742872177406
pt.ine.add.PTCONT.3535201,LG DR MIGUEL BOMBARDA,1,7480-118,AVIS,-7.890939868873071,39.05669230161466
pt.ine.add.PTCONT.3535235,R JERONIMO LOPES COELHO,13,7480-144,AVIS,-7.892041160179334,39.053703187428454
pt.ine.add.PTCONT.3535236,EN 243,15,7480-102,AVIS,-7.884921627153523,39.051307727106426
pt.ine.add.PTCONT.3535275,R ALMEIDA GARRETT,3,7480-288,ERVEDAL AVS,-7.813701451582603,39.043883271596265
pt.ine.add.PTCONT.3535279,TERMO DE SEDA,,7480-391,VALONGO AVS,-7.8726177258351075,39.177161499137675
pt.ine.add.PTCONT.3535295,R JERONIMO LOPES COELHO,9,7480-144,AVIS,-7.891878927773486,39.05370898079935
pt.ine.add.PTCONT.3535318,R LUIS LUCIO REBOCHO,19,7480-302,ERVEDAL AVS,-7.812943775590813,39.042845313822674
pt.ine.add.PTCONT.3535333,R HELIODORO SALGADO,12,7480-217,BENAVILA,-7.87039655240094,39.111599857765604
pt.ine.add.PTCONT.3535368,R BAIRRO PRÉ-FABRICADO,11,7480-109,AVIS,-7.8921495839074165,39.05222889994541
pt.ine.add.PTCONT.3535373,R LUIS SILVA AÇO,44,7480-221,BENAVILA,-7.868002116895018,39.110004874901335
pt.ine.add.PTCONT.3535385,BR NOVO,29,7480-373,MARANHÃO,-7.992743957469917,39.003335932566145
pt.ine.add.PTCONT.3535389,R MIGUEL BOMBARDA,22,7480-223,BENAVILA,-7.871080902069442,39.110956861889335
pt.ine.add.PTCONT.3535390,R CAP SALGUEIRO MAIA,8,7480-209,BENAVILA,-7.872722885736958,39.111219457757436
pt.ine.add.PTCONT.3535400,R LUIS DE CAMÕES,91,7480-222,BENAVILA,-7.87129570494673,39.106898628663934
pt.ine.add.PTCONT.3535403,R LUIS DE CAMÕES,48,7480-222,BENAVILA,-7.872737261681493,39.10704751208274
pt.ine.add.PTCONT.3535404,R MESTRE DE AVIS,10,7480-392,VALONGO AVS,-7.871403129314297,39.170772485675506
pt.ine.add.PTCONT.3535407,R LUIS DE CAMÕES,50,7480-222,BENAVILA,-7.8726217505367435,39.10702000075706
pt.ine.add.PTCONT.3535408,R 1 DE MAIO,7,7480-392,VALONGO AVS,-7.8729887333478725,39.170694968565144
pt.ine.add.PTCONT.3535409,R PARREIRAL,8,7480-392,VALONGO AVS,-7.867576395102698,39.16984506703652
pt.ine.add.PTCONT.3535413,R 1 DE MAIO,106,7480-225,BENAVILA,-7.871502008156365,39.106212679038244
pt.ine.add.PTCONT.3535414,MTE ASSEICEIRA,,7480-391,VALONGO AVS,-7.894666348776144,39.17296618543314
pt.ine.add.PTCONT.3535475,R JOSÉ FALCÃO,7,7480-218,BENAVILA,-7.870712130400692,39.11068179725243
pt.ine.add.PTCONT.3535476,R PORTAS DO POSTIGO,3,7480-151,AVIS,-7.8904999868220065,39.05741123085575
pt.ine.add.PTCONT.3535477,LG DR SÉRGIO CASTRO,1,7480-119,AVIS,-7.890308840552132,39.05691281827041
pt.ine.add.PTCONT.3535480,R GRANDE,18,7480-051,ALDEIA VELHA AVS,-8.033366051341694,39.09397112848053
pt.ine.add.PTCONT.3535484,,,7480-026,ALCÓRREGO,-7.928080956485105,39.027160923250996
pt.ine.add.PTCONT.3535485,R FONTE,14,7480-051,ALDEIA VELHA AVS,-8.034175408785314,39.091207906930435
pt.ine.add.PTCONT.3535495,BR 1 MAIO,29,7480-110,AVIS,-7.885496194899346,39.05037586772595
pt.ine.add.PTCONT.3535501,R CISTERNAS,47,7480-129,AVIS,-7.89251677465934,39.0565300650438
pt.ine.add.PTCONT.3535872,R AFONSO COSTA,38,7480-351,FIGUEIRA E BARROS,-7.762500733119657,39.05089952155942
pt.ine.add.PTCONT.3535876,PQ CAMPISMO - ALBUFEIRA MARANHÃO,,7480-151,AVIS,-7.911516258789242,39.05595000000571
pt.ine.add.PTCONT.3535883,MTE DE S MARTINHO,,7480-371,MARANHÃO,-8.020908352224392,39.02404628237681
pt.ine.add.PTCONT.3535927,EN 243,4,7480-115,AVIS,-7.886405165668305,39.050999945576265
pt.ine.add.PTCONT.3535913,R CONSIGLIERI PEDROSO,24,7480-290,ERVEDAL AVS,-7.811619056549367,39.04427217044508
pt.ine.add.PTCONT.3535920,BR SERRADAO,31,7480-110,AVIS,-7.885311458731151,39.050348452413616
pt.ine.add.PTCONT.3535978,R 1 DE MAIO,32,7480-153,AVIS,-7.892652790718848,39.054545374721855
pt.ine.add.PTCONT.3536144,R 1 DE MAIO,57,7480-028,ALCÓRREGO,-7.915947996206764,39.01445611622861
pt.ine.add.PTCONT.3536178,R 25 DE ABRIL,45,7480-051,ALDEIA VELHA AVS,-8.032288136931559,39.09500807459004
pt.ine.add.PTCONT.3536179,MTE DOS LEÕES,,7480-057,ALDEIA VELHA AVS,-8.053198893942323,39.06428124814552
pt.ine.add.PTCONT.3536180,MTE VAL DE CABECAS DA CUMIADA,,7480-057,ALDEIA VELHA AVS,-8.084120103201535,39.061469932557955
pt.ine.add.PTCONT.3536216,R DOS MUROS,16,7480-137,AVIS,-7.8924223880596065,39.05712076751053
pt.ine.add.PTCONT.3536217,R CONS JOSÉ DE ALPOIM,10,7480-145,AVIS,-7.8915179371807405,39.05647536317388
pt.ine.add.PTCONT.3536218,BR CLUBE NÁUTICO,38,7480-107,AVIS,-7.8962933171035745,39.05345717769957
pt.ine.add.PTCONT.3536219,BR ESTRADA CLUBE NAUTICO,52,7480-107,AVIS,-7.895671235693722,39.05293346897937
pt.ine.add.PTCONT.3536246,ESTR SAMARRA,,7480-163,AVIS,-7.905480090572581,39.02747031109387
pt.ine.add.PTCONT.3536247,R JOSÉ FALCÃO,9,7480-218,BENAVILA,-7.870770139453691,39.1106278824301
pt.ine.add.PTCONT.3536248,LG DO ASILO,14,7480-206,BENAVILA,-7.87059831719379,39.107078515220984
pt.ine.add.PTCONT.3536249,LG FEIRA,,7480-213,BENAVILA,-7.86905258503442,39.106147245037754
pt.ine.add.PTCONT.3536283,R LUIS DE CAMÕES,21,7480-222,BENAVILA,-7.873427149936464,39.10735971907485
pt.ine.add.PTCONT.3536284,MTE RAMALHO,,7480-320,ERVEDAL AVS,-7.824447791712884,39.00579167402928
