id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.2273176,R VISC DE ASSECA,35,2050-040,AVEIRAS DE BAIXO,-8.830868622271618,39.08762208198859
pt.ine.add.PTCONT.2273304,,,2050-197,AVEIRAS DE CIMA,-8.923485829954235,39.16262126540096
pt.ine.add.PTCONT.2273305,TV POÇOS,1,2050-204,AVEIRAS DE CIMA,-8.9034319293877,39.14750611846661
pt.ine.add.PTCONT.2273306,R JOSE LUIS SOARES BRITO,,2050-189,AVEIRAS DE CIMA,-8.900079270860507,39.142358004040666
pt.ine.add.PTCONT.2273307,R JOSE LUIS SOARES BRITO,,2050-189,AVEIRAS DE CIMA,-8.900079270860507,39.142358004040666
pt.ine.add.PTCONT.2273308,R JOSE LUIS SOARES BRITO,,2050-189,AVEIRAS DE CIMA,-8.900079270860507,39.142358004040666
pt.ine.add.PTCONT.2273309,R JOSE LUIS SOARES BRITO,,2050-189,AVEIRAS DE CIMA,-8.900079270860507,39.142358004040666
pt.ine.add.PTCONT.2273310,R DR FRANCISCO MARIA DE ALMEIDA GRANDELA,118,2050-116,AVEIRAS DE CIMA,-8.899293991822908,39.139273641430094
pt.ine.add.PTCONT.2273311,R DR FRANCISCO MARIA DE ALMEIDA GRANDELA,118,2050-116,AVEIRAS DE CIMA,-8.899293991822908,39.139273641430094
pt.ine.add.PTCONT.2499349,EN 366,,2065-046,ALCOENTRE,-8.983612497651114,39.2228437754103
pt.ine.add.PTCONT.2273454,R ARAMEIRA,79,2050-080,AVEIRAS DE CIMA,-8.902941633618191,39.13966394469923
pt.ine.add.PTCONT.2273455,R PINA MANIQUE,80,2065-364,MANIQUE DO INTENDENTE,-8.894231183528188,39.221138235648894
pt.ine.add.PTCONT.2273456,R ANTÓNIO FERREIRA CAMILO,7,2065-322,MANIQUE DO INTENDENTE,-8.89203510275217,39.220440991534794
pt.ine.add.PTCONT.2273586,R DR BESSONE ABREU,22,2050-087,AVEIRAS DE CIMA,-8.90000622971598,39.139890465761745
pt.ine.add.PTCONT.2273587,R CARRIL,76,2050-196,AVEIRAS DE CIMA,-8.873945730826017,39.13314135432716
pt.ine.add.PTCONT.2273588,R CANCELAS,45,2050-092,AVEIRAS DE CIMA,-8.898618566707825,39.137782855650094
pt.ine.add.PTCONT.2273589,TV ADRO,5,2050-067,AVEIRAS DE CIMA,-8.897954119851146,39.135166071269325
pt.ine.add.PTCONT.2273590,ESTR CARVALHOS,54,2065-312,MANIQUE DO INTENDENTE,-8.867298103709793,39.21571759361763
pt.ine.add.PTCONT.2273591,R SERRADINHA,23,2050-414,VALE DO PARAÍSO,-8.887085667573086,39.11703293518145
pt.ine.add.PTCONT.2273592,R EIRAS,32,2050-415,VALE DO PARAÍSO,-8.886611199949611,39.11591007660368
pt.ine.add.PTCONT.2273593,R D JOÃO II,3,2050-419,VALE DO PARAÍSO,-8.884827902075914,39.114570477769256
pt.ine.add.PTCONT.2273709,R FONTE SANTA,14,2050-112,AVEIRAS DE CIMA,-8.90624071438838,39.13356213096847
pt.ine.add.PTCONT.2273710,TV FONTE SANTA,28,2050-113,AVEIRAS DE CIMA,-8.900265848802357,39.1371685308263
pt.ine.add.PTCONT.2273711,TV DANIEL RODRIGUES,1 A,2050-516,VILA NOVA DA RAINHA,-8.935597763916745,39.03702916178384
pt.ine.add.PTCONT.2273712,R MANUEL JOAQUIM ALVES DINIS,18,2050-510,VILA NOVA DA RAINHA,-8.93291513785927,39.03777719634647
pt.ine.add.PTCONT.2273713,R PEDRO ALVES JALEKO,68,2065-557,VILA NOVA DE SÃO PEDRO,-8.845935344434753,39.21345433944163
pt.ine.add.PTCONT.2273714,R JOSE LUIS INÁCIO RAIMUNDO,47,2065-556,VILA NOVA DE SÃO PEDRO,-8.841162758597056,39.21553710558312
pt.ine.add.PTCONT.2273884,R MURTA,,2050-285,AZAMBUJA,-8.912454161402225,39.08658313686875
pt.ine.add.PTCONT.2273885,R CASALEIROS,,2050-360,AZAMBUJA,-8.90380998235198,39.06649089641958
pt.ine.add.PTCONT.2273886,R ALFREDO REBELO,,2050-360,AZAMBUJA,-8.909588666893933,39.064515953654016
pt.ine.add.PTCONT.2273887,R GRUPO DESPORTIVO AZAMBUJENSE,14,2050-387,AZAMBUJA,-8.873868139305822,39.07505070503961
pt.ine.add.PTCONT.2273888,R GRUPO DESPORTIVO AZAMBUJENSE,14,2050-387,AZAMBUJA,-8.873868139305822,39.07505070503961
pt.ine.add.PTCONT.2273889,R GRUPO DESPORTIVO AZAMBUJENSE,14,2050-387,AZAMBUJA,-8.873868139305822,39.07505070503961
pt.ine.add.PTCONT.2273890,R DESPORTO E RECREIO ALÉM CALENSE,10,2065-552,VILA NOVA DE SÃO PEDRO,-8.824656910864297,39.20548504272567
pt.ine.add.PTCONT.2273891,R COURELAS,01,2065-617,MAÇUSSA,-8.869561575602013,39.199625311531086
pt.ine.add.PTCONT.2273892,R 25 DE ABRIL,26,2065-607,MAÇUSSA,-8.864266910618026,39.19474067582212
pt.ine.add.PTCONT.2273893,TV OLIVAL,4,2065-633,MAÇUSSA,-8.865087271392435,39.191249698009116
pt.ine.add.PTCONT.2273894,TV 1 DE DEZEMBRO,7,2065-605,MAÇUSSA,-8.865800424489942,39.19304667640703
pt.ine.add.PTCONT.2273987,,,2050-378,AZAMBUJA,-8.8717567583512,39.094081049272546
pt.ine.add.PTCONT.2273988,R CORVO,,2050-384,AZAMBUJA,-8.90198834701915,39.086022100558864
pt.ine.add.PTCONT.2273989,R JOSE LOURENÇO,,2050-384,AZAMBUJA,-8.89928014227123,39.082472975697414
pt.ine.add.PTCONT.2274118,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274119,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274120,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274228,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274229,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274230,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274231,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274232,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2274676,R D FRANCISCO CHILD ROLIM DE MOURA,21,2050-003,AZAMBUJA,-8.872413081473432,39.072801250156296
pt.ine.add.PTCONT.2274775,LG 25 DE ABRIL,8,2065-112,ALCOENTRE,-8.942923591979358,39.24125627020407
pt.ine.add.PTCONT.2274776,R FERREIRO,1,2065-128,ALCOENTRE,-8.94221211697538,39.240828869518445
pt.ine.add.PTCONT.2274777,BR ESTABELECIMENTO PRISIONAL DE ALCOENTRE,,2065-285,ALCOENTRE,-8.96328473769995,39.21161430241407
pt.ine.add.PTCONT.2274778,BR ESTABELECIMENTO PRISIONAL DE ALCOENTRE,,2065-285,ALCOENTRE,-8.96328473769995,39.21161430241407
pt.ine.add.PTCONT.2274779,BR ESTABELECIMENTO PRISIONAL DE ALCOENTRE,,2065-285,ALCOENTRE,-8.96328473769995,39.21161430241407
pt.ine.add.PTCONT.2274780,EN 1,,2065-107,ALCOENTRE,-8.9881438808465,39.21359622391752
pt.ine.add.PTCONT.2274781,CASAIS DA AREIA,,2065-103,ALCOENTRE,-8.972296804435567,39.212945849635936
pt.ine.add.PTCONT.2274782,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274783,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274784,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274785,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274786,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274787,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274788,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274789,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274790,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274791,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2274916,R PINA MANIQUE,30,2065-042,ALCOENTRE,-8.958268004039779,39.21033488963215
pt.ine.add.PTCONT.2274917,R S JOAO,56,2065-045,ALCOENTRE,-8.957991498763166,39.208472349496446
pt.ine.add.PTCONT.2274918,R B DO BR SOCASA,22,2065-012,ALCOENTRE,-8.958306001501748,39.2046780729061
pt.ine.add.PTCONT.2274919,R OLARIA,36,2050-321,AZAMBUJA,-8.869691057817283,39.06995409517126
pt.ine.add.PTCONT.2275070,R BELA VISTA QTA DE SANTA ISABEL,6,2050-038,AVEIRAS DE BAIXO,-8.841514776567646,39.11103158874251
pt.ine.add.PTCONT.2275071,R CAMPO DE FUTEBOL,,2050-018,AVEIRAS DE BAIXO,-8.87964241837008,39.106371015647504
pt.ine.add.PTCONT.2275072,R 1 DE DEZEMBRO,17,2050-016,AVEIRAS DE BAIXO,-8.872285966617708,39.11155212590168
pt.ine.add.PTCONT.2275073,R VINHA DO FORNO,,2050-025,AVEIRAS DE BAIXO,-8.866190429454306,39.1035019411703
pt.ine.add.PTCONT.2275074,CSL MOTA,8,2050-038,AVEIRAS DE BAIXO,-8.838465087402144,39.11129328183806
pt.ine.add.PTCONT.2275134,R VALE DA ADEGA,,2050-281,AZAMBUJA,-8.895114411072766,39.07661840000731
pt.ine.add.PTCONT.2275154,R BEIROES,8,2050-260,AZAMBUJA,-8.863639529026583,39.07475712449897
pt.ine.add.PTCONT.2275195,BR ESTABELECIMENTO PRISIONAL DE ALCOENTRE,,2065-285,ALCOENTRE,-8.96328473769995,39.21161430241407
pt.ine.add.PTCONT.2275196,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2275253,R MAXIAL,10,2065-011,ALCOENTRE,-8.95574294309651,39.21123545745365
pt.ine.add.PTCONT.2275296,R BARRABEL,8,2050-083,AVEIRAS DE CIMA,-8.907358948514355,39.13217657948654
pt.ine.add.PTCONT.2275368,R CENTRO SOCIAL E PAROQUIAL,4,2050-398,AZAMBUJA,-8.870486479321814,39.06755307548165
pt.ine.add.PTCONT.2275427,R FORCADOS AMADORES DA AZAMBUJA,5,2050-390,AZAMBUJA,-8.874941210877726,39.07035317333371
pt.ine.add.PTCONT.2275443,R ARAMEIRA,79B,2050-080,AVEIRAS DE CIMA,-8.902941633618191,39.13966394469923
pt.ine.add.PTCONT.2275640,R DR FRANCISCO MARIA DE ALMEIDA GRANDELA,158,2050-117,AVEIRAS DE CIMA,-8.899600123572991,39.14083891099433
pt.ine.add.PTCONT.2275799,R MOINHO NOVO,51,2050-143,AVEIRAS DE CIMA,-8.904014501827351,39.13622504490074
pt.ine.add.PTCONT.2275805,QTA FONTE DO PINHEIRO,,2050-306,AZAMBUJA,-8.88727450894134,39.06096031787333
pt.ine.add.PTCONT.2275809,R CAPELA,,2065-101,ALCOENTRE,-8.964569599692346,39.2007874429862
pt.ine.add.PTCONT.2275810,R BOA ESPERANÇA,,2065-101,ALCOENTRE,-8.962268951834016,39.19809265716633
pt.ine.add.PTCONT.2276004,TV ASSOCIAÇÃO,,2065-117,ALCOENTRE,-8.94235772467323,39.24140431853315
pt.ine.add.PTCONT.2277311,R CARRASCO,96,2050-095,AVEIRAS DE CIMA,-8.917187101613939,39.131975769912636
pt.ine.add.PTCONT.2277507,R JOSE LUIS SOARES BRITO,,2050-189,AVEIRAS DE CIMA,-8.900079270860507,39.142358004040666
pt.ine.add.PTCONT.2277559,R 25 DE ABRIL,27,2050-317,AZAMBUJA,-8.874183839697004,39.07196132147217
pt.ine.add.PTCONT.2277560,R 25 DE ABRIL,27,2050-317,AZAMBUJA,-8.874183839697004,39.07196132147217
pt.ine.add.PTCONT.2277561,R 25 DE ABRIL,27,2050-317,AZAMBUJA,-8.874183839697004,39.07196132147217
pt.ine.add.PTCONT.2277562,R 25 DE ABRIL,27,2050-317,AZAMBUJA,-8.874183839697004,39.07196132147217
pt.ine.add.PTCONT.2277563,R MOINHO,,2050-324,AZAMBUJA,-8.86856995871984,39.071042070003955
pt.ine.add.PTCONT.2277564,R MOINHO,,2050-324,AZAMBUJA,-8.86856995871984,39.071042070003955
