id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455997,R POÇO NOVO,28,7230-038,BARRANCOS,-6.979680498029762,38.13068451174411
pt.ine.add.PTCONT.456225,R ANGOLA,21,7230-003,BARRANCOS,-6.978031943858655,38.13180340229645
pt.ine.add.PTCONT.456271,BR FERRAGIAL,3,7230-011,BARRANCOS,-6.977303233630083,38.13389524973092
pt.ine.add.PTCONT.456367,R DAS BICAS,18,7230-023,BARRANCOS,-6.975757255774956,38.127790177509965
pt.ine.add.PTCONT.456478,R ESPANHA,10,7230-017,BARRANCOS,-6.976051909296263,38.136576515121064
pt.ine.add.PTCONT.456489,R POÇO NOVO,15,7230-038,BARRANCOS,-6.978588622793582,38.13049361169229
pt.ine.add.PTCONT.456494,R 1 DE DEZEMBRO,,7230-042,BARRANCOS,-6.978868014007016,38.13447818201348
pt.ine.add.PTCONT.456554,BR FERRAGIAL,10,7230-011,BARRANCOS,-6.97762026627713,38.13404250735974
pt.ine.add.PTCONT.456726,R S BENTO,53,7230-046,BARRANCOS,-6.9734477662591585,38.12959615655784
pt.ine.add.PTCONT.456851,R ANGOLA,7,7230-003,BARRANCOS,-6.977988408094821,38.133118237379186
pt.ine.add.PTCONT.456891,R MOÇAMBIQUE,7,7230-028,BARRANCOS,-6.976114888193772,38.13186561254498
pt.ine.add.PTCONT.456929,R CERRO,35,7230-007,BARRANCOS,-6.976772625386868,38.132827006556674
pt.ine.add.PTCONT.456931,R NOUDAR,8,7230-031,BARRANCOS,-6.975450341209543,38.13154604747882
pt.ine.add.PTCONT.456955,R DR FILIPE DE FIGUEIREDO,23,7230-012,BARRANCOS,-6.977805873769332,38.12950397200535
pt.ine.add.PTCONT.456976,R POÇO NOVO,23,7230-038,BARRANCOS,-6.978781342751178,38.130567575016705
pt.ine.add.PTCONT.456977,R NSA SRA DA CONCEIÇÃO,20,7230-034,BARRANCOS,-6.976184875053003,38.128154736296736
pt.ine.add.PTCONT.457085,R FORÇAS ARMADAS,37,7230-019,BARRANCOS,-6.975621935437926,38.130581527245596
pt.ine.add.PTCONT.457200,R ANGOLA,,7230-011,BARRANCOS,-6.977441215133705,38.1338245382172
pt.ine.add.PTCONT.457217,R S BENTO,69,7230-046,BARRANCOS,-6.973075742016657,38.129322223511316
pt.ine.add.PTCONT.457270,R FORÇAS ARMADAS,40,7230-019,BARRANCOS,-6.975486519425236,38.13049010621528
pt.ine.add.PTCONT.457432,ESTR 258,5,7230-017,BARRANCOS,-6.978989396535752,38.135461317529945
pt.ine.add.PTCONT.457471,BR ADUA,35,7230-001,BARRANCOS,-6.977844803115195,38.1320988473821
pt.ine.add.PTCONT.457511,R CERRO,5,7230-007,BARRANCOS,-6.975936298494009,38.132341311783776
pt.ine.add.PTCONT.457648,R S JOÃO DE DEUS,58,7230-047,BARRANCOS,-6.975063051514039,38.13130571936656
pt.ine.add.PTCONT.457669,R LIDADOR,1,7230-026,BARRANCOS,-6.976178013300449,38.135091330757184
pt.ine.add.PTCONT.457699,R MOÇAMBIQUE,18,7230-028,BARRANCOS,-6.976655113907241,38.13160067303798
pt.ine.add.PTCONT.457739,R ANGOLA,,7230-003,BARRANCOS,-6.976933765737396,38.134179890282944
pt.ine.add.PTCONT.457828,R IGREJA,16,7230-023,BARRANCOS,-6.975793077781781,38.12913282025327
