id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1979557,R BATALHA,155,2440-233,GOLPILHEIRA,-8.819101673481049,39.68048083549843
pt.ine.add.PTCONT.1979558,ESTR HORTAS,10,2440-231,GOLPILHEIRA,-8.80571483735666,39.6787037878191
pt.ine.add.PTCONT.1979745,R MOINHO MURO,18,2440-384,BATALHA,-8.83171490031725,39.666724642448756
pt.ine.add.PTCONT.1979746,R CRESPO DO SUL,6,2440-019,BATALHA,-8.862547281143645,39.66970539683041
pt.ine.add.PTCONT.1979747,R CRESPO DO SUL,6,2440-019,BATALHA,-8.862547281143645,39.66970539683041
pt.ine.add.PTCONT.1979748,R FIGUEIRINHAS,,2440-035,BATALHA,-8.812212757650919,39.66499396450072
pt.ine.add.PTCONT.1979749,TV FONTE,5,2440-378,BATALHA,-8.830618544214827,39.66431746487935
pt.ine.add.PTCONT.1979750,R NOGUEIRAS,3,2440-491,BATALHA,-8.8447845148064,39.64228241763805
pt.ine.add.PTCONT.1979751,R ANTÓNIO CÂNDIDO ENCARNAÇÃO,12 C,2440-110,BATALHA,-8.824035967224466,39.65745775345063
pt.ine.add.PTCONT.1979752,R ANTÓNIO CÂNDIDO ENCARNAÇÃO,12 C,2440-110,BATALHA,-8.824035967224466,39.65745775345063
pt.ine.add.PTCONT.1979753,R ANTÓNIO CÂNDIDO ENCARNAÇÃO,12 C,2440-110,BATALHA,-8.824035967224466,39.65745775345063
pt.ine.add.PTCONT.1979754,R ANTÓNIO CÂNDIDO ENCARNAÇÃO,12 C,2440-110,BATALHA,-8.824035967224466,39.65745775345063
pt.ine.add.PTCONT.1979755,TV VICENTE,10,2440-020,BATALHA,-8.833091051686267,39.66220405189109
pt.ine.add.PTCONT.1979756,R NOVA,195,2440-209,REGUENGO DO FETAL,-8.78662461911856,39.666554806515734
pt.ine.add.PTCONT.1979757,R PRINCIPAL,,2440-037,REGUENGO DO FETAL,-8.791080615130037,39.665773091726805
pt.ine.add.PTCONT.1979964,EN 1,,2440-053,BATALHA,-8.834572154348134,39.67845200342318
pt.ine.add.PTCONT.1979965,EN 1,,2440-053,BATALHA,-8.834572154348134,39.67845200342318
pt.ine.add.PTCONT.1979966,EN 1,,2440-053,BATALHA,-8.834572154348134,39.67845200342318
pt.ine.add.PTCONT.1979967,EN 1,,2440-053,BATALHA,-8.834572154348134,39.67845200342318
pt.ine.add.PTCONT.1979968,EN 1,,2440-053,BATALHA,-8.834572154348134,39.67845200342318
pt.ine.add.PTCONT.1979969,ITINERARIO COMPLEMENTAR 2,50,2440-396,BATALHA,-8.833977023317438,39.67607786080925
pt.ine.add.PTCONT.1979970,R D MARIA SALES ZUQUET,1,2440-388,BATALHA,-8.837944919672854,39.66625468307006
pt.ine.add.PTCONT.1979971,R ASSOCIAÇÃO,14,2440-427,BATALHA,-8.830330554354148,39.67624391605885
pt.ine.add.PTCONT.1979972,BC VIOLA,1,2440-012,BATALHA,-8.816867779198633,39.66434519609748
pt.ine.add.PTCONT.1979973,R REBOLARIA,5,2440-012,BATALHA,-8.817639082533795,39.66456581756464
pt.ine.add.PTCONT.1979974,R REBOLARIA,5,2440-012,BATALHA,-8.817639082533795,39.66456581756464
pt.ine.add.PTCONT.1979975,ESTR SAUDADE,28,2440-394,BATALHA,-8.835762974313463,39.66138633006234
pt.ine.add.PTCONT.1979976,R LINHA DO CAMINHO DE FERRO,3D,2440-020,BATALHA,-8.835405203382717,39.660577900037914
pt.ine.add.PTCONT.1979977,ESTR PRINCIPAL,37,2440-172,BATALHA,-8.82614374180723,39.644493677785185
pt.ine.add.PTCONT.1979978,R ESCOLA,4,2440-099,BATALHA,-8.816752921342195,39.64677396651315
pt.ine.add.PTCONT.1979979,R FONTE ESPADA,39,2440-206,REGUENGO DO FETAL,-8.787059988252992,39.647215135964444
pt.ine.add.PTCONT.1979980,AV CENTRO,32,2440-210,REGUENGO DO FETAL,-8.795816656647593,39.64063569062756
pt.ine.add.PTCONT.1979981,R PRINCIPAL,47,2440-205,REGUENGO DO FETAL,-8.746028881509135,39.639549067123156
pt.ine.add.PTCONT.1979982,R MOINHO VENTO,,2440-208,REGUENGO DO FETAL,-8.76772542522811,39.64398091676784
pt.ine.add.PTCONT.1979983,ESTR S MAMEDE,,2495-026,SÃO MAMEDE,-8.716903029860873,39.63092659536187
pt.ine.add.PTCONT.1979984,TV MANUEL GOMES RIBEIRO,3,2495-026,SÃO MAMEDE,-8.71802080932737,39.62811088610133
pt.ine.add.PTCONT.1979985,ESTR NSA SRA DE FÁTIMA,1,2495-032,SÃO MAMEDE,-8.713778711192191,39.62363782753732
pt.ine.add.PTCONT.1979986,ESTR NSA SRA DE FÁTIMA,1,2495-032,SÃO MAMEDE,-8.713778711192191,39.62363782753732
pt.ine.add.PTCONT.1979987,ESTR NSA SRA DE FÁTIMA,1,2495-032,SÃO MAMEDE,-8.713778711192191,39.62363782753732
pt.ine.add.PTCONT.1979988,ESTR NSA SRA DE FÁTIMA,1,2495-032,SÃO MAMEDE,-8.713778711192191,39.62363782753732
pt.ine.add.PTCONT.1979989,ESTR COVÃO DO ESPINHEIRO,LL,2495-025,SÃO MAMEDE,-8.733283250274964,39.62322346421431
pt.ine.add.PTCONT.1979990,R MARIANOS,3,2495-023,SÃO MAMEDE,-8.72838622218561,39.60219097264256
pt.ine.add.PTCONT.1979991,R ESPERANÇA,11,2495-035,SÃO MAMEDE,-8.69951220065381,39.5622462057455
pt.ine.add.PTCONT.1979992,TV FLORES,1,2495-035,SÃO MAMEDE,-8.697705786070461,39.561903730419466
pt.ine.add.PTCONT.1979993,TV PAZ,16,2495-035,SÃO MAMEDE,-8.69898463205918,39.5617624086916
pt.ine.add.PTCONT.1979994,,,2495-035,SÃO MAMEDE,-8.69797490942938,39.559218396458085
