id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4393525,ESTR SN,,2130-531,SANTO ESTEVÃO BNV,-8.703360216277144,38.86468164860213
pt.ine.add.PTCONT.4391315,R ODETE GASPAR,21,2135-180,SAMORA CORREIA,-8.862851641579292,38.93409949679189
pt.ine.add.PTCONT.4391316,R ANTONIO ALEIXO,114,2135-205,SAMORA CORREIA,-8.876386024391985,38.93469868361184
pt.ine.add.PTCONT.4391395,PCT LUIS DE CAMÕES,144 B,2135-201,SAMORA CORREIA,-8.877834512074182,38.93314913553363
pt.ine.add.PTCONT.4391396,R ANTÓNIO JOSE DE ALMEIDA,39A,2135-206,SAMORA CORREIA,-8.877451836229884,38.93184546054024
pt.ine.add.PTCONT.4391509,AV PROF EGAS MONIZ,22,2135-232,SAMORA CORREIA,-8.871798090332113,38.93380001545127
pt.ine.add.PTCONT.4391510,R 1 DE DEZEMBRO,8,2135-253,SAMORA CORREIA,-8.872380337411231,38.93322884447026
pt.ine.add.PTCONT.4391511,R 1 DE DEZEMBRO,9,2135-253,SAMORA CORREIA,-8.872402653370392,38.93315664156056
pt.ine.add.PTCONT.4391512,AV PROF EGAS MONIZ,,2135-232,SAMORA CORREIA,-8.864253331771836,38.92347063897071
pt.ine.add.PTCONT.4391618,ESTR VAGONETAS,55,2135-245,SAMORA CORREIA,-8.856131459270927,38.9253587998725
pt.ine.add.PTCONT.4391619,ESTR CARRO QUEBRADO,93,2135-060,SAMORA CORREIA,-8.855545797557575,38.90967997184765
pt.ine.add.PTCONT.4391620,R CAMPINO,48,2135-128,SAMORA CORREIA,-8.880181748079272,38.93262970560479
pt.ine.add.PTCONT.4391621,BR 1 DE MAIO,74,2135-108,SAMORA CORREIA,-8.887676066666307,38.9270057370408
pt.ine.add.PTCONT.4391713,BR 1 DE MAIO,116,2135-108,SAMORA CORREIA,-8.886614548195853,38.9280394716481
pt.ine.add.PTCONT.4391714,R GUERRA JUNQUEIRO,36,2135-131,SAMORA CORREIA,-8.885927664307758,38.92524250854645
pt.ine.add.PTCONT.4391715,R ANTÓNIO SILVA,34,2135-146,SAMORA CORREIA,-8.886674300662165,38.926057391969344
pt.ine.add.PTCONT.4391716,R IVONE SILVA,3,2135-106,SAMORA CORREIA,-8.884990323384313,38.92602321213759
pt.ine.add.PTCONT.4391717,R FERNANDO LOPES GRAÇA,12,2135-282,SAMORA CORREIA,-8.869354179077625,38.93167162352286
pt.ine.add.PTCONT.4391718,R ALMEIDA GARRETT,70,2135-258,SAMORA CORREIA,-8.869519704486553,38.93094996332064
pt.ine.add.PTCONT.4391800,R LUIS GODINHO,26,2130-063,BENAVENTE,-8.810339863094107,38.98112982656804
pt.ine.add.PTCONT.4391801,PC REPUBLICA,19,2130-037,BENAVENTE,-8.809463370327148,38.98240498871996
pt.ine.add.PTCONT.4391802,PC REPUBLICA,19,2130-037,BENAVENTE,-8.809463370327148,38.98240498871996
pt.ine.add.PTCONT.4391803,R ARCO,5,2130-041,BENAVENTE,-8.809231367692112,38.98228022619075
pt.ine.add.PTCONT.4391804,R ARY DOS SANTOS,8,2135-187,SAMORA CORREIA,-8.86882483353759,38.93178305347905
pt.ine.add.PTCONT.4391887,R ZEBRO,21,2130-209,BENAVENTE,-8.817763264625494,38.97662771977432
pt.ine.add.PTCONT.4391888,R DR ANTÓNIO GABRIEL FERREIRA LOURENÇO,5,2130-052,BENAVENTE,-8.80534676429289,38.98032999479315
pt.ine.add.PTCONT.4391889,R CESAR LUIS,,2130-185,BENAVENTE,-8.804923086704948,38.97701761777412
pt.ine.add.PTCONT.4391890,R ALEXANDRE HERCULANO,19,2135-202,SAMORA CORREIA,-8.877156953772738,38.9312168017457
