id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1367638,R 5 DE OUTUBRO,10,7150-100,BORBA,-7.4535131869518,38.80969223253045
pt.ine.add.PTCONT.1367639,R JOSE CARDOSO PIRES,5,7150-150,BORBA,-7.450409216868611,38.804076029572
pt.ine.add.PTCONT.1367640,EN 4,,7150-248,BORBA,-7.468082036092577,38.80962503301842
pt.ine.add.PTCONT.1367663,R BENJAMIM ANTÓNIO FERREIRA,1,7150-113,BORBA,-7.464043475648126,38.80588542203967
pt.ine.add.PTCONT.1367664,R BAIRRO TUJEIRA,22,7150-111,BORBA,-7.497295061281768,38.809304947200644
pt.ine.add.PTCONT.1367665,ESTR STA BARBARA,,7150-123,BORBA,-7.448168604659686,38.805829470136736
pt.ine.add.PTCONT.1367666,QTA DO GENERAL,,7150-105,BORBA,-7.44941927415896,38.80867428736674
pt.ine.add.PTCONT.1367667,AV POVO,5,7150-104,BORBA,-7.455661508421812,38.80628399881472
pt.ine.add.PTCONT.1367668,R DE S FRANCISCO,56,7150-141,BORBA,-7.454013394873054,38.8047478893921
pt.ine.add.PTCONT.1367669,R VISC GIAO,49,7150-149,BORBA,-7.457425665919806,38.80491396169744
pt.ine.add.PTCONT.1367670,R VISC GIAO,47,7150-149,BORBA,-7.457425665919806,38.80491396169744
pt.ine.add.PTCONT.1367671,R VISC GIAO,45,7150-149,BORBA,-7.457425665919806,38.80491396169744
pt.ine.add.PTCONT.1367704,R NOVA DA TUJEIRA,29,7150-344,RIO DE MOINHOS BRB,-7.496428867907,38.80831836613483
pt.ine.add.PTCONT.1367705,R NOVA DA TUJEIRA,6,7150-344,RIO DE MOINHOS BRB,-7.494974785221323,38.807418648481004
pt.ine.add.PTCONT.1367723,R 1 DE MAIO,26,7150-321,RIO DE MOINHOS BRB,-7.482327770497549,38.78532447328865
pt.ine.add.PTCONT.1367724,R 1 DE MAIO,28,7150-379,RIO DE MOINHOS BRB,-7.503258827430752,38.76963677420308
pt.ine.add.PTCONT.1367725,R TRABALHADORES,,7150-377,RIO DE MOINHOS BRB,-7.5060194804295755,38.76756878580163
pt.ine.add.PTCONT.1367726,R MONTE FRANCO,,7150-373,RIO DE MOINHOS BRB,-7.503114325568171,38.76717017822725
pt.ine.add.PTCONT.1367739,,,7150-326,RIO DE MOINHOS BRB,-7.512415208709389,38.786307881205055
pt.ine.add.PTCONT.1367740,VIVENDAS DO SOL,1,7150-321,RIO DE MOINHOS BRB,-7.480836933549526,38.78473965201575
pt.ine.add.PTCONT.1367741,R FORNO,29,7150-321,RIO DE MOINHOS BRB,-7.478510020276354,38.78396334773568
pt.ine.add.PTCONT.1367742,R DA ESTAÇÃO,55 A,7150-368,RIO DE MOINHOS BRB,-7.502009667526832,38.76686697724623
pt.ine.add.PTCONT.1367753,R NUNES DA SILVA,25,7150-161,BORBA,-7.457553907096718,38.80603538910244
pt.ine.add.PTCONT.1368243,TAPADA ANJINHO,,7150-321,RIO DE MOINHOS BRB,-7.477485515869912,38.78338632413477
pt.ine.add.PTCONT.1368309,AV ESTAÇÃO,32,7150-151,BORBA,-7.465441171253256,38.806614050952035
pt.ine.add.PTCONT.1368310,R ESTAÇÃO,,7150-368,RIO DE MOINHOS BRB,-7.502850906385671,38.76606530117421
pt.ine.add.PTCONT.1368345,AV D DINIS DE MELO E CASTRO,2 D,7150-105,BORBA,-7.453415031831067,38.807373437705515
pt.ine.add.PTCONT.1368346,AV D DINIS DE MELO E CASTRO,2 D,7150-105,BORBA,-7.453415031831067,38.807373437705515
pt.ine.add.PTCONT.1368347,AV D DINIS DE MELO E CASTRO,2 D,7150-105,BORBA,-7.453415031831067,38.807373437705515
pt.ine.add.PTCONT.1368441,,,7150-244,BORBA,-7.4647415390350975,38.793694006946325
pt.ine.add.PTCONT.1368434,R S JOAO DE DEUS,18,7150-142,BORBA,-7.456895328730305,38.80456514624109
pt.ine.add.PTCONT.1368435,,,7150-244,BORBA,-7.458812729575047,38.799000322506956
pt.ine.add.PTCONT.1368438,,,7150-244,BORBA,-7.458812729575047,38.799000322506956
pt.ine.add.PTCONT.1368439,,,7150-244,BORBA,-7.459225751275165,38.79914683210272
pt.ine.add.PTCONT.1368448,,,7150-100,BORBA,-7.455478447634308,38.81073636625119
pt.ine.add.PTCONT.1368449,R DO CHAFARIZ,20,7150-375,RIO DE MOINHOS BRB,-7.499389800683771,38.767771616395045
pt.ine.add.PTCONT.1368452,AV CERCA,6,7150-102,BORBA,-7.454236258188596,38.80839424892486
pt.ine.add.PTCONT.1368453,AV CERCA,34,7150-102,BORBA,-7.456207627413575,38.809189802078784
pt.ine.add.PTCONT.1368454,R VISC GIAO,18,7150-146,BORBA,-7.456944627529098,38.805439199618924
pt.ine.add.PTCONT.1368455,R VISC GIAO,48 40,7150-146,BORBA,-7.456944627529098,38.805439199618924
pt.ine.add.PTCONT.1368460,R AZINHAL ABELHO,5,7150-308,ORADA,-7.46600960811439,38.873996150849024
pt.ine.add.PTCONT.1368463,R MOS,11,7150-122,BORBA,-7.456656620392184,38.80911276173544
pt.ine.add.PTCONT.1368466,R MOS,11,7150-122,BORBA,-7.456656620392184,38.80911276173544
pt.ine.add.PTCONT.1368467,R MOS,11,7150-122,BORBA,-7.456656620392184,38.80911276173544
pt.ine.add.PTCONT.1368468,R MOS,11,7150-122,BORBA,-7.456656620392184,38.80911276173544
pt.ine.add.PTCONT.1368469,R MOS,11,7150-122,BORBA,-7.456656620392184,38.80911276173544
pt.ine.add.PTCONT.1368470,R ANTÓNIO JOAQUIM GUERRA,93,7150-119,BORBA,-7.459075753618095,38.80546852645922
pt.ine.add.PTCONT.1368472,R COMÉRCIO,12,7150-321,RIO DE MOINHOS BRB,-7.481214441603505,38.78246274453405
pt.ine.add.PTCONT.1368475,R AZINHAL ABELHO,1,7150-308,ORADA,-7.466354613784337,38.87407018369735
pt.ine.add.PTCONT.1368476,R 1 DE MAIO,33,7150-321,RIO DE MOINHOS BRB,-7.482224932123414,38.78524282891363
pt.ine.add.PTCONT.1368477,TAPADA DO ANJINHO,4,7150-321,RIO DE MOINHOS BRB,-7.477246769129825,38.782161297181815
pt.ine.add.PTCONT.1368480,R COMBATENTES DO ULTRAMAR,49,7150-308,ORADA,-7.466915854472841,38.871965557217905
