id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.857132,,,5300-512,BRAGANÇA,-6.80627133050274,41.83272193419671
pt.ine.add.PTCONT.857989,,,5300-701,NOGUEIRA BGC,-6.822834453701621,41.761913520624034
pt.ine.add.PTCONT.860010,,,5300-518,BRAGANÇA,-6.786625772699423,41.82867598857127
pt.ine.add.PTCONT.864192,,,5300-821,RIO DE ONOR,-6.615310884733611,41.94067839132531
pt.ine.add.PTCONT.879990,,,5300-783,QUINTELA DE LAMPAÇAS,-6.878594580359357,41.6122618415117
pt.ine.add.PTCONT.879991,,,5300-783,QUINTELA DE LAMPAÇAS,-6.87806525374515,41.61233709398945
pt.ine.add.PTCONT.881491,,,5300-514,BRAGANÇA,-6.822856728906721,41.828149729448754
pt.ine.add.PTCONT.881492,,,5300-518,BRAGANÇA,-6.786827904286252,41.82879539794655
pt.ine.add.PTCONT.892582,,,5300-493,COELHOSO,-6.680026148770599,41.630747778614705
pt.ine.add.PTCONT.897746,,,5300-781,QUINTELA DE LAMPAÇAS,-6.891132128349324,41.62348119268801
pt.ine.add.PTCONT.902154,,,5300-518,BRAGANÇA,-6.787446809492171,41.827407177644595
pt.ine.add.PTCONT.849378,R AMOREIRA,10,5300-772,QUINTANILHA,-6.5705601035875425,41.751313459068186
pt.ine.add.PTCONT.849379,R AMOREIRA,24,5300-772,QUINTANILHA,-6.570820791222963,41.75097488804573
pt.ine.add.PTCONT.849380,,,5300-781,QUINTELA DE LAMPAÇAS,-6.890313215413129,41.62176169414217
pt.ine.add.PTCONT.849381,R COSTA,5,5300-791,RABAL,-6.753179001064604,41.86822534379115
pt.ine.add.PTCONT.849382,BR CIMO DE VILA,35,5300-811,REBORDÃOS,-6.829256363413746,41.73990176762245
pt.ine.add.PTCONT.865006,,,5300-821,RIO DE ONOR,-6.616858121872879,41.940518782208095
pt.ine.add.PTCONT.849454,BR PELOURINHO,123,5300-811,REBORDÃOS,-6.82283854804676,41.74043196673589
pt.ine.add.PTCONT.849455,R CASTRO,11,5300-831,RIO FRIO BGC,-6.62813613912144,41.73950485824667
pt.ine.add.PTCONT.849456,R S ROQUE,6,5300-831,RIO FRIO BGC,-6.629369091794439,41.73560464676108
pt.ine.add.PTCONT.849457,R LINHARES,6,5300-832,RIO FRIO BGC,-6.609290991524438,41.71446182527641
pt.ine.add.PTCONT.849458,R IGREJA,14,5300-832,RIO FRIO BGC,-6.607298995085557,41.714858535422664
pt.ine.add.PTCONT.849459,R CENTRAL,,5300-822,RIO DE ONOR,-6.616717085618935,41.939346552966555
pt.ine.add.PTCONT.849460,,,5300-822,RIO DE ONOR,-6.567989564797344,41.91375473157019
pt.ine.add.PTCONT.849461,ESTR SALSAS,,5300-846,SALSAS,-6.835420269007787,41.64024220456703
pt.ine.add.PTCONT.849462,R CASEIROS,,5300-846,SALSAS,-6.835820793412575,41.63762674891705
pt.ine.add.PTCONT.849463,R CEMITÉRIO,,5300-846,SALSAS,-6.838047014138226,41.63793095966428
pt.ine.add.PTCONT.849464,R DR JOÃO GONÇALVES,,5300-846,SALSAS,-6.839607961911883,41.63969518964234
pt.ine.add.PTCONT.849465,R AMEIXOEIRA,1,5300-855,BRAGANÇA,-6.75702541027657,41.775855168679996
pt.ine.add.PTCONT.849466,R ANA GARCIA,10,5300-217,BRAGANÇA,-6.778602488087751,41.7832871178482
pt.ine.add.PTCONT.849467,R JOSE DE SA,16,5300-107,BRAGANÇA,-6.777851983751207,41.78236895030714
pt.ine.add.PTCONT.849468,R JOSE DE SA,16,5300-107,BRAGANÇA,-6.777851983751207,41.78236895030714
pt.ine.add.PTCONT.849469,R JOSE DE SA,16,5300-107,BRAGANÇA,-6.777851983751207,41.78236895030714
pt.ine.add.PTCONT.849470,R JOSE DE SA,16,5300-107,BRAGANÇA,-6.777851983751207,41.78236895030714
