id,street,house,postcode,city,lon,lat
pt.ine.add.MAD.385,TV LOMBO DA LOURENCINHA,,9300-091,CÂMARA DE LOBOS,-16.966466219874665,32.65739560846544
pt.ine.add.MAD.386,TV LOMBO LOURENCINHA,6,9300-091,CÂMARA DE LOBOS,-16.966317796043796,32.65645999629854
pt.ine.add.MAD.387,CAM JOÃO ERNESTO PEREIRA QTA FERNANDES,8,9300-075,CÂMARA DE LOBOS,-16.965446059904366,32.65754687302522
pt.ine.add.MAD.388,R PADRE PITA FERREIRA,204,9300-306,CÂMARA DE LOBOS,-16.966364590885785,32.65859667992498
pt.ine.add.MAD.389,TV LOMBO LOURENCINHA,206,9300-091,CÂMARA DE LOBOS,-16.966204923683833,32.658608200865864
pt.ine.add.MAD.390,ENT N 6 DA RUA PADRE PITA FERREIRA,B,9300-112,CÂMARA DE LOBOS,-16.96720476647562,32.65850234163731
pt.ine.add.MAD.391,TV LOMBO DA LOURENCINHA,5,9300-091,CÂMARA DE LOBOS,-16.9668137770935,32.657687775657585
pt.ine.add.MAD.392,R PADRE PITA FERREIRA,158,9300-306,CÂMARA DE LOBOS,-16.966658048633455,32.65690559536485
pt.ine.add.MAD.393,R PADRE PITA FERREIRA,162,9300-306,CÂMARA DE LOBOS,-16.967127774743886,32.65742131261446
pt.ine.add.MAD.394,CAM LOURENCINHA,5,9300-092,CÂMARA DE LOBOS,-16.968326339756345,32.65714097491091
pt.ine.add.MAD.395,R PADRE PITA FERREIRA,172,9300-306,CÂMARA DE LOBOS,-16.968605212645706,32.65721776735641
pt.ine.add.MAD.396,R PADRE PITA FERREIRA,172,9300-306,CÂMARA DE LOBOS,-16.968607584709865,32.65732595372614
pt.ine.add.MAD.397,R PADRE PITA FERREIRA,178,9300-306,CÂMARA DE LOBOS,-16.968704688094235,32.65737854190776
pt.ine.add.MAD.398,R PADRE PITA FERREIRA,180,9300-306,CÂMARA DE LOBOS,-16.968845607726657,32.6574845542375
pt.ine.add.MAD.399,CAM TERCO MORADIAS DO TERCO,104 CASA B,9300-158,CÂMARA DE LOBOS,-16.98602495186199,32.65623077022679
pt.ine.add.MAD.400,CAM TERCO MORADIAS DO TERCO,10A CASA E,9300-158,CÂMARA DE LOBOS,-16.985833919193244,32.656269868289286
pt.ine.add.MAD.401,CAM TERCO MORADIAS DO TERCO,10A CASA F,9300-158,CÂMARA DE LOBOS,-16.985781829319063,32.65632480428924
pt.ine.add.MAD.402,ESCNH LOMBO DAS BARRAS,2A,9300-321,CÂMARA DE LOBOS,-16.985862611374706,32.65660310214073
pt.ine.add.MAD.403,ESCNH LOMBO DAS BARRAS,,9300-321,CÂMARA DE LOBOS,-16.985715602673885,32.656704633393495
pt.ine.add.MAD.404,ESCNH LOMBO DAS BARRAS,6,9300-321,CÂMARA DE LOBOS,-16.986174464487885,32.6567244261469
pt.ine.add.MAD.405,ESCNH LOMBO BARRAS,6,9300-321,CÂMARA DE LOBOS,-16.985709042660698,32.65737211313725
pt.ine.add.MAD.406,ESCNH LOMBO DAS BARRAS,8,9300-321,CÂMARA DE LOBOS,-16.98628702070403,32.656993202083775
pt.ine.add.MAD.407,1 ENTRADA DAS ESCADINHAS DO LOMBO DAS BARRAS,1,9300-321,CÂMARA DE LOBOS,-16.98620355703953,32.65707569071355
pt.ine.add.MAD.408,CAM LEVADA DO SALAO,17,9300-311,CÂMARA DE LOBOS,-16.98516545384021,32.65978867942659
pt.ine.add.MAD.409,CAM LEVADA DO SALÃO CCI 104,9,9300-311,CÂMARA DE LOBOS,-16.983931951578633,32.65896946165484
pt.ine.add.MAD.410,CAM HERAS,9,9300-071,CÂMARA DE LOBOS,-16.9835317441357,32.65919223574467
pt.ine.add.MAD.411,ESTR JOÃO GONÇALVES ZARCO,766,9300-079,CÂMARA DE LOBOS,-16.992898389432003,32.664265554591985
pt.ine.add.MAD.412,ESTR JOÃO GONÇALVES ZARCO,583,9300-079,CÂMARA DE LOBOS,-16.9919047809049,32.66417311200921
pt.ine.add.MAD.413,ESTR JOSE AVELINO PINTO,77,9300-326,CÂMARA DE LOBOS,-16.99172956139263,32.663003479700144
pt.ine.add.MAD.414,1 IMPASSE DA ESTRADA JOSE AVELINO PINTO,3,9300-326,CÂMARA DE LOBOS,-16.992041062690443,32.66118580080195
pt.ine.add.MAD.415,1 IMPASSE DA ESTRADA JOSE AVELINO PINTO,1,9300-326,CÂMARA DE LOBOS,-16.991899710936806,32.66106178508312
pt.ine.add.MAD.416,ESTR JOSE AVELINO PINTO,41,9300-326,CÂMARA DE LOBOS,-16.991034092251503,32.66048931800521
pt.ine.add.MAD.417,ESTR JOSE AVELINO PINTO,97,9300-326,CÂMARA DE LOBOS,-16.99099646003624,32.660715379641026
