id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1101293,PACO,1,3060-057,ANÇÃ,-8.522253822979922,40.2729227066547
pt.ine.add.PTCONT.1101555,R TEJOSO,,3060-393,MURTEDE,-8.506655464596747,40.341912652134525
pt.ine.add.PTCONT.1100116,R LUIS SILVA,70,3060-214,CANTANHEDE,-8.644622779097988,40.3725171092513
pt.ine.add.PTCONT.1100117,CARREIRA DO AREAL,6,3060-211,CANTANHEDE,-8.625786237140733,40.32114087342114
pt.ine.add.PTCONT.1100118,LG CRUZ,7,3060-211,CANTANHEDE,-8.622121151475652,40.32085976890144
pt.ine.add.PTCONT.1100119,R DR SANTOS SILVA,9,3060-215,CANTANHEDE,-8.623127071037334,40.369917523804084
pt.ine.add.PTCONT.1100120,R PRINCIPAL,41,3060-200,CANTANHEDE,-8.636013072710076,40.37060066282399
pt.ine.add.PTCONT.1100121,R ENXOFAES,5,3060-430,MURTEDE,-8.510586270977921,40.32710361626718
pt.ine.add.PTCONT.1100122,BC HORTA DA PRESA,6,3060-471,OURENTÃ,-8.546568250866741,40.38480559644866
pt.ine.add.PTCONT.1100123,R TRAS,19,3060-471,OURENTÃ,-8.550719991061564,40.387735495098894
pt.ine.add.PTCONT.1100124,R COVÃO,8,3060-440,OURENTÃ,-8.555233442023088,40.36364721086586
pt.ine.add.PTCONT.1100240,R CONS CARVALHO,16,3060-146,CANTANHEDE,-8.59283623900173,40.347987208893045
pt.ine.add.PTCONT.1100241,R FR MANUEL DOS SANTOS,,3060-459,OURENTÃ,-8.552159252293063,40.35771469655583
pt.ine.add.PTCONT.1100242,R ESTRADA DE CANTANHEDE,20,3060-491,OUTIL,-8.596192735718956,40.31556254600994
pt.ine.add.PTCONT.1100243,R JOAQUIM ALFREDO FREITAS,15,3060-491,OUTIL,-8.594685465508945,40.3119032656159
pt.ine.add.PTCONT.1100244,R S MARIA MADALENA,15,3060-491,OUTIL,-8.590173054665948,40.30740934158516
pt.ine.add.PTCONT.1100245,R CAP MARTINS,4,3060-492,OUTIL,-8.596162458968532,40.305962627680664
pt.ine.add.PTCONT.1100351,R GAZETA DE CANTANHEDE,28,3060-173,CANTANHEDE,-8.594012139527749,40.35300765632786
pt.ine.add.PTCONT.1100352,AV COLÉGIO INF DE SAGRES,5A,3060-229,CANTANHEDE,-8.596893801689042,40.35439200491864
pt.ine.add.PTCONT.1100353,AV COLÉGIO INF DE SAGRES,5A,3060-229,CANTANHEDE,-8.596893801689042,40.35439200491864
pt.ine.add.PTCONT.1100354,AV COLÉGIO INF DE SAGRES,5A,3060-229,CANTANHEDE,-8.596893801689042,40.35439200491864
pt.ine.add.PTCONT.1100355,AV COLÉGIO INF DE SAGRES,5A,3060-229,CANTANHEDE,-8.596893801689042,40.35439200491864
pt.ine.add.PTCONT.1100356,AV COLÉGIO INF DE SAGRES,5A,3060-229,CANTANHEDE,-8.596893801689042,40.35439200491864
pt.ine.add.PTCONT.1100357,R JOÃO DE RUAO,64,3060-179,CANTANHEDE,-8.594688097697976,40.352014344557915
pt.ine.add.PTCONT.1100358,R JOÃO DE RUAO,64,3060-179,CANTANHEDE,-8.594688097697976,40.352014344557915
pt.ine.add.PTCONT.1100359,R ENG AMARO DA COSTA,64,3060-170,CANTANHEDE,-8.594759663241028,40.35387821822222
pt.ine.add.PTCONT.1100360,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100361,R LOUCA,1,3060-492,OUTIL,-8.600441516565537,40.30386511097379
pt.ine.add.PTCONT.1100362,R CRUZEIRO,,3060-503,POCARIÇA,-8.582649828430114,40.36672286549595
pt.ine.add.PTCONT.1100363,R NORTE,,3060-503,POCARIÇA,-8.585008278180306,40.367281025679915
pt.ine.add.PTCONT.1100364,R SARA,40,3060-503,POCARIÇA,-8.587182549338342,40.36670515788074
pt.ine.add.PTCONT.1100365,BR DR SILVA PEREIRA,15,3060-503,POCARIÇA,-8.581485422441178,40.36512439193315
pt.ine.add.PTCONT.1100366,LG NSA SRA CONCEIÇÃO,14,3060-502,POCARIÇA,-8.579026592930964,40.39754490731077
pt.ine.add.PTCONT.1100367,R FANECA,5,3060-502,POCARIÇA,-8.577622797850053,40.397226113062075
pt.ine.add.PTCONT.1100368,R LADEIRA,7,3060-502,POCARIÇA,-8.579774298737473,40.39661445137424
pt.ine.add.PTCONT.1100476,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100477,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100478,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100479,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100480,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100481,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100482,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100483,R HENRIQUE BARRETO,30,3060-176,CANTANHEDE,-8.595849750462333,40.34630915416282
pt.ine.add.PTCONT.1100484,R D ANTONIA,10,3060-522,PORTUNHOS,-8.544350776478634,40.30089908053127
pt.ine.add.PTCONT.1100586,R BECO,9,3060-522,PORTUNHOS,-8.545959679011073,40.294688426096904
pt.ine.add.PTCONT.1100587,R SEPINS PEQUENO,3,3060-547,SEPINS,-8.495153963322746,40.38318588412257
pt.ine.add.PTCONT.1100588,R AREIA,72,3060-537,SEPINS,-8.500139013497252,40.39035661098515
pt.ine.add.PTCONT.1100589,TV FONTE,2,3060-559,SEPINS,-8.495079998882812,40.386968454591724
pt.ine.add.PTCONT.1100590,R JUNQUEIRO,,3060-553,SEPINS,-8.50093512384762,40.38514886555258
pt.ine.add.PTCONT.1100591,R BARREIRO,18,3060-550,SEPINS,-8.494943320164712,40.385636058423025
pt.ine.add.PTCONT.1100681,R ANTONIO JOSE DA SILVA POIARES,,3060-141,CANTANHEDE,-8.591254566145201,40.343850903187814
pt.ine.add.PTCONT.1100682,R ANTONIO JOSE DA SILVA POIARES,,3060-141,CANTANHEDE,-8.591254566145201,40.343850903187814
pt.ine.add.PTCONT.1100683,R CARLOS OLIVEIRA,3,3060-145,CANTANHEDE,-8.591254566145201,40.343850903187814
pt.ine.add.PTCONT.1100684,R ANTONIO JOSE DA SILVA POIARES,,3060-141,CANTANHEDE,-8.591254566145201,40.343850903187814
pt.ine.add.PTCONT.1100685,R ANTONIO JOSE DA SILVA POIARES,,3060-141,CANTANHEDE,-8.591254566145201,40.343850903187814
pt.ine.add.PTCONT.1100686,AV 25 DE ABRIL,8,3060-123,CANTANHEDE,-8.588362183814889,40.34253849783928
pt.ine.add.PTCONT.1100687,R AMOREIRAS,33,3060-545,SEPINS,-8.496862102750397,40.385476944051334
pt.ine.add.PTCONT.1100688,R NORTE,763,3060-690,TOCHA,-8.839089117474922,40.332778657396624
