id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.951937,,,6000-664,SANTO ANDRÉ DAS TOJEIRAS,-7.711757861708243,39.77426716369504
pt.ine.add.PTCONT.959315,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959316,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959317,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959318,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959319,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959320,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959321,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.959322,QTA NOVA,,6000-036,CASTELO BRANCO,-7.488856336041516,39.82694907867657
pt.ine.add.PTCONT.950688,TV QUINTAL DO ROXO,22,6005-093,ALCAINS,-7.455320274978503,39.914857502793645
pt.ine.add.PTCONT.950689,R D DINIS,14,6005-042,ALCAINS,-7.456729269731497,39.914298338286606
pt.ine.add.PTCONT.950690,R SANTA MARIA,33,6000-178,CASTELO BRANCO,-7.494635795515578,39.823441524623505
pt.ine.add.PTCONT.950691,TV CHOES,11,6000-311,CASTELO BRANCO,-7.494881652278214,39.82337983271269
pt.ine.add.PTCONT.950692,R SE,37,6000-172,CASTELO BRANCO,-7.491537653075402,39.826261440375774
pt.ine.add.PTCONT.950693,R ESTALAGEM,78,6000-610,PÓVOA DE RIO DE MOINHOS,-7.502710676589764,39.94046831315483
pt.ine.add.PTCONT.950694,R OUTEIRO,,6000-610,PÓVOA DE RIO DE MOINHOS,-7.49936973429094,39.941161588371045
pt.ine.add.PTCONT.950695,EN 352,18,6000-610,PÓVOA DE RIO DE MOINHOS,-7.503532143648213,39.938923711107435
pt.ine.add.PTCONT.950745,TV FERNANDO PESSOA,1,6000-005,ALMACEDA,-7.701758475438926,39.96404840788032
pt.ine.add.PTCONT.950746,R NOVA,12,6000-022,BENQUERENÇAS,-7.542000147010488,39.77971415305861
pt.ine.add.PTCONT.950747,R FERREIROS,12,6000-204,CASTELO BRANCO,-7.492492277804297,39.82534806582757
pt.ine.add.PTCONT.950748,R FERREIROS,14,6000-204,CASTELO BRANCO,-7.492492277804297,39.82534806582757
pt.ine.add.PTCONT.950749,R EURICO SALLES VIANA,,6000-226,CASTELO BRANCO,-7.502291778676243,39.81390961900433
pt.ine.add.PTCONT.950750,MTE VELHO,,6000-434,CASTELO BRANCO,-7.483960103328511,39.79363417260449
pt.ine.add.PTCONT.950751,R O RAPOSINHO,I8,6000-041,CASTELO BRANCO,-7.502123936411603,39.81310713766699
pt.ine.add.PTCONT.950752,R CARREIRA TIRO,4,6000-357,CASTELO BRANCO,-7.5039572119911195,39.81313510555628
pt.ine.add.PTCONT.950753,R PRINCIPAL,7,6000-620,RETAXO,-7.590522138468826,39.766630568271324
pt.ine.add.PTCONT.950754,AV DR AUGUSTO RIBEIRO,90,6000-621,RETAXO,-7.582757865511575,39.75677693358837
pt.ine.add.PTCONT.950755,R FONTE DAS FREIRAS,9,6000-621,RETAXO,-7.581129436985132,39.75612073294669
pt.ine.add.PTCONT.950756,R S JOSE,30,6000-621,RETAXO,-7.581237735337984,39.75424789521609
pt.ine.add.PTCONT.950757,R MONTE GRANDE,49,6000-621,RETAXO,-7.58358117344445,39.75155706113759
pt.ine.add.PTCONT.950802,R CASAS NOVAS,65,6000-020,BENQUERENÇAS,-7.583222577883325,39.79223762446826
pt.ine.add.PTCONT.950803,R FUNDO DO MONTE,13,6000-020,BENQUERENÇAS,-7.583983790055134,39.79194401623008
pt.ine.add.PTCONT.950804,QTA PEREIRO,,6000-113,CASTELO BRANCO,-7.488608277520175,39.843492370059536
pt.ine.add.PTCONT.950805,R MEDICO SOUSA REFOIOS,12,6000-250,CASTELO BRANCO,-7.480130928898304,39.824459573952886
pt.ine.add.PTCONT.950806,R MEDICO SOUSA REFOIOS,12,6000-250,CASTELO BRANCO,-7.480130928898304,39.824459573952886
pt.ine.add.PTCONT.950807,R GUILHERMINO DE BARROS,23,6000-234,CASTELO BRANCO,-7.480526679884184,39.82460590245849
pt.ine.add.PTCONT.950808,TV TERMINAL,3,6000-310,CASTELO BRANCO,-7.510392605064643,39.80790107958696
pt.ine.add.PTCONT.950809,R CARREIRA TIRO,4,6000-357,CASTELO BRANCO,-7.5039572119911195,39.81313510555628
pt.ine.add.PTCONT.950810,R DR OSÓRIO VAZ,8,6000-371,CASTELO BRANCO,-7.50465014895185,39.812706554020295
pt.ine.add.PTCONT.950811,R PONSUL,13A,6000-370,CASTELO BRANCO,-7.504753788697866,39.81030240816014
pt.ine.add.PTCONT.950812,BR NSA SRA DO VALONGO,,6000-377,CASTELO BRANCO,-7.500521212164048,39.81213472695653
pt.ine.add.PTCONT.950813,R CARREIRA DE TIRO,49,6000-357,CASTELO BRANCO,-7.500767638202768,39.808182262924014
pt.ine.add.PTCONT.950814,R DR JOAQUIM GONÇALVES MACHAS,64,6000-621,RETAXO,-7.580524589265863,39.75149751785103
pt.ine.add.PTCONT.950815,R AGOSTINHO GOMES BELO,33,6000-621,RETAXO,-7.576780200379174,39.75281259514894
pt.ine.add.PTCONT.950816,TV SENHORA DA GUIA,7,6000-621,RETAXO,-7.579948911241207,39.75053107938223
pt.ine.add.PTCONT.950817,R 25 DE ABRIL,29,6000-621,RETAXO,-7.57873933916731,39.74858890897487
pt.ine.add.PTCONT.950818,R SERRA,38,6000-631,SALGUEIRO DO CAMPO,-7.579108598736106,39.890189350795104
pt.ine.add.PTCONT.950819,R POCAS,29,6000-631,SALGUEIRO DO CAMPO,-7.5830448416574905,39.88628134081194
pt.ine.add.PTCONT.950860,BR DISCO DE CIMA,3,6000-090,CASTELO BRANCO,-7.479740560110831,39.82251200089869
pt.ine.add.PTCONT.950861,R COMPLEXO DESPORTIVO,9,6000-368,CASTELO BRANCO,-7.507538977669316,39.80579624473031
pt.ine.add.PTCONT.950862,R VALE DA RAPOSA,81,6000-378,CASTELO BRANCO,-7.508955282887868,39.80542560270572
pt.ine.add.PTCONT.950863,R IMACULADA CONCEIÇÃO,55,6000-500,CEBOLAIS DE CIMA,-7.5646428175029445,39.75024997984493
pt.ine.add.PTCONT.950864,R BENEMERITO JOÃO SALAVESSA,33,6000-500,CEBOLAIS DE CIMA,-7.566900538422994,39.74954049409973
pt.ine.add.PTCONT.950865,EN 112,,6000-631,SALGUEIRO DO CAMPO,-7.569234950369848,39.886629310310546
pt.ine.add.PTCONT.950866,EN 112,,6000-631,SALGUEIRO DO CAMPO,-7.569234950369848,39.886629310310546
pt.ine.add.PTCONT.950867,R ADRO,16,6000-631,SALGUEIRO DO CAMPO,-7.5810984737219265,39.8913606510693
pt.ine.add.PTCONT.950868,R NOVA DA SERRA,,6000-631,SALGUEIRO DO CAMPO,-7.580084467777202,39.889509529864824
pt.ine.add.PTCONT.950869,R FONTE FRIA,,6000-631,SALGUEIRO DO CAMPO,-7.573941185990217,39.88871453815855
pt.ine.add.PTCONT.950870,R ROSSIO,9,6000-630,SALGUEIRO DO CAMPO,-7.572336757786653,39.87326097528239
pt.ine.add.PTCONT.950871,LG ANTÓNIO MARIA PENTEADO,5,6000-630,SALGUEIRO DO CAMPO,-7.57278560333122,39.87268674004588
pt.ine.add.PTCONT.950919,QTA LIRIA,,6000-096,CASTELO BRANCO,-7.514446127913076,39.86373517231102
pt.ine.add.PTCONT.950920,R NUNO ÁLVARES PEREIRA,22,6000-500,CEBOLAIS DE CIMA,-7.565911032345461,39.74641941072473
pt.ine.add.PTCONT.950921,R BANDAS PEQUENAS,40,6000-500,CEBOLAIS DE CIMA,-7.565881812630052,39.744760705828405
pt.ine.add.PTCONT.950922,ESTR RAMAL DO PALVARINHO,58,6000-630,SALGUEIRO DO CAMPO,-7.562962543552757,39.87747526023755
pt.ine.add.PTCONT.950923,R PRINCIPAL,,6000-660,SANTO ANDRÉ DAS TOJEIRAS,-7.731947683877039,39.82499109679368
pt.ine.add.PTCONT.950924,R BARROCA DE AGUA,,6000-660,SANTO ANDRÉ DAS TOJEIRAS,-7.727778261656685,39.82489554792601
pt.ine.add.PTCONT.951017,R CABANA,,6005-273,SÃO VICENTE DA BEIRA,-7.6527178013119395,40.0308793045072
pt.ine.add.PTCONT.950925,R PRINCIPAL,,6000-669,SANTO ANDRÉ DAS TOJEIRAS,-7.6964284217322945,39.82106213710492
pt.ine.add.PTCONT.950926,R ARTUR LOURENÇO FERNANDES,,6000-657,SANTO ANDRÉ DAS TOJEIRAS,-7.697826507001571,39.80495486415929
pt.ine.add.PTCONT.950958,,,6000-447,CASTELO BRANCO,-7.407076120627909,39.850485984902825
pt.ine.add.PTCONT.950959,R FUNDO DO CEMITÉRIO,3,6000-104,CASTELO BRANCO,-7.48832070835223,39.83676303262399
pt.ine.add.PTCONT.950960,R CABINE,7,6005-150,ESCALOS DE BAIXO,-7.397470148070944,39.88450519637875
pt.ine.add.PTCONT.950961,R NSA SRA DOS AFLITOS,,6005-150,ESCALOS DE BAIXO,-7.395824156422891,39.887556866625175
pt.ine.add.PTCONT.950962,R PRINCIPAL,,6000-640,SANTO ANDRÉ DAS TOJEIRAS,-7.68873775019455,39.79830066743299
pt.ine.add.PTCONT.950963,R DR JANUARIO NUNES,,6000-646,SANTO ANDRÉ DAS TOJEIRAS,-7.672382880138303,39.783799512694074
pt.ine.add.PTCONT.950964,R FUNDO DO POVO,,6000-642,SANTO ANDRÉ DAS TOJEIRAS,-7.70345732924801,39.7482529098053
pt.ine.add.PTCONT.950965,,,6000-658,SANTO ANDRÉ DAS TOJEIRAS,-7.73455591395641,39.79203645098601
pt.ine.add.PTCONT.950966,R MESTRES,,6000-648,SANTO ANDRÉ DAS TOJEIRAS,-7.723403675964447,39.7767226024571
