id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3534759,QTA STO ANTÓNIO DA MOUTOSA,,7320-206,CASTELO DE VIDE,-7.445056600298603,39.4055275132525
pt.ine.add.PTCONT.3535108,LG ROSSIO,28,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.5189889710152,39.51149361119099
pt.ine.add.PTCONT.3535109,EM 1007,,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.537148369764653,39.510525308900206
pt.ine.add.PTCONT.3535133,R VINHA DO POÇO,34,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.521631948740363,39.51166895090317
pt.ine.add.PTCONT.3535134,R BAIXO,1,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.518727888542085,39.51036848810568
pt.ine.add.PTCONT.3535135,VOLTA DO ARRABALDE,13,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.518269388699762,39.510021689542754
pt.ine.add.PTCONT.3535136,QTA TOURIL,,7320-011,N SRA GRAÇA PÓVOA MEADAS,-7.531573046134342,39.505786002548696
pt.ine.add.PTCONT.3535137,ESTR BOM JESUS,,7320-101,CASTELO DE VIDE,-7.448240121131111,39.41834522734322
pt.ine.add.PTCONT.3535138,ESTR RIBEIRA DE VIDE,,7320-204,CASTELO DE VIDE,-7.439728576402797,39.417141912277025
pt.ine.add.PTCONT.3535139,ESTR RIBEIRA DA VIDE,,7320-204,CASTELO DE VIDE,-7.440766594142226,39.422552278472146
pt.ine.add.PTCONT.3535140,R SACO,5,7320-176,CASTELO DE VIDE,-7.455328042833023,39.416693428168934
pt.ine.add.PTCONT.3535141,CAM POMBAIS,,7320-201,CASTELO DE VIDE,-7.458663702756027,39.43806833600466
pt.ine.add.PTCONT.3535176,R CÂNDIDO DOS REIS,71 73,7320-118,CASTELO DE VIDE,-7.4535143240373385,39.415525001604024
pt.ine.add.PTCONT.3535177,R FONTE,5,7320-150,CASTELO DE VIDE,-7.455910550387962,39.417094249243306
pt.ine.add.PTCONT.3535202,R CANTO DA ALDEIA,27,7320-159,CASTELO DE VIDE,-7.459633890142716,39.41813253241134
pt.ine.add.PTCONT.3535203,TV MORAIS,4,7320-167,CASTELO DE VIDE,-7.458238414184273,39.41713757156373
pt.ine.add.PTCONT.3535204,R COSTA,53,7320-164,CASTELO DE VIDE,-7.458374284730258,39.41709298884344
pt.ine.add.PTCONT.3535205,,,7320-301,CASTELO DE VIDE,-7.551670452371185,39.481335447188734
pt.ine.add.PTCONT.3535206,,,7320-301,CASTELO DE VIDE,-7.481371753956953,39.44186362422172
pt.ine.add.PTCONT.3535207,R POUSO,13,7320-407,CASTELO DE VIDE,-7.459297101931627,39.41243977250388
pt.ine.add.PTCONT.3535237,TERR BIJOS,9,7320-145,CASTELO DE VIDE,-7.457256497174733,39.416605571281536
pt.ine.add.PTCONT.3535238,R COSTA,9,7320-145,CASTELO DE VIDE,-7.457256497174733,39.416605571281536
pt.ine.add.PTCONT.3535435,R S PEDRO,3,7320-163,CASTELO DE VIDE,-7.458583950853123,39.4169435233292
pt.ine.add.PTCONT.3535263,PC D PEDRO V,11,7320-113,CASTELO DE VIDE,-7.455901426052056,39.41503948235765
