id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5426973,R CORGO,4,3600-300,CUJÓ,-7.846305994687609,40.940140255597115
pt.ine.add.PTCONT.5426974,R CENTRAL,,3600-311,ERMIDA CDR,-7.953840037394406,40.96390488274152
pt.ine.add.PTCONT.5426975,AV PRINCIPAL,,3600-312,ERMIDA CDR,-7.935424802778968,40.936887675089324
pt.ine.add.PTCONT.5426976,R NSA SRA CONCEIÇÃO,9,3600-324,ESTER,-8.019116859908735,40.921944850373464
pt.ine.add.PTCONT.5426977,R AIDO,,3600-342,GAFANHÃO,-8.035741752357128,40.902626841359904
pt.ine.add.PTCONT.5427057,R MOITAS,,3600-374,GOSENDE,-7.903229881728288,41.00982882478786
pt.ine.add.PTCONT.5427058,AV CRUZEIRO,,3600-374,GOSENDE,-7.904087077180522,41.0094523374392
pt.ine.add.PTCONT.5427059,R FONTE,,3600-374,GOSENDE,-7.90637510647162,41.00780001198923
pt.ine.add.PTCONT.5427060,TV PASSO,,3600-374,GOSENDE,-7.90616111062357,41.00780859548082
pt.ine.add.PTCONT.5427061,R PRESA,,3600-377,GOSENDE,-7.934996767215495,40.984746865587724
pt.ine.add.PTCONT.5427165,R CASTANHEIRINHO,52,3600-398,MAMOUROS,-7.937051865710033,40.84835529428708
pt.ine.add.PTCONT.5427166,R S MIGUEL,24,3600-394,MAMOUROS,-7.946690274121373,40.83233358282302
pt.ine.add.PTCONT.5427167,R EMIGRANTES,71,3600-394,MAMOUROS,-7.946273432745979,40.83723156740585
pt.ine.add.PTCONT.5427168,R S MIGUEL,71,3600-394,MAMOUROS,-7.946243097515506,40.835367507021985
pt.ine.add.PTCONT.5427269,TV PEREIRA,6,3600-401,MEZIO,-7.893499660579014,40.982038727048895
pt.ine.add.PTCONT.5427270,R RAPOSA,,3600-430,MÕES,-7.886625369650555,40.865493851162114
pt.ine.add.PTCONT.5427341,R BARREIRO,,3600-430,MÕES,-7.887097495967089,40.86291947581205
pt.ine.add.PTCONT.5427342,R SENHOR DA BOA MORTE,256,3600-434,MÕES,-7.90223681022613,40.87184754496174
pt.ine.add.PTCONT.5427343,R CAMPO,2,3600-434,MÕES,-7.9024355616935615,40.865850725359586
pt.ine.add.PTCONT.5427344,R VINHO,9,3600-434,MÕES,-7.902401602127267,40.865382405984725
pt.ine.add.PTCONT.5427345,R VINHO,4,3600-434,MÕES,-7.902672542399262,40.86592323770457
pt.ine.add.PTCONT.5427346,R PRINCIPAL,516,3600-422,MÕES,-7.845304749673085,40.872565995557906
pt.ine.add.PTCONT.5427347,R PRINCIPAL,,3600-422,MÕES,-7.846229299122902,40.872739390290235
pt.ine.add.PTCONT.5427348,LG CARVALHAS,615,3600-431,MÕES,-7.865294203790424,40.86357329240427
pt.ine.add.PTCONT.5427438,R CENTRAL,,3600-424,MÕES,-7.849357961880603,40.854017074987226
pt.ine.add.PTCONT.5427439,,,3600-457,MOLEDO CDR,-7.819415439376457,40.84590720988918
pt.ine.add.PTCONT.5427440,R CENTRAL,,3600-425,MÕES,-7.9297613004854846,40.86308361884274
pt.ine.add.PTCONT.5427441,R PRINCIPAL,,3600-457,MOLEDO CDR,-7.82754731792485,40.833592366457054
pt.ine.add.PTCONT.5427528,R MASSADOUROS,,3600-460,MOLEDO CDR,-7.871290093555028,40.82890933020671
pt.ine.add.PTCONT.5427529,R CENTRAL,27,3600-456,MOLEDO CDR,-7.897292879913574,40.807488700714345
pt.ine.add.PTCONT.5427622,R DIREITA,9,3600-475,MONTEIRAS,-7.856734430012294,40.95668034536176
pt.ine.add.PTCONT.5427623,R PRINCIPAL,,3600-480,MOURA MORTA CDR,-7.913718500237502,40.951264966675176
pt.ine.add.PTCONT.5427624,TV CHANDEIRA,,3600-480,MOURA MORTA CDR,-7.91361092312401,40.951471870093236
pt.ine.add.PTCONT.5427735,R BARREIRINHA,,3600-480,MOURA MORTA CDR,-7.913895073789765,40.951742551743095
pt.ine.add.PTCONT.5427736,AV D JOÃO CRISÓSTOMO,,3600-502,PARADA DE ESTER,-8.028830482799929,40.9353801186302
pt.ine.add.PTCONT.5427737,AV ANTÓNIO ADEMAR CUNHA,496,3600-508,PARADA DE ESTER,-8.055062485722978,40.93347384314542
pt.ine.add.PTCONT.5427738,R PRAÇA,2,3600-508,PARADA DE ESTER,-8.058542490148414,40.93257567200707
