id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1573138,,,8950-012,AZINHAL CTM,-7.552867743354288,37.2644572442853
pt.ine.add.PTCONT.1466815,R LIBERDADE,,8950-414,ALTURA,-7.496294965705643,37.18032529531405
pt.ine.add.PTCONT.1466816,R JOÃO DE ALMEIDA,,8950-414,ALTURA,-7.500571236911667,37.17932101581174
pt.ine.add.PTCONT.1466817,R URBANIZAÇÃO PONTE DO REGATO,33,8950-414,ALTURA,-7.5000334496980186,37.178993769179534
pt.ine.add.PTCONT.1466818,URB BELA PRAIA,,8950-414,ALTURA,-7.505540836192566,37.18024848196477
pt.ine.add.PTCONT.1466819,URB BELA PRAIA,,8950-414,ALTURA,-7.505540836192566,37.18024848196477
pt.ine.add.PTCONT.1466820,URB BELA PRAIA,,8950-414,ALTURA,-7.506376342157285,37.179982592253516
pt.ine.add.PTCONT.1466821,URB BELA PRAIA,,8950-414,ALTURA,-7.506376342157285,37.179982592253516
pt.ine.add.PTCONT.1466946,URB ALAGOA PRAIA NORTE,61,8950-411,ALTURA,-7.497466103211491,37.177637474230835
pt.ine.add.PTCONT.1466947,R ANTÓNIO BRANQUINHO,6A,8950-411,ALTURA,-7.5002550608724565,37.178075891997125
pt.ine.add.PTCONT.1466948,URB AMOREIRAS,31,8950-414,ALTURA,-7.49617302534109,37.17607173061854
pt.ine.add.PTCONT.1467063,URB BELA PRAIA,,8950-414,ALTURA,-7.506034345097616,37.17912479442366
pt.ine.add.PTCONT.1467064,URB BELA PRAIA,,8950-414,ALTURA,-7.505845825868111,37.17877239079196
pt.ine.add.PTCONT.1467065,URB BELA PRAIA,,8950-414,ALTURA,-7.5058174197370375,37.17948406233316
pt.ine.add.PTCONT.1467066,URB BELA PRAIA,119 A,8950-414,ALTURA,-7.505555146983303,37.178518560270746
pt.ine.add.PTCONT.1467204,TV GIL,,8950-411,ALTURA,-7.500171534836197,37.17593997994821
pt.ine.add.PTCONT.1467205,ALAGOA,17,8950-411,ALTURA,-7.500893963401938,37.17572758696149
pt.ine.add.PTCONT.1467206,ALAGOA,10,8950-411,ALTURA,-7.499963689092182,37.17520902657876
pt.ine.add.PTCONT.1467320,URB BELA DUNA,,8950-411,ALTURA,-7.500514077928068,37.17267103078579
pt.ine.add.PTCONT.1467321,URB BELA DUNA,,8950-411,ALTURA,-7.500514077928068,37.17267103078579
pt.ine.add.PTCONT.1467322,URB BELA DUNA,,8950-411,ALTURA,-7.500514077928068,37.17267103078579
pt.ine.add.PTCONT.1467323,URB BELA DUNA,,8950-411,ALTURA,-7.500514077928068,37.17267103078579
pt.ine.add.PTCONT.1467735,,,8950-088,AZINHAL CTM,-7.499065115688658,37.29604156727729
pt.ine.add.PTCONT.1467736,LG CAP LINO VAZ PALMA ANTUNES,,8950-027,AZINHAL CTM,-7.466831195152948,37.28463776306225
pt.ine.add.PTCONT.1467737,,,8950-082,AZINHAL CTM,-7.559102983386215,37.280661104540194
pt.ine.add.PTCONT.1467738,R S BARBARA,,8950-033,AZINHAL CTM,-7.4636189246453135,37.28446646396322
pt.ine.add.PTCONT.1467739,,,8950-105,CASTRO MARIM,-7.482693908594892,37.248315523642084
pt.ine.add.PTCONT.1467865,ESTR RIO SECO,,8950-258,CASTRO MARIM,-7.492198421416681,37.226661514399275
pt.ine.add.PTCONT.1467866,SIT RIO SECO,,8950-258,CASTRO MARIM,-7.488422905319093,37.22146008386798
pt.ine.add.PTCONT.1467867,SIT RIO SECO,,8950-258,CASTRO MARIM,-7.488491808005725,37.22130728325208
pt.ine.add.PTCONT.1467868,QTA VALE GOLFE,,8950-144,CASTRO MARIM,-7.450817974672913,37.24722610028114
pt.ine.add.PTCONT.1467869,R EIRA DA ACHADA,,8950-190,CASTRO MARIM,-7.46335566930369,37.24035075025589
pt.ine.add.PTCONT.1468032,R VISTA REAL,4,8950-227,CASTRO MARIM,-7.4527371219388225,37.234343424696014
pt.ine.add.PTCONT.1468033,R JACINTO CELOURICO PALHA,22,8950-270,CASTRO MARIM,-7.4885543543178965,37.19276282251721
pt.ine.add.PTCONT.1468034,R FONTE,16,8950-270,CASTRO MARIM,-7.480374454428461,37.191816999257576
pt.ine.add.PTCONT.1468187,R JOÃO DA GUARDA CABREIRA,,8950-126,CASTRO MARIM,-7.441086542421388,37.21938188916071
pt.ine.add.PTCONT.1468188,R 25 DE ABRIL,111B,8950-122,CASTRO MARIM,-7.444075789052502,37.220228265808025
pt.ine.add.PTCONT.1468320,BR CELORICO DRAGO,,8950-121,CASTRO MARIM,-7.44684728196176,37.21775750986682
pt.ine.add.PTCONT.1468321,R S SEBASTIÃO,,8950-121,CASTRO MARIM,-7.443583540032339,37.21736913156817
