id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4395953,R VELHA,19,2140-382,ULME,-8.430174342352398,39.315796137930285
pt.ine.add.PTCONT.4412652,,,2140-671,CARREGUEIRA,-8.431221652542847,39.42310471522297
pt.ine.add.PTCONT.4391320,R 5 DE OUTUBRO,77,2140-515,PARREIRA,-8.41297367349039,39.20685011475986
pt.ine.add.PTCONT.4391321,R SEBASTIÃO GIL,22,2140-617,CARREGUEIRA,-8.397459231545323,39.45621519808091
pt.ine.add.PTCONT.4391322,BC ZAMBUJO,5,2140-602,CARREGUEIRA,-8.397568602407082,39.45441354385172
pt.ine.add.PTCONT.4391323,R BAIRRO NOVO,10,2140-614,CARREGUEIRA,-8.396488975165843,39.45465017652521
pt.ine.add.PTCONT.4391324,ESTR PARTICULAR,,2140-618,CARREGUEIRA,-8.354463874058224,39.388283473147624
pt.ine.add.PTCONT.4391401,TV LAGAR VELHO,7,2140-675,CARREGUEIRA,-8.41219491977195,39.41914376856098
pt.ine.add.PTCONT.4391402,R D BR PINHAL MANSO,12,2140-670,CARREGUEIRA,-8.407269696332156,39.41876817560069
pt.ine.add.PTCONT.4391403,R OUTEIRO,13,2140-678,CARREGUEIRA,-8.414494945316845,39.41643610286652
pt.ine.add.PTCONT.4391404,R RELVÃO,38,2140-671,CARREGUEIRA,-8.41390478992902,39.41695093269114
pt.ine.add.PTCONT.4391405,CSL HERDADE,,2140-665,CARREGUEIRA,-8.398289719036825,39.43011088627102
pt.ine.add.PTCONT.4391406,CSL HERDADE,,2140-665,CARREGUEIRA,-8.398289719036825,39.43011088627102
pt.ine.add.PTCONT.4391517,R DIREITA,4,2140-665,CARREGUEIRA,-8.423408252529358,39.41246909780235
pt.ine.add.PTCONT.4391518,R RAMALHA,20,2140-659,CARREGUEIRA,-8.412120606862869,39.412154447103084
pt.ine.add.PTCONT.4391895,R ARNEIRO DE CIMA,,2140-013,CHAMUSCA,-8.470141705851294,39.36844240873828
pt.ine.add.PTCONT.4391896,R ARNEIRO DE CIMA,,2140-013,CHAMUSCA,-8.473107216797242,39.36498404277311
pt.ine.add.PTCONT.4392134,AV DR CARLOS AMARO,12,2140-054,CHAMUSCA,-8.475505514693296,39.35948264403265
