id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1100039,R DR JOÃO ANTUNES,25-14 L,3150-137,CONDEIXA-A-NOVA,-8.496058448356235,40.11431546494656
pt.ine.add.PTCONT.1100271,BR DO CICLO,37,3150-122,CONDEIXA-A-NOVA,-8.500100285617176,40.109750163114086
pt.ine.add.PTCONT.1100272,R DE LONGJUMEAU,27,3150-122,CONDEIXA-A-NOVA,-8.500643609558006,40.10958438436493
pt.ine.add.PTCONT.1100273,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100274,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100275,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100276,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100277,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100278,R FONTE DA PRETA,,3150-221,CONDEIXA-A-VELHA,-8.487497951837382,40.12025631881561
pt.ine.add.PTCONT.1100279,R TIAGO BENTO VIEIRA,,3150-221,CONDEIXA-A-VELHA,-8.483709693531047,40.12043642353251
pt.ine.add.PTCONT.1100401,R COSTA DE BAIXO,49,3150-221,CONDEIXA-A-VELHA,-8.486509650644106,40.11981177562446
pt.ine.add.PTCONT.1100402,R PRINCIPAL,40,3150-211,CONDEIXA-A-VELHA,-8.46556363648012,40.105328963310285
pt.ine.add.PTCONT.1100516,R CAPELA,9,3150-219,CONDEIXA-A-VELHA,-8.45128422521582,40.09399446620061
pt.ine.add.PTCONT.1100517,URB PINHEIRO MANSO,,3150-112,CONDEIXA-A-VELHA,-8.487672000225459,40.10477741401703
pt.ine.add.PTCONT.1100618,URB NOVA CONÍMBRIGA,,3150-230,CONDEIXA-A-VELHA,-8.505742968587604,40.107415853675725
pt.ine.add.PTCONT.1100619,R ARCOS,,3150-220,CONDEIXA-A-VELHA,-8.496036644315604,40.10043236744028
pt.ine.add.PTCONT.1100620,R PRINCIPAL,,3150-226,CONDEIXA-A-VELHA,-8.5080460101382,40.09927328386455
