id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4406355,,,2100-407,SÃO JOSÉ DA LAMAROSA,-8.479835445153624,39.07506172038928
pt.ine.add.PTCONT.4434239,URB DO CHAPÉU,,2100-042,CORUCHE,-8.539725573535014,38.95732704779183
pt.ine.add.PTCONT.4400029,R CONVENTO,,2100-623,ERRA,-8.44871335305649,38.99936860631577
pt.ine.add.PTCONT.4402043,R VALE,,2100-607,BRANCA CCH,-8.596783027497606,38.86106381840211
pt.ine.add.PTCONT.4402206,R FAIAL,,2100-376,COUÇO,-8.294018412211418,39.000333056955114
pt.ine.add.PTCONT.4406356,R ESCOLA,,2100-505,FAJARDA,-8.602997437630169,38.975384181893546
pt.ine.add.PTCONT.4410637,,,2100-675,SANTANA DO MATO,-8.435684941358458,38.859250209847396
pt.ine.add.PTCONT.4412693,,,2100-627,ERRA,-8.454861124511043,38.99826188013269
pt.ine.add.PTCONT.4391325,R ENG ALEIXO PAIS,8 B,2100-353,COUÇO,-8.283353203247179,38.990042407932236
pt.ine.add.PTCONT.4391326,R DR MIGUEL BOMBARDA,50,2100-333,COUÇO,-8.28653151006674,38.98664234520886
pt.ine.add.PTCONT.4391407,R SACADURA CABRAL,106,2100-345,COUÇO,-8.287670701845085,38.9850644824704
pt.ine.add.PTCONT.4391408,R LUIS DE CAMÕES,20,2100-339,COUÇO,-8.28934073369708,38.9834858987046
pt.ine.add.PTCONT.4391409,R SEM NOME,,2100-372,COUÇO,-8.278663848395482,38.98283312994353
pt.ine.add.PTCONT.4391410,R SACADURA CABRAL,75,2100-345,COUÇO,-8.28741751554281,38.98539810499889
pt.ine.add.PTCONT.4391411,R SACADURA CABRAL,61,2100-345,COUÇO,-8.287384259895122,38.98602869272755
pt.ine.add.PTCONT.4391412,R SACADURA CABRAL,59,2100-345,COUÇO,-8.287384259895122,38.98602869272755
pt.ine.add.PTCONT.4391413,R SACADURA CABRAL,59,2100-345,COUÇO,-8.287384259895122,38.98602869272755
pt.ine.add.PTCONT.4391414,,,2100-377,COUÇO,-8.246015555985185,38.96910538949039
pt.ine.add.PTCONT.4391521,,,2100-407,SÃO JOSÉ DA LAMAROSA,-8.504916134888516,39.09787270913496
pt.ine.add.PTCONT.4391522,,,2100-407,SÃO JOSÉ DA LAMAROSA,-8.508336661367553,39.08238674048485
pt.ine.add.PTCONT.4391634,,,2100-407,SÃO JOSÉ DA LAMAROSA,-8.454022759557892,39.07836934353988
