id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455979,R DO CASTELO,24,7940-464,VILA RUIVA CUB,-7.937836828965973,38.24751388764317
pt.ine.add.PTCONT.455994,R LAMA,3,7940-411,VILA RUIVA CUB,-7.934634381417148,38.28408883310957
pt.ine.add.PTCONT.456063,R BENTO DE JESUS CARAÇA,17,7940-379,VILA ALVA,-7.898399619598401,38.2517543880271
pt.ine.add.PTCONT.456069,R ULMO,21,7940-468,VILA RUIVA CUB,-7.9367788781477895,38.24746236014067
pt.ine.add.PTCONT.456163,R VALE DAS HORTAS,8,7940-472,VILA RUIVA CUB,-7.938216571169579,38.24841820356275
pt.ine.add.PTCONT.456212,LG CONDE DE FERREIRA,7,7940-113,CUBA,-7.891445795858043,38.163972196098875
pt.ine.add.PTCONT.456213,R AUGUSTA,161,7940-128,CUBA,-7.896494772320803,38.166227362262966
pt.ine.add.PTCONT.456232,R DR MANUEL MARQUES DA COSTA,23,7940-165,CUBA,-7.89039423882701,38.16617624248862
pt.ine.add.PTCONT.456249,R JOÃO VAZ,55 A,7940-159,CUBA,-7.8927975800295656,38.16822251596222
pt.ine.add.PTCONT.456253,R HORTA DO BICHO,11,7940-158,CUBA,-7.890475287923318,38.16236721207195
pt.ine.add.PTCONT.456278,R BEJA,1,7940-311,FARO DO ALENTEJO,-7.941005417144414,38.14762283721189
pt.ine.add.PTCONT.456337,R AUGUSTA,N 24,7940-126,CUBA,-7.893105214063339,38.163814651835814
pt.ine.add.PTCONT.456393,R SOCIEDADE FILARMONICA CUBENSE 1 DE DEZEMBRO,13,7940-140,CUBA,-7.893031020742928,38.16591301058874
pt.ine.add.PTCONT.456560,R DO CARMO,19,7940-144,CUBA,-7.892008472980627,38.163840964060924
pt.ine.add.PTCONT.456588,LG PRAGA,13,7940-311,FARO DO ALENTEJO,-7.943879969956019,38.14774462104389
pt.ine.add.PTCONT.456666,R NOVA,7,7940-470,VILA RUIVA CUB,-7.936104996834513,38.247617220035025
pt.ine.add.PTCONT.456755,R PRAZERES,9,7940-152,CUBA,-7.893791765844086,38.168586475280485
pt.ine.add.PTCONT.456772,R REPUBLICA,13,7940-374,VILA ALVA,-7.900387402690273,38.24956698411281
pt.ine.add.PTCONT.456791,EN 258-1,49,7940-017,CUBA,-7.900376748408697,38.213486232626245
pt.ine.add.PTCONT.456803,R ESPERANÇA,10A,7940-311,FARO DO ALENTEJO,-7.940511858186324,38.14876617895878
pt.ine.add.PTCONT.456819,R DE STO ANTÓNIO,15,7940-383,VILA ALVA,-7.901963603718722,38.251635237216654
pt.ine.add.PTCONT.456828,R DR EMILIA SALVADO BORGES,29,7940-007,CUBA,-7.8852168289829345,38.16521209105431
pt.ine.add.PTCONT.456860,LOTEAM OLIVEIRAS,,7940-007,CUBA,-7.8864989257153715,38.16607326431419
pt.ine.add.PTCONT.456889,R FORMOSA,26,7940-157,CUBA,-7.890348238345578,38.16401293620364
pt.ine.add.PTCONT.456916,R ANTÓNIO MARIA FIALHO ILDEFONSO,16,7940-148,CUBA,-7.894995149714143,38.169510574396156
pt.ine.add.PTCONT.456999,TV JASMINS,5,7940-012,CUBA,-7.892441425562667,38.16467985882839
pt.ine.add.PTCONT.457000,R MOURARIA,8,7940-116,CUBA,-7.893772926959649,38.166069019674985
pt.ine.add.PTCONT.457002,R MANUEL BERNARDO BARAHONA,7,7940-163,CUBA,-7.890985195258422,38.16562692647017
pt.ine.add.PTCONT.457092,R AFONSO COSTA,11,7940-377,VILA ALVA,-7.898990874177722,38.249474117591184
pt.ine.add.PTCONT.457193,EN 238,,7940-119,CUBA,-7.8937423370425135,38.17869824967621
pt.ine.add.PTCONT.457228,R BAIRRO NOVO DA BICA,5,7940-158,CUBA,-7.8899281267138734,38.162203917928494
pt.ine.add.PTCONT.457281,R VISC DA ESPERANÇA,69,7940-173,CUBA,-7.887283578502541,38.1658703109005
pt.ine.add.PTCONT.457346,R LAGOA,1,7940-177,CUBA,-7.89564363606751,38.16607147568198
