id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.458819,AV COLONIA,3,4740-032,APÚLIA,-8.777003783049224,41.484211257399664
pt.ine.add.PTCONT.458820,R LIRIOS,425,4740-368,FÃO,-8.778056992694175,41.5107215019961
pt.ine.add.PTCONT.458821,R LIRIOS,10,4740-368,FÃO,-8.777657259517746,41.51027355474318
pt.ine.add.PTCONT.458822,R VEIGAS,36,4740-369,FÃO,-8.772333385995248,41.509718023856266
pt.ine.add.PTCONT.458823,R PADRE JOÃO JOSE GONÇALVES,62,4740-612,RIO TINTO EPS,-8.70276425431459,41.50025151665379
pt.ine.add.PTCONT.458824,R REQUEIXO,8,4740-611,RIO TINTO EPS,-8.724132442145653,41.49915327874041
pt.ine.add.PTCONT.458825,R NOVA,7,4740-637,VILA CHÃ EPS,-8.740917397695348,41.580432479094945
pt.ine.add.PTCONT.458977,AV COLONIA,3,4740-032,APÚLIA,-8.777003783049224,41.484211257399664
pt.ine.add.PTCONT.458978,AV PRAIA,36,4740-033,APÚLIA,-8.774520604344207,41.484954439941845
pt.ine.add.PTCONT.458979,LG BARROSA,21 C,4740-406,FÃO,-8.755219789064189,41.50756993032659
pt.ine.add.PTCONT.458980,ABARROSA,21 C,4740-406,FÃO,-8.755219789064189,41.50756993032659
pt.ine.add.PTCONT.458981,BARROSA,21 C,4740-406,FÃO,-8.755219789064189,41.50756993032659
pt.ine.add.PTCONT.458982,R SERPA PINTO,54,4740-406,FÃO,-8.759402375356188,41.507808339081755
pt.ine.add.PTCONT.458983,R CHOUSO,10,4740-633,VILA CHÃ EPS,-8.755310650147788,41.5670660704304
pt.ine.add.PTCONT.458984,R CHOUSO,,4740-633,VILA CHÃ EPS,-8.756294861455235,41.565935280048954
pt.ine.add.PTCONT.459127,R ENG ALEXANDRE LOSA FARIA,11,4740-372,FÃO,-8.773502404046425,41.51044082543807
pt.ine.add.PTCONT.459128,R D FR BARTOLOMEU DOS MARTIRES,115,4740-419,FONTE BOA,-8.747939486114898,41.505277102503946
pt.ine.add.PTCONT.459769,EN 13,,4740-512,MAR,-8.790469253080138,41.57605417947627
pt.ine.add.PTCONT.459281,R PELOURINHO,,4740-116,APÚLIA,-8.746125127843277,41.471639567020915
pt.ine.add.PTCONT.459282,R AGRA,13,4740-415,FONTE BOA,-8.738189646569445,41.49625299253095
pt.ine.add.PTCONT.459283,R INFIA,3,4740-440,FORJÃES,-8.75599892277705,41.62121923349038
pt.ine.add.PTCONT.459284,AV MARCELINO QUEIROS,247,4740-444,FORJÃES,-8.744112773146371,41.614098147594085
pt.ine.add.PTCONT.459407,R PRAIA,5,4740-165,BELINHO,-8.787303421603815,41.58671455315708
