id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1367641,R ALVES REDOL,6,7100-100,ESTREMOZ,-7.58153543664872,38.83975306323388
pt.ine.add.PTCONT.1367642,MTE ALBORRA,,7100-149,ESTREMOZ,-7.618357615019098,38.80063182460709
pt.ine.add.PTCONT.1367643,ESTR REDONDO MONTE DA COTOVIEIRA DE CIMA,,7100-149,ESTREMOZ,-7.618357615019098,38.80063182460709
pt.ine.add.PTCONT.1367689,R SERPA PINTO,38,7100-452,ESTREMOZ,-7.589129327238573,38.84470770944585
pt.ine.add.PTCONT.1367690,AV 25 DE ABRIL,,7100-105,ESTREMOZ,-7.586586474138759,38.8435496898613
pt.ine.add.PTCONT.1367691,R CAP MOUSINHO DE ALBUQUERQUE,18-20,7100-519,ESTREMOZ,-7.583647918594469,38.842176453279976
pt.ine.add.PTCONT.1367692,R PORTA DA LAGE,18,7100-557,ESTREMOZ,-7.5938987086963134,38.84294870497178
pt.ine.add.PTCONT.1367706,R AFAN,14,7100-557,ESTREMOZ,-7.594301088039164,38.84310580404385
pt.ine.add.PTCONT.1367707,R ALEXANDRE HERCULANO,31,7100-517,ESTREMOZ,-7.592406797789282,38.84305270130208
pt.ine.add.PTCONT.1367708,R ALEXANDRE HERCULANO,21,7100-517,ESTREMOZ,-7.592114956059892,38.84300980644355
pt.ine.add.PTCONT.1367709,LG GEN GRAÇA,26,7100-112,ESTREMOZ,-7.587762946818035,38.8434901621278
pt.ine.add.PTCONT.1367710,R ALMEIDA,6,7100-537,ESTREMOZ,-7.589754175120279,38.84262981817953
pt.ine.add.PTCONT.1367727,R ABOBREIRA,8,7100-520,ESTREMOZ,-7.588733107255025,38.83997927680834
pt.ine.add.PTCONT.1367728,MTE MALAQUIASS,,7100-600,SÃO BENTO DO AMEIXIAL,-7.635327257695137,38.87974089737735
pt.ine.add.PTCONT.1367729,MTE VERES,,7100-600,SÃO BENTO DO AMEIXIAL,-7.664047267480426,38.83565798511557
