id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1403678,R DA PRATA,1,7005-369,ÉVORA,-7.896492079078328,38.61445304493518
pt.ine.add.PTCONT.1367644,R 21 DE MAIO,31,7005-726,SÃO MANÇOS,-7.751498600181424,38.458544733839645
pt.ine.add.PTCONT.1367645,R IGREJA,4,7005-733,SÃO MANÇOS,-7.751367033050972,38.45742209373248
pt.ine.add.PTCONT.1367646,R IGREJA,6,7005-733,SÃO MANÇOS,-7.751529308081799,38.45751365550916
pt.ine.add.PTCONT.1367647,R DR BARAHONA,17,7005-740,SÃO MANÇOS,-7.752208759437032,38.457608167997485
pt.ine.add.PTCONT.1367648,R 29 DE DEZEMBRO,3,7005-727,SÃO MANÇOS,-7.749241596600303,38.46070326710809
pt.ine.add.PTCONT.1367649,R MARIA TERESA DE ALMEIDA,16,7005-743,SÃO MANÇOS,-7.750186079743097,38.45976046113643
pt.ine.add.PTCONT.1367650,R GOUVEIA,20,7005-741,SÃO MANÇOS,-7.750133891422258,38.4587963765429
pt.ine.add.PTCONT.1367651,R SOL,23,7005-739,SÃO MANÇOS,-7.750934284476287,38.45805000813825
pt.ine.add.PTCONT.1367652,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367696,R QUINTAS,,7200-042,SÃO VICENTE DO PIGEIRO,-7.643066566245782,38.4532949456372
pt.ine.add.PTCONT.1367653,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367654,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367655,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367656,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367657,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367658,R D TEOTÓNIO DE BRAGANÇA,2,7005-454,ÉVORA,-7.919847678713266,38.565156791508535
pt.ine.add.PTCONT.1367672,,,7005-753,SÃO MIGUEL DE MACHEDE,-7.739228102145803,38.67296137992764
pt.ine.add.PTCONT.1367673,,,7005-753,SÃO MIGUEL DE MACHEDE,-7.740853397227599,38.667823150853216
pt.ine.add.PTCONT.1367674,,,7005-753,SÃO MIGUEL DE MACHEDE,-7.742064355834222,38.66277359209728
