id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.459134,R IGREJA,,4820-630,REVELHE,-8.157810560755655,41.48554267284103
pt.ine.add.PTCONT.458826,R JOSE CARDOSO VIEIRA DE CASTRO,389,4820-269,FAFE,-8.168519083593658,41.44856984962806
pt.ine.add.PTCONT.458827,R FRANCA,69,4820-183,FAFE,-8.177684679618247,41.44677488058063
pt.ine.add.PTCONT.458828,R CAPELA,102,4820-589,QUINCHÃES,-8.120474751324974,41.42943221429429
pt.ine.add.PTCONT.458829,R ALTO DA SANTA,122,4820-573,QUINCHÃES,-8.136110697032738,41.41847503637281
pt.ine.add.PTCONT.458830,R FERNANDO NAMORA,239,4820-612,REGADAS,-8.151822404675157,41.398106516317775
pt.ine.add.PTCONT.458831,R FERNANDO NAMORA,237,4820-612,REGADAS,-8.151822404675157,41.398106516317775
pt.ine.add.PTCONT.458832,R LUIS DE CAMÕES,451,4820-602,REGADAS,-8.152097805278924,41.39937603664491
pt.ine.add.PTCONT.458833,R ALMADA NEGREIROS,26,4820-602,REGADAS,-8.14913308874336,41.40301410631706
pt.ine.add.PTCONT.458985,R CANCELA,,4820-001,ABOIM FAF,-8.085736718955108,41.55500003472689
pt.ine.add.PTCONT.458986,R RIBEIRO,,4820-001,ABOIM FAF,-8.103670107278573,41.552313897860564
pt.ine.add.PTCONT.458987,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458988,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458989,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458990,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458991,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458992,AV S JORGE,143,4820-120,FAFE,-8.172477509956893,41.44411161511708
pt.ine.add.PTCONT.458993,TV VASCO DA GAMA I,106,4820-353,FAFE,-8.168719797310251,41.443581607252746
pt.ine.add.PTCONT.458994,URB SOL NASCENTE,165,4820-368,FAFE,-8.177216303595696,41.44430798251131
pt.ine.add.PTCONT.458995,R SANTO ESTEVÃO,605,4820-602,REGADAS,-8.149084711153908,41.40079912773809
pt.ine.add.PTCONT.458996,R D ESTEFANIA,95,4820-617,REGADAS,-8.144838047057213,41.39276805907547
pt.ine.add.PTCONT.459133,URB SOL POENTE,125,4820-122,FAFE,-8.186745808268837,41.434984850524785
pt.ine.add.PTCONT.459129,R CRUZEIRO,,4820-001,ABOIM FAF,-8.09195389139136,41.54232511329506
pt.ine.add.PTCONT.459130,R CARVALHAL,79,4820-005,ANTIME,-8.159276560853383,41.43887508034939
pt.ine.add.PTCONT.459131,R SANTA MARIA,192,4820-005,ANTIME,-8.165619136311193,41.44075528749112
pt.ine.add.PTCONT.459132,R TEIBAES,95,4820-005,ANTIME,-8.170221943763604,41.43375782586537
pt.ine.add.PTCONT.459135,R LIBERDADE,399,4820-630,REVELHE,-8.165475343241036,41.488485037387754
pt.ine.add.PTCONT.459285,TV LAMA,173,4820-010,ARMIL,-8.1892588244495,41.42161276587545
pt.ine.add.PTCONT.459286,TV LAMA,189,4820-010,ARMIL,-8.1892588244495,41.42161276587545
pt.ine.add.PTCONT.459287,R CRUZ DO BARREIRO,158,4820-010,ARMIL,-8.193527794677957,41.4199628758525
pt.ine.add.PTCONT.459288,R FORCA,142,4820-013,ARNOZELA,-8.125635746321926,41.38864457177852
pt.ine.add.PTCONT.459289,R PEGADINHA,504,4820-200,FAFE,-8.179006789200082,41.43796850596332
