id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1899130,R DA CAPELA,,6370-011,ALGODRES FAG,-7.515851427765812,40.64605100743375
pt.ine.add.PTCONT.1899137,BR TENIS,14,6370-179,FORNOS DE ALGODRES,-7.540046033835827,40.62269241204719
pt.ine.add.PTCONT.1899174,R DE GAIA,1,6370-332,JUNCAIS,-7.508580048500116,40.608046251326066
pt.ine.add.PTCONT.1899857,EN 330,,6370-041,FIGUEIRÓ DA GRANJA,-7.4981304073957755,40.63223112573964
pt.ine.add.PTCONT.1899999,EM 586,,6370-381,SOBRAL PICHORRO,-7.457858377000749,40.668698401417416
pt.ine.add.PTCONT.1899808,R DIREITA,,6370-022,CASAL VASCO,-7.559998502380903,40.638930367001166
pt.ine.add.PTCONT.1899858,R DA LEVANDEIRA,,6370-041,FIGUEIRÓ DA GRANJA,-7.499707778347392,40.62791732550838
pt.ine.add.PTCONT.1899859,TV DAS EIRAS,9,6370-041,FIGUEIRÓ DA GRANJA,-7.498791714087905,40.62729994848159
pt.ine.add.PTCONT.1899860,R DE S SALVADOR,12,6370-170,FORNOS DE ALGODRES,-7.538784082077074,40.62373052230853
pt.ine.add.PTCONT.1899894,R ANTÓNIO PEDROSO,,6370-104,FORNOS DE ALGODRES,-7.539082861208365,40.62068831788388
pt.ine.add.PTCONT.1899895,EN 16,21,6370-148,FORNOS DE ALGODRES,-7.537004391773573,40.621848278586086
pt.ine.add.PTCONT.1899896,QTA DAS CORTINHAS,,6370-174,FORNOS DE ALGODRES,-7.538436253508928,40.612310190215744
pt.ine.add.PTCONT.1899897,QTA DA LAMEIRA,,6370-174,FORNOS DE ALGODRES,-7.539420251099293,40.61728610312554
pt.ine.add.PTCONT.1899930,R BAIRRO NOVO,,6370-321,INFIAS FAG,-7.541438330155033,40.62696799408059
pt.ine.add.PTCONT.1899931,R GAIA,4,6370-332,JUNCAIS,-7.510586311625939,40.605760764183735
pt.ine.add.PTCONT.1899932,R NSA SRA DOS MILAGRES,,6370-341,MACEIRA FAG,-7.474300549817937,40.68638025207587
pt.ine.add.PTCONT.1899933,R DOS FERREIROS,,6370-341,MACEIRA FAG,-7.472378211221068,40.68578393905245
pt.ine.add.PTCONT.1899964,LG DO PELOURINHO,4,6370-353,MATANÇA,-7.52934843773417,40.681935589968184
pt.ine.add.PTCONT.1899965,BR DA LAGE DA FORCA,7,6370-353,MATANÇA,-7.533878005935395,40.683354972195886
pt.ine.add.PTCONT.1899966,R DO FUNDO DO POVO,,6370-372,QUEIRIZ,-7.446321515952764,40.738401110252134
pt.ine.add.PTCONT.1899967,R DA IGREJA,19,6370-373,QUEIRIZ,-7.455325281480259,40.73428504113129
pt.ine.add.PTCONT.1899997,R PROF EMILIA FIGUEIREDO,54,6370-382,SOBRAL PICHORRO,-7.458714727988814,40.69286393064214
pt.ine.add.PTCONT.1899998,LG DO FORNO,6,6370-382,SOBRAL PICHORRO,-7.459333118771726,40.69137270750908
pt.ine.add.PTCONT.1900000,R DO TERREIRO,11,6370-391,VILA CHÃ FAG,-7.485679358286593,40.65594447520694
pt.ine.add.PTCONT.1900030,R DO CHÃO DA PONTE,1,6370-411,VILA SOEIRO DO CHÃO,-7.488445299462503,40.60934042751073
pt.ine.add.PTCONT.1900031,TV DO MEIO DO POVO,,6370-411,VILA SOEIRO DO CHÃO,-7.48933620689376,40.6088501130013
pt.ine.add.PTCONT.1900032,LG DO FORNO,5,6370-411,VILA SOEIRO DO CHÃO,-7.488780454958723,40.6088920397554
pt.ine.add.PTCONT.1900061,R DO SENHOR DA AGONIA,,6370-341,MACEIRA FAG,-7.470768446495172,40.684685105568946
pt.ine.add.PTCONT.1900064,R PADRE JOSÉ JOAQUIM PEREIRA,18,6370-401,VILA RUIVA FAG,-7.514929592015813,40.56907889586809
pt.ine.add.PTCONT.1900107,R DAS BOIÇAS,,6370-031,CORTIÇÔ,-7.493452400648114,40.66413739611058
pt.ine.add.PTCONT.1900131,LG DA CARREIRA,,6370-353,MATANÇA,-7.530201228532357,40.68049923698351
pt.ine.add.PTCONT.1900159,R DAS FONTAÍNHAS,50,6370-353,MATANÇA,-7.528167643689214,40.6817042825907
pt.ine.add.PTCONT.1900177,LG DE STO ANTÓNIO,50,6370-401,VILA RUIVA FAG,-7.515388927000553,40.570495173669926
pt.ine.add.PTCONT.1900187,R DO CHÃO DA PONTE,14,6370-411,VILA SOEIRO DO CHÃO,-7.487959569359658,40.60947279270651
pt.ine.add.PTCONT.1900188,R DA QUINTA,3,6370-411,VILA SOEIRO DO CHÃO,-7.489153012992474,40.60947044777167
