id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.958885,,,6230-445,FUNDÃO,-7.508047043063688,40.12131181495358
pt.ine.add.PTCONT.950720,SIT CONVENTO,,6230-045,ALDEIA DE JOANES,-7.513503892668247,40.13273361491107
pt.ine.add.PTCONT.950721,ESTR SOUTO DA CASA,,6230-045,ALDEIA DE JOANES,-7.521730761802501,40.127274729870685
pt.ine.add.PTCONT.950722,TV PRAÇA DO CIMO,15,6230-050,ALDEIA NOVA DO CABO,-7.532391295250054,40.13172540346334
pt.ine.add.PTCONT.950723,TV FORNO,9,6230-050,ALDEIA NOVA DO CABO,-7.530326116582523,40.1330745643685
pt.ine.add.PTCONT.950724,R FIGUEIRA,27,6230-050,ALDEIA NOVA DO CABO,-7.532043202342506,40.132615182176785
pt.ine.add.PTCONT.950725,R VALE DO RIBEIRO B,36,6230-667,SILVARES FND,-7.669837582237155,40.13419401897905
pt.ine.add.PTCONT.950726,GRUPO 9,3,6230-631,SILVARES FND,-7.708888350509356,40.13197508912207
pt.ine.add.PTCONT.950727,R IGREJA,,6005-300,SOALHEIRA,-7.48232041140733,40.03267736191879
pt.ine.add.PTCONT.950728,R ESCOLA,6,6005-300,SOALHEIRA,-7.485061492495997,40.031485913986145
pt.ine.add.PTCONT.950729,R S LOURENÇO,16,6005-300,SOALHEIRA,-7.485610860476723,40.03038124094634
pt.ine.add.PTCONT.950771,R MARIA JOSE VAZ COELHO,,6230-086,ALPEDRINHA,-7.468562152556035,40.098207924064965
pt.ine.add.PTCONT.950772,R MARIA JOSE VAZ COELHO,10,6230-086,ALPEDRINHA,-7.468562152556035,40.098207924064965
pt.ine.add.PTCONT.950773,R MARIA JOSE VAZ COELHO,,6230-086,ALPEDRINHA,-7.468562152556035,40.098207924064965
pt.ine.add.PTCONT.950774,SIT ANTENAS,,6230-109,ALPEDRINHA,-7.474847893945364,40.09820779333998
pt.ine.add.PTCONT.950775,SIT MATIJAS,,6230-060,ALPEDRINHA,-7.460472535355748,40.10037668897971
pt.ine.add.PTCONT.950776,R CALVÁRIO,,6230-101,ALPEDRINHA,-7.469009246822161,40.09805738733892
pt.ine.add.PTCONT.950777,R ANTÓNIO SANTOS PINTO,7,6230-075,ALPEDRINHA,-7.466440942579921,40.09686285509576
pt.ine.add.PTCONT.950778,R LEONARDO,6,6230-740,SOUTO DA CASA,-7.579412783222846,40.08448936650772
pt.ine.add.PTCONT.950779,R ESCOLA,,6230-708,SOUTO DA CASA,-7.538700422847738,40.122661982107566
pt.ine.add.PTCONT.950780,R MARTIR S SEBASTIÃO,18,6230-729,SOUTO DA CASA,-7.546615012015708,40.120405821709
pt.ine.add.PTCONT.950835,SIT MALHADA,,6230-130,ATALAIA DO CAMPO,-7.443750263910585,40.054924330381084
pt.ine.add.PTCONT.950836,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
pt.ine.add.PTCONT.950837,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
pt.ine.add.PTCONT.950838,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
pt.ine.add.PTCONT.950839,R ABADE DE SOUTO DA CASA,60,6230-725,SOUTO DA CASA,-7.5465854695584635,40.119748239155676
pt.ine.add.PTCONT.950840,TV FONTE,,6230-733,SOUTO DA CASA,-7.5449889014016565,40.11988423746653
pt.ine.add.PTCONT.950889,R CHAFARIZ,,6230-130,ATALAIA DO CAMPO,-7.435665671584176,40.05357908061449
pt.ine.add.PTCONT.950890,R BAIRRINHOS,24,6230-130,ATALAIA DO CAMPO,-7.434277911235739,40.051760512188594
pt.ine.add.PTCONT.950891,R POMARES,,6230-137,BARROCA,-7.715849941795841,40.10830567238636
pt.ine.add.PTCONT.950892,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
pt.ine.add.PTCONT.950893,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
pt.ine.add.PTCONT.950894,PC ALCANTARA,,6230-217,FUNDÃO,-7.5052021583136375,40.13853372537507
