id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3534714,R LOUREIRO,1,6040-074,MARGEM,-7.934461190029223,39.37865078099232
pt.ine.add.PTCONT.3534777,R MISERICORDIA,41 25A,6040-109,GAVIÃO,-7.934576031879751,39.463592804592146
pt.ine.add.PTCONT.3534804,R 5 DE OUTUBRO,35,6040-041,COMENDA,-7.781398824491371,39.3964403137432
pt.ine.add.PTCONT.3534828,R CASAL,43,6040-052,GAVIÃO,-7.959328285279204,39.47787355014495
pt.ine.add.PTCONT.3534829,R RODRIGUES GONÇALVES,14,6040-052,GAVIÃO,-7.95999760361583,39.477077090821346
pt.ine.add.PTCONT.3534830,R S JOÃO DE DEUS,,6040-110,GAVIÃO,-7.938910553447498,39.46498222749915
pt.ine.add.PTCONT.3534847,R OLHINHO,,6040-111,GAVIÃO,-7.935623489184503,39.464463291912175
pt.ine.add.PTCONT.3534848,R MISERICÓRDIA,3,6040-109,GAVIÃO,-7.933973664916735,39.464379415432475
pt.ine.add.PTCONT.3534849,R MISERICORDIA,3,6040-109,GAVIÃO,-7.933973664916735,39.464379415432475
pt.ine.add.PTCONT.3534850,TV CASALETE,11,6040-051,GAVIÃO,-7.950695345530611,39.42864885186099
pt.ine.add.PTCONT.3534876,R VALE DA MISSA,14,6040-071,MARGEM,-7.898843257271816,39.38297557262086
pt.ine.add.PTCONT.3534877,LG MOUSINHO DA SILVEIRA,9,6040-079,MARGEM,-7.899638721885337,39.38006329735708
pt.ine.add.PTCONT.3534878,R 1 MAIO,32,6040-071,MARGEM,-7.90088272406286,39.34688063086944
pt.ine.add.PTCONT.3535178,R CHARNECA,6,6040-025,BELVER GAV,-7.950475354287176,39.52616733248882
pt.ine.add.PTCONT.3535179,R PRINCIPAL,5 A,6040-023,BELVER GAV,-7.958353300923261,39.5103241767114
pt.ine.add.PTCONT.3535212,R D AFONSO PAES,,6040-024,BELVER GAV,-7.956473129678251,39.495417858965126
pt.ine.add.PTCONT.3535213,R PRINCIPAL,32,6040-030,BELVER GAV,-7.980376444639159,39.499973215709126
pt.ine.add.PTCONT.3535214,ESTR PRINCIPAL,,6040-030,BELVER GAV,-7.981487259477134,39.49705641019257
pt.ine.add.PTCONT.3535215,R D NUNO ÁLVARES PEREIRA,,6040-024,BELVER GAV,-7.9594978296821175,39.49456675176219
