id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1899074,AV AURELIANO DIAS GONÇALVES,13,6290-051,ARCOZELO GVA,-7.627773722926187,40.539559002828526
pt.ine.add.PTCONT.1899075,AV CENTENARIA FILARMONICA AMIZADE,,6290-051,ARCOZELO GVA,-7.631148088979842,40.53976282303534
pt.ine.add.PTCONT.1899101,R SENHORA DA PIEDADE,5,6290-417,SÃO PAIO GVA,-7.579930310071317,40.51117123039153
pt.ine.add.PTCONT.1899140,R STO ANTÓNIO,28,6290-207,NESPEREIRA GVA,-7.6067891870889754,40.5181047152613
pt.ine.add.PTCONT.1899141,R PINHEIRO MANSO,,6290-203,NESPEREIRA GVA,-7.610967431673041,40.519492480558306
pt.ine.add.PTCONT.1899146,TV RABAÇAL,22,6290-051,ARCOZELO GVA,-7.62506764690109,40.54151929641929
pt.ine.add.PTCONT.1899196,BR SERRA,12,6290-051,ARCOZELO GVA,-7.621832159706992,40.54011820850615
pt.ine.add.PTCONT.1899197,AV AURELIANO DIAS GONÇALVES,9,6290-051,ARCOZELO GVA,-7.627630254458702,40.539801518401845
pt.ine.add.PTCONT.1899198,R DR SILVIO GOMES HENRIQUES,18,6290-051,ARCOZELO GVA,-7.6246075935198485,40.53835641221329
pt.ine.add.PTCONT.1899199,R PROF EZEQUIEL ALMEIDA,24,6290-061,CATIVELOS,-7.685600139645521,40.53253014940428
pt.ine.add.PTCONT.1899200,AV BOMBEIROS VOLUNTARIOS,,6290-632,VILA NOVA DE TAZEM,-7.702433475182689,40.504425385113876
pt.ine.add.PTCONT.1899201,R FERNANDO TOSCANO PESSOA,8,6290-632,VILA NOVA DE TAZEM,-7.704098476518997,40.50233332612611
pt.ine.add.PTCONT.1899202,R DR ANTÓNIO BORGES,20,6290-632,VILA NOVA DE TAZEM,-7.703804182669509,40.50223317413536
pt.ine.add.PTCONT.1899203,R CARVOEIRO,1,6290-632,VILA NOVA DE TAZEM,-7.705796789754221,40.50241166121256
pt.ine.add.PTCONT.1899269,R SEBASTIÃO LOPES MORAIS,8,6290-061,CATIVELOS,-7.69018333955069,40.53195345753657
pt.ine.add.PTCONT.1899270,R PADRE ADELINO OLIVEIRA,4,6290-061,CATIVELOS,-7.693964815717598,40.52942838837056
pt.ine.add.PTCONT.1899271,R SEBASTIÃO LOPESD HORAS,1,6290-061,CATIVELOS,-7.689995097768811,40.53186268253848
pt.ine.add.PTCONT.1899272,R PORTO DAS VACAS,20,6290-061,CATIVELOS,-7.682439082688533,40.530464649344744
pt.ine.add.PTCONT.1899273,AV S SEBASTIÃO,2,6290-061,CATIVELOS,-7.6797515245202685,40.529967848235245
pt.ine.add.PTCONT.1899274,R ALBERTO ALMEIDA ANDRADE ALBUQUERQUE,23,6290-631,VILA NOVA DE TAZEM,-7.721803789788876,40.4911627056094
pt.ine.add.PTCONT.1899275,LG ROSSIO,9,6290-651,VINHÓ,-7.6283909852323335,40.495039318487486
pt.ine.add.PTCONT.1899276,R PROF ANIBAL ALVES PERFEITO,12,6290-651,VINHÓ,-7.627962966556308,40.49548771696294
pt.ine.add.PTCONT.1899350,TV QUELHINHA,,6290-071,FIGUEIRÓ DA SERRA,-7.4868565138597205,40.541171103033896
pt.ine.add.PTCONT.1899351,TV ESCADINHAS,4,6290-081,FOLGOSINHO,-7.512947940182897,40.51123641296257
pt.ine.add.PTCONT.1899352,R QUEBRA COSTAS TV 2,6,6290-081,FOLGOSINHO,-7.51432075468222,40.51078450100644
pt.ine.add.PTCONT.1899353,QTA PEDRAO,3,6290-081,FOLGOSINHO,-7.513034177312916,40.510840641752985
pt.ine.add.PTCONT.1899354,R OUTEIRO,10,6290-081,FOLGOSINHO,-7.514046542768671,40.50981045786702
pt.ine.add.PTCONT.1899355,URB POLINS,4,6290-651,VINHÓ,-7.62228356667834,40.50709767795015
pt.ine.add.PTCONT.1899427,BR OUTEIRO,,6290-081,FOLGOSINHO,-7.513680938963016,40.50851173250517
pt.ine.add.PTCONT.1899428,LG FONTE DO OUTEIRO,3,6290-081,FOLGOSINHO,-7.513812950603918,40.50826929634688
pt.ine.add.PTCONT.1899429,R OLIVEIRA FIGUEIREDO,3,6290-082,FREIXO DA SERRA,-7.503727788128497,40.53072806458382
pt.ine.add.PTCONT.1899430,R CEGONHA,1,6290-093,LAGARINHOS,-7.669908772149355,40.49735645753901
pt.ine.add.PTCONT.1899431,R DR CARLOS ALBERTO FERREIRA DEALMEIDA,5,6290-092,LAGARINHOS,-7.6834098043794645,40.492934106200735
pt.ine.add.PTCONT.1899432,R LAMEIRO,,6290-111,MANGUALDE DA SERRA,-7.619771586769609,40.46516649045528
pt.ine.add.PTCONT.1899502,R ENG ÁLVARO OLIVEIRA SANTOS LIMA,6,6290-093,LAGARINHOS,-7.670800049882982,40.492965401142904
pt.ine.add.PTCONT.1899503,R POSTE,1,6290-122,MELO,-7.544689439973398,40.52172249299948
pt.ine.add.PTCONT.1899504,BR S JOÃO,S,6290-122,MELO,-7.545236886964665,40.521193966140665
pt.ine.add.PTCONT.1899561,R AQUILES GONÇALVES,15,6290-121,MELO,-7.535184036573324,40.51972855149026
pt.ine.add.PTCONT.1899562,TV BARREIROS,4,6290-121,MELO,-7.534907086006366,40.51902470385685
pt.ine.add.PTCONT.1899563,TV S SEBASTIÃO,9,6290-141,MOIMENTA DA SERRA,-7.634051704787932,40.472928654909886
pt.ine.add.PTCONT.1899618,QTA FREIXIAL,,6290-151,NABAIS,-7.559766796251234,40.52910159134208
pt.ine.add.PTCONT.1899619,R STO ANTONIO,23 B,6290-207,NESPEREIRA GVA,-7.607001650490552,40.51809667744406
pt.ine.add.PTCONT.1899620,R STO ANTONIO,23A,6290-207,NESPEREIRA GVA,-7.607001650490552,40.51809667744406
pt.ine.add.PTCONT.1899621,R SANTO ANTONIO,23,6290-207,NESPEREIRA GVA,-7.607001650490552,40.51809667744406
pt.ine.add.PTCONT.1899685,R 25 DE ABRIL,12,6290-209,NESPEREIRA GVA,-7.60883990484892,40.51539442699798
pt.ine.add.PTCONT.1899686,R S DOMINGOS,11,6290-206,NESPEREIRA GVA,-7.608979161851595,40.51417933837451
pt.ine.add.PTCONT.1899687,R BARROLHA,,6290-241,PAÇOS DA SERRA,-7.6497086576445845,40.46018949006554
pt.ine.add.PTCONT.1899751,TV SANTO AMARO,5,6290-251,RIBAMONDEGO,-7.581057209236372,40.56795497847739
pt.ine.add.PTCONT.1899748,TV CAPELA DO SANTISSIMO,15,6290-241,PAÇOS DA SERRA,-7.650152674061031,40.4591016889924
pt.ine.add.PTCONT.1899749,LG S JORGE,,6290-241,PAÇOS DA SERRA,-7.649391855579151,40.4583330460317
pt.ine.add.PTCONT.1899750,AV LIBERDADE,35,6290-251,RIBAMONDEGO,-7.581289999002379,40.566929492424144
pt.ine.add.PTCONT.1899752,R EMIGRANTES,1,6290-251,RIBAMONDEGO,-7.581319654668013,40.56763204342096
