id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.41329,R S JOÃO,,9900-129,HORTA,-28.626446403499607,38.54025571559792
pt.ine.add.AC26.41859,R PASSO,,9900-341,CEDROS HRT,-28.693848478484746,38.63581777410682
pt.ine.add.AC26.41958,R S JOAO,54,9900-129,HORTA,-28.626662813346524,38.539675988530725
pt.ine.add.AC26.43877,ER 1-1A,,9900-361,FETEIRA HRT,-28.66819963622989,38.52342088319596
pt.ine.add.AC26.43878,ER 1-1A,,9900-361,FETEIRA HRT,-28.669232271605935,38.52392881485638
pt.ine.add.AC26.43921,R NOVA,33A,9900-023,HORTA,-28.626495174778306,38.5276482898411
pt.ine.add.AC26.43922,R NOVA,,9900-023,HORTA,-28.62647386160241,38.527720676088066
pt.ine.add.AC26.39871,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.775803121984932,38.56806492863545
pt.ine.add.AC26.39872,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.77634991672481,38.56836300546964
pt.ine.add.AC26.39873,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.777455811602636,38.56852643405675
pt.ine.add.AC26.39874,R RAMAL DO VARADOURO,60,9900-302,CAPELO,-28.77926078904542,38.56911175515881
pt.ine.add.AC26.39875,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.779364495872787,38.56912820037443
pt.ine.add.AC26.39876,R RAMAL DO VARADOURO,54,9900-302,CAPELO,-28.779501150828597,38.56954964152347
pt.ine.add.AC26.39877,R RAMAL DO VARADOURO,52,9900-302,CAPELO,-28.779237034264053,38.56954464654809
pt.ine.add.AC26.39878,R RAMAL DO VARADOURO,9,9900-302,CAPELO,-28.777690974520006,38.56968528707775
pt.ine.add.AC26.39879,R RAMAL DO VARADOURO,48,9900-302,CAPELO,-28.777372596637566,38.56980726684792
pt.ine.add.AC26.39880,R RAMAL DO VARADOURO,44,9900-302,CAPELO,-28.776835328879375,38.56989652540728
pt.ine.add.AC26.39881,R BAIXO DA ROCHA,,9900-302,CAPELO,-28.77617688901445,38.56972630036357
pt.ine.add.AC26.39882,R BAIXO DA ROCHA,,9900-302,CAPELO,-28.77684363006254,38.569301670177786
pt.ine.add.AC26.39883,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.777107234553917,38.568820081716204
pt.ine.add.AC26.39884,R RAMAL DO VARADOURO,60 A,9900-302,CAPELO,-28.77920897616831,38.569337819100426
pt.ine.add.AC26.39885,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.77886565574001,38.56937908272155
pt.ine.add.AC26.39886,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.77867896747923,38.56925576583322
pt.ine.add.AC26.39887,R RAMAL DO VARADOURO,,9900-302,CAPELO,-28.779382109666297,38.568911667434826
pt.ine.add.AC26.39888,CARREIRA,86 A,9900-323,CASTELO BRANCO HRT,-28.7192498353812,38.52171809039335
pt.ine.add.AC26.39889,CARREIRA,86 A,9900-323,CASTELO BRANCO HRT,-28.7192498353812,38.52171809039335
pt.ine.add.AC26.39890,CARREIRA,82 A,9900-323,CASTELO BRANCO HRT,-28.718908628260703,38.52184024619819
pt.ine.add.AC26.39891,R CARREIRA,83,9900-323,CASTELO BRANCO HRT,-28.719275663883955,38.52232145994036
pt.ine.add.AC26.39892,R CARREIRA,87,9900-323,CASTELO BRANCO HRT,-28.720186452686114,38.52251533726681
pt.ine.add.AC26.39893,BR CARREIRA,8,9900-323,CASTELO BRANCO HRT,-28.721614655222382,38.52324226970694
