id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.290708,R ENCARNAÇÃO,37A,3830-406,GAFANHA DO CARMO,-8.736975975068827,40.59680959296016
pt.ine.add.PTCONT.290720,R PARQUE DESPORTIVO,,3830-411,GAFANHA DO CARMO,-8.728556970988164,40.59196347999933
pt.ine.add.PTCONT.290721,AV JOÃO CORTE REAL,215,3830-751,GAFANHA DA NAZARÉ,-8.746743754080946,40.63530919149037
pt.ine.add.PTCONT.290722,R NSA SRA DE LURDES,5,3830-489,GAFANHA DA ENCARNAÇÃO,-8.733215033301994,40.61880181718467
pt.ine.add.PTCONT.290725,R PADRE ANTÓNIO DIOGO,161,3830-516,GAFANHA DA ENCARNAÇÃO,-8.734833966445349,40.61484012889593
pt.ine.add.PTCONT.290726,R CARMO,25,3830-492,GAFANHA DA ENCARNAÇÃO,-8.733863566124413,40.612044574435075
pt.ine.add.PTCONT.290727,R CACILDA,30,3830-427,GAFANHA DO CARMO,-8.739143167065178,40.580381759914104
pt.ine.add.PTCONT.290728,TV EXTREMOS,1,3830-500,GAFANHA DA ENCARNAÇÃO,-8.728096212824164,40.59862069271512
pt.ine.add.PTCONT.290729,R PALMEIRA,102,3830-409,GAFANHA DO CARMO,-8.741000566720748,40.57941744766117
pt.ine.add.PTCONT.290730,R EXTREMOS,42,3830-500,GAFANHA DA ENCARNAÇÃO,-8.728497316553709,40.598555589526086
pt.ine.add.PTCONT.290731,R DIREITA,,3830-517,GAFANHA DA ENCARNAÇÃO,-8.730507461673684,40.600707402538454
pt.ine.add.PTCONT.290732,R QUINTA,10,3830-478,GAFANHA DA ENCARNAÇÃO,-8.730699933775862,40.612403183143655
pt.ine.add.PTCONT.290733,R PROF FRANCISCO CORUJO,151,3830-524,GAFANHA DA ENCARNAÇÃO,-8.732235866043029,40.620930465003845
pt.ine.add.PTCONT.290734,R CARMO,62B,3830-492,GAFANHA DA ENCARNAÇÃO,-8.733326501000949,40.610129265891004
pt.ine.add.PTCONT.290735,LG ARRAIS ANCA,,3830-455,GAFANHA DA ENCARNAÇÃO,-8.75014162852544,40.61149048816466
pt.ine.add.PTCONT.290736,R CAP CANCELINHA,22,3830-116,GAFANHA DA NAZARÉ,-8.720031415123383,40.62476794444302
pt.ine.add.PTCONT.290737,R BERNARDOS,,3830-498,GAFANHA DA ENCARNAÇÃO,-8.723381213931363,40.62400344442423
pt.ine.add.PTCONT.290738,R PARADA,23,3830-476,GAFANHA DA ENCARNAÇÃO,-8.7286987546788,40.62124758271253
pt.ine.add.PTCONT.290739,R ENTRE CAMPOS,42,3830-487,GAFANHA DA ENCARNAÇÃO,-8.728457605741086,40.62070851682258
pt.ine.add.PTCONT.290740,R COVADAS,46,3830-482,GAFANHA DA ENCARNAÇÃO,-8.72330281887137,40.616439513452235
pt.ine.add.PTCONT.290741,R JOÃO CARAPELHO,14,3830-510,GAFANHA DA ENCARNAÇÃO,-8.726645483490161,40.61892581785056
pt.ine.add.PTCONT.290742,R NOVA,21,3830-515,GAFANHA DA ENCARNAÇÃO,-8.726714733365867,40.61740359006497
pt.ine.add.PTCONT.290743,R PROF FRANCISCO CORUJO,33,3830-522,GAFANHA DA ENCARNAÇÃO,-8.729963419419644,40.6265721022545
pt.ine.add.PTCONT.290744,R ILHAVO,80,3830-488,GAFANHA DA ENCARNAÇÃO,-8.72710674481427,40.61356168566684
pt.ine.add.PTCONT.290745,R BANHO SONHO MEU,,3830-462,GAFANHA DA ENCARNAÇÃO,-8.750285803013078,40.614317338418765
pt.ine.add.PTCONT.290746,R PARADA,32,3830-476,GAFANHA DA ENCARNAÇÃO,-8.727814590784936,40.62149527815289
pt.ine.add.PTCONT.290747,R SACADURA CABRAL,179,3830-719,GAFANHA DA NAZARÉ,-8.715241535736832,40.64072227909729
pt.ine.add.PTCONT.290748,R MANUEL RAMOS,4,3830-700,GAFANHA DA NAZARÉ,-8.708745699275998,40.64417678991574
pt.ine.add.PTCONT.290749,R SANTO AMARO,27,3830-609,GAFANHA DA NAZARÉ,-8.723159664796368,40.63911520012135
pt.ine.add.PTCONT.290750,R SANTO AMARO,22,3830-461,GAFANHA DA ENCARNAÇÃO,-8.74999550616924,40.60973526160162
pt.ine.add.PTCONT.290751,R JOSUE RIBAU,,3830-689,GAFANHA DA NAZARÉ,-8.72049219678482,40.639588060414475
pt.ine.add.PTCONT.290752,R NSA SRA DOS NAVEGANTES,67,3830-605,GAFANHA DA NAZARÉ,-8.703094877233342,40.64280902576445
pt.ine.add.PTCONT.290753,R MARQUES DE VAGOS,23,3830-701,GAFANHA DA NAZARÉ,-8.701086221373785,40.64293598945348
pt.ine.add.PTCONT.290754,R CONSTRUTORES NAVAIS,50,3830-657,GAFANHA DA NAZARÉ,-8.700542053394441,40.64149784414777
pt.ine.add.PTCONT.290755,R PADRE LE,60,3830-518,GAFANHA DA ENCARNAÇÃO,-8.72561804185384,40.601614148683836
pt.ine.add.PTCONT.290756,R EGAS MONIZ,58,3830-665,GAFANHA DA NAZARÉ,-8.713184180224134,40.64340715419789
pt.ine.add.PTCONT.290757,R EGAS MONIZ,58,3830-665,GAFANHA DA NAZARÉ,-8.713184180224134,40.64340715419789
pt.ine.add.PTCONT.290758,R ALEGRIA,4,3830-456,GAFANHA DA ENCARNAÇÃO,-8.750412695574974,40.610129259871904
pt.ine.add.PTCONT.290759,R ALEGRIA,4A,3830-456,GAFANHA DA ENCARNAÇÃO,-8.750412695574974,40.610129259871904
pt.ine.add.PTCONT.290760,R GIL EANES,90,3830-670,GAFANHA DA NAZARÉ,-8.714783562732034,40.64107578678986
pt.ine.add.PTCONT.290761,R JULIO DINIS,,3830-690,GAFANHA DA NAZARÉ,-8.725664502601337,40.634960014493814
pt.ine.add.PTCONT.290762,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290763,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290764,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290765,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290766,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290767,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290768,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290769,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290770,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290771,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290772,AV JOÃO CORTE REAL,156,3830-751,GAFANHA DA NAZARÉ,-8.747149303619608,40.63828773218083
pt.ine.add.PTCONT.290773,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290774,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290775,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290776,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290777,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290778,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290779,AV FERNANDES LAVRADOR,3,3830-748,GAFANHA DA NAZARÉ,-8.745984443187526,40.64340444321683
pt.ine.add.PTCONT.290780,R OIA,25,3830-765,GAFANHA DA NAZARÉ,-8.741889762752441,40.64228683723425
pt.ine.add.PTCONT.290781,R GONÇALVES ZARCO,131,3830-672,GAFANHA DA NAZARÉ,-8.69786248549416,40.640565441063266
pt.ine.add.PTCONT.290782,R GONÇALVES ZARCO,88,3830-672,GAFANHA DA NAZARÉ,-8.697021294597358,40.63893962281198
pt.ine.add.PTCONT.290783,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290784,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290785,R SEBASTIÃO PEDRO COSTA,,3830-783,GAFANHA DA NAZARÉ,-8.741474937575221,40.638263734269906
pt.ine.add.PTCONT.290786,R MESTRE MONICA,77,3830-702,GAFANHA DA NAZARÉ,-8.696054224626687,40.63639588757278
pt.ine.add.PTCONT.290787,R GAGO COUTINHO,74,3830-669,GAFANHA DA NAZARÉ,-8.712383239411915,40.63964703193196
pt.ine.add.PTCONT.290788,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290789,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290790,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290791,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290792,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290793,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290794,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290795,R BAIRRO DO FÉLIX,13,3830-636,GAFANHA DA NAZARÉ,-8.710356810824262,40.63632528023701
pt.ine.add.PTCONT.290796,R CASQUEIRITA,2,3830-639,GAFANHA DA NAZARÉ,-8.722066258353141,40.63306933277032
pt.ine.add.PTCONT.290797,R SOARES DOS REIS,37,3830-722,GAFANHA DA NAZARÉ,-8.702132657629885,40.63808607761937
pt.ine.add.PTCONT.290798,R AFONSO DE ALBUQUERQUE,154,3830-574,GAFANHA DA NAZARÉ,-8.708487410217417,40.63337191921032
pt.ine.add.PTCONT.290799,R JOÃO XXIII,139,3830-685,GAFANHA DA NAZARÉ,-8.7124896324969,40.63144281960794
pt.ine.add.PTCONT.290800,AV JOÃO CORTE REAL,111,3830-751,GAFANHA DA NAZARÉ,-8.74683715805404,40.63905482691163
pt.ine.add.PTCONT.290801,AV JOÃO CORTE REAL,111,3830-751,GAFANHA DA NAZARÉ,-8.74683715805404,40.63905482691163
pt.ine.add.PTCONT.290802,AV JOÃO CORTE REAL,111,3830-751,GAFANHA DA NAZARÉ,-8.74683715805404,40.63905482691163
pt.ine.add.PTCONT.290803,AV JOÃO CORTE REAL,111,3830-751,GAFANHA DA NAZARÉ,-8.74683715805404,40.63905482691163
