id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.14160,R CAMINHO VELHO,3,9560-205,ÁGUA DE PAU,-25.5059548791049,37.719507609826316
pt.ine.add.AC26.14161,R CAMINHO VELHO,5,9560-205,ÁGUA DE PAU,-25.505796621296653,37.71947856609114
pt.ine.add.AC26.14162,R CAMINHO VELHO,7,9560-205,ÁGUA DE PAU,-25.505706421070975,37.71945038496005
pt.ine.add.AC26.14163,R CAMINHO VELHO,11,9560-205,ÁGUA DE PAU,-25.5055148589811,37.719384868421194
pt.ine.add.AC26.14164,R CAMINHO VELHO,15,9560-205,ÁGUA DE PAU,-25.505369393053464,37.71928388588573
pt.ine.add.AC26.14165,R CAMINHO VELHO,17,9560-205,ÁGUA DE PAU,-25.505280098620776,37.71921065315518
pt.ine.add.AC26.14166,R PAUL,14,9560-246,ÁGUA DE PAU,-25.507782304765744,37.72229761250314
pt.ine.add.AC26.14167,R PAUL,27,9560-246,ÁGUA DE PAU,-25.50747151343669,37.722518991179676
pt.ine.add.AC26.14168,R PAUL,25,9560-246,ÁGUA DE PAU,-25.507390482148175,37.72259907801537
pt.ine.add.AC26.14169,R VILA NOVA,45,9560-220,ÁGUA DE PAU,-25.50730391399874,37.720128542666394
pt.ine.add.AC26.14170,R VILA NOVA,43,9560-220,ÁGUA DE PAU,-25.50739411568498,37.72015672260195
pt.ine.add.AC26.14171,R VILA NOVA,39,9560-220,ÁGUA DE PAU,-25.50755201400724,37.72020378476025
pt.ine.add.AC26.14172,R VILA NOVA,33,9560-220,ÁGUA DE PAU,-25.507765904611887,37.72028760580029
pt.ine.add.AC26.14173,R MANUEL AUGUSTO AMARAL,19,9560-236,ÁGUA DE PAU,-25.511902696849486,37.72051114380506
pt.ine.add.AC26.14174,TV ARROCHELA,14,9560-242,ÁGUA DE PAU,-25.51198623071255,37.720872700673496
pt.ine.add.AC26.14175,TV ARROCHELA,16,9560-242,ÁGUA DE PAU,-25.512033406043646,37.72078317064976
pt.ine.add.AC26.14176,TV ARROCHELA,8,9560-242,ÁGUA DE PAU,-25.512036290342785,37.720639006146214
pt.ine.add.AC26.14177,R MOINHOS,,9560-227,ÁGUA DE PAU,-25.512980153964033,37.71655921479717
pt.ine.add.AC26.14178,R MOINHOS,,9560-227,ÁGUA DE PAU,-25.513238690365817,37.716679639383514
pt.ine.add.AC26.14179,R MOINHOS,45,9560-227,ÁGUA DE PAU,-25.513263893307787,37.7171215729007
pt.ine.add.AC26.14180,R MOINHOS,45,9560-227,ÁGUA DE PAU,-25.513319345643566,37.717185360254895
pt.ine.add.AC26.14181,R BARRANCOS,12A,9560-234,ÁGUA DE PAU,-25.51350478115364,37.71926058824245
pt.ine.add.AC26.14222,BR S PEDRO,15,9560-024,LAGOA (SÃO MIGUEL),-25.583896824719293,37.74236141436018
pt.ine.add.AC26.14182,R BARRANCOS,1OA,9560-234,ÁGUA DE PAU,-25.513481014807876,37.71931436388135
pt.ine.add.AC26.14183,R FORAL NOVO,6,9560-280,ÁGUA DE PAU,-25.516576061971953,37.72057005222885
pt.ine.add.AC26.14184,R FORAIS,42,9560-312,CABOUCO,-25.561500935231095,37.764819848537385
pt.ine.add.AC26.14185,R FORAIS,40,9560-312,CABOUCO,-25.561588070757228,37.76501017575513
pt.ine.add.AC26.14186,R FORAIS,38,9560-312,CABOUCO,-25.561689349426462,37.765056474852855
pt.ine.add.AC26.14187,R FORAIS,36,9560-312,CABOUCO,-25.56176845146847,37.76507546553308
pt.ine.add.AC26.14188,R FORAIS,26,9560-312,CABOUCO,-25.562074033344885,37.76512425796881
pt.ine.add.AC26.14189,R FORAIS,24A,9560-312,CABOUCO,-25.5622091885392,37.76517998259092
pt.ine.add.AC26.14190,R FORAIS,22,9560-312,CABOUCO,-25.56254584413404,37.764796550832216
pt.ine.add.AC26.14191,R FORAIS,4,9560-312,CABOUCO,-25.56352038593705,37.76488954907865
pt.ine.add.AC26.14192,R FORAIS,2 D,9560-312,CABOUCO,-25.563595807354773,37.76451194161678
pt.ine.add.AC26.14193,R FORAIS,2B,9560-312,CABOUCO,-25.563770611846998,37.764865561849476
pt.ine.add.AC26.14194,ESTR PORTUGAL E DAS COMUNIDADES,1,9560-304,CABOUCO,-25.5638095419221,37.76461368507778
pt.ine.add.AC26.14195,ESTR PORTUGAL E DAS COMUNIDADES,1C,9560-304,CABOUCO,-25.56383903858669,37.764262555278144
pt.ine.add.AC26.14196,ESTR PORTUGAL E DAS COMUNIDADES,3B,9560-304,CABOUCO,-25.563900668060736,37.76401095512579
pt.ine.add.AC26.14197,ESTR PORTUGAL E DAS COMUNIDADES,5,9560-304,CABOUCO,-25.56389106064269,37.76392071254844
pt.ine.add.AC26.14198,ESTR PORTUGAL E DAS COMUNIDADES,15,9560-304,CABOUCO,-25.56401937109041,37.76315620975379
pt.ine.add.AC26.14199,CAN BAGO,,9560-450,LAGOA (SÃO MIGUEL),-25.5933438677694,37.7595173718911
pt.ine.add.AC26.14200,CAN BAGO,14,9560-450,LAGOA (SÃO MIGUEL),-25.5941040193458,37.75894062606271
pt.ine.add.AC26.14201,CAN BAGO,47 A,9560-450,LAGOA (SÃO MIGUEL),-25.59601991412918,37.75847679005259
pt.ine.add.AC26.14202,R BAGO DAS SOCAS,47,9560-450,LAGOA (SÃO MIGUEL),-25.59609918904616,37.75848674717903
pt.ine.add.AC26.14203,R BAGO DAS SOCAS,39,9560-450,LAGOA (SÃO MIGUEL),-25.59726204311271,37.758825049316705
pt.ine.add.AC26.14204,R BAGO DAS SOCAS,29,9560-450,LAGOA (SÃO MIGUEL),-25.59771482743436,37.75889352676144
pt.ine.add.AC26.14205,R BAGO DAS SOCAS,23,9560-450,LAGOA (SÃO MIGUEL),-25.598008891090707,37.75895110149486
pt.ine.add.AC26.14206,R BAGO DAS SOCAS,21,9560-450,LAGOA (SÃO MIGUEL),-25.598065638097243,37.75895177666999
pt.ine.add.AC26.14207,R BAGO DAS SOCAS,19,9560-450,LAGOA (SÃO MIGUEL),-25.598122385105672,37.758952451817805
pt.ine.add.AC26.14208,R BAGO DAS SOCAS,17,9560-450,LAGOA (SÃO MIGUEL),-25.598178791979187,37.75897114806924
pt.ine.add.AC26.14209,R BAGO DAS SOCAS,9,9560-450,LAGOA (SÃO MIGUEL),-25.598495555167926,37.759028991641564
