id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1468061,,,8600-382,LAGOS,-8.715654131885469,37.09946513262789
pt.ine.add.PTCONT.1466852,R NSA SRA DA ENCARNAÇÃO,13,8600-109,LUZ LGS,-8.738964702953066,37.10121350336847
pt.ine.add.PTCONT.1466853,EM 537,,8600-209,LUZ LGS,-8.717720198586026,37.09897740579934
pt.ine.add.PTCONT.1466854,R ABEL FIGUEIREDO LUIS,242,8600-359,LAGOS,-8.68262026489481,37.10786747236832
pt.ine.add.PTCONT.1466975,URB QUINTA DA BELA VISTA,74,8600-184,LUZ LGS,-8.730243378959381,37.09364383620542
pt.ine.add.PTCONT.1466976,URB MARQUES DA LUZ,,8600-119,LUZ LGS,-8.752827375289526,37.09060854995747
pt.ine.add.PTCONT.1466977,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466978,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466979,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466980,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466981,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466982,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466983,ESTR PONTA PIEDADE,2H,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466984,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466985,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466986,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466987,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466988,ESTR PONTA DA PIEDADE,2,8600-512,LAGOS,-8.672863271809627,37.096342732454104
pt.ine.add.PTCONT.1466989,TV DR JOAQUIM DO SACRAMENTO PAGARETE,,8600-708,LAGOS,-8.679024887653616,37.1038203223777
pt.ine.add.PTCONT.1466990,R D VASCO DA GAMA,39,8600-722,LAGOS,-8.674704127105173,37.105624518912
pt.ine.add.PTCONT.1466991,R ANTÓNIO CRISOGNO DOS SANTOS,30,8600-678,LAGOS,-8.674988434952287,37.105310068111386
pt.ine.add.PTCONT.1466992,R CONS JOAQUIM MACHADO,,8600-682,LAGOS,-8.673546803287431,37.10389046966306
pt.ine.add.PTCONT.1467083,R RAMAL,4,8600-109,LUZ LGS,-8.737610768366611,37.10070681308655
pt.ine.add.PTCONT.1467084,R ANTÓNIO MANUEL VILHENA,,8600-120,LUZ LGS,-8.765555170365289,37.0751693618116
