id,street,house,postcode,city,lon,lat
pt.ine.add.AC25.1,R ASSUMADA,32,9960-010,FAJÃ GRANDE,-31.261269979935815,39.45225141553433
pt.ine.add.AC25.2,R ASSUMADA,34,9960-010,FAJÃ GRANDE,-31.261302367271828,39.452351008182035
pt.ine.add.AC25.3,R PADRE JOSE LUIS DE FRAGA,4,9960-040,FAJÃ GRANDE,-31.26153820014329,39.453615913170495
pt.ine.add.AC25.4,R PADRE JOSE LUIS DE FRAGA,12,9960-040,FAJÃ GRANDE,-31.26098522187339,39.453886948972006
pt.ine.add.AC25.5,R PADRE JOSE LUIS DE FRAGA,14,9960-040,FAJÃ GRANDE,-31.260796424494366,39.45400125301559
pt.ine.add.AC25.6,R PADRE JOSE LUIS DE FRAGA,18,9960-040,FAJÃ GRANDE,-31.260804455565147,39.45414553066806
pt.ine.add.AC25.7,R PADRE JOSE LUIS DE FRAGA,26,9960-040,FAJÃ GRANDE,-31.260464850498792,39.45424856838874
pt.ine.add.AC25.8,R PADRE JOSE LUIS DE FRAGA,19,9960-040,FAJÃ GRANDE,-31.260217738172187,39.45437100883698
pt.ine.add.AC25.9,R PADRE JOSE LUIS DE FRAGA,32,9960-040,FAJÃ GRANDE,-31.259924602368773,39.454474740289186
pt.ine.add.AC25.10,R ASSUMADA,20,9960-010,FAJÃ GRANDE,-31.26039090795142,39.451616586975284
pt.ine.add.AC25.11,R SENADOR ANDRE DE FREITAS,23,9960-030,FAJÃ GRANDE,-31.262910154739217,39.454528393312756
pt.ine.add.AC25.12,R SENADOR ANDRE DE FREITAS,15,9960-030,FAJÃ GRANDE,-31.262663967718023,39.45414630141223
pt.ine.add.AC25.13,R SENADOR ANDRE DE FREITAS,,9960-030,FAJÃ GRANDE,-31.262393652115836,39.45379988778494
pt.ine.add.AC25.14,R COURELAS,6,9960-020,FAJÃ GRANDE,-31.262808332129797,39.453481729760654
pt.ine.add.AC25.15,R COURELAS,10,9960-020,FAJÃ GRANDE,-31.263127829008905,39.45325224687033
pt.ine.add.AC25.16,R COURELAS,12,9960-020,FAJÃ GRANDE,-31.263554791400164,39.452907240035145
pt.ine.add.AC25.17,R PADRE FRANCISCO DE FREITAS TOMAS,22,9960-476,LAJES DAS FLORES,-31.182289461354845,39.37979380158348
pt.ine.add.AC25.18,R PADRE FRANCISCO DE FREITAS TOMAS,16,9960-476,LAJES DAS FLORES,-31.18324083113505,39.37981767383074
pt.ine.add.AC25.19,R PADRE FRANCISCO DE FREITAS TOMAS,2,9960-476,LAJES DAS FLORES,-31.18364567218321,39.37942756138657
pt.ine.add.AC25.20,R PEIXOTO PIMENTEL,,9960-431,LAJES DAS FLORES,-31.184493463430034,39.379864260307
pt.ine.add.AC25.21,R PEIXOTO PIMENTEL,24,9960-431,LAJES DAS FLORES,-31.184560992707734,39.37994640311946
pt.ine.add.AC25.22,R PEIXOTO PIMENTEL,38,9960-431,LAJES DAS FLORES,-31.184876940889502,39.38119469644507
pt.ine.add.AC25.23,R PADRE FRANCISCO DE FREITAS TOMAS,4,9960-476,LAJES DAS FLORES,-31.18420777491286,39.37968861350417
pt.ine.add.AC25.24,R PEIXOTO PIMENTEL,30,9960-431,LAJES DAS FLORES,-31.18440055908143,39.38031330409351
pt.ine.add.AC25.56,R MARQUINHAS DO CARMO,3,9960-030,FAJÃ GRANDE,-31.263276575045353,39.454281591425
pt.ine.add.AC25.57,R SENADOR ANDRE DE FREITAS,3,9960-030,FAJÃ GRANDE,-31.262168241807444,39.45351721364514
pt.ine.add.AC25.58,R SENADOR ANDRE DE FREITAS,1,9960-030,FAJÃ GRANDE,-31.26210077586112,39.45342610677388
pt.ine.add.AC25.59,R ASSUMADA,25,9960-010,FAJÃ GRANDE,-31.261854596992155,39.45304401327388
pt.ine.add.AC25.60,R ASSUMADA,23,9960-010,FAJÃ GRANDE,-31.261786459804487,39.4529799257277
pt.ine.add.AC25.61,R ASSUMADA,19,9960-010,FAJÃ GRANDE,-31.26165130603648,39.45280671803227
pt.ine.add.AC25.62,R ASSUMADA,17,9960-010,FAJÃ GRANDE,-31.261377673911525,39.45212688807681
pt.ine.add.AC25.63,R ASSUMADA,5,9960-010,FAJÃ GRANDE,-31.261198966488674,39.451835900547806
pt.ine.add.AC25.64,R FONTINHA,1,9960-010,FAJÃ GRANDE,-31.26091506977974,39.451101856859175
pt.ine.add.AC25.65,R ASSUMADA,6,9960-010,FAJÃ GRANDE,-31.26111483987275,39.45054623396314
pt.ine.add.AC25.66,R COURELAS,,9960-020,FAJÃ GRANDE,-31.263137030076745,39.45241446836255
pt.ine.add.AC25.67,R COURELAS,13,9960-020,FAJÃ GRANDE,-31.262937270048642,39.4529700948008
pt.ine.add.AC25.68,R COURELAS,5,9960-020,FAJÃ GRANDE,-31.262741313189185,39.453372610238134
pt.ine.add.AC25.69,R COURELAS,3,9960-020,FAJÃ GRANDE,-31.262624241213214,39.45340690033158
pt.ine.add.AC25.70,R COURELAS,7,9960-020,FAJÃ GRANDE,-31.262457394486784,39.45263857000494
pt.ine.add.AC25.71,R COURELAS,5,9960-020,FAJÃ GRANDE,-31.26228604345957,39.45251888118903
pt.ine.add.AC25.72,R DR JOSE RODRIGUES FARIA,7,9960-441,LAJES DAS FLORES,-31.17648268474351,39.38120756682415
pt.ine.add.AC25.73,R JOÃO AUGUSTO DA SILVEIRA,,9960-441,LAJES DAS FLORES,-31.17594451387959,39.38091982320844
pt.ine.add.AC25.74,R MAURÍCIO ANTÓNIO FRAGA,5,9960-441,LAJES DAS FLORES,-31.17868541815457,39.38088168184391
pt.ine.add.AC25.75,R JOÃO AUGUSTO DA SILVEIRA,,9960-400,LAJES DAS FLORES,-31.175265458050095,39.379800959437055
pt.ine.add.AC25.76,R PADRE LUIS PIMENTEL GOMES,4 A,9960-431,LAJES DAS FLORES,-31.173979797139957,39.379240192694226
pt.ine.add.AC25.77,R PADRE LUIS PIMENTEL GOMES,4 B,9960-431,LAJES DAS FLORES,-31.173958934909056,39.37914976653545
pt.ine.add.AC25.78,R ROBERTO MESQUITA,14,9960-444,LAJES DAS FLORES,-31.17502341328113,39.378842116331455
pt.ine.add.AC25.79,R ROBERTO MESQUITA,4,9960-444,LAJES DAS FLORES,-31.176911345467747,39.37856538436442
pt.ine.add.AC25.80,R DR JOSE DE FREITAS PIMENTEL,12,9960-439,LAJES DAS FLORES,-31.179613738554586,39.37911225857037
pt.ine.add.AC25.81,R MAURÍCIO ANTÓNIO FRAGA,3,9960-441,LAJES DAS FLORES,-31.178922201726,39.380705191598075
pt.ine.add.AC25.82,CC ALÉM RIBEIRA,2,9960-400,LAJES DAS FLORES,-31.17476915629851,39.379243571185484
pt.ine.add.AC25.122,ESTR EXTRA MUNICIPAL DA PONTA,,9960-030,FAJÃ GRANDE,-31.257866194430825,39.46012011392164
pt.ine.add.AC25.123,CAM FURNAS,,9960-030,FAJÃ GRANDE,-31.26577084587084,39.452588930401
pt.ine.add.AC25.124,ESTR REGIONAL,,9960-030,FAJÃ GRANDE,-31.25734677950169,39.44599390530295
pt.ine.add.AC25.125,ESTR REGIONAL,,9960-030,FAJÃ GRANDE,-31.257041772133807,39.446574974098944
pt.ine.add.AC25.126,CAM AREAL,,9960-030,FAJÃ GRANDE,-31.26412298165202,39.45155523683184
pt.ine.add.AC25.127,R PICO REDONDO,10,9960-110,FAJÃZINHA,-31.253331713539293,39.43646430223786
pt.ine.add.AC25.128,R PICO REDONDO,4,9960-110,FAJÃZINHA,-31.25306871073336,39.43582966099934
pt.ine.add.AC25.129,R PICO REDONDO,,9960-110,FAJÃZINHA,-31.252327715330033,39.43525991511596
pt.ine.add.AC25.130,R PICO REDONDO,7,9960-110,FAJÃZINHA,-31.25249729673964,39.434983157904846
pt.ine.add.AC25.131,R ENGENHO,3,9960-110,FAJÃZINHA,-31.25323472052148,39.43430047783149
pt.ine.add.AC25.132,R OUTEIRO,6,9960-130,FAJÃZINHA,-31.254968487000042,39.43373185730008
pt.ine.add.AC25.133,R CANADA COMPRIDA,4,9960-110,FAJÃZINHA,-31.25417713967614,39.43378304834908
pt.ine.add.AC25.134,R CANADA COMPRIDA,6,9960-110,FAJÃZINHA,-31.254208609829327,39.43391866882684
pt.ine.add.AC25.135,R CANADA COMPRIDA,05,9960-110,FAJÃZINHA,-31.25420553017602,39.43497277698436
pt.ine.add.AC25.136,R CANADA PEQUENA,3,9960-110,FAJÃZINHA,-31.254866581694003,39.43409072273545
pt.ine.add.AC25.137,R CANADA MANCEDO,4,9960-110,FAJÃZINHA,-31.255164285567147,39.43426637759993
pt.ine.add.AC25.138,R PADRE JOÃO FRAGA VIEIRA,,9960-441,LAJES DAS FLORES,-31.18734199040314,39.380151949722155
pt.ine.add.AC25.139,R PADRE JOÃO FRAGA VIEIRA,11,9960-441,LAJES DAS FLORES,-31.187054895001737,39.38003034721171
pt.ine.add.AC25.140,R PEIXOTO PIMENTEL,19,9960-431,LAJES DAS FLORES,-31.184997953575916,39.38055688350916
pt.ine.add.AC25.141,R PEIXOTO PIMENTEL,19A,9960-431,LAJES DAS FLORES,-31.185010725241636,39.380512033404045
pt.ine.add.AC25.142,R PADRE JOÃO FRAGA VIEIRA,36,9960-476,LAJES DAS FLORES,-31.184754139151114,39.37966110126984
pt.ine.add.AC25.143,R PADRE JOÃO FRAGA VIEIRA,30,9960-476,LAJES DAS FLORES,-31.185050967298704,39.37985494029974
pt.ine.add.AC25.144,R PADRE JOÃO FRAGA VIEIRA,26,9960-476,LAJES DAS FLORES,-31.185191159782615,39.37982108804847
pt.ine.add.AC25.145,R PADRE JOÃO FRAGA VIEIRA,24,9960-476,LAJES DAS FLORES,-31.186179445168523,39.379764423270174
pt.ine.add.AC25.146,R PADRE JOÃO FRAGA VIEIRA,22,9960-476,LAJES DAS FLORES,-31.186377894765716,39.37972246807395
pt.ine.add.AC25.147,R PADRE JOÃO FRAGA VIEIRA,18,9960-476,LAJES DAS FLORES,-31.18646747040961,39.37985000291125
pt.ine.add.AC25.148,R PADRE FRANCISCO DE FREITAS TOMAS,11,9960-476,LAJES DAS FLORES,-31.182639244169938,39.37973619769917
pt.ine.add.AC25.149,R PADRE FRANCISCO DE FREITAS TOMAS,13,9960-476,LAJES DAS FLORES,-31.182443362633713,39.37967907799902
pt.ine.add.AC25.150,AV EMIGRANTE,18,9960-431,LAJES DAS FLORES,-31.183229209062187,39.37847502076243
pt.ine.add.AC25.196,R FALCA,8,9960-110,FAJÃZINHA,-31.250144933122893,39.4328755144882
pt.ine.add.AC25.197,R FALCA,7,9960-110,FAJÃZINHA,-31.250082009565954,39.43260427164999
pt.ine.add.AC25.198,R FALCA,1,9960-110,FAJÃZINHA,-31.251606289548302,39.4329785844283
pt.ine.add.AC25.199,R CANTO,4,9960-110,FAJÃZINHA,-31.251093843105224,39.434421466724196
pt.ine.add.AC25.200,R FALCA,11,9960-110,FAJÃZINHA,-31.250375985746558,39.4333925534102
pt.ine.add.AC25.201,R PEDREIRA,5,9960-110,FAJÃZINHA,-31.25074461109729,39.433983740333495
pt.ine.add.AC25.202,R PEDREIRA,,9960-110,FAJÃZINHA,-31.25052529077126,39.433926381742474
pt.ine.add.AC25.203,R PEDREIRA,,9960-110,FAJÃZINHA,-31.250964932691954,39.433536561160864
pt.ine.add.AC25.204,R CANTO,9,9960-110,FAJÃZINHA,-31.251175270598292,39.4348821943928
pt.ine.add.AC25.205,R ROSSIO,7,9960-150,FAJÃZINHA,-31.254058006230895,39.43297037158614
pt.ine.add.AC25.206,R ROSSIO,6,9960-150,FAJÃZINHA,-31.254042119535704,39.43314132055837
pt.ine.add.AC25.207,R ROSSIO,4,9960-150,FAJÃZINHA,-31.25428309512573,39.43326206669758
pt.ine.add.AC25.208,R ENGENHO,2,9960-110,FAJÃZINHA,-31.253103222696296,39.43398315715947
pt.ine.add.AC25.209,R ROCAS,7,9960-140,FAJÃZINHA,-31.251867467957883,39.43368528058381
pt.ine.add.AC25.210,R ROCAS,5,9960-140,FAJÃZINHA,-31.252100204027688,39.4336707593755
pt.ine.add.AC25.211,R OUTEIRO,3,9960-130,FAJÃZINHA,-31.25586436218757,39.43368222868759
pt.ine.add.AC25.212,R ROSSIO,1,9960-150,FAJÃZINHA,-31.25446045609276,39.43313859100158
pt.ine.add.AC25.213,R LADEIRA,2,9960-120,FAJÃZINHA,-31.254548800026402,39.43239209792833
pt.ine.add.AC25.214,R PADRE FRANCISCO DE FREITAS TOMAS,1,9960-476,LAJES DAS FLORES,-31.183929791726346,39.379215760373945
pt.ine.add.AC25.215,AV EMIGRANTE,20,9960-431,LAJES DAS FLORES,-31.183523692966958,39.378758925816626
pt.ine.add.AC25.216,R JOÃO GERMANO DE DEUS,5,9960-435,LAJES DAS FLORES,-31.181112073663495,39.37953213098172
pt.ine.add.AC25.217,R PADRE JOÃO FRAGA VIEIRA,29,9960-476,LAJES DAS FLORES,-31.1854193512698,39.37952732192652
pt.ine.add.AC25.218,R PADRE JOÃO FRAGA VIEIRA,33,9960-476,LAJES DAS FLORES,-31.1847810824614,39.379517363682055
pt.ine.add.AC25.219,AV PEIXOTO PIMENTEL,25,9960-431,LAJES DAS FLORES,-31.18450496297795,39.378972461951875
pt.ine.add.AC25.220,AV PEIXOTO PIMENTEL,13,9960-431,LAJES DAS FLORES,-31.18452146855939,39.37878351211889
pt.ine.add.AC25.221,AV PEIXOTO PIMENTEL,11,9960-431,LAJES DAS FLORES,-31.184477149892327,39.37870173153326
pt.ine.add.AC25.222,R AUTONOMIA,13,9960-430,LAJES DAS FLORES,-31.172772049214174,39.377473313484394
pt.ine.add.AC25.223,R DR JOSE DE FREITAS PIMENTEL,1,9960-439,LAJES DAS FLORES,-31.180475911397625,39.37944109317991
pt.ine.add.AC25.224,R DR JOSE DE FREITAS PIMENTEL,3,9960-439,LAJES DAS FLORES,-31.180315080998625,39.37937550829192
pt.ine.add.AC25.225,R DR JOSE DE FREITAS PIMENTEL,11,9960-439,LAJES DAS FLORES,-31.179471301112947,39.37878567404312
pt.ine.add.AC25.226,R DR PADRE AMÉRICO CAETANO VIEIRA,4,9960-443,LAJES DAS FLORES,-31.1791188105219,39.378500850865045
pt.ine.add.AC25.262,R LADEIRA,6,9960-120,FAJÃZINHA,-31.255068135220878,39.432066526751704
pt.ine.add.AC25.263,LG S JOSE,4,9960-110,FAJÃZINHA,-31.255314585837752,39.432899132668446
pt.ine.add.AC25.264,R FALCA,,9960-110,FAJÃZINHA,-31.250553783678587,39.43232305442854
pt.ine.add.AC25.265,PASSAGEM,7,9960-110,FAJÃZINHA,-31.25179603791433,39.432359756389104
pt.ine.add.AC25.266,R ROSSIO,2,9960-150,FAJÃZINHA,-31.254087081018465,39.43273655153086
pt.ine.add.AC25.267,R PASSAGEM,3,9960-110,FAJÃZINHA,-31.25390372841757,39.43263468998193
pt.ine.add.AC25.268,R PASSAGEM,6,9960-110,FAJÃZINHA,-31.252804299202374,39.43199649536666
pt.ine.add.AC25.269,R PASSAGEM,4,9960-110,FAJÃZINHA,-31.253363121749906,39.43195083106981
pt.ine.add.AC25.270,R LADEIRA,1,9960-120,FAJÃZINHA,-31.254447195752306,39.4322734445018
pt.ine.add.AC25.271,R LADEIRA,1,9960-120,FAJÃZINHA,-31.254140732910365,39.43244904123258
pt.ine.add.AC25.272,R PASSAGEM,2,9960-110,FAJÃZINHA,-31.253967645807755,39.43240139312076
pt.ine.add.AC25.273,ER 1-2A RIBEIRA ALAGOA,,9960-110,FAJÃZINHA,-31.24657155524819,39.43452455140668
pt.ine.add.AC25.274,R BARREIRA VERMELHA,14,9960-220,FAZENDA,-31.164439829719242,39.395073514649475
pt.ine.add.AC25.275,R BARREIRA VERMELHA,12,9960-220,FAZENDA,-31.164152007745155,39.394978873717804
pt.ine.add.AC25.276,R BARREIRA VERMELHA,8,9960-220,FAZENDA,-31.164228026664507,39.39473680800283
pt.ine.add.AC25.277,CAN ESTREITA,2,9960-220,FAZENDA,-31.165253625826068,39.393707849520545
pt.ine.add.AC25.278,TV MARIA ANTONIA FRAGA,1,9960-482,LAJES DAS FLORES,-31.180890499287706,39.379123221859636
pt.ine.add.AC25.279,R DR JOSE DE FREITAS PIMENTEL,7 A,9960-439,LAJES DAS FLORES,-31.17994826488461,39.37874808832517
pt.ine.add.AC25.280,R DR PADRE AMÉRICO CAETANO VIEIRA,2,9960-443,LAJES DAS FLORES,-31.179292041816236,39.37808910819644
pt.ine.add.AC25.281,R BALEEIROS,9,9960-445,LAJES DAS FLORES,-31.171185230525825,39.37822322572715
pt.ine.add.AC25.282,R DR JOSE DE FREITAS PIMENTEL,11,9960-439,LAJES DAS FLORES,-31.17891661513081,39.3786868929905
pt.ine.add.AC25.283,R DR JOSE DE FREITAS PIMENTEL,21,9960-439,LAJES DAS FLORES,-31.17773668317971,39.378524257147106
pt.ine.add.AC25.284,R ROBERTO MESQUITA,1,9960-444,LAJES DAS FLORES,-31.177356071853296,39.3784281954588
pt.ine.add.AC25.285,R ROBERTO MESQUITA,1,9960-444,LAJES DAS FLORES,-31.177356071853296,39.3784281954588
pt.ine.add.AC25.286,R ROBERTO MESQUITA,3,9960-444,LAJES DAS FLORES,-31.17699796789144,39.37835951487127
pt.ine.add.AC25.287,R DR PADRE AMÉRICO CAETANO VIEIRA,5,9960-443,LAJES DAS FLORES,-31.17799477332438,39.377528204033226
pt.ine.add.AC25.288,R ROBERTO MESQUITA,9,9960-444,LAJES DAS FLORES,-31.176437663491512,39.37847687087898
pt.ine.add.AC25.336,ESTR REGIONAL,38,9960-220,FAZENDA,-31.16459410484184,39.39317487362657
pt.ine.add.AC25.337,ESTR REGIONAL,36,9960-220,FAZENDA,-31.164461430547437,39.392920504500346
pt.ine.add.AC25.338,R EIRINHA VELHA,1,9960-220,FAZENDA,-31.164951476641875,39.392387646498584
pt.ine.add.AC25.339,R EIRINHA VELHA,13,9960-220,FAZENDA,-31.166508320724677,39.39324110323185
pt.ine.add.AC25.340,R BARREIRA VERMELHA,11,9960-220,FAZENDA,-31.16370124649828,39.395341161324524
pt.ine.add.AC25.341,R BARREIRA VERMELHA,9,9960-220,FAZENDA,-31.163751454813294,39.39519779663779
pt.ine.add.AC25.342,R BARREIRA VERMELHA,7,9960-220,FAZENDA,-31.163992775029797,39.39440874066755
pt.ine.add.AC25.343,ESTR REGIONAL,42,9960-220,FAZENDA,-31.164335956299112,39.393720399894384
pt.ine.add.AC25.344,R TABULEIRO,4,9960-220,FAZENDA,-31.16295940670582,39.39307698817863
pt.ine.add.AC25.345,R EIRINHA VELHA,12,9960-220,FAZENDA,-31.1658779051046,39.39248334733062
pt.ine.add.AC25.346,ESTR REGIONAL,30,9960-220,FAZENDA,-31.165114592818696,39.391480225924305
pt.ine.add.AC25.347,R TABULEIRO,11,9960-220,FAZENDA,-31.162362723638545,39.39324775942505
pt.ine.add.AC25.348,ESTR REGIONAL,31,9960-220,FAZENDA,-31.166006073859226,39.38847598799944
pt.ine.add.AC25.349,ESTR REGIONAL,33,9960-220,FAZENDA,-31.16592129251185,39.38860979889622
pt.ine.add.AC25.350,R ROBERTO MESQUITA,7,9960-444,LAJES DAS FLORES,-31.177121278135363,39.378082141250566
pt.ine.add.AC25.351,R DR PADRE AMÉRICO CAETANO VIEIRA,,9960-443,LAJES DAS FLORES,-31.178301304550654,39.37779429111765
pt.ine.add.AC25.352,R DR PADRE AMÉRICO CAETANO VIEIRA,,9960-443,LAJES DAS FLORES,-31.17851476713753,39.37806792999974
pt.ine.add.AC25.353,R JOGO DA BOLA,13,9960-444,LAJES DAS FLORES,-31.175881812393122,39.37842310647455
pt.ine.add.AC25.354,LG ADAO PINHEIRO DA SILVA,,9960-484,LAJES DAS FLORES,-31.178012958850754,39.378168189844324
pt.ine.add.AC25.355,LG ADAO PINHEIRO DA SILVA,3,9960-484,LAJES DAS FLORES,-31.177509149467912,39.377899011403805
pt.ine.add.AC25.356,R NSA SRA DO ROSÁRIO,1,9960-440,LAJES DAS FLORES,-31.17414348947148,39.37741375886902
pt.ine.add.AC25.357,R NSA SRA DO ROSÁRIO,5,9960-440,LAJES DAS FLORES,-31.174713750840294,39.37735963919472
pt.ine.add.AC25.358,R NSA SRA DO ROSÁRIO,7,9960-440,LAJES DAS FLORES,-31.17459301353866,39.377537942035175
pt.ine.add.AC25.359,R AUTONOMIA,21,9960-430,LAJES DAS FLORES,-31.175037627265564,39.37695927652269
pt.ine.add.AC25.401,R PADRE FRANCISCO CRISTIANO KORTH,7,9960-220,FAZENDA,-31.165542155030394,39.38934262736152
pt.ine.add.AC25.402,R PADRE FRANCISCO CRISTIANO KORTH,15,9960-220,FAZENDA,-31.16546053210586,39.39024232441911
pt.ine.add.AC25.403,R PADRE FRANCISCO CRISTIANO KORTH,17,9960-220,FAZENDA,-31.165353242136227,39.390348750301776
pt.ine.add.AC25.404,R SENADOR MACHADO SERPA,1,9960-220,FAZENDA,-31.16524595183799,39.390455176075925
pt.ine.add.AC25.405,R SENADOR MACHADO SERPA,13,9960-220,FAZENDA,-31.164556956654497,39.39104796525898
