id,street,house,postcode,city,lon,lat
pt.ine.add.AC26.1334,,,9930-207,PIEDADE,-28.040665388986568,38.42098886793167
pt.ine.add.AC26.1332,R RELVINHA,3,9930-253,PIEDADE,-28.060519188025616,38.4226853453224
pt.ine.add.AC26.1333,,,9930-207,PIEDADE,-28.032057910577088,38.42388572075479
pt.ine.add.AC26.1335,,,9930-207,PIEDADE,-28.04261542203064,38.4243600108853
pt.ine.add.AC26.1336,,,9930-211,PIEDADE,-28.033302701261537,38.42361340536735
pt.ine.add.AC26.1337,CAM CRUZEIRO,85,9930-211,PIEDADE,-28.043638919613418,38.426225375351066
pt.ine.add.AC26.1338,CAM CRUZEIRO,,9930-211,PIEDADE,-28.04332536729248,38.425930774834725
pt.ine.add.AC26.1339,CAM ENGRADE,36,9930-207,PIEDADE,-28.040806991619167,38.42526826603862
pt.ine.add.AC26.1340,CAM ENGRADE,32,9930-207,PIEDADE,-28.035192009064687,38.422749610641475
pt.ine.add.AC26.1341,CAM ENGRADE,30,9930-207,PIEDADE,-28.035041820109388,38.422660818212485
pt.ine.add.AC26.1342,CAM ENGRADE,28,9930-207,PIEDADE,-28.034925865059833,38.42256271133487
pt.ine.add.AC26.1343,CAM ENGRADE,24,9930-207,PIEDADE,-28.034787516557,38.422500849735556
pt.ine.add.AC26.2185,R BISCOITO,,9930-309,RIBEIRAS,-28.20027790937451,38.39514879991256
pt.ine.add.AC26.2186,CAM BAIXO,,9930-308,RIBEIRAS,-28.195211452574682,38.39970649367457
pt.ine.add.AC26.2187,CAM BAIXO,,9930-308,RIBEIRAS,-28.198883086193522,38.39736196361203
pt.ine.add.AC26.2188,R BISCOITO,,9930-309,RIBEIRAS,-28.19964139434226,38.39612859489574
pt.ine.add.AC26.2189,R BISCOITO,,9930-309,RIBEIRAS,-28.199907556465714,38.396297095103115
pt.ine.add.AC26.2190,CAM BAIXO,,9930-308,RIBEIRAS,-28.200851406126734,38.39520600818683
pt.ine.add.AC26.2191,CAM BAIXO,,9930-308,RIBEIRAS,-28.19845589902712,38.39853787086055
pt.ine.add.AC26.2192,CAM BAIXO,22,9930-308,RIBEIRAS,-28.19615033668234,38.399696915070386
pt.ine.add.AC26.2193,CAM BAIXO,,9930-308,RIBEIRAS,-28.196548851574434,38.39955766962933
pt.ine.add.AC26.2194,CAM BAIXO,,9930-308,RIBEIRAS,-28.198245942728008,38.39899962102627
pt.ine.add.AC26.2195,CAM BAIXO,15,9930-308,RIBEIRAS,-28.20010015115748,38.39755677976124
pt.ine.add.AC26.2196,CAM BAIXO,14A,9930-308,RIBEIRAS,-28.20053105738438,38.39730003535038
pt.ine.add.AC26.2197,ARRIFE DE CIMA,5,9930-301,RIBEIRAS,-28.22307716116642,38.393128755143586
pt.ine.add.AC26.2198,ESTR REGIONAL,14,9930-301,RIBEIRAS,-28.21901283485326,38.39248619884589
pt.ine.add.AC26.2199,R ARRIFE DE CIMA,,9930-301,RIBEIRAS,-28.22194540891731,38.39187890480827
pt.ine.add.AC26.2200,R ARRIFE DE CIMA,10,9930-301,RIBEIRAS,-28.22209909253186,38.392165680798
pt.ine.add.AC26.2201,R ARRIFE DE CIMA,6,9930-301,RIBEIRAS,-28.222590096215647,38.39276435216974
pt.ine.add.AC26.2202,CAN CRUZ,40,9930-304,RIBEIRAS,-28.21651405169485,38.3930168234418
pt.ine.add.AC26.2203,R CRUZ,28A,9930-304,RIBEIRAS,-28.21649414787265,38.39251236775567
pt.ine.add.AC26.2204,R ARRIFE DE BAIXO,35,9930-304,RIBEIRAS,-28.22202638005001,38.39124723293925
pt.ine.add.AC26.2205,R TERRA ALTA,178B,9930-337,RIBEIRINHA LGP,-28.09939332335006,38.44421686451952
pt.ine.add.AC26.2206,R TERRA ALTA,180,9930-337,RIBEIRINHA LGP,-28.100135750851592,38.444813688395065
pt.ine.add.AC26.2207,R TERRA ALTA,173,9930-337,RIBEIRINHA LGP,-28.09915411194064,38.44506622148929
pt.ine.add.AC26.2208,R TERRA ALTA,175,9930-337,RIBEIRINHA LGP,-28.099464527516446,38.444378409382495
pt.ine.add.AC26.2209,R TERRA ALTA,151,9930-337,RIBEIRINHA LGP,-28.09472934532489,38.44192647024889
pt.ine.add.AC26.2210,R IGREJA,115,9930-336,RIBEIRINHA LGP,-28.091846525784533,38.440718748170504
pt.ine.add.AC26.2211,R TERRA ALTA,120,9930-337,RIBEIRINHA LGP,-28.09274422387478,38.440980734445844
pt.ine.add.AC26.2212,R TERRA ALTA,,9930-337,RIBEIRINHA LGP,-28.093484796394023,38.441460464616895
pt.ine.add.AC26.2213,R TERRA ALTA,162,9930-337,RIBEIRINHA LGP,-28.096814630974148,38.442672973844175
pt.ine.add.AC26.2214,LAD TERRA ALTA,179,9930-332,RIBEIRINHA LGP,-28.101979639454925,38.44399430642025
pt.ine.add.AC26.2215,LAD TERRA ALTA,,9930-332,RIBEIRINHA LGP,-28.10019313990462,38.444065167189706
pt.ine.add.AC26.2216,R TERRA ALTA,,9930-337,RIBEIRINHA LGP,-28.09755183565012,38.44292741347632
pt.ine.add.AC26.2217,R TERRA ALTA,163,9930-337,RIBEIRINHA LGP,-28.09728600464705,38.44277670217699
pt.ine.add.AC26.2218,R TERRA ALTA,161,9930-337,RIBEIRINHA LGP,-28.096289388472755,38.44203804906124
pt.ine.add.AC26.2219,R TERRA ALTA,155,9930-337,RIBEIRINHA LGP,-28.095490826705507,38.44151381981607
pt.ine.add.AC26.2220,CAN TENDA,140,9930-326,RIBEIRINHA LGP,-28.09513568491763,38.440760145070456
pt.ine.add.AC26.3018,R PASSAL,62,9930-339,RIBEIRINHA LGP,-28.088313576622184,38.438940236602065
pt.ine.add.AC26.3019,R PASSAL,66,9930-339,RIBEIRINHA LGP,-28.088829928125605,38.438989510332156
pt.ine.add.AC26.3020,R IGREJA,90,9930-336,RIBEIRINHA LGP,-28.09047517920544,38.440199820715456
pt.ine.add.AC26.3021,R RIBEIRA DO FUNDO,,9930-320,RIBEIRINHA LGP,-28.09087914469161,38.44039432085582
pt.ine.add.AC26.3022,R RIBEIRA DO FUNDO,99,9930-320,RIBEIRINHA LGP,-28.088135136368475,38.441555330305405
pt.ine.add.AC26.3023,CAM MOINHO,64,9930-339,RIBEIRINHA LGP,-28.088308614632645,38.43937285154149
