id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.2268893,R MAR,F,2530-069,LOURINHÃ,-9.332017808248152,39.25426648271933
pt.ine.add.PTCONT.2268894,R HEROIS DO ULTRAMAR,10,2530-066,LOURINHÃ,-9.327343492404857,39.253936221625985
pt.ine.add.PTCONT.2268895,R BELA VISTA,,2530-070,LOURINHÃ,-9.331469427487516,39.25403794637406
pt.ine.add.PTCONT.2268896,LG SAPATEIRO,1,2530-068,LOURINHÃ,-9.329448045526293,39.253707459192846
pt.ine.add.PTCONT.2268897,R ACACIO RODRIGO,5,2530-320,LOURINHÃ,-9.310819174614334,39.251600574462564
pt.ine.add.PTCONT.2268898,R COVA FUNDA,18,2530-366,MARTELEIRA,-9.278246533603184,39.221148442275165
pt.ine.add.PTCONT.2268899,R COVA FUNDA,18A,2530-366,MARTELEIRA,-9.278178092044753,39.22121216445643
pt.ine.add.PTCONT.2268900,AV 1 DE JANEIRO,145,2530-357,MARTELEIRA,-9.277936444702906,39.2205930536527
pt.ine.add.PTCONT.2268901,AV 1 DE JANEIRO,126,2530-356,MARTELEIRA,-9.278114992923989,39.21875386087712
pt.ine.add.PTCONT.2268902,TV EIRA,3,2530-333,MARTELEIRA,-9.271357230721899,39.194645115882665
pt.ine.add.PTCONT.2269056,R OLIVEIRAS,4,2530-321,LOURINHÃ,-9.280969078789084,39.246727293399836
pt.ine.add.PTCONT.2269057,CSL CAPA NEGRA,,2530-924,LOURINHÃ,-9.282901426865573,39.239594014574486
pt.ine.add.PTCONT.2269058,BC STA CRUZ,,2530-332,MARTELEIRA,-9.266655423657069,39.19522237850474
pt.ine.add.PTCONT.2269059,R JOSE JULIO,8,2530-395,MARTELEIRA,-9.27498317859353,39.21198427786048
pt.ine.add.PTCONT.2269060,AV REPUBLICA,2,2530-334,MARTELEIRA,-9.27547960942608,39.19546043831442
pt.ine.add.PTCONT.2269251,R CLUBE,43,2530-142,LOURINHÃ,-9.31350370157591,39.241053235104175
pt.ine.add.PTCONT.2269252,AV REPUBLICA,2,2530-334,MARTELEIRA,-9.27547960942608,39.19546043831442
pt.ine.add.PTCONT.2269253,AV LIBERDADE,69,2530-628,RIBAMAR,-9.329787779478519,39.202111862087996
pt.ine.add.PTCONT.2269254,R QUEBRADAS,,2530-626,RIBAMAR,-9.336898498347312,39.212450722306436
pt.ine.add.PTCONT.2269255,AV 25 DE ABRIL,19,2530-627,RIBAMAR,-9.334313033458786,39.203407335692916
pt.ine.add.PTCONT.2269390,AV 25 DE ABRIL,28,2530-627,RIBAMAR,-9.33462716637261,39.20417870097324
pt.ine.add.PTCONT.2269391,BC OESTE,7,2530-857,RIBAMAR,-9.335584499478841,39.20193507802736
pt.ine.add.PTCONT.2269392,AV LIBERDADE,51,2530-628,RIBAMAR,-9.332661984447551,39.20026287860914
pt.ine.add.PTCONT.2269393,AV LIBERDADE,39,2530-628,RIBAMAR,-9.333137825152631,39.19965450600958
pt.ine.add.PTCONT.2269394,TV PERALTA,,2530-057,ATALAIA LNH,-9.331742182695447,39.24011936729067
pt.ine.add.PTCONT.2269395,R SARGACALINHO,16,2530-052,ATALAIA LNH,-9.333742021174514,39.2358114426792
pt.ine.add.PTCONT.2269554,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269555,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269556,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269557,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269558,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269559,BR SANTO ANDRÉ,,2530-099,LOURINHÃ,-9.311676638375763,39.236388100554684
pt.ine.add.PTCONT.2269560,R SARGACALINHO,28,2530-052,ATALAIA LNH,-9.335271426758526,39.236525231609264
pt.ine.add.PTCONT.2269561,R MARINHEIROS,1,2530-042,ATALAIA LNH,-9.33435430768923,39.23300395529061
pt.ine.add.PTCONT.2269562,ESTR NSA SRA DA GUIA,55,2530-014,ATALAIA LNH,-9.329985159674395,39.23419282578717
pt.ine.add.PTCONT.2269563,ESTR NSA SRA DA GUIA,55,2530-014,ATALAIA LNH,-9.329985159674395,39.23419282578717
pt.ine.add.PTCONT.2269740,AV FR PADRE ANTÓNIO RIBEIRO,5,2530-181,LOURINHÃ,-9.299290458367588,39.21929136025964
pt.ine.add.PTCONT.2269741,R PRINCIPAL,14,2530-071,LOURINHÃ,-9.294444776744502,39.22035757006092
pt.ine.add.PTCONT.2269742,BR EIRAS,7,2530-403,MIRAGAIA,-9.261841300857894,39.237233028091104
pt.ine.add.PTCONT.2269743,ESTR MOINHOS,16,2530-013,ATALAIA LNH,-9.327810447442795,39.229567543947326
pt.ine.add.PTCONT.2269886,R STA ANA,20,2530-414,MIRAGAIA,-9.264948166613902,39.235968912556636
pt.ine.add.PTCONT.2269887,R INÁCIOS,2,2530-440,MIRAGAIA,-9.247661460231804,39.23482960581464
pt.ine.add.PTCONT.2269888,R SEIXO,1,2530-438,MIRAGAIA,-9.24708713298643,39.228539173175726
pt.ine.add.PTCONT.2269889,R DR VIEIRA MACHADO,1B,2530-444,MIRAGAIA,-9.246392511529232,39.21169359256434
pt.ine.add.PTCONT.2269890,ESTR CABACEIRA,3T,2530-011,ATALAIA LNH,-9.324073758983006,39.224318700953546
pt.ine.add.PTCONT.2270136,R FONTE,5,2530-446,MIRAGAIA,-9.24307040123106,39.207329838291756
pt.ine.add.PTCONT.2270137,ESTR MUNICIPAL,13B,2530-397,MIRAGAIA,-9.238625940803493,39.198545147166215
pt.ine.add.PTCONT.2270138,R FRANCISCO ANTUNES,24,2530-397,MIRAGAIA,-9.238470114414202,39.19820435585381
pt.ine.add.PTCONT.2270304,R FONTE,3,2530-399,MIRAGAIA,-9.250229888512102,39.19739863432299
pt.ine.add.PTCONT.2270305,CSL MULATO CASA DA PERBOLA,30,2530-465,MOITA DOS FERREIROS,-9.215646597723802,39.26026123377215
pt.ine.add.PTCONT.2270463,R PINHAL,5,2530-227,LOURINHÃ,-9.328699773770143,39.26626183242698
pt.ine.add.PTCONT.2270464,R MÁRIO COSTA,9 A,2530-239,LOURINHÃ,-9.331362579126962,39.268855480305426
pt.ine.add.PTCONT.2270465,R PRINCIPAL,6,2530-477,MOITA DOS FERREIROS,-9.21123209131306,39.23452401947497
pt.ine.add.PTCONT.2270466,R PRINCIPAL,29,2530-476,MOITA DOS FERREIROS,-9.210499069527131,39.22673067740946
pt.ine.add.PTCONT.2270467,R PRINCIPAL,,2530-453,MOITA DOS FERREIROS,-9.211789129477078,39.21946803483888
pt.ine.add.PTCONT.2270679,R ARTESANATO,3,2530-061,LOURINHÃ,-9.303435171539826,39.2812718941019
pt.ine.add.PTCONT.2270680,R MATADOURO,6 C,2530-280,LOURINHÃ,-9.308328975470214,39.27105375841753
pt.ine.add.PTCONT.2270681,R DR CATANHO MENEZES,7,2530-317,LOURINHÃ,-9.289181177990654,39.258059240099264
pt.ine.add.PTCONT.2270682,AL 25 DE ABRIL,20,2530-209,LOURINHÃ,-9.333591840030042,39.27115630712997
pt.ine.add.PTCONT.2270683,R D PEDRO I,13,2530-552,MOLEDO LNH,-9.257254795521357,39.285104553042125
pt.ine.add.PTCONT.2270684,TV LARGOS,,2530-576,REGUENGO GRANDE,-9.241214364364904,39.29982258453532
pt.ine.add.PTCONT.2270685,R MALAGUEIROS,21,2530-573,REGUENGO GRANDE,-9.237640814965024,39.29667708993931
pt.ine.add.PTCONT.2270686,R TARDETE,3,2530-572,REGUENGO GRANDE,-9.236055667640954,39.288738968753165
pt.ine.add.PTCONT.2270687,R MOINHO DA BOICA,6,2530-615,REGUENGO GRANDE,-9.217060314233677,39.29261023580424
pt.ine.add.PTCONT.2270863,AV PAIMOGO,50,2530-214,LOURINHÃ,-9.333663435351577,39.26856157107205
pt.ine.add.PTCONT.2270864,AV PAIMOGO,50,2530-214,LOURINHÃ,-9.333663435351577,39.26856157107205
pt.ine.add.PTCONT.2270865,R COTOVELOS,21,2530-606,REGUENGO GRANDE,-9.215419730942823,39.28768967362341
pt.ine.add.PTCONT.2270866,R MOINHO,20,2530-570,REGUENGO GRANDE,-9.208285179626289,39.281207695418985
pt.ine.add.PTCONT.2270867,EN 247,37,2530-731,SANTA BÁRBARA LNH,-9.318633333636784,39.21136806104494
pt.ine.add.PTCONT.2270868,R MOINHO,3,2530-731,SANTA BÁRBARA LNH,-9.31754520180423,39.21137913058076
pt.ine.add.PTCONT.2270869,R HEROIS DO ULTRAMAR,80,2530-730,SANTA BÁRBARA LNH,-9.33040815388607,39.210013663149404
pt.ine.add.PTCONT.2271010,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271011,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271012,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271013,R MAREANTES,R,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271014,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271015,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271016,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
pt.ine.add.PTCONT.2271017,R MAREANTES,POENTE 1,2530-229,LOURINHÃ,-9.334012237158849,39.266594461153566
