id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1107067,,,3200-072,LOUSÃ,-8.235791661578972,40.092540154918055
pt.ine.add.PTCONT.1123295,,,3200-075,LOUSÃ,-8.232188076105501,40.086339377959945
pt.ine.add.PTCONT.1100056,,,3200-031,FOZ DE AROUCE,-8.264404952607606,40.17653664031731
pt.ine.add.PTCONT.1100057,R FRAGUAS,,3200-025,FOZ DE AROUCE,-8.285803750203966,40.16339410950835
pt.ine.add.PTCONT.1100058,R POMBAL,,3200-036,FOZ DE AROUCE,-8.26973773498428,40.15435785394536
pt.ine.add.PTCONT.1100166,R VITORINO NEMESIO,,3200-114,LOUSÃ,-8.253715604738934,40.127105554697046
pt.ine.add.PTCONT.1100167,R COIMBRA,,3200-222,LOUSÃ,-8.24951014635637,40.12398477586579
pt.ine.add.PTCONT.1100168,R COIMBRA,,3200-222,LOUSÃ,-8.24951014635637,40.12398477586579
pt.ine.add.PTCONT.1100169,R ARMANDO RODRIGUES CASA GOMES,12,3200-106,LOUSÃ,-8.250398858780697,40.12229975653558
pt.ine.add.PTCONT.1100170,R ERNESTO MELO ANTUNES,16,3200-400,VILARINHO LSA,-8.235895062528169,40.11978284859754
pt.ine.add.PTCONT.1100171,R CANTO,30,3200-389,VILARINHO LSA,-8.234452998155504,40.12035149802142
pt.ine.add.PTCONT.1100172,R TELHADA,,3200-099,GÂNDARAS,-8.25990076877179,40.122019563748616
pt.ine.add.PTCONT.1100173,R PAPANATA,30,3200-099,GÂNDARAS,-8.257287796814058,40.11728523423629
pt.ine.add.PTCONT.1100174,R QUELHA,,3200-099,GÂNDARAS,-8.261728428325773,40.12072968961961
pt.ine.add.PTCONT.1100302,R GEN HUMBERTO DELGADO,,3200-107,LOUSÃ,-8.256631502180275,40.11094143987678
pt.ine.add.PTCONT.1100303,R MOITA,7,3200-096,GÂNDARAS,-8.264689244267238,40.11701588770692
pt.ine.add.PTCONT.1100304,R CUME,,3200-081,GÂNDARAS,-8.288828638043185,40.14186950229851
pt.ine.add.PTCONT.1100633,R DR PIRES DE CARVALHO,36,3200-238,LOUSÃ,-8.248086296247365,40.11445783958032
pt.ine.add.PTCONT.1100716,R MANUEL MAGALHÃES MEXIA,61,3200-077,LOUSÃ,-8.262723674243428,40.11355078818363
pt.ine.add.PTCONT.1100717,,,3200-095,LOUSÃ,-8.265548571691484,40.106468858061795
pt.ine.add.PTCONT.1100718,,,3200-082,LOUSÃ,-8.273921940774091,40.09465206579329
pt.ine.add.PTCONT.1100817,,,3200-089,LOUSÃ,-8.259482309400552,40.10509771291995
pt.ine.add.PTCONT.1100818,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100819,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100820,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100821,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100822,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100823,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
pt.ine.add.PTCONT.1100824,R DR CARLOS SACADURA,2,3200-234,LOUSÃ,-8.243639783711656,40.11394882531953
