id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3543160,R S LOURENÇO,248,4620-010,ALVARENGA LSD,-8.261952001335462,41.29384957461211
pt.ine.add.PTCONT.3543213,AV SENHORA DA APARECIDA,398,4620-797,TORNO,-8.201358334515026,41.289822553057206
pt.ine.add.PTCONT.3543214,AV ESTRADA REAL,761 B,4620-755,TORNO,-8.199388543546979,41.28981469982146
pt.ine.add.PTCONT.3543215,R FORMIGAL,663,4620-823,VILAR DO TORNO E ALENTÉM,-8.22594611843379,41.28653683216668
pt.ine.add.PTCONT.3543216,R TORNO,205,4620-893,VILAR DO TORNO E ALENTÉM,-8.206248710039658,41.28602878873206
pt.ine.add.PTCONT.3543459,R 1 DE MAIO,674,4620-168,BOIM,-8.288485813331656,41.250983819752676
pt.ine.add.PTCONT.3543460,R SA,135,4620-168,BOIM,-8.285654328816127,41.25446324071962
pt.ine.add.PTCONT.3543461,R JOÃO PAULO II,48,4620-184,BOIM,-8.275139042772118,41.25834851101731
pt.ine.add.PTCONT.3543462,R AMEIXOEIRA,29,4620-606,BOIM,-8.279262112450999,41.25051867262046
pt.ine.add.PTCONT.3543463,R ESCOLA,325,4620-060,CAÍDE DE REI,-8.221381890647553,41.27462787320148
pt.ine.add.PTCONT.3543464,R CANTONEIRAS,66,4620-060,CAÍDE DE REI,-8.223885571100224,41.272654005374136
pt.ine.add.PTCONT.3543465,AV BOAVISTA,814,4620-044,CAÍDE DE REI,-8.233399851282206,41.26624411611289
pt.ine.add.PTCONT.3543466,AV BOAVISTA,903,4620-044,CAÍDE DE REI,-8.234509468627179,41.26609907672333
pt.ine.add.PTCONT.3543467,R COURELA,379,4620-007,CASAIS LSD,-8.312583989934618,41.27624162304953
pt.ine.add.PTCONT.3543468,R PACO,,4620-101,CERNADELO,-8.229871262114942,41.301147373214505
pt.ine.add.PTCONT.3543469,R CÓNEGO ARTUR,,4620-103,CERNADELO,-8.223067677826457,41.29412964035828
pt.ine.add.PTCONT.3543470,TV GRANJA 3,24,4620-111,COVAS LSD,-8.327093285896861,41.28685203532094
pt.ine.add.PTCONT.3543471,R COSTA,324,4620-111,COVAS LSD,-8.311264533248284,41.28700367761365
pt.ine.add.PTCONT.3543472,R CARRASCAL,102,4620-148,LOUSADA,-8.29650576602341,41.27585137196669
pt.ine.add.PTCONT.3543473,TV NSA SRA CONCEIÇÃO,109,4620-143,LOUSADA,-8.29513204958885,41.27539409929901
pt.ine.add.PTCONT.3543494,R SOL,38,4620-240,LODARES,-8.285602453014755,41.247548054661436
pt.ine.add.PTCONT.3543495,R ROUPAR,92,4620-225,LODARES,-8.299159638317164,41.23981266035994
pt.ine.add.PTCONT.3543496,AV PLANICIE,73,4620-220,LODARES,-8.295874849777142,41.23807052472802
