id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5426991,LG CIMO DO POVO,2,3530-050,CUNHA BAIXA,-7.744248266746257,40.54663762123877
pt.ine.add.PTCONT.5426992,ESTR BARRAGEM,5,3530-050,CUNHA BAIXA,-7.745495447883446,40.53916739724463
pt.ine.add.PTCONT.5426993,R ALEGRIA,33,3530-050,CUNHA BAIXA,-7.7452947661384375,40.54326414518943
pt.ine.add.PTCONT.5426994,BR AMIZADE,4,3530-050,CUNHA BAIXA,-7.745867061174744,40.5381780574701
pt.ine.add.PTCONT.5426995,AV MONTES HERMINIOS,47B,3530-116,MANGUALDE,-7.757628589015684,40.596418021321206
pt.ine.add.PTCONT.5427075,R FORNO,4,3530-061,ESPINHO MGL,-7.787192661665746,40.567765536654036
pt.ine.add.PTCONT.5427076,R BUGALHAIS,3,3530-153,MANGUALDE,-7.7641611751108375,40.59005435412185
pt.ine.add.PTCONT.5427077,R DIREITA,4,3530-176,MANGUALDE,-7.764858303768087,40.587868302789644
pt.ine.add.PTCONT.5427078,R PISCOS,,3530-172,MANGUALDE,-7.767732716973276,40.58712999445828
pt.ine.add.PTCONT.5427079,BR FAROL,21,3530-285,MANGUALDE,-7.763889757416279,40.58356069899467
pt.ine.add.PTCONT.5427080,R PORTELA,6,3530-301,MESQUITELA MGL,-7.745962864724636,40.58507792869828
pt.ine.add.PTCONT.5427181,ESTR BARRAGEM,11,3530-070,FORNOS DE MACEIRA DÃO,-7.79901498348481,40.631494385830116
pt.ine.add.PTCONT.5427182,R CABANAS,17,3530-070,FORNOS DE MACEIRA DÃO,-7.804919697676019,40.627747145950714
pt.ine.add.PTCONT.5427183,R CAPELA,3,3530-077,FORNOS DE MACEIRA DÃO,-7.814683081548685,40.62015607611357
pt.ine.add.PTCONT.5427184,R MIMOSAS,1,3530-075,FORNOS DE MACEIRA DÃO,-7.801834819256117,40.618183818034254
pt.ine.add.PTCONT.5427185,R PRINCIPAL,1,3530-075,FORNOS DE MACEIRA DÃO,-7.7949512573040565,40.61696617590793
pt.ine.add.PTCONT.5427186,R DIREITA,20,3530-301,MESQUITELA MGL,-7.74644175932409,40.58396288115874
pt.ine.add.PTCONT.5427187,R CUME,1B,3530-090,LOBELHE DO MATO,-7.825924862484919,40.58598463225588
pt.ine.add.PTCONT.5427188,R EIRA,18,3530-310,MOIMENTA DE MACEIRA DÃO,-7.81721370399457,40.579666456552935
pt.ine.add.PTCONT.5427189,TV EIRA VELHA,6,3530-310,MOIMENTA DE MACEIRA DÃO,-7.8146101267803,40.57577803390516
pt.ine.add.PTCONT.5427281,R CARMO,12,3530-071,FORNOS DE MACEIRA DÃO,-7.817832057884767,40.606440759471525
pt.ine.add.PTCONT.5427282,R ALEIXO,7,3530-071,FORNOS DE MACEIRA DÃO,-7.821336824013564,40.602316870223824
pt.ine.add.PTCONT.5427283,R VELHA,,3530-076,FORNOS DE MACEIRA DÃO,-7.833734303835907,40.60149417034046
pt.ine.add.PTCONT.5427284,R BOA VISTA,2,3530-080,FREIXIOSA,-7.6745876074020405,40.612219548681146
pt.ine.add.PTCONT.5427285,R STA CATARINA,16,3530-080,FREIXIOSA,-7.680631828212751,40.60958685131121
pt.ine.add.PTCONT.5427286,R PONTE,11,3530-334,QUINTELA DE AZURARA,-7.705962840436646,40.621155933209785
pt.ine.add.PTCONT.5427287,FTE FONTE DE REI,,3530-340,SANTIAGO DE CASSURRÃES,-7.684710224235049,40.58986331496464
pt.ine.add.PTCONT.5427362,R IGREJA,6,3530-090,LOBELHE DO MATO,-7.833192726328084,40.58784980965129
pt.ine.add.PTCONT.5427363,R PRINCIPAL,,3530-239,MANGUALDE,-7.752139587881811,40.62892687198229
pt.ine.add.PTCONT.5427364,R PRINCIPAL,41,3530-106,MANGUALDE,-7.7731889855237135,40.629156483992276
pt.ine.add.PTCONT.5427365,R TORTA,1,3530-106,MANGUALDE,-7.772255543707647,40.629099540018785
pt.ine.add.PTCONT.5427366,EN 232,3,3530-347,SANTIAGO DE CASSURRÃES,-7.723542647915625,40.56980873590172
pt.ine.add.PTCONT.5427367,R A,,3530-344,SANTIAGO DE CASSURRÃES,-7.722036383401222,40.56701175060491
