id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.3540066,R PORTELA,647,4625-168,MAGRELOS,-8.219309766491342,41.0963704529384
pt.ine.add.PTCONT.3540067,R GONDUFE,55,4630-164,MANHUNCELOS,-8.150964118213208,41.145115369746485
pt.ine.add.PTCONT.3540068,R PRINCIPAL DO CASTILHO,854,4630-157,MANHUNCELOS,-8.154893536183469,41.1406575098455
pt.ine.add.PTCONT.3540069,AV DR MANUEL PEREIRA SOARES,581,4630-296,MARCO DE CANAVESES,-8.148268720703356,41.18235786790874
pt.ine.add.PTCONT.3540070,AV DR MANUEL PEREIRA SOARES,581,4630-296,MARCO DE CANAVESES,-8.148268720703356,41.18235786790874
pt.ine.add.PTCONT.3540071,AV DR MANUEL PEREIRA SOARES,581,4630-296,MARCO DE CANAVESES,-8.148268720703356,41.18235786790874
pt.ine.add.PTCONT.3540072,AV DR MANUEL PEREIRA SOARES,581,4630-296,MARCO DE CANAVESES,-8.148268720703356,41.18235786790874
pt.ine.add.PTCONT.3540073,AV DR MANUEL PEREIRA SOARES,581,4630-296,MARCO DE CANAVESES,-8.148268720703356,41.18235786790874
pt.ine.add.PTCONT.3540251,R PADRE DAVID TEIXEIRA,972,4575-061,ALPENDURADA E MATOS,-8.25454632139204,41.09192650562812
pt.ine.add.PTCONT.3540252,R MONTE,,4575-034,ALPENDURADA E MATOS,-8.236457635247618,41.086010188071675
pt.ine.add.PTCONT.3540253,VIA PANORAMICA DO DOURO,510,4575-070,ALPENDURADA E MATOS,-8.227206099648653,41.08294757937918
pt.ine.add.PTCONT.3540254,R QUINTA DO CASAL,,4575-003,ALPENDURADA E MATOS,-8.258165721367199,41.0925259349362
pt.ine.add.PTCONT.3540255,CAM LAMACAIS,123,4575-007,ALPENDURADA E MATOS,-8.262193732961721,41.08901874601751
pt.ine.add.PTCONT.3540256,R COSTA,25,4625-210,PAÇOS DE GAIOLO,-8.127846636740076,41.10358815202705
pt.ine.add.PTCONT.3540257,CAM TAPADA DO MATO,97,4625-244,PAÇOS DE GAIOLO,-8.130811117363683,41.09462879118764
pt.ine.add.PTCONT.3540258,R S CLEMENTE,,4625-200,PAÇOS DE GAIOLO,-8.110714980244166,41.107656116559966
pt.ine.add.PTCONT.3540259,R MELHORA,,4625-245,PAÇOS DE GAIOLO,-8.111336132355385,41.10132609182745
pt.ine.add.PTCONT.3540260,R LAVADOURO,2617,4625-237,PAÇOS DE GAIOLO,-8.118933093389598,41.090701984261884
pt.ine.add.PTCONT.3540261,TV MONDIM DE CIMA,24,4630-576,PAREDES DE VIADORES,-8.131726660766644,41.14054250405197
pt.ine.add.PTCONT.3540262,R DR MANUEL DE VASCONCELOS,41,4630-280,MARCO DE CANAVESES,-8.151605639114841,41.181384910474556
pt.ine.add.PTCONT.3540263,R PORTELA,172,4630-419,MARCO DE CANAVESES,-8.153810324243825,41.18070920891279
pt.ine.add.PTCONT.3540264,AV FUTEBOL CLUBE DO PORTO,1109,4630-203,MARCO DE CANAVESES,-8.150935520074663,41.17146221233889
pt.ine.add.PTCONT.3540463,R CÓNEGO GASPAR DE FREITAS,392,4575-021,ALPENDURADA E MATOS,-8.246287214393272,41.08557774111154
pt.ine.add.PTCONT.3540464,R IGREJA,813,4630-564,PAREDES DE VIADORES,-8.135061470714733,41.13171816180155
pt.ine.add.PTCONT.3540465,R LEIROS,506,4630-567,PAREDES DE VIADORES,-8.11517670644662,41.11742673575129
pt.ine.add.PTCONT.3540466,R URBANIZACAO,51,4630-078,MARCO DE CANAVESES,-8.160707895300053,41.17334219764965
pt.ine.add.PTCONT.3540467,R URBANIZACAO,51,4630-078,MARCO DE CANAVESES,-8.160707895300053,41.17334219764965
pt.ine.add.PTCONT.3540670,R URBANIZACAO,51,4630-078,MARCO DE CANAVESES,-8.160707895300053,41.17334219764965
pt.ine.add.PTCONT.3540671,R S PEDRO,747,4575-457,VÁRZEA DO DOURO,-8.272026548284833,41.07868815315124
pt.ine.add.PTCONT.3540672,R S MARTINHO,128,4575-459,VÁRZEA DO DOURO,-8.282045088054407,41.07820740530455
pt.ine.add.PTCONT.3540673,R S PEDRO,292,4575-457,VÁRZEA DO DOURO,-8.275234731786336,41.07647813581015
