id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1980169,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980170,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980171,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980172,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980173,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980174,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980175,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980176,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980177,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980178,R SAUDADES,2,2430-492,MARINHA GRANDE,-9.030494510575679,39.75231602277055
pt.ine.add.PTCONT.1980179,TV FIGUEIRA,2,2430-175,MARINHA GRANDE,-8.929958418930134,39.758111376046486
pt.ine.add.PTCONT.1980180,R CAIS,54,2430-738,VIEIRA DE LEIRIA,-8.940466337557078,39.87836318536868
pt.ine.add.PTCONT.1980181,R FONTE DOS FIDALGOS,35,2430-621,VIEIRA DE LEIRIA,-8.93220217779745,39.87738470287828
pt.ine.add.PTCONT.1980182,R CAIS,16,2430-738,VIEIRA DE LEIRIA,-8.939299417949448,39.87454365454964
pt.ine.add.PTCONT.1980183,BC JUNQUEIRINHA,6,2430-627,VIEIRA DE LEIRIA,-8.924707428266988,39.879255358055175
pt.ine.add.PTCONT.1980184,R BAIRRO,12,2430-643,VIEIRA DE LEIRIA,-8.918190086639418,39.87768754185514
pt.ine.add.PTCONT.1980185,R PASSAGEM,34,2430-630,VIEIRA DE LEIRIA,-8.917985632632037,39.87718457632773
pt.ine.add.PTCONT.1980186,TV FIGUEIRAS,7,2430-634,VIEIRA DE LEIRIA,-8.91349604923216,39.875044367612844
pt.ine.add.PTCONT.1980250,R PONTO DA BOAVISTA,,2430-050,MARINHA GRANDE,-8.923481096178751,39.75802957501103
