id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1899090,R DO BOEIRO,,6430-051,CORISCADA,-7.205060098065511,40.86594081606316
pt.ine.add.PTCONT.1899177,BR DO CADOIÇO,,6430-312,OUTEIRO DE GATOS,-7.271992278046298,40.96487144713741
pt.ine.add.PTCONT.1899529,R DE STO ANTÓNIO,,6430-011,AVELOSO,-7.314971906875716,40.935937583917
pt.ine.add.PTCONT.1899578,LG DO ADRO,79,6430-021,BARREIRA,-7.186121062455126,40.911458366880645
pt.ine.add.PTCONT.1899579,TV DO ADRO,37,6430-021,BARREIRA,-7.186743983245695,40.91105827388387
pt.ine.add.PTCONT.1899580,R DO SINO,,6430-022,BARREIRA,-7.180543987792422,40.88570425706826
pt.ine.add.PTCONT.1899581,R DA QUEIMADA,,6430-031,CARVALHAL MDA,-7.282416848260427,40.88474477277658
pt.ine.add.PTCONT.1899640,TV DE S SEBASTIÃO,,6430-051,CORISCADA,-7.20609223286369,40.866777546112914
pt.ine.add.PTCONT.1899641,R BR DO AFIFE,,6430-051,CORISCADA,-7.213149343585042,40.85824358364845
pt.ine.add.PTCONT.1899696,R DOS POMBAIS,,6430-062,FONTE LONGA MDA,-7.232674023667872,41.012790134321016
pt.ine.add.PTCONT.1899697,R DO RIBEIRINHO,,6430-075,LONGROIVA,-7.183208193103269,40.96981091624405
pt.ine.add.PTCONT.1899698,R DO CASTELO,,6430-071,LONGROIVA,-7.208392294998506,40.96481106562749
pt.ine.add.PTCONT.1899699,R DA CONCELHA,105,6430-071,LONGROIVA,-7.210768038474252,40.96311023288566
pt.ine.add.PTCONT.1899700,R DA CORREDOURA,,6430-071,LONGROIVA,-7.2114377888804375,40.963637851837845
pt.ine.add.PTCONT.1899701,R DAS LAGES,,6430-081,MARIALVA,-7.231320974204307,40.908786144354934
pt.ine.add.PTCONT.1899773,BR SENHORA DAS TÁBUAS,,6430-110,MEDA,-7.2621985618520055,40.97340621455529
pt.ine.add.PTCONT.1899774,AV CIDADE GUARDA,,6430-122,MEDA,-7.263279240346533,40.973441387246964
pt.ine.add.PTCONT.1899775,BR DE STO ANTÓNIO,,6430-109,MEDA,-7.263384572448913,40.97084887677029
pt.ine.add.PTCONT.1899776,R DO CIMO DO POVO,,6430-164,MEDA,-7.268305162619008,40.96431257949137
pt.ine.add.PTCONT.1899821,R DA POÇA,,6430-203,MEDA,-7.266268649383315,40.96380203489302
pt.ine.add.PTCONT.1899822,BR DO BARROCAL,,6430-102,MEDA,-7.254392746854308,40.96446850958102
pt.ine.add.PTCONT.1899823,R S DOMINGOS,124,6430-171,MEDA,-7.259506421734166,40.96386615580604
pt.ine.add.PTCONT.1899824,TV DE S DOMINGOS,,6430-171,MEDA,-7.2597001294346395,40.96376146353248
pt.ine.add.PTCONT.1899825,BR DAS LAMEIRINHAS,,6430-105,MEDA,-7.254625294321342,40.96305656878264
pt.ine.add.PTCONT.1899912,R DO ROSSIO,,6430-321,PAI PENELA,-7.2982621856142895,40.90410352446051
pt.ine.add.PTCONT.1899913,R DO PONTÃO,,6430-337,POÇO DO CANTO,-7.2753063998555385,41.01072911966378
pt.ine.add.PTCONT.1899914,R DA EIRA,,6430-337,POÇO DO CANTO,-7.274633185077813,41.0140557628396
pt.ine.add.PTCONT.1899915,EM 609,,6430-337,POÇO DO CANTO,-7.2747896502366896,41.012075944050906
pt.ine.add.PTCONT.1899916,LG DA DEVESA,,6430-341,PROVA,-7.340917577585642,40.912985867888246
pt.ine.add.PTCONT.1899917,R DA CRECHE,,6430-341,PROVA,-7.341277241230059,40.913681695975015
pt.ine.add.PTCONT.1899948,R DO ROSSIO,,6430-351,RABAÇAL MDA,-7.259006656429114,40.85505235730778
pt.ine.add.PTCONT.1899949,R AVENIDA,480,6430-351,RABAÇAL MDA,-7.255539419133219,40.849983391698494
pt.ine.add.PTCONT.1899950,R DAS ALDEIAS,,6430-362,RANHADOS,-7.327890530676794,40.99264022474198
pt.ine.add.PTCONT.1899951,R DAS FLORES,,6430-362,RANHADOS,-7.330312156696665,40.993845712128746
pt.ine.add.PTCONT.1899952,EN 331,,6430-362,RANHADOS,-7.329140010353526,40.992504873725714
pt.ine.add.PTCONT.1899953,EN 331,,6430-362,RANHADOS,-7.329639538495519,40.992472338537546
pt.ine.add.PTCONT.1899986,R NSA SRA DA SAÚDE,,6430-371,VALE FLOR,-7.2809779567012844,40.91273861286599
pt.ine.add.PTCONT.1899987,TV DA PORTELA,,6430-371,VALE FLOR,-7.282920176511378,40.91123116608593
pt.ine.add.PTCONT.1900071,BR DO CADOIÇO,,6430-312,OUTEIRO DE GATOS,-7.271185746770837,40.96477537455941
pt.ine.add.PTCONT.1900079,EN 102,,6430-071,LONGROIVA,-7.197862233320836,40.960971235295155
pt.ine.add.PTCONT.1900110,TV DA R DIREITA,,6430-192,MEDA,-7.261929912704469,40.96312100302061
pt.ine.add.PTCONT.1900162,R PRINCIPAL,,6430-333,POÇO DO CANTO,-7.273509733457441,40.9879883924019
pt.ine.add.PTCONT.1900224,R DIREITA,20,6430-169,MEDA,-7.261775503402778,40.96311983610415
pt.ine.add.PTCONT.1900225,R DIREITA,175,6430-169,MEDA,-7.263351745090545,40.96249241572504
pt.ine.add.PTCONT.1900226,R DO PONTÃO,,6430-337,POÇO DO CANTO,-7.2748294318197235,41.01084262714198
pt.ine.add.PTCONT.1900227,R DO CIMO DO POVO,,6430-335,POÇO DO CANTO,-7.269500001914429,40.99930409319864
pt.ine.add.PTCONT.1900228,R DIREITA,,6430-332,POÇO DO CANTO,-7.281304382818076,40.99081964351766
pt.ine.add.PTCONT.1900281,,,6430-333,POÇO DO CANTO,-7.274203489414562,40.9867239274655
pt.ine.add.PTCONT.1900282,LG DA DEVESA,,6430-341,PROVA,-7.341023752891901,40.91304062512114
pt.ine.add.PTCONT.1900283,R SUCURCHÃO,,6430-341,PROVA,-7.342784607849328,40.913692036633435
