id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1103767,TV REMADORES,,3070-587,MIRA,-8.74982032714713,40.438716577154075
pt.ine.add.PTCONT.1107801,MIRA,,3070-011,MIRA,-8.74196345557173,40.43398534308776
pt.ine.add.PTCONT.1100059,TV JOSE RACHA,,3070-816,PRAIA DE MIRA,-8.793821481138737,40.45523164023567
pt.ine.add.PTCONT.1100060,AV MANUEL MILHEIRÃO,68,3070-767,PRAIA DE MIRA,-8.785582466311507,40.45488338121509
pt.ine.add.PTCONT.1100175,R DOS CANAVIAIS,11,3070-765,PRAIA DE MIRA,-8.79205976402606,40.4542069651089
pt.ine.add.PTCONT.1100176,R DOS CANAVIAIS,11,3070-765,PRAIA DE MIRA,-8.79205976402606,40.4542069651089
pt.ine.add.PTCONT.1100305,R PROF PINHO,,3070-814,PRAIA DE MIRA,-8.799410661749745,40.45605595893903
pt.ine.add.PTCONT.1100306,AV ARRAIS BATISTA CERA,21,3070-791,PRAIA DE MIRA,-8.802907432462144,40.454405774170304
pt.ine.add.PTCONT.1100307,AV ARRAIS BATISTA CERA,21,3070-791,PRAIA DE MIRA,-8.802907432462144,40.454405774170304
pt.ine.add.PTCONT.1100308,AV ARRAIS BATISTA CERA,21,3070-791,PRAIA DE MIRA,-8.802907432462144,40.454405774170304
pt.ine.add.PTCONT.1100309,R DOS PINHEIROS,B20,3070-748,PRAIA DE MIRA,-8.782102929789898,40.438764986673256
pt.ine.add.PTCONT.1100420,R BAIXO,40,3070-364,MIRA,-8.72720656632052,40.445841228245946
pt.ine.add.PTCONT.1100421,R MAIA ALCOFORADO,,3070-370,MIRA,-8.730547233181298,40.44372574704363
pt.ine.add.PTCONT.1100422,R DIREITA,97,3070-387,MIRA,-8.714351537629776,40.438752668403055
pt.ine.add.PTCONT.1100539,R BAIRRO NOVO,18,3070-578,MIRA,-8.73667477478845,40.43035686519787
pt.ine.add.PTCONT.1100540,R DR ANTÓNIO JOSE DE ALMEIDA,121,3070-399,MIRA,-8.733192299169003,40.4296815743473
pt.ine.add.PTCONT.1100541,R DR ANTÓNIO JOSE DE ALMEIDA,121,3070-399,MIRA,-8.733192299169003,40.4296815743473
pt.ine.add.PTCONT.1100542,R DR ANTÓNIO JOSE DE ALMEIDA,121,3070-399,MIRA,-8.733192299169003,40.4296815743473
