id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1119580,,,3220-537,VILA NOVA MCV,-8.34965552703043,40.05486349893077
pt.ine.add.PTCONT.1127910,,,3220-507,VILA NOVA MCV,-8.319399283574407,40.06936187204772
pt.ine.add.PTCONT.1132240,,,3220-510,VILA NOVA MCV,-8.31983384385971,40.05249275515165
pt.ine.add.PTCONT.1100061,,,3220-534,VILA NOVA MCV,-8.328540822071036,40.05640505769119
pt.ine.add.PTCONT.1100177,,,3220-503,VILA NOVA MCV,-8.319458718687144,40.043847488083074
pt.ine.add.PTCONT.1100423,R LAPA,,3220-018,LAMAS MCV,-8.375514482444126,40.07282445373088
pt.ine.add.PTCONT.1100424,R S CLEMENTE,,3220-012,LAMAS MCV,-8.382704225229386,40.09628796533512
pt.ine.add.PTCONT.1100547,,,3220-241,MIRANDA DO CORVO,-8.358247517367674,40.133568918692674
pt.ine.add.PTCONT.1100548,R RELVA,24,3220-140,MIRANDA DO CORVO,-8.36188793365439,40.116990760140716
pt.ine.add.PTCONT.1100549,R PRINCIPAL,,3220-233,MIRANDA DO CORVO,-8.367573067752081,40.112368314978546
pt.ine.add.PTCONT.1100640,R PORTO RIO,,3220-113,MIRANDA DO CORVO,-8.353422091540004,40.10355218608266
pt.ine.add.PTCONT.1100641,R VALE SALGUEIRO,,3220-243,MIRANDA DO CORVO,-8.314067769209972,40.105592675142894
pt.ine.add.PTCONT.1100642,R CABECINHO,,3220-048,MIRANDA DO CORVO,-8.326533211086282,40.10075430368314
pt.ine.add.PTCONT.1100643,R CASTANHEIRO,,3220-050,MIRANDA DO CORVO,-8.327415627150067,40.10175249635915
pt.ine.add.PTCONT.1100833,R CENTRO DO LUGAR,,3220-110,MIRANDA DO CORVO,-8.355577438527932,40.066722309365076
pt.ine.add.PTCONT.1101002,TV ALHOS,2,3220-212,MIRANDA DO CORVO,-8.333721952532471,40.09265465339847
pt.ine.add.PTCONT.1101003,R ROSA FALCÃO,75,3220-216,MIRANDA DO CORVO,-8.333039195564808,40.09175522925473
pt.ine.add.PTCONT.1101200,R S PEDRO,543,3220-115,MIRANDA DO CORVO,-8.31684770353443,40.083892740284455
pt.ine.add.PTCONT.1101281,R TABUAS CIMEIRAS,47,3220-240,MIRANDA DO CORVO,-8.302211533986522,40.06820843789086
pt.ine.add.PTCONT.1101282,ZN INDUSTRIAL,24,3220-119,MIRANDA DO CORVO,-8.323748678054487,40.08212540709263
pt.ine.add.PTCONT.1101283,R DR CLEMENTE DE CARVALHO,360,3220-232,MIRANDA DO CORVO,-8.316555070060565,40.0797053845349
pt.ine.add.PTCONT.1101352,ESTR BEIRA,,3220-422,SEMIDE,-8.313915595621975,40.17211104289341
pt.ine.add.PTCONT.1101346,R MANUEL DIAS MARCELINO,5,3220-240,MIRANDA DO CORVO,-8.302741797040735,40.06932441722422
pt.ine.add.PTCONT.1101347,R CENTRAL,33,3220-336,RIO VIDE,-8.331409369699086,40.14429006222307
pt.ine.add.PTCONT.1101348,R REGATO,,3220-302,RIO VIDE,-8.32682241368099,40.13655269094011
pt.ine.add.PTCONT.1101349,R CANTO,,3220-306,RIO VIDE,-8.320101480232362,40.13320450757899
pt.ine.add.PTCONT.1101350,,,3220-350,RIO VIDE,-8.316810506396102,40.131102374173075
pt.ine.add.PTCONT.1101351,R VARZEA,,3220-422,SEMIDE,-8.321933504879393,40.17193613778827
pt.ine.add.PTCONT.1101447,R NSA SRA DA SAÚDE,60,3220-416,SEMIDE,-8.332426272653793,40.16297566294655
pt.ine.add.PTCONT.1101448,R STO ANTONIO,240,3220-442,SEMIDE,-8.337192072880372,40.17082053114391
pt.ine.add.PTCONT.1101449,R CASARAO,,3220-409,SEMIDE,-8.346098175360275,40.173182053305034
pt.ine.add.PTCONT.1101530,R CASAL MOSTEIRO,7,3220-408,SEMIDE,-8.338335741683204,40.15685931240649
pt.ine.add.PTCONT.1101531,R S JOÃO,22,3220-412,SEMIDE,-8.324828947558652,40.15788212360611
pt.ine.add.PTCONT.1101532,R NOVA,534,3220-441,SEMIDE,-8.294033825950255,40.15465085160008
pt.ine.add.PTCONT.1101533,R PRINCIPAL,,3220-443,SEMIDE,-8.320163272129198,40.14718167664916
pt.ine.add.PTCONT.1101623,,,3220-533,VILA NOVA MCV,-8.272588601012979,40.06188958767375
pt.ine.add.PTCONT.1101652,R STO ANTONIO,179,3220-442,SEMIDE,-8.337192072880372,40.17082053114391
pt.ine.add.PTCONT.1101667,R ESTREPOEIRO,,3220-423,SEMIDE,-8.345155877964793,40.1533256985881
pt.ine.add.PTCONT.1101685,,,3220-509,VILA NOVA MCV,-8.33053837080525,40.05006137190232
pt.ine.add.PTCONT.1103100,R CIMA,,3220-404,SEMIDE,-8.348730548915778,40.17770715594009
pt.ine.add.PTCONT.1101757,ESTR MOITA,,3220-231,MIRANDA DO CORVO,-8.329747768440907,40.09301270376359
pt.ine.add.PTCONT.1101781,R SANTO ANTÓNIO,,3220-018,LAMAS MCV,-8.374583769234285,40.07152051690303
