id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5288038,,,4880-304,VILAR DE FERREIROS,-7.92494482117347,41.40588828518103
pt.ine.add.PTCONT.5286469,,,4880-187,MONDIM DE BASTO,-7.9483383083278545,41.40127316271094
pt.ine.add.PTCONT.5286470,,,4880-212,MONDIM DE BASTO,-7.946253779813797,41.390059805255866
pt.ine.add.PTCONT.5286471,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286472,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286473,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286474,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286475,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286476,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286477,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286478,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286479,AV IGREJA,27,4880-231,MONDIM DE BASTO,-7.952067827867121,41.410436152408906
pt.ine.add.PTCONT.5286509,,,4880-162,MONDIM DE BASTO,-7.957218987939572,41.39848683553152
pt.ine.add.PTCONT.5286508,,,4880-186,MONDIM DE BASTO,-7.951410060315213,41.40183630230264
pt.ine.add.PTCONT.5286510,,,4880-162,MONDIM DE BASTO,-7.946131662924899,41.3826042752916
pt.ine.add.PTCONT.5286537,R IGREJA,,4880-290,PARDELHAS,-7.893310240682217,41.334892840720315
pt.ine.add.PTCONT.5286583,,,4880-306,VILAR DE FERREIROS,-7.903890601435576,41.407559026866636
pt.ine.add.PTCONT.5286584,VILAR DE FERREIROS,26,4880-301,VILAR DE FERREIROS,-7.906825305368284,41.40623224544198
pt.ine.add.PTCONT.5286585,,,4880-312,VILAR DE FERREIROS,-7.869246026881712,41.39514932271751
pt.ine.add.PTCONT.5286970,,,4880-016,ATEI,-7.914275622627263,41.47757582331022
pt.ine.add.PTCONT.5286971,,,4880-025,ATEI,-7.927728295042149,41.437227092914796
pt.ine.add.PTCONT.5287013,,,4880-085,BILHÓ,-7.846500859169401,41.42289920750128
pt.ine.add.PTCONT.5292279,,,4880-136,ERMELO MDB,-7.91007722263883,41.3365382862285
pt.ine.add.PTCONT.5287068,R PELOURINHO,26,4880-131,ERMELO MDB,-7.887760713564087,41.36207346216199
pt.ine.add.PTCONT.5287069,R CARVALHO,,4880-128,ERMELO MDB,-7.888294258484963,41.360021672955575
pt.ine.add.PTCONT.5287132,,,4880-201,MONDIM DE BASTO,-7.95218897160152,41.41419100399777
pt.ine.add.PTCONT.5287133,,,4880-190,MONDIM DE BASTO,-7.948637936033073,41.409494289940135
pt.ine.add.PTCONT.5287134,,,4880-195,MONDIM DE BASTO,-7.9651568104664,41.41329225783289
pt.ine.add.PTCONT.5287135,AV DR AUGUSTO DE BRITO,,4880-232,MONDIM DE BASTO,-7.955031246453827,41.4114222114391
pt.ine.add.PTCONT.5287136,AV DR AUGUSTO DE BRITO,,4880-232,MONDIM DE BASTO,-7.955031246453827,41.4114222114391
pt.ine.add.PTCONT.5287137,AV DR AUGUSTO BRITO,,4880-232,MONDIM DE BASTO,-7.955031246453827,41.4114222114391
pt.ine.add.PTCONT.5287138,AV DR AUGUSTO DE BRITO,,4880-232,MONDIM DE BASTO,-7.955031246453827,41.4114222114391
