id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.4664191,,,2985-064,CANHA,-8.650170413641595,38.73334062021935
pt.ine.add.PTCONT.4663072,PC REPÚBLICA,52,2870-235,MONTIJO,-8.974883001308902,38.70635040416891
pt.ine.add.PTCONT.4663073,PC REPÚBLICA,52,2870-235,MONTIJO,-8.974883001308902,38.70635040416891
pt.ine.add.PTCONT.4663074,PC REPÚBLICA,52,2870-235,MONTIJO,-8.974883001308902,38.70635040416891
pt.ine.add.PTCONT.4663178,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663179,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663180,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663181,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663182,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663183,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663184,AV D JOÃO II,67,2870-415,MONTIJO,-8.958529148126702,38.71474319175723
pt.ine.add.PTCONT.4663185,AV GARCIA DE ORTA,,2870-417,MONTIJO,-8.950738989563435,38.70712311529564
pt.ine.add.PTCONT.4663186,AV PESCADORES,107,2870-114,MONTIJO,-8.978923146025366,38.70671544878303
pt.ine.add.PTCONT.4663187,AV PESCADORES,107,2870-114,MONTIJO,-8.978923146025366,38.70671544878303
pt.ine.add.PTCONT.4663188,AV PESCADORES,107,2870-114,MONTIJO,-8.978923146025366,38.70671544878303
pt.ine.add.PTCONT.4663189,R JOAQUIM DE ALMEIDA,52,2870-340,MONTIJO,-8.970788944192433,38.70617047167018
pt.ine.add.PTCONT.4663190,R EX-VOTOS,,2870-723,ATALAIA MTJ,-8.924883677054453,38.70920174792906
pt.ine.add.PTCONT.4663191,R EX-VOTOS,,2870-723,ATALAIA MTJ,-8.924883677054453,38.70920174792906
pt.ine.add.PTCONT.4663192,R EX-VOTOS,,2870-723,ATALAIA MTJ,-8.924883677054453,38.70920174792906
pt.ine.add.PTCONT.4663414,,,2870-740,ATALAIA MTJ,-8.930576822720479,38.70216382872829
pt.ine.add.PTCONT.4663284,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663285,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663286,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663287,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663288,R ANTÓNIO FORTUNATO DE SOUSA,15,2870-054,MONTIJO,-8.980410294076867,38.70566343265586
pt.ine.add.PTCONT.4663289,R ANTÓNIO FORTUNATO DE SOUSA,15,2870-054,MONTIJO,-8.980410294076867,38.70566343265586
pt.ine.add.PTCONT.4663290,R ANTÓNIO FORTUNATO DE SOUSA,15,2870-054,MONTIJO,-8.980410294076867,38.70566343265586
pt.ine.add.PTCONT.4663291,R ANTÓNIO FORTUNATO DE SOUSA,15,2870-054,MONTIJO,-8.980410294076867,38.70566343265586
pt.ine.add.PTCONT.4663292,R MELO ANTUNES,,2870-746,ATALAIA MTJ,-8.923362138133433,38.70466299282299
pt.ine.add.PTCONT.4663293,R MELO ANTUNES,,2870-746,ATALAIA MTJ,-8.923362138133433,38.70466299282299
pt.ine.add.PTCONT.4663294,R MELO ANTUNES,,2870-746,ATALAIA MTJ,-8.923362138133433,38.70466299282299
pt.ine.add.PTCONT.4663295,R MELO ANTUNES,,2870-746,ATALAIA MTJ,-8.923362138133433,38.70466299282299
pt.ine.add.PTCONT.4663296,R MELO ANTUNES,,2870-746,ATALAIA MTJ,-8.923362138133433,38.70466299282299
pt.ine.add.PTCONT.4664436,EN 11,,2870-524,SARILHOS GRANDES,-8.973707571897169,38.67265771151631
pt.ine.add.PTCONT.4663401,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663402,R BAIXA,70,2870-231,MONTIJO,-8.952384476970952,38.70725572522754
pt.ine.add.PTCONT.4663403,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663404,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663405,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663406,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663407,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663408,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663409,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663410,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663411,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663412,R FERNÃO PERES DE ANDRADE,39,2870-460,MONTIJO,-8.954706085999376,38.714229639978505
pt.ine.add.PTCONT.4663413,R FORCAS ARMADAS,,2870-712,ATALAIA MTJ,-8.927727906890686,38.70338129063683
pt.ine.add.PTCONT.4663415,R FIGUEIRA,64,2870-743,ATALAIA MTJ,-8.929589188759667,38.700179787221835
pt.ine.add.PTCONT.4663416,R FIGUEIRA,64,2870-743,ATALAIA MTJ,-8.929589188759667,38.700179787221835
pt.ine.add.PTCONT.4663417,R FIGUEIRA,64,2870-743,ATALAIA MTJ,-8.929589188759667,38.700179787221835
pt.ine.add.PTCONT.4663522,R CESARIO VERDE,61,2870-025,MONTIJO,-8.957858544828404,38.71041508013796
pt.ine.add.PTCONT.4663523,R JOSE MALHOA,68,2870-463,MONTIJO,-8.96215697305912,38.71228536683038
pt.ine.add.PTCONT.4663524,R ANTÓNIO RODRIGUES PIMENTEL,11 3,2870-459,MONTIJO,-8.968575121857336,38.70461891951882
pt.ine.add.PTCONT.4663525,R SANTOS OLIVEIRA,26,2870-362,MONTIJO,-8.972485193695809,38.704744051800326
pt.ine.add.PTCONT.4663526,R PADRE ANTÓNIO VIEIRA,47,2870-009,MONTIJO,-8.949952398885433,38.70568733230024
pt.ine.add.PTCONT.4663527,R PADRE ANTÓNIO VIEIRA,47,2870-009,MONTIJO,-8.949952398885433,38.70568733230024
pt.ine.add.PTCONT.4664437,R DEMOCRACIA,2I,2870-502,SARILHOS GRANDES,-8.972882322768038,38.671852915884514
pt.ine.add.PTCONT.4663610,R GIL VICENTE,15,2870-332,MONTIJO,-8.963375570020306,38.71227671974156
pt.ine.add.PTCONT.4663611,R JULIO DANTAS,57 PORT,2870-033,MONTIJO,-8.950675021168262,38.711600538695066
pt.ine.add.PTCONT.4663612,R JOSE JOAQUIM MARQUES,89,2870-348,MONTIJO,-8.970683782556062,38.704054345819465
