id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1371308,,,7490-308,MORA,-8.138691066578051,38.942983146443176
pt.ine.add.PTCONT.1368714,R NOVA,61,7490-250,MORA,-8.164905374184368,38.94495163880631
pt.ine.add.PTCONT.1368057,R 25 DE ABRIL,,7490-107,CABEÇÃO,-8.079647539868956,38.955744140641094
pt.ine.add.PTCONT.1368058,R S PEDRO,21,7490-087,CABEÇÃO,-8.077615447884725,38.95506729392188
pt.ine.add.PTCONT.1368059,R COMBATENTES DA GRANDE GUERRA,31,7490-092,CABEÇÃO,-8.076094941753388,38.954886716325404
pt.ine.add.PTCONT.1368060,R QUINTA DA LARANJINHA,35,7490-056,CABEÇÃO,-8.070270316038043,38.95340644286028
pt.ine.add.PTCONT.1368061,R ANTÓNIO SÉRGIO,9,7490-204,MORA,-8.165254896689705,38.94233929659476
pt.ine.add.PTCONT.1368090,R LARANJEIRAS,16,7490-021,BROTAS,-8.151729926692148,38.873062513824074
pt.ine.add.PTCONT.1368091,R IGREJA,3 A,7490-017,BROTAS,-8.153269495180842,38.87140451428466
pt.ine.add.PTCONT.1368092,R 25 DE ABRIL,24,7490-029,BROTAS,-8.151166092847674,38.873779768385184
pt.ine.add.PTCONT.1368093,R AGUIAS,57-59,7490-019,BROTAS,-8.14945965247265,38.87144261444605
pt.ine.add.PTCONT.1368094,LG DR JOÃO VIEIRA DA SILVA,6,7490-062,CABEÇÃO,-8.07271014581655,38.952148442422974
pt.ine.add.PTCONT.1368095,R S JOSE,25,7490-086,CABEÇÃO,-8.076246946016575,38.952346584229865
pt.ine.add.PTCONT.1368096,LG DO CALVÁRIO,1,7490-326,MORA,-8.166672515319375,38.94485460704164
pt.ine.add.PTCONT.1368097,FERRAGIAL DA NAZARE,,7490-406,PAVIA,-8.023479470926569,38.8933164175038
pt.ine.add.PTCONT.1368098,MTE CHAPARRAL,,7490-406,PAVIA,-8.048967883860984,38.88078952555697
pt.ine.add.PTCONT.1368099,R FONTE,10,7490-428,PAVIA,-8.017987921311308,38.896364814613555
pt.ine.add.PTCONT.1368136,R MISERICÓRDIA,7,7490-227,MORA,-8.165255840427921,38.944429115226576
pt.ine.add.PTCONT.1368137,R CABECÃO,109 Q2,7490-241,MORA,-8.160274206995416,38.94810557788862
pt.ine.add.PTCONT.1368138,TV MOINHOS,,7490-450,PAVIA,-8.015972634020754,38.89518277412179
pt.ine.add.PTCONT.1368370,R MISERICÓRDIA,8,7490-078,CABEÇÃO,-8.071678913351933,38.95204701117929
pt.ine.add.PTCONT.1368376,R FONTE VELHA,10,7490-073,CABEÇÃO,-8.071102441237548,38.95166837765697
pt.ine.add.PTCONT.1368708,EM 501,25,7490-072,CABEÇÃO,-8.080159652871414,38.955354470570306
pt.ine.add.PTCONT.1368709,R DA LIBERDADE,,7490-076,CABEÇÃO,-8.078494491594862,38.954941910727776
pt.ine.add.PTCONT.1368710,,,7490-308,MORA,-8.132889191588758,38.93806499649383
pt.ine.add.PTCONT.1368711,AV FLUVIARIO,,7490-261,MORA,-8.158784622686177,38.94389925560994
pt.ine.add.PTCONT.1368715,R S PEDRO,15,7490-208,MORA,-8.16382683048432,38.94390870553929
pt.ine.add.PTCONT.1368716,,,7490-308,MORA,-8.252428133817224,38.92603257533847
pt.ine.add.PTCONT.1368717,VALE DAS AMIEIRAS,,7490-307,MORA,-8.150929288567726,38.94314406068355
pt.ine.add.PTCONT.1368718,R 25 DE ABRIL,54,7490-448,PAVIA,-8.023350948014018,38.89621979093388
pt.ine.add.PTCONT.1368722,R MOVIMENTO FORCAS ARMADAS E,E8,7490-090,CABEÇÃO,-8.0753124865921,38.95239116437469
pt.ine.add.PTCONT.1368723,R 9 DE ABRIL,,7490-444,PAVIA,-8.024408450172018,38.89637997606263
pt.ine.add.PTCONT.1368730,R S JOSE,48,7490-086,CABEÇÃO,-8.076633700163338,38.95245872216027
pt.ine.add.PTCONT.1368731,R ESCOLA,13,7490-203,MORA,-8.167584714961777,38.94204137292637
pt.ine.add.PTCONT.1368735,R IGREJA,46,7490-017,BROTAS,-8.153561322732106,38.87075181579266
pt.ine.add.PTCONT.1368736,R GOA,,7490-235,MORA,-8.167260951806009,38.940375017079134
pt.ine.add.PTCONT.1368738,R GEN HUMBERTO DELGADO,44,7490-098,CABEÇÃO,-8.073811203443414,38.954300069987106
pt.ine.add.PTCONT.1368739,R DR TEODOSIO PEREIRA SILVEIRA FUMAZ,7,7490-202,MORA,-8.166970247110383,38.94283575616644
pt.ine.add.PTCONT.1368740,R 25 DE ABRIL,13,7490-448,PAVIA,-8.022842044495231,38.89555878752893
pt.ine.add.PTCONT.1368742,R FONTE VELHA,30,7490-073,CABEÇÃO,-8.070525246483191,38.95211846089996
pt.ine.add.PTCONT.1368743,VALE FLORES,,7490-314,MORA,-8.148218711468914,38.943396662579346
pt.ine.add.PTCONT.1368748,R TRABALHADORES,8,7490-023,BROTAS,-8.150151534420589,38.87429684372499
pt.ine.add.PTCONT.1368749,R TIMOR,2,7490-238,MORA,-8.160539483043843,38.948006429684426
pt.ine.add.PTCONT.1368750,MTE PORTO AVIS,,7490-406,PAVIA,-8.068138167818622,38.84994950210586
pt.ine.add.PTCONT.1368752,R AGUIAS,60,7490-019,BROTAS,-8.149618455631044,38.8713333049322
pt.ine.add.PTCONT.1368753,,,7490-406,PAVIA,-7.945718604051766,38.93388808016159
pt.ine.add.PTCONT.1368754,R AVIS,,7490-432,PAVIA,-8.016893412184682,38.89669430984361
pt.ine.add.PTCONT.1368760,MTE ASSEICEIRA,,7490-051,CABEÇÃO,-8.081075050686668,38.98070900488731
pt.ine.add.PTCONT.1368763,ESTR VELHA DO COUCO,82,7490-206,MORA,-8.170416998555352,38.94717125397759
pt.ine.add.PTCONT.1368771,R S JOÃO,,7490-085,CABEÇÃO,-8.07801840351124,38.9553494134024
pt.ine.add.PTCONT.1368772,R PAZ,,7490-204,MORA,-8.165076644945835,38.94111836040723
pt.ine.add.PTCONT.1368773,MTE VALE BOM,,7490-313,MORA,-8.17461955410916,38.94005735756131
pt.ine.add.PTCONT.1368774,R 1 DE DEZEMBRO,3,7490-445,PAVIA,-8.018063817728974,38.895894575646835
pt.ine.add.PTCONT.1368775,R MISERICÓRDIA,1,7490-078,CABEÇÃO,-8.07143653171447,38.952191008571894
pt.ine.add.PTCONT.1368777,LG REPUBLICA,,7490-059,CABEÇÃO,-8.072948189448093,38.951678351434296
pt.ine.add.PTCONT.1368778,R D DINIS,,7490-433,PAVIA,-8.01649800809291,38.89524721110192
pt.ine.add.PTCONT.1368784,R MUNICIPIO,40,7490-243,MORA,-8.163924919789324,38.94554809899265
pt.ine.add.PTCONT.1368785,MTE VALE D EL REI 3,,7490-406,PAVIA,-7.989404154754175,38.90630690910141
pt.ine.add.PTCONT.1369457,R ESCOLA,5,7490-015,BROTAS,-8.152628679578545,38.872837168328836
pt.ine.add.PTCONT.1369458,R JOAQUIM ALVES SALGADO,9,7490-025,BROTAS,-8.15369331365966,38.87329957343557
pt.ine.add.PTCONT.1369459,R BOA VISTA,27,7490-070,CABEÇÃO,-8.073826548572608,38.95471344673902
pt.ine.add.PTCONT.1369460,LG MERCADO VELHO,6,7490-216,MORA,-8.164414104676263,38.94512294753663
pt.ine.add.PTCONT.1369461,R 25 DE ABRIL,58,7490-107,CABEÇÃO,-8.078206482051113,38.95441932193034
pt.ine.add.PTCONT.1369462,R 25 DE ABRIL,22A,7490-107,CABEÇÃO,-8.075450073076642,38.95343614008111
pt.ine.add.PTCONT.1369463,R CASAS NOVAS,4,7490-431,PAVIA,-8.018052823259097,38.891860922230244
pt.ine.add.PTCONT.1369466,R 25 DE ABRIL,57,7490-107,CABEÇÃO,-8.076598229137938,38.95363373065479
pt.ine.add.PTCONT.1369467,R S PEDRO,59,7490-208,MORA,-8.162325685559681,38.94366421913269
pt.ine.add.PTCONT.1369471,R 9 DE ABRIL,17,7490-444,PAVIA,-8.02439729395484,38.89613675211182
pt.ine.add.PTCONT.1369473,LG ROSSIO DA EIRA DO QUARTO,,7490-066,CABEÇÃO,-8.072483496666656,38.95549742815201
pt.ine.add.PTCONT.1369476,MONTE NOVO,,7490-321,MORA,-8.154119709540058,38.966419743541785
pt.ine.add.PTCONT.1369477,,,7490-321,MORA,-8.147255628837744,38.97270822171914
pt.ine.add.PTCONT.1369478,R 25 DE ABRIL,19,7490-448,PAVIA,-8.022922635196627,38.8956219189807
pt.ine.add.PTCONT.1369482,R FONTE VELHA,,7490-073,CABEÇÃO,-8.06992515613637,38.952361348881595
pt.ine.add.PTCONT.1369489,R QUINTA DA LARANJINHA,26,7490-056,CABEÇÃO,-8.06979060185474,38.953639309680376
pt.ine.add.PTCONT.1369491,MTE DO FURADOURO,,7490-217,MORA,-8.21412082179741,38.967807741919756
pt.ine.add.PTCONT.1369492,R CATARINA EUFEMIA,,7490-222,MORA,-8.166223888260134,38.94254620606506
pt.ine.add.PTCONT.1369493,MTE DAS JORDANAS 5,,7490-406,PAVIA,-7.993125567611583,38.93671996456535
pt.ine.add.PTCONT.1369494,R D MANUEL I,1,7490-440,PAVIA,-8.018437637550681,38.896378551900305
pt.ine.add.PTCONT.1369498,R EPAC,8,7490-200,MORA,-8.149736158836747,38.94966176611507
pt.ine.add.PTCONT.1369501,R S PEDRO,3 A,7490-087,CABEÇÃO,-8.07704518581048,38.955469765577085
pt.ine.add.PTCONT.1369502,R CAMINHO DE FERRO,,7490-242,MORA,-8.154206601566985,38.948160879362206
pt.ine.add.PTCONT.1369507,R ESCOLA,18,7490-015,BROTAS,-8.152102655191984,38.87347998212982
pt.ine.add.PTCONT.1369695,MTE REMENDO 1,,7490-406,PAVIA,-7.973159373180278,38.88607001467439
pt.ine.add.PTCONT.1369718,R PAVIA,17,7490-207,MORA,-8.164888367703684,38.94428889895264
pt.ine.add.PTCONT.1369729,MTE DA ÁGUA BOA,,7490-217,MORA,-8.228240798808395,38.97399444913109
pt.ine.add.PTCONT.1370184,R MOVIMENTO FORCAS ARMADAS,19,7490-022,BROTAS,-8.15381509042759,38.871797193424484
pt.ine.add.PTCONT.1370185,R S PAULO,8,7490-435,PAVIA,-8.017333997193356,38.894445483102096
pt.ine.add.PTCONT.1370186,PC CONS FERNANDO DE SOUSA,5A,7490-221,MORA,-8.165452128577316,38.94486143722959
pt.ine.add.PTCONT.1370187,VALE DAS AMIEIRAS,,7490-307,MORA,-8.149222229173585,38.9434145440381
pt.ine.add.PTCONT.1370188,R POSSIDÓNIO ALVES SALGADO,59,7490-010,BROTAS,-8.152294496331397,38.872801191910355
pt.ine.add.PTCONT.1370189,R NOVA,10,7490-099,CABEÇÃO,-8.075899494822858,38.95404889322042
pt.ine.add.PTCONT.1370190,MTE DOS PRATES,,7490-423,PAVIA,-7.9808287036052095,38.86754193432219
pt.ine.add.PTCONT.1370192,R 25 DE ABRIL,9,7490-107,CABEÇÃO,-8.074885032129293,38.95314760921266
pt.ine.add.PTCONT.1370198,R AGUIAS,47,7490-019,BROTAS,-8.150067098597539,38.87151840449634
pt.ine.add.PTCONT.1370199,R MOVIMENTO DAS FORÇAS ARMADAS,4,7490-022,BROTAS,-8.154382029245125,38.87175758175434
pt.ine.add.PTCONT.1370200,ESTR CABECEIRAS,,7490-301,MORA,-8.159844910237263,38.94148491611414
pt.ine.add.PTCONT.1370201,AV FLUVIARIO,N 40,7490-261,MORA,-8.159418885798507,38.94350276942094
pt.ine.add.PTCONT.1370207,ESTR ROMA PEREIRA,,7490-302,MORA,-8.171206951204294,38.942841944740984
pt.ine.add.PTCONT.1370208,ESTR CABECEIRAS,,7490-301,MORA,-8.155162050754052,38.94173811440405
pt.ine.add.PTCONT.1370213,ESTR VALE DA BICA,,7490-303,MORA,-8.155795866990957,38.93993642410462
pt.ine.add.PTCONT.1370215,R VASCO DA GAMA,13,7490-106,CABEÇÃO,-8.076807663461292,38.95212048938775
pt.ine.add.PTCONT.1370216,R CABECÃO,239,7490-241,MORA,-8.14948328326613,38.95123030726503
pt.ine.add.PTCONT.1370217,MTE LEBRES,,7490-406,PAVIA,-7.928130854807497,38.9618548301405
pt.ine.add.PTCONT.1370219,R COMEND ANTÓNIO LOPES ALEIXO,11,7490-120,CABEÇÃO,-8.074702663185647,38.950454178023215
pt.ine.add.PTCONT.1370220,R MURO,,7490-437,PAVIA,-8.015745729876807,38.896244287922244
pt.ine.add.PTCONT.1370221,R E,,7490-053,CABEÇÃO,-8.075246016501891,38.9490131959219
pt.ine.add.PTCONT.1370224,R QUINTA DA LARANJINHA,41,7490-056,CABEÇÃO,-8.07107925823007,38.953178829903585
pt.ine.add.PTCONT.1370225,LG DR JOÃO VIEIRA DA SILVA,5,7490-062,CABEÇÃO,-8.072890174193146,38.95207466586774
pt.ine.add.PTCONT.1370227,R 18 DE SETEMBRO,,7490-239,MORA,-8.164400129187056,38.941922118982724
pt.ine.add.PTCONT.1370228,CATARINA FRANCISCA LOPES PARRACHA,,7490-406,PAVIA,-7.912911314551074,38.91383336359355
pt.ine.add.PTCONT.1370229,ESTR MONTARGIL,41,7490-058,CABEÇÃO,-8.077150162492678,38.95594285353443
pt.ine.add.PTCONT.1370230,R REFORMA AGRARIA,,7490-204,MORA,-8.166407652347605,38.94086168721425
pt.ine.add.PTCONT.1370231,R VEREADOR JOSE CANELAS,2,7490-406,PAVIA,-7.935165518160371,38.938149386584044
pt.ine.add.PTCONT.1370233,R LIBERDADE,3,7490-076,CABEÇÃO,-8.078621172436526,38.95523022022009
pt.ine.add.PTCONT.1370234,R CABECÃO,,7490-241,MORA,-8.159212857534202,38.94785360075832
pt.ine.add.PTCONT.1370236,,,7490-308,MORA,-8.13741872213381,38.94160624541505
pt.ine.add.PTCONT.1370237,MTE CONDES NOVOS 2,,7490-406,PAVIA,-7.947972235629588,38.90546284782751
pt.ine.add.PTCONT.1370238,BR PEDRO MANUEL,3,7490-403,PAVIA,-8.016295370024979,38.89519210534255
pt.ine.add.PTCONT.1377225,R GOA,,7490-235,MORA,-8.167088038466433,38.9405822479664
pt.ine.add.PTCONT.1370491,R EXERCITO,1,7490-089,CABEÇÃO,-8.074171263984919,38.95136370150111
pt.ine.add.PTCONT.1370506,R LUIS VAZ DE CAMÕES,16,7490-249,MORA,-8.16424021420962,38.94314126948466
pt.ine.add.PTCONT.1370532,R CATARINA EUFEMIA,21,7490-222,MORA,-8.165543943768734,38.943843525996016
pt.ine.add.PTCONT.1370533,R 5 DE OUTUBRO,,7490-223,MORA,-8.16359394889881,38.942375773572124
pt.ine.add.PTCONT.1370546,R SANTO ANTÓNIO,5,7490-084,CABEÇÃO,-8.072820812963664,38.95224577875012
pt.ine.add.PTCONT.1370547,BC SANTO ANTÓNIO,1 A,7490-211,MORA,-8.157780647449039,38.94787263686573
pt.ine.add.PTCONT.1370631,HRD REGUENGO FÁBRICA DA CHICÓRIA,,7490-406,PAVIA,-8.058875834050077,38.93914035042019
pt.ine.add.PTCONT.1371410,R FORNO,1,7490-080,CABEÇÃO,-8.071367878039718,38.95154240879591
pt.ine.add.PTCONT.1370966,R S PEDRO,1,7490-208,MORA,-8.16422906947237,38.94403304859233
pt.ine.add.PTCONT.1370967,R D DINIS,24,7490-433,PAVIA,-8.016988284379888,38.89439109234456
pt.ine.add.PTCONT.1370970,R BAIRRO DA BOAVISTA,,7490-311,MORA,-8.178808668490495,38.94354182757521
pt.ine.add.PTCONT.1370975,R DR TEODOSIO PEREIRA SILVEIRA FUMAZ,24,7490-202,MORA,-8.167089560543104,38.94377102355026
pt.ine.add.PTCONT.1370976,R GLÓRIA,1,7490-074,CABEÇÃO,-8.072253419592432,38.95473164362169
pt.ine.add.PTCONT.1370982,R ANTÓNIO JOSE DE ALMEIDA,34,7490-068,CABEÇÃO,-8.074530736041645,38.95342271374161
pt.ine.add.PTCONT.1370983,R VASCO DA GAMA,50,7490-106,CABEÇÃO,-8.077908358839897,38.952068139197735
pt.ine.add.PTCONT.1370984,MTE NOVO,,7490-321,MORA,-8.163118916959323,38.96470629328296
pt.ine.add.PTCONT.1370985,VALE FLORES,,7490-314,MORA,-8.14728459402827,38.94434260291742
pt.ine.add.PTCONT.1370991,R MURO,7,7490-437,PAVIA,-8.01557296495388,38.896268369743645
pt.ine.add.PTCONT.1370994,R ANTÓNIO SÉRGIO,,7490-204,MORA,-8.165197382710462,38.942690618234515
pt.ine.add.PTCONT.1371000,R 5 DE OUTUBRO,7,7490-069,CABEÇÃO,-8.073984591891005,38.952568938890856
