id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.455922,R ESPÍRITO SANTO,50,7860-160,MOURA,-7.449099542859842,38.144126070543436
pt.ine.add.PTCONT.455965,R IGREJA,13 A,7875-161,STO ALEIXO DA RESTAURAÇÃO,-7.152293080337653,38.06755409998429
pt.ine.add.PTCONT.455966,R SANTA JUSTA,28,7860-154,MOURA,-7.44629504829958,38.14295823113878
pt.ine.add.PTCONT.455981,R FONTE DE AROUCHE,15,7875-159,STO ALEIXO DA RESTAURAÇÃO,-7.150671597136172,38.065947141558546
pt.ine.add.PTCONT.455984,R MARTINHO MARIANO GANHAO,24,7860-211,MOURA,-7.448406110840011,38.142507526363616
pt.ine.add.PTCONT.456000,R FLORES,16,7875-364,SOBRAL DA ADIÇA,-7.256475204263519,38.024455835594516
pt.ine.add.PTCONT.456007,R MOURA,18,7875-258,SANTO AMADOR,-7.307423835594947,38.134346433730485
pt.ine.add.PTCONT.456013,R MOLEJAS,28,7860-149,MOURA,-7.449300208614114,38.142182026357354
pt.ine.add.PTCONT.456029,R SERPA PINTO,43,7860-069,MOURA,-7.450357606385764,38.13979566636121
pt.ine.add.PTCONT.456030,R LONGA,25,7875-374,SOBRAL DA ADIÇA,-7.255479036738131,38.02483779539478
pt.ine.add.PTCONT.456074,R BICADA,21,7875-154,STO ALEIXO DA RESTAURAÇÃO,-7.151235091070702,38.06686679518834
pt.ine.add.PTCONT.456075,R ALEIXO CARRASCO,53,7875-151,STO ALEIXO DA RESTAURAÇÃO,-7.152317191215854,38.06604701409531
pt.ine.add.PTCONT.456095,R CAP JOAQUIM BENDITO MAXIMIANO,21,7885-026,AMARELEJA,-7.221265592406495,38.21390515256812
pt.ine.add.PTCONT.456109,EN 386,,7860-002,MOURA,-7.484843660441458,38.10976597829685
pt.ine.add.PTCONT.456136,R BARRANCOS,47,7875-167,STO ALEIXO DA RESTAURAÇÃO,-7.1509624447636035,38.066478993228465
pt.ine.add.PTCONT.456137,R SAFARA,2,7860-040,MOURA,-7.4428582488986255,38.137914016145515
pt.ine.add.PTCONT.456167,R LUIS DE CAMÕES,11,7860-060,MOURA,-7.451336379873439,38.13990440994178
pt.ine.add.PTCONT.456174,PCT DR AGOSTINHO CARO QUINTILIANO,13A,7885-024,AMARELEJA,-7.22596596172175,38.2099690145697
pt.ine.add.PTCONT.456187,R S JOÃO DE DEUS,12,7860-068,MOURA,-7.447446268521039,38.13932925277339
pt.ine.add.PTCONT.456197,R FLORES,81,7885-045,AMARELEJA,-7.223434997580478,38.206994157411835
pt.ine.add.PTCONT.456217,R VASCO DA GAMA,29,7860-070,MOURA,-7.453133000502519,38.13695593472159
pt.ine.add.PTCONT.456219,TV PALMEIRA,5,7860-234,MOURA,-7.451127299128548,38.14190563169695
pt.ine.add.PTCONT.456223,R MOURA,43,7885-049,AMARELEJA,-7.229464518149387,38.20949947962198
pt.ine.add.PTCONT.456226,R DA ESTRELA,47,7885-278,PÓVOA DE SÃO MIGUEL,-7.331288617152724,38.22668987405315
pt.ine.add.PTCONT.456242,R OUTEIRO DO POCINHO,9,7875-382,SOBRAL DA ADIÇA,-7.2576106890629255,38.021869703438355
pt.ine.add.PTCONT.456263,R SANTA ANA,55,7875-066,SAFARA,-7.219978558592249,38.10915510261905
pt.ine.add.PTCONT.456265,R BERNARDO COSTA,2,7860-125,MOURA,-7.451721662052982,38.14068453304343
pt.ine.add.PTCONT.456272,R MATADOURO,9,7860-164,MOURA,-7.453217458396215,38.1422154981629
pt.ine.add.PTCONT.456274,R COLETE,43,7885-053,AMARELEJA,-7.224972693731945,38.20502428202396
pt.ine.add.PTCONT.456275,R INF D HENRIQUE,5,7885-275,PÓVOA DE SÃO MIGUEL,-7.329570193540214,38.22649220194027
pt.ine.add.PTCONT.456276,R POÇO ALTO DA VILA,30,7885-270,PÓVOA DE SÃO MIGUEL,-7.336058103642736,38.22519163134534
pt.ine.add.PTCONT.456287,R CARNEIRA,9,7860-021,MOURA,-7.449391358985867,38.13943869792011
pt.ine.add.PTCONT.456292,R 1 DE DEZEMBRO,3,7875-384,SOBRAL DA ADIÇA,-7.257474436085189,38.0253235997617
pt.ine.add.PTCONT.456314,SIT LAMEIRÃO,11,7860-351,MOURA,-7.458112282416041,38.14124587748545
pt.ine.add.PTCONT.456316,R D AFONSO MENDES,39,7875-179,STO ALEIXO DA RESTAURAÇÃO,-7.150378438803473,38.06786862881423
pt.ine.add.PTCONT.456332,R ILHAS,,7875-072,SAFARA,-7.216970275239025,38.10921680983491
pt.ine.add.PTCONT.456336,R FE,20,7860-023,MOURA,-7.446763294650396,38.13870265717675
pt.ine.add.PTCONT.456344,EN 386,3,7885-040,AMARELEJA,-7.22413341747928,38.213756229444556
pt.ine.add.PTCONT.456348,R D NUNO ÁLVARES PEREIRA,14,7860-170,MOURA,-7.453440458437011,38.14358488746128
pt.ine.add.PTCONT.456354,R SAFARA,27,7875-366,SOBRAL DA ADIÇA,-7.260357355769859,38.02387410385835
pt.ine.add.PTCONT.456375,R SANTO ANTÓNIO,43,7860-155,MOURA,-7.454319629225795,38.14270839243086
pt.ine.add.PTCONT.456399,R BICA DOS QUARTEIS,2A,7860-129,MOURA,-7.447203250722064,38.14277410754702
pt.ine.add.PTCONT.456400,PCT DR AGOSTINHO CLARO QUINTILIANO,27,7885-024,AMARELEJA,-7.225740696399493,38.21040172372406
pt.ine.add.PTCONT.456401,2 RUA DA MOURARIA,6,7860-103,MOURA,-7.4519171198289476,38.14260888025276
pt.ine.add.PTCONT.456409,R D NUNO ÁLVARES PEREIRA,24,7860-170,MOURA,-7.453723236385373,38.14339460091594
pt.ine.add.PTCONT.456443,R FORNO,22,7860-162,MOURA,-7.451550104184294,38.14648721203582
pt.ine.add.PTCONT.456458,R D JOÃO I,2,7860-051,MOURA,-7.4534092845603155,38.13601974883525
pt.ine.add.PTCONT.456470,ZN ZONA RURAL VALE DO TOURO - FAMILIA SILVA,,7860-001,MOURA,-7.413609269108418,38.11711172945851
pt.ine.add.PTCONT.456484,TV ALBARDEIRAS,15,7860-187,MOURA,-7.448778422070917,38.14220333866505
pt.ine.add.PTCONT.456492,R BOAVISTA,31,7875-155,STO ALEIXO DA RESTAURAÇÃO,-7.14987709577981,38.06956711176482
