id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.5286871,R DE STA TERESA,,5090-011,CANDEDO MUR,-7.382273769530122,41.36298300341721
pt.ine.add.PTCONT.5286872,EN 314,,5090-017,CANDEDO MUR,-7.342539171033102,41.345906480024816
pt.ine.add.PTCONT.5286873,R DA VIDOSA,,5090-052,FIOLHOSO,-7.5016664548794445,41.41005243257367
pt.ine.add.PTCONT.5286874,R DA ROSEIRA,1,5090-052,FIOLHOSO,-7.503616016683532,41.406326486017015
pt.ine.add.PTCONT.5286875,R CENTRAL,,5090-052,FIOLHOSO,-7.503641671957986,41.406146547787635
pt.ine.add.PTCONT.5286876,EN 15,,5090-053,FIOLHOSO,-7.490279729914983,41.39678961482058
pt.ine.add.PTCONT.5286877,R DAS LAJES,,5090-051,FIOLHOSO,-7.48352867241572,41.39629249922887
pt.ine.add.PTCONT.5286878,BR HERÓI MILHÕES,4,5090-109,MURÇA,-7.447312708611402,41.40850775772466
pt.ine.add.PTCONT.5286879,R DO ANTIGO MATADOURO,12,5090-127,MURÇA,-7.453541160808911,41.40645580544722
pt.ine.add.PTCONT.5286880,R DO CRUZEIRO,,5090-200,NOURA,-7.428402764856811,41.39649031114904
pt.ine.add.PTCONT.5286881,QTA DO REBENTÃO,,5090-200,NOURA,-7.411977060639292,41.378830861699214
pt.ine.add.PTCONT.5286882,R DAS FLORES,2,5090-210,PALHEIROS,-7.402398214140365,41.41757731954703
pt.ine.add.PTCONT.5286914,R CENTRAL,24,5090-012,CANDEDO MUR,-7.404245416196561,41.3668068851777
pt.ine.add.PTCONT.5286915,R DO MARMELEIRO,,5090-016,CANDEDO MUR,-7.374354655775172,41.34200580998967
pt.ine.add.PTCONT.5286916,R DO VALE DE CABEDA,,5090-031,CARVA,-7.554788489606909,41.413221970100615
pt.ine.add.PTCONT.5286917,R CENTRAL,26,5090-081,JOU,-7.423829973714615,41.46400027036103
pt.ine.add.PTCONT.5286918,SIT DE TOUBRES,2,5090-081,JOU,-7.423840275825124,41.461956466053216
pt.ine.add.PTCONT.5286919,BR DO CASTELO,,5090-073,JOU,-7.397077895622133,41.48511718334749
pt.ine.add.PTCONT.5286920,LG DO TOURAL,,5090-076,JOU,-7.433332833847007,41.48748637537737
pt.ine.add.PTCONT.5286921,BR TOURAL,9,5090-108,MURÇA,-7.452985568276701,41.41156674549366
pt.ine.add.PTCONT.5286922,R MQ DE VALFLOR,23,5090-138,MURÇA,-7.457806789065703,41.401051555131104
pt.ine.add.PTCONT.5286923,BR DA CALÇADA ROMANA,,5090-105,MURÇA,-7.4604690787201795,41.40031982358422
pt.ine.add.PTCONT.5286924,R DA EIRA,183,5090-200,NOURA,-7.433060763741549,41.39142251960904
