id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.1980187,R HEROIS DO ULTRAMAR,20,2450-372,VALADO DOS FRADES,-9.020477173127226,39.585142103133165
pt.ine.add.PTCONT.1980188,,,2450-377,VALADO DOS FRADES,-8.99471471208691,39.58677705604931
pt.ine.add.PTCONT.1980189,R D DINIZ,41,2450-364,VALADO DOS FRADES,-9.025401897243079,39.5879414791695
pt.ine.add.PTCONT.1980190,R LAMEIRAS,53,2450-357,VALADO DOS FRADES,-9.031489185601094,39.58518357652596
pt.ine.add.PTCONT.1980191,AV NAZARE,73,2450-303,VALADO DOS FRADES,-9.018375151996224,39.58826542713777
pt.ine.add.PTCONT.1980259,R B,7,2450-342,VALADO DOS FRADES,-9.021987912583231,39.58586009363821
pt.ine.add.PTCONT.1980389,TV BERNARDO,,2450-065,NAZARÉ,-9.073363905753736,39.605396320324054
pt.ine.add.PTCONT.1980390,R SOBERCO,17 19,2450-237,NAZARÉ,-9.073901707755809,39.602978201731446
pt.ine.add.PTCONT.1980391,R SOBERCO,17 19,2450-237,NAZARÉ,-9.073901707755809,39.602978201731446
pt.ine.add.PTCONT.1980392,R LAZARO LOZANO,14,2450-076,NAZARÉ,-9.060915884059352,39.60355998072955
pt.ine.add.PTCONT.1980464,R JOSUE,23,2450-233,NAZARÉ,-9.061350536475164,39.60123280757891
pt.ine.add.PTCONT.1980465,R ABEL DA SILVA,1,2450-060,NAZARÉ,-9.06441197766635,39.59882108325686
pt.ine.add.PTCONT.1980466,R ABEL DA SILVA,1,2450-060,NAZARÉ,-9.06441197766635,39.59882108325686
pt.ine.add.PTCONT.1980467,R ABEL DA SILVA,1,2450-060,NAZARÉ,-9.06441197766635,39.59882108325686
pt.ine.add.PTCONT.1980468,R ABEL DA SILVA,1,2450-060,NAZARÉ,-9.06441197766635,39.59882108325686
pt.ine.add.PTCONT.1980547,AV INDEPENDÊNCIA NACIONAL,14,2450-105,NAZARÉ,-9.069121080645177,39.60245840692837
pt.ine.add.PTCONT.1980548,AV INDEPENDÊNCIA NACIONAL,14,2450-105,NAZARÉ,-9.069121080645177,39.60245840692837
pt.ine.add.PTCONT.1980680,BC MOINHO,7,2450-121,NAZARÉ,-9.072376846910576,39.60214392030253
pt.ine.add.PTCONT.1980790,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980791,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980792,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980793,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980794,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980795,R FLORES,60,2450-194,NAZARÉ,-9.071326405299537,39.60108963023968
pt.ine.add.PTCONT.1980796,R GIL VICENTE,57 A,2450-218,NAZARÉ,-9.071580328329224,39.6009254607838
pt.ine.add.PTCONT.1980797,R JOAQUIM BERNARDO SOUSA LOBO,73 A,2450-229,NAZARÉ,-9.07104603947858,39.601019841248394
pt.ine.add.PTCONT.1980871,R 3 DE SETEMBRO,93,2450-275,NAZARÉ,-9.070379444456245,39.60080005597714
pt.ine.add.PTCONT.1980872,R 3 DE SETEMBRO,93,2450-275,NAZARÉ,-9.070379444456245,39.60080005597714
pt.ine.add.PTCONT.1980873,R 3 DE SETEMBRO,93,2450-275,NAZARÉ,-9.070379444456245,39.60080005597714
pt.ine.add.PTCONT.1980955,R PESCARIA,,2450-024,FAMALICÃO NZR,-9.092875048784483,39.551161057648386
pt.ine.add.PTCONT.1980956,R SANTO ISIDORO,66 A,2450-020,FAMALICÃO NZR,-9.067887395487089,39.52275947883105
pt.ine.add.PTCONT.1980957,R STO ISIDRO,39,2450-020,FAMALICÃO NZR,-9.066805789161158,39.523623809284395
pt.ine.add.PTCONT.1980958,BC BARRANCOS,5,2450-110,NAZARÉ,-9.069093805002677,39.599567510563105
pt.ine.add.PTCONT.1980959,BC BARRANCOS,5,2450-110,NAZARÉ,-9.069093805002677,39.599567510563105
pt.ine.add.PTCONT.1980960,BC BARRANCOS,5,2450-110,NAZARÉ,-9.069093805002677,39.599567510563105
pt.ine.add.PTCONT.1980961,BC BARRANCOS,5,2450-110,NAZARÉ,-9.069093805002677,39.599567510563105
pt.ine.add.PTCONT.1980962,BC BARRANCOS,5,2450-110,NAZARÉ,-9.069093805002677,39.599567510563105
pt.ine.add.PTCONT.1980963,R B BR DOS PESCADORES,6,2450-115,NAZARÉ,-9.06916576995379,39.59878664442481
pt.ine.add.PTCONT.1980964,R B BR DOS PESCADORES,6,2450-115,NAZARÉ,-9.06916576995379,39.59878664442481
pt.ine.add.PTCONT.1980965,R A BR DOS PESCADORES,10,2450-115,NAZARÉ,-9.069602131837565,39.5984105701324
pt.ine.add.PTCONT.1981059,R LAGOA,19,2450-051,NAZARÉ,-8.999566164765717,39.626739362397025
pt.ine.add.PTCONT.1981060,R ALMADA NEGREIROS,,2450-076,NAZARÉ,-9.055722936525298,39.60705986664717
pt.ine.add.PTCONT.1981061,R JULIO POMAR,,2450-076,NAZARÉ,-9.05562926952096,39.6078982232314
pt.ine.add.PTCONT.1981062,R ALMADA NEGREIROS,,2450-076,NAZARÉ,-9.055970178163697,39.6072650544871
pt.ine.add.PTCONT.1981063,TV POCINHO,5,2450-060,NAZARÉ,-9.064781857600297,39.597512637431976
pt.ine.add.PTCONT.1981064,R GIL VICENTE,82,2450-219,NAZARÉ,-9.072871060946678,39.600806948484035
pt.ine.add.PTCONT.1981065,R GIL VICENTE,82,2450-219,NAZARÉ,-9.072871060946678,39.600806948484035
pt.ine.add.PTCONT.1981066,R BONANCA,18,2450-178,NAZARÉ,-9.072995923268092,39.600701770013465
pt.ine.add.PTCONT.1981067,R BONANCA,18,2450-178,NAZARÉ,-9.072995923268092,39.600701770013465
pt.ine.add.PTCONT.1981068,R BONANCA,18,2450-178,NAZARÉ,-9.072995923268092,39.600701770013465
pt.ine.add.PTCONT.1981122,R ALTO ROMAO,,2450-076,NAZARÉ,-9.058634009813693,39.60007461536923
pt.ine.add.PTCONT.1981123,R OFICINAS MUNICIPAIS,4,2450-060,NAZARÉ,-9.058634009813693,39.60007461536923
pt.ine.add.PTCONT.1981124,R GIL EANES,,2450-065,NAZARÉ,-9.076170247827186,39.608850113828204
pt.ine.add.PTCONT.1981125,R PAZ,61AB,2450-185,NAZARÉ,-9.070874800224708,39.600408775296266
pt.ine.add.PTCONT.1981194,AV BADAJOZ,3,2450-138,NAZARÉ,-9.061935944820867,39.61106332297638
pt.ine.add.PTCONT.1981195,R ABEGOARIAS,37,2450-190,NAZARÉ,-9.072254883956688,39.60001034428021
pt.ine.add.PTCONT.1981196,R ANTÓNIO CARVALHO LARANJO,2,2450-169,NAZARÉ,-9.07108796657143,39.59981261941159
pt.ine.add.PTCONT.1981266,R BRANCO MARTINS,28,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981267,R BRANCO MARTINS,28,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981268,R BRANCO MARTINS,28,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981269,R BRANCO MARTINS,28,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981270,R BRANCO MARTINS,28,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981271,R BRANCO MARTINS,20,2450-172,NAZARÉ,-9.071935732845775,39.59706776722688
pt.ine.add.PTCONT.1981272,R IRMÃO MANUEL,3B,2450-226,NAZARÉ,-9.071723248088773,39.59943821852934
pt.ine.add.PTCONT.1981273,R PESCADORES,40,2450-206,NAZARÉ,-9.071743855788911,39.599239906986156
pt.ine.add.PTCONT.1981344,R AMADEU GAUDENCIO,,2450-065,NAZARÉ,-9.075202581102584,39.606183010795064
pt.ine.add.PTCONT.1981345,R 25 DE ABRIL,,2450-065,NAZARÉ,-9.074996975458996,39.605617263221575
pt.ine.add.PTCONT.1981346,R CARIDADE,,2450-181,NAZARÉ,-9.072197458599144,39.59834458865857
pt.ine.add.PTCONT.1981435,,,2450-138,NAZARÉ,-9.066219023848639,39.608309012963616
pt.ine.add.PTCONT.1981347,R BARÃO CORTICADA,15 17,2450-060,NAZARÉ,-9.063224909420237,39.59600299636886
pt.ine.add.PTCONT.1981432,R MARI TONY,,2450-065,NAZARÉ,-9.069175039520132,39.6090597990129
pt.ine.add.PTCONT.1981433,BC BANDA,,2450-065,NAZARÉ,-9.071569706432324,39.609625907289555
pt.ine.add.PTCONT.1981434,R FORNO DA CAL,,2450-065,NAZARÉ,-9.071678502308398,39.60647272527076
