id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.953786,,,6160-499,OLEIROS,-7.942643990875266,39.930362548211534
pt.ine.add.PTCONT.955846,,,6160-318,OLEIROS,-7.9000059237264555,39.91563140971009
pt.ine.add.PTCONT.969112,,,6160-113,ESTREITO,-7.801022013562486,39.93991429878109
pt.ine.add.PTCONT.950731,R MANUEL CARDOSO NASCIMENTO,,6160-152,ISNA,-7.860874212673984,39.84090134605704
pt.ine.add.PTCONT.950732,CIMO DA FONTE,,6160-212,MADEIRÃ,-8.071399085214471,39.94260702299765
pt.ine.add.PTCONT.950733,R ALDEIA,,6160-262,MOSTEIRO OLR,-7.961380689063478,39.89465470218299
pt.ine.add.PTCONT.950786,,,6160-336,OLEIROS,-7.8634312355597284,39.93679797220244
pt.ine.add.PTCONT.950787,R RAMALHAL,10 A,6160-418,OLEIROS,-7.915925172833824,39.91903968643602
pt.ine.add.PTCONT.950788,R RAMALHAL,10 A,6160-418,OLEIROS,-7.915925172833824,39.91903968643602
pt.ine.add.PTCONT.950847,R PRINCIPAL,,6160-487,OLEIROS,-7.929315844800167,39.880228632914765
pt.ine.add.PTCONT.950848,,,6160-456,OLEIROS,-7.931793338418497,39.91646549535483
pt.ine.add.PTCONT.950849,R S JOAO DEUS,37,6160-415,OLEIROS,-7.914095756380212,39.9168567173283
pt.ine.add.PTCONT.950850,R S JOAO DE DEUS,,6160-415,OLEIROS,-7.914095756380212,39.9168567173283
pt.ine.add.PTCONT.950909,R GRANDE,17,6185-322,ORVALHO,-7.791472828700474,40.02021286857972
pt.ine.add.PTCONT.950910,BR LAMEIRO,3,6185-314,ORVALHO,-7.787855210802339,40.02447105547249
pt.ine.add.PTCONT.950911,R PADRE DOMINGOS VAZ DE AZEVEDO,46,6185-270,ORVALHO,-7.790581557618662,40.02275897451346
pt.ine.add.PTCONT.950944,R QUINTEL,,6185-460,VILAR BARROCO,-7.788863259629553,39.97538141877891
pt.ine.add.PTCONT.964269,,,6160-452,OLEIROS,-7.898256137892617,39.934820308772714
pt.ine.add.PTCONT.950990,,,6185-452,VILAR BARROCO,-7.765990491962934,39.972978627962114
pt.ine.add.PTCONT.950991,,,6185-404,VILAR BARROCO,-7.797051773953454,39.99568739686822
pt.ine.add.PTCONT.951460,R ALFREDO MOREIRA,,6160-011,ÁLVARO,-7.96458572031656,39.97522069886499
pt.ine.add.PTCONT.951461,R CASTELO,,6160-011,ÁLVARO,-7.966609422411972,39.975827040716766
pt.ine.add.PTCONT.951513,R BICA,,6185-161,CAMBAS,-7.854575090267219,40.05485715058501
pt.ine.add.PTCONT.951514,R LINHARES,,6185-186,CAMBAS,-7.826021448923141,40.02967595236418
pt.ine.add.PTCONT.951515,BR BELO HORIZONTE,,6160-129,ESTREITO,-7.841953550638721,39.97476139776344
pt.ine.add.PTCONT.951516,BR BELO HORIZONTE,,6160-129,ESTREITO,-7.843197695661796,39.973980975035836
pt.ine.add.PTCONT.951569,R MARTINS REI,,6160-129,ESTREITO,-7.841249040102683,39.96976117308983
pt.ine.add.PTCONT.951570,EN 238,,6160-101,ESTREITO,-7.833679058149582,39.960951784967556
pt.ine.add.PTCONT.951571,R PEDRO VASQUES,118,6160-115,ESTREITO,-7.81072612825807,39.95387436633835
pt.ine.add.PTCONT.951572,,,6160-126,ESTREITO,-7.770119855384902,39.918152565566146
pt.ine.add.PTCONT.951590,TV CAPELA,,6160-489,SARNADAS DE SÃO SIMÃO,-7.756426046377215,39.94753237124908
pt.ine.add.PTCONT.951593,R ESTREITA,,6185-179,CAMBAS,-7.845150767219265,40.00787614791189
pt.ine.add.PTCONT.951604,R ASSUNÇÃO,,6160-129,ESTREITO,-7.842583539213947,39.97250241728485
pt.ine.add.PTCONT.951609,R FUNDO DO LUGAR,9,6185-337,ORVALHO,-7.790771762594469,40.01985956023912
pt.ine.add.PTCONT.951642,R TERREIRO,8,6185-315,ORVALHO,-7.7912158466988,40.02006801246764
pt.ine.add.PTCONT.989471,,,6160-484,OLEIROS,-7.860939846628618,39.898227133770874
pt.ine.add.PTCONT.952384,,,6160-496,OLEIROS,-7.923131341114147,39.91103733400639
pt.ine.add.PTCONT.952385,R PRINCIPAL,5,6185-262,ORVALHO,-7.71703103869241,40.00289386003135
pt.ine.add.PTCONT.952394,BR NAVES,,6185-310,ORVALHO,-7.786811774636308,40.02695363394739
pt.ine.add.PTCONT.952402,R POLOME,4,6185-460,VILAR BARROCO,-7.788557907888838,39.9755786481416
pt.ine.add.PTCONT.952407,,,6160-468,OLEIROS,-7.911940418495521,39.896038991406556
pt.ine.add.PTCONT.952409,R CASTELO,47,6185-312,ORVALHO,-7.791168792459728,40.02245450014971
pt.ine.add.PTCONT.952411,R CASAS DAS LANDES,5,6185-327,ORVALHO,-7.793134608524139,40.020532970548544
pt.ine.add.PTCONT.952416,R NOVA,5,6185-324,ORVALHO,-7.790722297317424,40.02038177019397
pt.ine.add.PTCONT.952419,R GRANDE,8,6185-322,ORVALHO,-7.79143634003905,40.02048294518128
pt.ine.add.PTCONT.952428,EN 112,,6185-401,ORVALHO,-7.736807201579737,40.003503539806935
pt.ine.add.PTCONT.952429,R CAMPO DA BOLA,01,6185-259,ORVALHO,-7.712526035630801,40.004201503393446
pt.ine.add.PTCONT.952486,R LIBERDADE,,6160-115,ESTREITO,-7.811900981148555,39.95789441162705
pt.ine.add.PTCONT.952487,R S JOÃO,,6160-115,ESTREITO,-7.811842394081683,39.955408526638045
pt.ine.add.PTCONT.952488,R EIRA,,6160-212,MADEIRÃ,-8.07183174404858,39.94290445995305
pt.ine.add.PTCONT.952494,,,6160-022,ÁLVARO,-7.990185822244417,39.959016829396624
pt.ine.add.PTCONT.952495,LG RUA DA EIRA,,6185-141,CAMBAS,-7.86107097764493,39.98918174910758
pt.ine.add.PTCONT.952496,R HORTA VELHA,,6160-205,MADEIRÃ,-8.019332955400467,39.92034006522659
pt.ine.add.PTCONT.952501,VALE CAMPELO,,6160-209,MADEIRÃ,-8.037180564700812,39.930010971466864
pt.ine.add.PTCONT.952505,TV FONTE FREIRAS,,6160-432,OLEIROS,-7.9122305368197265,39.91857338569892
pt.ine.add.PTCONT.952506,TV FONTE DAS FREIRAS,8,6160-432,OLEIROS,-7.9122305368197265,39.91857338569892
pt.ine.add.PTCONT.952509,R CEMITÉRIO,,6160-052,AMIEIRA OLR,-7.9108693027203305,39.98141650149646
pt.ine.add.PTCONT.952510,,,6160-052,AMIEIRA OLR,-7.912886494624485,39.98031258677217
