id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.291256,R CANAS,,3720-451,PINDELO,-8.447968693260767,40.869586755524324
pt.ine.add.PTCONT.290993,R MARTIR S SEBASTIÃO,227,3720-016,CARREGOSA,-8.415510881712708,40.885708357385134
pt.ine.add.PTCONT.290997,R MAESTRO ÁLVARO AGUIAR,254,3720-012,CARREGOSA,-8.418336711265741,40.89720952509185
pt.ine.add.PTCONT.290998,R PADRE JOAQUIM AGUIAR,535,3720-012,CARREGOSA,-8.41297111351045,40.89400796217016
pt.ine.add.PTCONT.290999,R RIBEIRO,,3720-012,CARREGOSA,-8.410580174471406,40.89547251436556
pt.ine.add.PTCONT.291000,R CAVADAS,440,3700-603,CESAR,-8.445959185054335,40.921468761391246
pt.ine.add.PTCONT.291001,R CENTRAL DE CESAR,700,3700-608,CESAR,-8.437462942757186,40.91711519264465
pt.ine.add.PTCONT.291002,R LINHO,150 A,3720-026,CARREGOSA,-8.416829807116086,40.87781691126269
pt.ine.add.PTCONT.291003,R LINHO,154,3720-026,CARREGOSA,-8.416829807116086,40.87781691126269
pt.ine.add.PTCONT.291004,R CAVADAS,240,3700-603,CESAR,-8.443642243182243,40.92104279631875
pt.ine.add.PTCONT.291005,R CENTRAL DE CESAR,750,3700-608,CESAR,-8.437951416430696,40.917501106549054
pt.ine.add.PTCONT.291006,R LINHO,150 A,3720-026,CARREGOSA,-8.416829807116086,40.87781691126269
pt.ine.add.PTCONT.291007,R GANDARA,21,3700-607,CESAR,-8.432598723201059,40.91247247116847
pt.ine.add.PTCONT.291008,R GANDARA,15,3700-607,CESAR,-8.432598723201059,40.91247247116847
pt.ine.add.PTCONT.291009,R GANDARA,21,3700-607,CESAR,-8.432598723201059,40.91247247116847
pt.ine.add.PTCONT.291010,R CENTRAL DE CESAR,458,3700-608,CESAR,-8.435343412340318,40.91568000724566
pt.ine.add.PTCONT.291011,CC OUTEIRO DA SANTA,90,3720-033,CARREGOSA,-8.404235086407471,40.873119675711834
pt.ine.add.PTCONT.291012,R ALTO,76,3720-033,CARREGOSA,-8.403010294423028,40.87240216250499
pt.ine.add.PTCONT.291013,R CIMO DE VILA,142,3700-604,CESAR,-8.443168916232835,40.91628956495725
pt.ine.add.PTCONT.291014,R FONTE DA PIPA,82,3700-604,CESAR,-8.44209902398245,40.9159592609001
pt.ine.add.PTCONT.291015,R PADRE ALIRIO DE MELO,45,3720-017,CARREGOSA,-8.41399370671157,40.883271761064776
