id,street,house,postcode,city,lon,lat
pt.ine.add.PTCONT.291085,R CABECO,45,3770-013,BUSTOS,-8.605289353344759,40.49293449195954
pt.ine.add.PTCONT.291090,R COVA,3,3770-013,BUSTOS,-8.608793063496083,40.4896511700562
pt.ine.add.PTCONT.291098,R SOBREIRO,,3770-017,BUSTOS,-8.587595250060192,40.499831506217795
pt.ine.add.PTCONT.291099,R SOBREIRO,,3770-017,BUSTOS,-8.587595250060192,40.499831506217795
pt.ine.add.PTCONT.291100,R SOBREIRO,,3770-017,BUSTOS,-8.587595250060192,40.499831506217795
pt.ine.add.PTCONT.291102,R SOBREIRO,,3770-017,BUSTOS,-8.587595250060192,40.499831506217795
pt.ine.add.PTCONT.291103,R SOBREIRO,,3770-017,BUSTOS,-8.587595250060192,40.499831506217795
pt.ine.add.PTCONT.291104,R MANUEL FRANCISCO REI,22,3770-015,BUSTOS,-8.599029930909744,40.491816212429704
pt.ine.add.PTCONT.291109,TV GABRIEL PARDAL,9,3770-017,BUSTOS,-8.590923751567981,40.498359497774835
pt.ine.add.PTCONT.291125,R AUGUSTO COSTA,4,3770-016,BUSTOS,-8.592504645700007,40.49319314210445
pt.ine.add.PTCONT.291131,R FONTE,30,3770-012,BUSTOS,-8.60708252745297,40.49799717887929
pt.ine.add.PTCONT.291132,LG NSA SRA DAS FEBRES,2 3,3770-053,OIÃ,-8.507556573959631,40.547027429132854
pt.ine.add.PTCONT.291133,LG NSA SRA FEBRE,6,3770-062,OIÃ,-8.50826351315686,40.54678199235609
pt.ine.add.PTCONT.291134,R PADRE ACURCIO,67 B,3770-302,OLIVEIRA DO BAIRRO,-8.473437465085713,40.5232598152773
pt.ine.add.PTCONT.291135,R ROQUE,12,3770-355,PALHAÇA,-8.600178636816198,40.52818420668829
pt.ine.add.PTCONT.291136,R LUGAR,6,3770-106,OLIVEIRA DO BAIRRO,-8.470068990332912,40.51986566086538
pt.ine.add.PTCONT.291137,R CABINE,2,3770-033,MAMARROSA,-8.577733457598523,40.48380425602466
pt.ine.add.PTCONT.291138,TV PADRE ABEL,9,3770-059,OIÃ,-8.542835985531363,40.54408003833086
pt.ine.add.PTCONT.291139,R CRUZEIRO,34,3770-052,OIÃ,-8.566131505300342,40.5356921782919
pt.ine.add.PTCONT.291140,R VALE DO SUNCO,35,3770-203,OLIVEIRA DO BAIRRO,-8.499991026660187,40.519180180494544
pt.ine.add.PTCONT.291141,R CAVADAS,38,3770-059,OIÃ,-8.546924950276248,40.54674004297772
pt.ine.add.PTCONT.291142,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291143,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291144,R ALMINHAS DO MOITA,52A,3770-051,OIÃ,-8.543032321631092,40.551112487394334
pt.ine.add.PTCONT.291145,R CABECO,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291146,R CAPELA,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291147,R CABECO,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291148,R CAPELA,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291149,R CABECO,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291150,R CAPELA,45,3770-064,OIÃ,-8.51448523862371,40.55102113484585
pt.ine.add.PTCONT.291151,R CAMPO,9,3770-066,OIÃ,-8.509188893056907,40.534936982710065
pt.ine.add.PTCONT.291152,R PRINCIPAL,33,3770-108,OLIVEIRA DO BAIRRO,-8.524620327279559,40.50332195511179
pt.ine.add.PTCONT.291153,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291154,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291155,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291156,R PASSAL BAIXO,,3770-230,OLIVEIRA DO BAIRRO,-8.49409084779886,40.51257081358906
pt.ine.add.PTCONT.291157,R JULIO DIAS GAPO,24,3770-033,MAMARROSA,-8.582815191776227,40.481812412055916
pt.ine.add.PTCONT.291158,R CIPRESTES,1,3770-052,OIÃ,-8.565904517654873,40.52793043574879
pt.ine.add.PTCONT.291159,R SANTO AMARO,18,3770-058,OIÃ,-8.55442047516659,40.52024629513982
pt.ine.add.PTCONT.291160,R DR MANUEL AUGUSTO DOS SANTOS PATO,51,3770-037,MAMARROSA,-8.583400167576505,40.4793426536332
pt.ine.add.PTCONT.291161,R ANTONIO CERTIMA,14,3770-057,OIÃ,-8.506141044859755,40.54509586498611
pt.ine.add.PTCONT.291162,R 30 DE JUNHO,18,3770-059,OIÃ,-8.53596832284819,40.544518432725496
pt.ine.add.PTCONT.291163,R MAESTRO ALFREDO RODRIGUES,,3770-225,OLIVEIRA DO BAIRRO,-8.499350040170667,40.51631850879059
pt.ine.add.PTCONT.291164,R DR ALBERTO TAVARES CASTRO,75,3770-205,OLIVEIRA DO BAIRRO,-8.49699485122448,40.51719946944617
pt.ine.add.PTCONT.291165,R CABECO,26,3770-053,OIÃ,-8.511793313137815,40.544699254451466
pt.ine.add.PTCONT.291166,R PROF ANTÓNIO JOAQUIM CARVALHO,11,3770-231,OLIVEIRA DO BAIRRO,-8.494847341826402,40.515017908253334
pt.ine.add.PTCONT.291167,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
pt.ine.add.PTCONT.291168,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
pt.ine.add.PTCONT.291169,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
pt.ine.add.PTCONT.291170,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
pt.ine.add.PTCONT.291171,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
pt.ine.add.PTCONT.291172,R PROF ANTÓNIO JOAQUIM CARVALHO,5,3770-231,OLIVEIRA DO BAIRRO,-8.494388521194658,40.51527149387395
